,WasherDryer,TumbleDryer,BaseLoad,P_EV
2024-01-03 20:45:00,0.001,0.001,0.2938601114771388,0.0
2024-01-03 21:00:00,0.001,0.001,0.6124092730589211,0.0
2024-01-03 21:15:00,0.001,0.001,0.6490759397255877,0.0
2024-01-03 21:30:00,0.001,0.001,0.3420759397255878,0.0
2024-01-03 21:45:00,0.001,0.001,0.3420759397255878,0.0
2024-01-03 22:00:00,0.001,0.001,0.7257426063922545,0.0
2024-01-03 22:15:00,0.001,0.001,0.24325627509287487,0.0
2024-01-03 22:30:00,0.001,0.001,0.43025219735291437,0.0
2024-01-03 22:45:00,0.001,0.001,0.5902131094431851,0.0
2024-01-03 23:00:00,0.001,0.001,0.4040759397255878,0.0
2024-01-03 23:15:00,0.001,0.001,0.3336620204314773,0.0
2024-01-03 23:30:00,0.001,0.001,0.32735158096089445,0.0
2024-01-03 23:45:00,0.001,0.001,0.4054092730589211,0.0
2024-01-04 00:00:00,0.001,0.001,0.5320759397255878,0.0
2024-01-04 00:15:00,0.001,0.001,0.5420759397255879,0.0
2024-01-04 00:30:00,0.001,0.001,0.4257426063922545,0.0
2024-01-04 00:45:00,0.001,0.001,0.21686898007853256,0.0
2024-01-04 01:00:00,0.001,0.001,0.1895237423726735,0.0
2024-01-04 01:15:00,0.001,0.001,0.3990609120902707,0.0
2024-01-04 01:30:00,0.001,0.001,0.48869999999999997,0.0
2024-01-04 01:45:00,0.001,0.001,0.39869999999999994,0.0
2024-01-04 02:00:00,0.001,0.001,0.9777199999999999,0.0
2024-01-04 02:15:00,0.001,0.001,0.194,0.0
2024-01-04 02:30:00,0.001,0.001,0.05006666666666667,0.0
2024-01-04 02:45:00,0.001,0.001,0.18133333333333335,0.0
2024-01-04 03:00:00,0.001,0.001,0.232,0.0
2024-01-04 03:15:00,0.001,0.001,0.042,0.0
2024-01-04 03:30:00,0.001,0.001,0.197,0.0
2024-01-04 03:45:00,0.001,0.001,0.13499999999999998,0.0
2024-01-04 04:00:00,0.001,0.001,0.042,0.0
2024-01-04 04:15:00,0.001,0.001,0.21933333333333332,0.0
2024-01-04 04:30:00,0.001,0.001,0.194,0.0
2024-01-04 04:45:00,0.001,0.001,0.042,0.0
2024-01-04 05:00:00,0.001,0.001,0.13499999999999998,0.0
2024-01-04 05:15:00,0.001,0.001,0.7300666666666668,6.533333333333333
2024-01-04 05:30:00,0.001,0.001,0.06733333333333333,0.4666666666666667
2024-01-04 05:45:00,0.001,0.001,0.232,0.0
2024-01-04 06:00:00,0.001,0.001,0.15600000000000003,0.0
2024-01-04 06:15:00,0.001,0.001,0.042,0.0
2024-01-04 06:30:00,0.001,0.001,0.073,0.0
2024-01-04 06:45:00,0.001,0.001,0.197,0.0
2024-01-04 07:00:00,0.001,0.001,0.16733333333333336,0.0
2024-01-04 07:15:00,0.001,0.001,0.232,0.0
2024-01-04 07:30:00,0.001,0.001,0.13013333333333332,0.0
2024-01-04 07:45:00,0.001,0.001,0.055,0.0
2024-01-04 08:00:00,0.001,0.001,0.055,0.0
2024-01-04 08:15:00,0.21194260961537684,0.001,2.5780000000000003,0.0
2024-01-04 08:30:00,0.7920347860576631,0.001,0.4394,0.0
2024-01-04 08:45:00,0.7920347860576631,0.001,0.232,0.0
2024-01-04 09:00:00,0.7920347860576631,0.001,0.08000000000000002,0.0
2024-01-04 09:15:00,0.7920347860576631,0.001,0.20823932926542588,0.0
2024-01-04 09:30:00,0.7920347860576631,0.001,2.52629040903934,0.0
2024-01-04 09:45:00,0.7920347860576631,0.001,0.24982374237267352,0.0
2024-01-04 10:00:00,0.7920347860576631,0.001,0.4821570757060068,0.0
2024-01-04 10:15:00,0.7920347860576631,0.001,0.4088237423726735,0.0
2024-01-04 10:30:00,0.7920347860576631,0.001,0.5852589938981387,0.0
2024-01-04 10:45:00,0.7920347860576631,0.001,0.78872,0.0
2024-01-04 11:00:00,0.7920347860576631,0.001,0.18508000000000002,0.0
2024-01-04 11:15:00,0.7920347860576631,0.001,0.25132,0.0
2024-01-04 11:30:00,0.7920347860576631,0.001,0.4953333333333333,0.0
2024-01-04 11:45:00,0.7920347860576631,0.001,0.48960000000000004,0.0
2024-01-04 12:00:00,0.31741391442306527,0.001,2.454,0.0
2024-01-04 12:15:00,0.001,0.001,0.2526360244993848,5.133333333333334
2024-01-04 12:30:00,0.001,0.001,0.2340759397255878,7.0
2024-01-04 12:45:00,0.001,0.001,1.3789426063922545,7.0
2024-01-04 13:00:00,0.001,0.001,2.108609273058921,0.9333333333333333
2024-01-04 13:15:00,0.001,0.001,0.4845581932850068,0.0
2024-01-04 13:30:00,0.001,0.001,0.19948406578430475,0.0
2024-01-04 13:45:00,0.001,0.001,1.8127799999999998,0.0
2024-01-04 14:00:00,0.001,0.001,1.595791079773914,0.0
2024-01-04 14:15:00,0.001,0.001,0.3384075151765897,0.0
2024-01-04 14:30:00,0.001,0.001,0.5754226063922545,0.0
2024-01-04 14:45:00,0.001,0.001,1.2560759397255878,0.0
2024-01-04 15:00:00,0.001,0.001,1.8954092730589212,0.0
2024-01-04 15:15:00,0.001,0.001,0.22934644277651842,0.0
2024-01-04 15:30:00,0.001,0.001,0.2222521973529143,0.0
2024-01-04 15:45:00,0.001,0.001,0.2874472526274438,0.0
2024-01-04 16:00:00,0.001,0.001,0.36769999999999997,0.0
2024-01-04 16:15:00,0.001,0.001,0.38386,0.0
