,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-10 16:15:00,0.001,0.0,0.001,0.14833333333333334,0.0
2024-01-10 16:30:00,0.001,0.0,0.001,0.237,0.0
2024-01-10 16:45:00,0.001,0.0,0.001,0.09766666666666665,2.0
2024-01-10 17:00:00,0.001,0.0,0.001,0.07633131841174859,2.6
2024-01-10 17:15:00,0.001,0.0,0.001,0.09155219735291431,0.0
2024-01-10 17:30:00,0.001,0.0,0.001,0.09155219735291431,1.6
2024-01-10 17:45:00,0.001,0.0,0.001,0.23088553068624762,0.0
2024-01-10 18:00:00,0.001,0.0,0.001,0.2737521973529143,0.0
2024-01-10 18:15:00,0.001,0.0,0.001,0.06387362631372191,0.0
2024-01-10 18:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 18:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 19:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 19:15:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-10 19:30:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-10 19:45:00,0.001,0.0,0.001,0.0574,0.0
2024-01-10 20:00:00,0.001,0.0,0.001,0.08524175788233145,0.0
2024-01-10 20:15:00,0.001,0.0,0.001,0.09155219735291431,2.0
2024-01-10 20:30:00,0.001,0.0,0.001,0.11688553068624764,0.0
2024-01-10 20:45:00,0.001,0.0,0.001,0.2711521973529143,0.0
2024-01-10 21:00:00,0.001,0.0,0.001,0.2939521973529143,0.0
2024-01-10 21:15:00,0.001,0.0,0.001,0.1890347982352762,0.0
2024-01-10 21:30:00,0.001,0.0,0.001,0.168,0.0
2024-01-10 21:45:00,0.001,0.0,0.001,0.168,0.0
2024-01-10 22:00:00,0.001,0.0,0.001,0.19906666666666667,0.0
2024-01-10 22:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-10 22:30:00,0.001,0.0,0.001,0.13566666666666669,0.0
2024-01-10 22:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 23:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 23:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 23:30:00,0.001,0.0,0.001,0.14833333333333334,0.0
2024-01-10 23:45:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 00:00:00,0.001,0.0,0.001,0.09766666666666665,0.0
2024-01-11 00:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 00:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 00:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 01:00:00,0.001,0.0,0.001,0.18633333333333332,0.0
2024-01-11 01:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 01:30:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-11 01:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 02:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 02:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 02:30:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-11 02:45:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-11 03:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 03:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 03:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 03:45:00,0.001,0.0,0.001,0.07233333333333333,0.0
2024-01-11 04:00:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 04:15:00,0.001,0.0,0.001,0.17366666666666666,0.0
2024-01-11 04:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 04:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 05:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 05:15:00,0.001,0.0,0.001,0.11033333333333334,0.0
2024-01-11 05:30:00,0.001,0.0,0.001,0.237,0.8
2024-01-11 05:45:00,0.001,0.0,0.001,0.13566666666666669,0.4
2024-01-11 06:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 06:15:00,0.001,0.0,0.001,0.6346666666666666,0.0
2024-01-11 06:30:00,0.001,0.0,0.001,0.138,0.0
2024-01-11 06:45:00,0.001,0.0,0.001,0.26036813156860955,1.2
2024-01-11 07:00:00,0.001,0.0,0.001,0.35955219735291427,0.0
2024-01-11 07:15:00,0.001,0.0,0.001,0.14741886401958096,0.0
2024-01-11 07:30:00,0.001,0.0,0.001,0.07855219735291431,0.0
2024-01-11 07:45:00,0.001,0.0,0.001,0.07434523770585906,0.0
2024-01-11 08:00:00,0.001,0.0,0.001,0.047,2.8
2024-01-11 08:15:00,0.001,0.0,0.001,0.18633333333333332,0.0
2024-01-11 08:30:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 08:45:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-11 09:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 09:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 09:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 09:45:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-11 10:00:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-11 10:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 10:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 10:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 11:00:00,0.001,0.0,0.001,0.07233333333333333,0.0
2024-01-11 11:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 11:30:00,0.001,0.0,0.001,0.17366666666666666,0.0
2024-01-11 11:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 12:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 12:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 12:30:00,0.001,0.0,0.001,0.11033333333333334,0.0
2024-01-11 12:45:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 13:00:00,0.001,0.0,0.001,0.13566666666666669,0.0
2024-01-11 13:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 13:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 13:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 14:00:00,0.001,0.0,0.001,0.14833333333333334,0.0
2024-01-11 14:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 14:30:00,0.001,0.0,0.001,0.09766666666666665,0.0
2024-01-11 14:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 15:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 15:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 15:30:00,0.001,0.0,0.001,0.18633333333333332,0.0
2024-01-11 15:45:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 16:00:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-11 16:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 16:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 16:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 17:00:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-11 17:15:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-11 17:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 17:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 18:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 18:15:00,0.001,0.0,0.001,0.07233333333333333,0.0
2024-01-11 18:30:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 18:45:00,0.001,0.0,0.001,0.17366666666666666,0.0
2024-01-11 19:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 19:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 19:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 19:45:00,0.001,0.0,0.001,0.11033333333333334,0.0
2024-01-11 20:00:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 20:15:00,0.001,0.0,0.001,0.13566666666666669,0.0
2024-01-11 20:30:00,0.001,0.0,0.001,0.047,2.0
2024-01-11 20:45:00,0.001,0.0,0.001,0.047,1.4
2024-01-11 21:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 21:15:00,0.001,0.0,0.001,0.14833333333333334,0.0
2024-01-11 21:30:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 21:45:00,0.001,0.0,0.001,0.09766666666666665,0.0
2024-01-11 22:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 22:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 22:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 22:45:00,0.001,0.0,0.001,0.18633333333333332,0.0
2024-01-11 23:00:00,0.001,0.0,0.001,0.237,0.0
2024-01-11 23:15:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-11 23:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-11 23:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 00:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 00:15:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-12 00:30:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-12 00:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 01:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 01:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 01:30:00,0.001,0.0,0.001,0.07233333333333333,0.0
2024-01-12 01:45:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 02:00:00,0.001,0.0,0.001,0.17366666666666666,0.0
2024-01-12 02:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 02:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 02:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 03:00:00,0.001,0.0,0.001,0.11033333333333334,0.0
2024-01-12 03:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 03:30:00,0.001,0.0,0.001,0.13566666666666669,0.0
2024-01-12 03:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 04:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 04:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-12 04:30:00,0.001,0.0,0.001,0.14833333333333334,0.0
2024-01-12 04:45:00,0.001,0.0,0.001,0.237,0.0
2024-01-12 05:00:00,0.001,0.0,0.001,0.09766666666666665,0.0
