,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-04 23:30:00,0.001,0.479,0.0,0.0
2024-01-04 23:45:00,0.001,0.25093333333333334,0.0,0.0
2024-01-05 00:00:00,0.001,0.168,0.0,0.0
2024-01-05 00:15:00,0.001,0.4967139100563171,0.0,0.0
2024-01-05 00:30:00,0.001,0.1910904090393402,0.0,2.0
2024-01-05 00:45:00,0.001,0.5462904090393402,0.0,0.0
2024-01-05 01:00:00,0.001,0.2098237423726735,0.0,0.0
2024-01-05 01:15:00,0.001,0.0578237423726735,0.0,2.0
2024-01-05 01:30:00,0.001,0.04678824949151157,0.0,1.6666666666666667
2024-01-05 01:45:00,0.001,0.5790666666666666,0.0,0.0
2024-01-05 02:00:00,0.001,0.046,0.0,0.0
2024-01-05 02:15:00,0.001,0.6231333333333333,0.0,0.6666666666666666
2024-01-05 02:30:00,0.001,0.10933333333333332,0.0,3.3333333333333335
2024-01-05 02:45:00,0.001,0.046,0.0,0.0
2024-01-05 03:00:00,0.001,0.5790666666666666,0.0,2.3333333333333335
2024-01-05 03:15:00,0.001,0.31253333333333333,0.0,0.0
2024-01-05 03:30:00,0.001,0.6550666666666667,0.0,0.0
2024-01-05 03:45:00,0.001,0.3439333333333333,0.0,0.0
2024-01-05 04:00:00,0.001,0.046,0.0,3.3333333333333335
2024-01-05 04:15:00,0.001,0.4458,0.0,0.0
2024-01-05 04:30:00,0.001,0.046,0.0,0.0
2024-01-05 04:45:00,0.001,0.4458,0.0,0.0
2024-01-05 05:00:00,0.001,0.21066666666666664,0.0,0.0
2024-01-05 05:15:00,0.001,0.12199999999999998,3.6666666666666665,3.3333333333333335
2024-01-05 05:30:00,0.001,0.046,8.8,0.0
2024-01-05 05:45:00,0.001,0.046,0.0,1.3333333333333333
2024-01-05 06:00:00,0.001,0.046,0.0,3.0
2024-01-05 06:15:00,0.001,0.1102,0.0,0.0
2024-01-05 06:30:00,0.001,0.23633333333333334,0.0,0.0
2024-01-05 06:45:00,0.001,0.059000000000000004,0.0,0.0
2024-01-05 07:00:00,0.001,0.059000000000000004,0.0,1.0
