,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-03 22:15:00,0.0,0.20671234924320997,0.34452520727461633,0.0,0.0
2024-01-03 22:30:00,0.0,1.1731496535286334,0.47675506078442204,0.0,0.0
2024-01-03 22:45:00,0.0,0.1215106793706645,0.3062502791607823,0.0,0.0
2024-01-03 23:00:00,0.0,0.15265282371868386,0.3181521973529143,0.0,0.0
2024-01-03 23:15:00,0.0,0.30594172154070426,0.36195219735291423,0.0,0.0
2024-01-03 23:30:00,0.0,0.5891640288904405,0.26295219735291425,0.0,0.0
2024-01-03 23:45:00,0.0,0.125838916766587,0.26621886401958095,0.0,0.0
2024-01-04 00:00:00,0.0,0.28592485526772343,0.365345237705859,0.0,2.1333333333333333
2024-01-04 00:15:00,0.0,1.7786189899076337,0.6050549161581782,0.0,0.0
2024-01-04 00:30:00,0.0,0.30575700752031626,0.18175707570600685,0.0,0.0
2024-01-04 00:45:00,0.0,0.16873927696341465,0.2254904090393402,0.0,0.0
2024-01-04 01:00:00,0.0,0.24449967983169618,0.0608237423726735,0.0,0.0
2024-01-04 01:15:00,0.0,0.636472797972938,0.14349040903934018,0.0,0.0
2024-01-04 01:30:00,0.0,0.10634643225247319,0.21188249491511568,0.0,0.0
2024-01-04 01:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 02:00:00,0.0,0.001,0.11233333333333334,0.0,0.0
2024-01-04 02:15:00,0.0,0.001,0.239,0.0,0.0
2024-01-04 02:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 02:45:00,0.0,0.001,0.16266666666666665,0.0,0.0
2024-01-04 03:00:00,0.0,0.001,0.173,0.0,0.0
2024-01-04 03:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 03:30:00,0.0,0.001,0.087,0.0,0.0
2024-01-04 03:45:00,0.0,0.001,0.239,0.0,0.0
2024-01-04 04:00:00,0.0,0.001,0.07433333333333333,0.0,0.26666666666666666
2024-01-04 04:15:00,0.0,0.001,0.19366666666666665,0.0,2.4
2024-01-04 04:30:00,0.0,0.001,0.142,0.0,0.0
2024-01-04 04:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 05:00:00,0.0,0.001,0.06166666666666667,0.0,0.0
2024-01-04 05:15:00,0.0,0.001,0.239,0.0,0.0
2024-01-04 05:30:00,0.0,0.001,0.12033333333333333,0.0,0.0
2024-01-04 05:45:00,0.0,0.001,0.204,0.0,0.0
2024-01-04 06:00:00,0.0,0.001,0.111,0.0,0.0
2024-01-04 06:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 06:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 06:45:00,0.0,0.001,0.22633333333333333,0.0,0.0
2024-01-04 07:00:00,0.0,0.001,0.17666666666666667,0.0,0.0
2024-01-04 07:15:00,0.0,0.001,0.204,0.0,0.0
2024-01-04 07:30:00,0.0,0.001,0.08,0.0,0.0
2024-01-04 07:45:00,0.0,0.001,0.049,0.0,2.1333333333333333
2024-01-04 08:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 08:15:00,0.0,0.001,0.20099999999999998,0.0,0.0
2024-01-04 08:30:00,0.0,0.001,0.23299999999999998,0.0,0.0
2024-01-04 08:45:00,0.0,0.001,0.204,0.0,0.0
2024-01-04 09:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 09:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 09:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 09:45:00,0.0,0.001,0.17566666666666667,0.0,0.0
2024-01-04 10:00:00,0.0,0.001,0.28933333333333333,0.0,0.0
2024-01-04 10:15:00,0.0,0.001,0.173,0.0,0.0
2024-01-04 10:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 10:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 11:00:00,0.0,0.001,0.049,8.0,2.1333333333333333
2024-01-04 11:15:00,0.0,0.001,0.15033333333333332,1.0,0.0
2024-01-04 11:30:00,0.0,0.001,0.3456666666666667,0.0,0.0
2024-01-04 11:45:00,0.0,0.001,0.142,0.0,0.0
2024-01-04 12:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 12:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 12:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 12:45:00,0.0,0.001,0.14566666666666667,0.0,0.0
2024-01-04 13:00:00,0.0,0.001,0.38133333333333336,0.0,0.0
2024-01-04 13:15:00,0.0,0.001,0.111,0.0,0.0
2024-01-04 13:30:00,0.0,0.001,0.44880000000000003,0.0,0.0
2024-01-04 13:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 14:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 14:15:00,0.0,0.001,0.15133333333333335,0.0,2.1333333333333333
2024-01-04 14:30:00,0.0,0.001,0.394,0.0,0.0
2024-01-04 14:45:00,0.0,0.001,0.09266666666666667,0.0,0.0
2024-01-04 15:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 15:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 15:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-04 15:45:00,0.0,0.001,0.31792,0.0,0.0
2024-01-04 16:00:00,0.0,0.001,0.515,0.0,0.0
2024-01-04 16:15:00,0.0,0.001,0.20800000000000002,0.0,0.0
2024-01-04 16:30:00,0.0,0.001,0.17,0.0,0.0
2024-01-04 16:45:00,0.0,0.001,0.17,0.0,0.0
2024-01-04 17:00:00,0.0,0.001,0.08933333333333333,0.0,0.0
2024-01-04 17:15:00,0.0,0.001,0.17739102543136,0.0,2.4
2024-01-04 17:30:00,0.0,0.001,0.3945521973529143,0.0,0.0
2024-01-04 17:45:00,0.0,0.001,0.14388553068624763,0.0,0.0
2024-01-04 18:00:00,0.0,0.001,0.08055219735291429,0.0,0.0
2024-01-04 18:15:00,0.0,0.001,0.08055219735291429,0.0,0.0
2024-01-04 18:30:00,0.0,0.001,0.06372435876469335,0.0,0.0
2024-01-04 18:45:00,0.0,0.001,0.19366666666666665,0.0,0.0
2024-01-04 19:00:00,0.0,0.001,0.30666666666666664,0.0,0.0
2024-01-04 19:15:00,0.0,0.001,0.13766666666666666,0.0,0.0
2024-01-04 19:30:00,0.0,0.001,0.049,0.0,0.0
