,BaseLoad,P_HP,P_WB
2024-01-08 22:15:00,0.049,0.0,0.0
2024-01-08 22:30:00,0.049,0.0,0.0
2024-01-08 22:45:00,0.09966666666666667,0.0,0.0
2024-01-08 23:00:00,0.239,0.0,0.0
2024-01-08 23:15:00,0.087,0.0,0.0
2024-01-08 23:30:00,0.049,0.3333333333333333,0.0
2024-01-08 23:45:00,0.049,2.6666666666666665,0.0
2024-01-09 00:00:00,0.049,0.0,0.0
2024-01-09 00:15:00,0.20099999999999998,0.0,0.0
2024-01-09 00:30:00,0.17566666666666667,0.0,0.0
2024-01-09 00:45:00,0.049,2.3333333333333335,0.0
2024-01-09 01:00:00,0.049,0.0,0.0
2024-01-09 01:15:00,0.049,0.0,0.0
2024-01-09 01:30:00,0.11233333333333334,0.0,0.0
2024-01-09 01:45:00,0.239,0.0,0.0
2024-01-09 02:00:00,0.07433333333333333,0.0,0.0
2024-01-09 02:15:00,0.049,0.0,0.0
2024-01-09 02:30:00,0.049,0.0,0.0
2024-01-09 02:45:00,0.049,0.0,0.0
2024-01-09 03:00:00,0.21366666666666667,0.0,0.0
2024-01-09 03:15:00,0.16299999999999998,0.0,0.0
2024-01-09 03:30:00,0.049,0.0,0.0
2024-01-09 03:45:00,0.049,0.0,0.0
2024-01-09 04:00:00,0.049,0.0,0.0
2024-01-09 04:15:00,0.125,2.6666666666666665,0.0
2024-01-09 04:30:00,0.239,0.0,0.0
2024-01-09 04:45:00,0.06166666666666667,0.0,0.0
2024-01-09 05:00:00,0.049,0.0,0.0
2024-01-09 05:15:00,0.049,0.0,0.0
2024-01-09 05:30:00,0.049,0.0,0.0
2024-01-09 05:45:00,0.22633333333333333,0.0,0.0
2024-01-09 06:00:00,0.15033333333333332,1.3333333333333333,0.0
2024-01-09 06:15:00,0.049,1.3333333333333333,0.0
2024-01-09 06:30:00,0.049,0.0,0.0
2024-01-09 06:45:00,0.049,0.0,0.0
2024-01-09 07:00:00,0.13766666666666666,0.0,0.0
2024-01-09 07:15:00,0.239,0.0,0.0
2024-01-09 07:30:00,0.049,0.0,0.0
2024-01-09 07:45:00,0.049,0.0,0.0
2024-01-09 08:00:00,0.049,0.0,0.0
2024-01-09 08:15:00,0.049,0.0,0.0
2024-01-09 08:30:00,0.239,2.3333333333333335,0.0
2024-01-09 08:45:00,0.13766666666666666,0.0,0.0
2024-01-09 09:00:00,0.049,0.0,0.0
2024-01-09 09:15:00,0.049,0.0,0.0
2024-01-09 09:30:00,0.049,0.0,0.0
2024-01-09 09:45:00,0.15033333333333332,0.0,0.0
2024-01-09 10:00:00,0.22633333333333333,0.0,0.0
2024-01-09 10:15:00,0.049,0.0,0.0
2024-01-09 10:30:00,0.049,0.0,0.0
2024-01-09 10:45:00,0.049,0.3333333333333333,0.0
2024-01-09 11:00:00,0.06166666666666667,2.0,0.0
2024-01-09 11:15:00,0.239,0.0,0.0
2024-01-09 11:30:00,0.125,0.0,0.0
2024-01-09 11:45:00,0.049,0.0,0.0
2024-01-09 12:00:00,0.049,0.0,0.0
2024-01-09 12:15:00,0.049,0.0,0.0
2024-01-09 12:30:00,0.16299999999999998,0.0,0.0
2024-01-09 12:45:00,0.21366666666666667,0.0,0.0
2024-01-09 13:00:00,0.049,0.0,0.0
2024-01-09 13:15:00,0.049,0.0,0.0
2024-01-09 13:30:00,0.049,0.3333333333333333,0.0
2024-01-09 13:45:00,0.07433333333333333,2.3333333333333335,0.0
2024-01-09 14:00:00,0.239,0.0,0.0
2024-01-09 14:15:00,0.11233333333333334,0.0,0.0
2024-01-09 14:30:00,0.049,0.0,0.0
2024-01-09 14:45:00,0.049,0.0,0.0
2024-01-09 15:00:00,0.049,0.0,0.0
2024-01-09 15:15:00,0.17566666666666667,0.0,0.0
2024-01-09 15:30:00,0.20099999999999998,0.0,0.0
2024-01-09 15:45:00,0.049,0.0,0.0
2024-01-09 16:00:00,0.049,0.0,0.0
2024-01-09 16:15:00,0.049,2.3333333333333335,0.0
2024-01-09 16:30:00,0.087,0.0,0.0
2024-01-09 16:45:00,0.239,0.0,0.0
2024-01-09 17:00:00,0.09966666666666665,0.0,0.0
2024-01-09 17:15:00,0.049,0.0,0.0
2024-01-09 17:30:00,0.049,0.0,0.0
2024-01-09 17:45:00,0.049,0.0,0.0
2024-01-09 18:00:00,0.18833333333333332,0.0,0.0
2024-01-09 18:15:00,0.18833333333333332,0.0,0.0
2024-01-09 18:30:00,0.049,0.0,0.0
2024-01-09 18:45:00,0.049,2.3333333333333335,0.0
2024-01-09 19:00:00,0.049,0.0,0.0
2024-01-09 19:15:00,0.09966666666666667,0.0,0.0
2024-01-09 19:30:00,0.239,0.0,0.0
2024-01-09 19:45:00,0.087,0.0,0.0
2024-01-09 20:00:00,0.049,0.0,0.0
2024-01-09 20:15:00,0.049,0.0,0.0
2024-01-09 20:30:00,0.049,0.0,0.0
2024-01-09 20:45:00,0.20099999999999998,0.0,0.0
2024-01-09 21:00:00,0.17566666666666667,2.3333333333333335,0.0
2024-01-09 21:15:00,0.049,0.0,0.0
2024-01-09 21:30:00,0.049,0.0,0.0
2024-01-09 21:45:00,0.049,0.0,0.0
2024-01-09 22:00:00,0.11233333333333334,0.0,0.0
2024-01-09 22:15:00,0.239,0.0,0.0
2024-01-09 22:30:00,0.07433333333333333,0.0,0.0
2024-01-09 22:45:00,0.049,0.0,0.0
2024-01-09 23:00:00,0.049,0.0,0.0
2024-01-09 23:15:00,0.049,0.0,0.0
2024-01-09 23:30:00,0.21366666666666667,0.0,0.0
2024-01-09 23:45:00,0.16299999999999998,0.0,0.0
2024-01-10 00:00:00,0.049,0.0,0.0
2024-01-10 00:15:00,0.049,0.0,0.0
2024-01-10 00:30:00,0.049,0.0,0.0
2024-01-10 00:45:00,0.125,0.0,0.0
2024-01-10 01:00:00,0.239,0.0,0.0
2024-01-10 01:15:00,0.06166666666666667,0.0,0.0
2024-01-10 01:30:00,0.049,0.0,0.0
2024-01-10 01:45:00,0.049,0.0,0.0
2024-01-10 02:00:00,0.049,0.0,0.0
2024-01-10 02:15:00,0.22633333333333333,0.0,0.0
2024-01-10 02:30:00,0.15033333333333332,0.0,0.0
2024-01-10 02:45:00,0.049,0.0,0.0
2024-01-10 03:00:00,0.049,0.0,0.0
2024-01-10 03:15:00,0.049,0.0,0.0
2024-01-10 03:30:00,0.13766666666666666,0.0,0.0
2024-01-10 03:45:00,0.239,0.0,0.0
2024-01-10 04:00:00,0.049,0.3333333333333333,0.0
2024-01-10 04:15:00,0.049,4.0,0.0
2024-01-10 04:30:00,0.049,0.6666666666666666,0.0
2024-01-10 04:45:00,0.049,0.0,0.0
2024-01-10 05:00:00,0.239,0.0,0.0
2024-01-10 05:15:00,0.13766666666666666,0.0,0.0
2024-01-10 05:30:00,0.049,1.0,0.0
2024-01-10 05:45:00,0.049,0.0,0.0
2024-01-10 06:00:00,0.049,0.0,0.0
2024-01-10 06:15:00,0.15033333333333332,2.3333333333333335,0.0
2024-01-10 06:30:00,0.22633333333333333,0.0,0.0
2024-01-10 06:45:00,0.049,0.0,0.0
2024-01-10 07:00:00,0.049,0.0,0.0
2024-01-10 07:15:00,0.049,0.0,0.0
2024-01-10 07:30:00,0.06166666666666667,0.0,0.0
2024-01-10 07:45:00,0.239,0.0,0.0
2024-01-10 08:00:00,0.125,2.0,0.0
2024-01-10 08:15:00,0.049,0.3333333333333333,0.0
2024-01-10 08:30:00,0.049,0.0,0.0
2024-01-10 08:45:00,0.049,0.0,0.3
2024-01-10 09:00:00,0.16299999999999998,0.0,1.5
2024-01-10 09:15:00,0.21366666666666667,0.0,1.5
2024-01-10 09:30:00,0.056799999999999996,0.0,1.5
2024-01-10 09:45:00,0.06199999999999999,0.0,1.5
2024-01-10 10:00:00,0.5950666666666666,1.3333333333333333,1.5
2024-01-10 10:15:00,0.08733333333333333,1.0,1.5
2024-01-10 10:30:00,0.24593333333333334,0.0,1.5
2024-01-10 10:45:00,0.11233333333333334,0.0,1.5
2024-01-10 11:00:00,0.5820666666666666,0.0,1.5
2024-01-10 11:15:00,0.049,0.0,1.5
2024-01-10 11:30:00,0.049,0.0,0.1
2024-01-10 11:45:00,0.7811066666666666,0.0,0.5
2024-01-10 12:00:00,0.33669999999999994,1.0,1.5
2024-01-10 12:15:00,0.18469999999999998,1.3333333333333333,1.5
2024-01-10 12:30:00,0.2999666666666666,0.0,1.5
2024-01-10 12:45:00,0.3197,0.0,1.5
2024-01-10 13:00:00,0.3577,0.0,1.5
2024-01-10 13:15:00,0.5088333333333334,0.0,1.5
2024-01-10 13:30:00,0.35736666666666667,0.0,1.5
2024-01-10 13:45:00,0.29769999999999996,0.0,1.5
2024-01-10 14:00:00,0.30569999999999997,0.3333333333333333,1.4
2024-01-10 14:15:00,0.30569999999999997,2.0,0.0
2024-01-10 14:30:00,0.4450333333333333,0.0,0.0
2024-01-10 14:45:00,0.42889999999999995,0.0,0.0
2024-01-10 15:00:00,0.18469999999999998,0.0,0.0
2024-01-10 15:15:00,0.18469999999999998,0.0,0.0
2024-01-10 15:30:00,0.18469999999999998,0.0,0.0
2024-01-10 15:45:00,0.23536666666666664,0.0,0.0
2024-01-10 16:00:00,0.3747,0.0,0.0
2024-01-10 16:15:00,0.22269999999999998,2.3333333333333335,0.0
2024-01-10 16:30:00,0.18469999999999998,0.0,0.0
2024-01-10 16:45:00,0.1485133333333333,0.0,0.0
2024-01-10 17:00:00,0.049,0.0,0.0
2024-01-10 17:15:00,0.20099999999999998,0.0,0.0
2024-01-10 17:30:00,0.17566666666666667,0.0,0.0
2024-01-10 17:45:00,0.049,0.0,0.0
2024-01-10 18:00:00,0.049,0.0,0.0
2024-01-10 18:15:00,0.049,2.3333333333333335,0.0
2024-01-10 18:30:00,0.11233333333333334,0.0,0.0
2024-01-10 18:45:00,0.239,0.0,0.0
2024-01-10 19:00:00,0.07433333333333333,0.0,0.0
2024-01-10 19:15:00,0.049,0.0,0.0
2024-01-10 19:30:00,0.049,0.0,0.0
2024-01-10 19:45:00,0.049,0.0,0.0
2024-01-10 20:00:00,0.21366666666666667,0.0,0.0
2024-01-10 20:15:00,0.16299999999999998,2.3333333333333335,0.0
2024-01-10 20:30:00,0.049,0.0,0.0
2024-01-10 20:45:00,0.049,0.0,0.0
2024-01-10 21:00:00,0.049,0.0,0.0
2024-01-10 21:15:00,0.125,0.0,0.0
2024-01-10 21:30:00,0.239,0.0,0.0
2024-01-10 21:45:00,0.06166666666666667,0.0,0.0
2024-01-10 22:00:00,0.049,0.0,0.0
2024-01-10 22:15:00,0.049,0.0,0.0
2024-01-10 22:30:00,0.049,0.0,0.0
2024-01-10 22:45:00,0.22633333333333333,0.0,0.0
2024-01-10 23:00:00,0.15033333333333332,0.0,0.0
2024-01-10 23:15:00,0.049,0.0,0.0
2024-01-10 23:30:00,0.049,0.0,0.0
2024-01-10 23:45:00,0.049,0.0,0.0
2024-01-11 00:00:00,0.13766666666666666,0.0,0.0
2024-01-11 00:15:00,0.239,0.0,0.0
2024-01-11 00:30:00,0.049,0.0,0.0
2024-01-11 00:45:00,0.049,0.0,0.0
2024-01-11 01:00:00,0.13846666666666665,0.0,0.0
2024-01-11 01:15:00,0.171,0.0,0.0
2024-01-11 01:30:00,0.361,0.0,0.0
2024-01-11 01:45:00,0.25966666666666666,0.0,0.8
2024-01-11 02:00:00,0.20044871752938667,0.0,1.3
2024-01-11 02:15:00,0.12121886401958097,0.0,1.5
2024-01-11 02:30:00,0.08055219735291429,0.0,0.6
2024-01-11 02:45:00,0.18188553068624763,0.0,1.5
2024-01-11 03:00:00,0.2326437728039162,0.0,1.5
2024-01-11 03:15:00,0.049,0.0,1.4
2024-01-11 03:30:00,0.049,0.0,1.5
2024-01-11 03:45:00,0.049,0.0,0.7
2024-01-11 04:00:00,0.5947333333333334,1.0,0.0
2024-01-11 04:15:00,0.239,0.0,1.0
2024-01-11 04:30:00,0.5248,0.0,1.5
2024-01-11 04:45:00,0.049,0.0,1.5
2024-01-11 05:00:00,0.049,0.0,1.5
2024-01-11 05:15:00,0.049,0.0,0.1
2024-01-11 05:30:00,0.16299999999999998,3.0,0.3
2024-01-11 05:45:00,0.21366666666666667,0.0,1.1
2024-01-11 06:00:00,0.44880000000000003,0.0,1.5
2024-01-11 06:15:00,0.049,0.0,1.5
2024-01-11 06:30:00,0.049,2.0,1.3
2024-01-11 06:45:00,0.10606666666666668,4.333333333333333,1.2
2024-01-11 07:00:00,0.273,0.0,0.3
2024-01-11 07:15:00,0.12366666666666667,0.0,0.0
2024-01-11 07:30:00,0.44880000000000003,0.0,0.1
2024-01-11 07:45:00,0.049,0.0,1.5
2024-01-11 08:00:00,0.18226666666666666,0.0,1.5
2024-01-11 08:15:00,0.4422,0.0,1.5
2024-01-11 08:30:00,0.20099999999999998,2.3333333333333335,1.5
2024-01-11 08:45:00,0.049,0.0,1.5
2024-01-11 09:00:00,0.054200000000000005,0.0,1.5
2024-01-11 09:15:00,0.06199999999999999,0.0,1.5
2024-01-11 09:30:00,0.11262087894116571,0.0,1.5
2024-01-11 09:45:00,0.3160855306862476,0.0,1.5
2024-01-11 10:00:00,0.26621886401958095,0.0,1.5
2024-01-11 10:15:00,0.2025521973529143,0.0,1.5
2024-01-11 10:30:00,0.5224188640195809,2.3333333333333335,1.5
2024-01-11 10:45:00,2.580517399117638,0.0,1.2
2024-01-11 11:00:00,0.24526666666666666,0.0,0.6
2024-01-11 11:15:00,0.9905999999999999,0.0,1.5
2024-01-11 11:30:00,1.661333333333333,0.0,1.2
2024-01-11 11:45:00,0.06199999999999999,0.0,0.0
2024-01-11 12:00:00,0.06113333333333334,0.0,0.0
2024-01-11 12:15:00,0.10139999999999999,0.0,0.0
2024-01-11 12:30:00,0.6770417578823315,0.6666666666666666,0.4
2024-01-11 12:45:00,0.1315521973529143,1.6666666666666667,1.5
2024-01-11 13:00:00,0.36008553068624766,0.0,0.1
2024-01-11 13:15:00,0.2913521973529143,0.0,0.0
2024-01-11 13:30:00,0.20737509121566478,0.0,0.3
2024-01-11 13:45:00,0.322,0.0,1.5
2024-01-11 14:00:00,0.2966666666666667,0.0,1.5
2024-01-11 14:15:00,0.17,0.0,1.5
2024-01-11 14:30:00,0.08933333333333333,0.0,1.5
2024-01-11 14:45:00,0.08153333333333333,0.0,1.5
2024-01-11 15:00:00,0.2828666666666667,2.3333333333333335,1.5
2024-01-11 15:15:00,0.452,0.0,1.5
2024-01-11 15:30:00,0.2873333333333334,0.0,1.5
2024-01-11 15:45:00,0.262,0.0,1.5
2024-01-11 16:00:00,0.13440695964705526,0.0,0.6
2024-01-11 16:15:00,0.09941886401958097,0.0,0.0
2024-01-11 16:30:00,0.3802188640195809,0.0,0.0
2024-01-11 16:45:00,0.32955219735291424,0.0,0.4
2024-01-11 17:00:00,0.2155521973529143,2.3333333333333335,1.5
2024-01-11 17:15:00,0.2253750912156648,0.0,1.2
2024-01-11 17:30:00,0.1973701464901943,0.0,0.0
2024-01-11 17:45:00,0.29381886401958096,0.0,0.8
2024-01-11 18:00:00,0.5248188640195809,0.0,1.5
2024-01-11 18:15:00,0.3492188640195809,0.0,1.5
2024-01-11 18:30:00,0.6798855306862476,0.0,1.5
2024-01-11 18:45:00,0.35741119125105314,0.0,1.5
2024-01-11 19:00:00,0.08340084850992303,0.0,1.5
2024-01-11 19:15:00,0.2989272221962011,2.6666666666666665,1.5
2024-01-11 19:30:00,0.9943092730589211,0.0,1.5
2024-01-11 19:45:00,1.5318426063922546,0.0,0.5
2024-01-11 20:00:00,1.0809759397255878,0.0,0.0
2024-01-11 20:15:00,0.34364644277651835,0.0,0.6
2024-01-11 20:30:00,0.39812520727461637,0.0,1.5
2024-01-11 20:45:00,0.48470927305892103,0.0,1.5
2024-01-11 21:00:00,0.2547092730589211,0.0,0.0
2024-01-11 21:15:00,0.33537593972558777,0.0,1.5
2024-01-11 21:30:00,0.33537593972558777,0.0,0.1
2024-01-11 21:45:00,0.3083008577477165,0.0,0.0
2024-01-11 22:00:00,0.3519333333333333,0.0,0.0
2024-01-11 22:15:00,0.13766666666666666,0.0,0.0
2024-01-11 22:30:00,0.049,0.0,0.0
2024-01-11 22:45:00,0.049,0.0,0.0
2024-01-11 23:00:00,0.049,0.0,0.0
2024-01-11 23:15:00,0.15033333333333332,0.0,0.0
2024-01-11 23:30:00,0.22633333333333333,0.0,0.0
2024-01-11 23:45:00,0.049,0.0,0.0
2024-01-12 00:00:00,0.049,0.0,0.0
2024-01-12 00:15:00,0.049,0.0,0.0
2024-01-12 00:30:00,0.06166666666666667,0.0,0.0
2024-01-12 00:45:00,0.239,0.0,0.0
2024-01-12 01:00:00,0.125,0.0,0.0
2024-01-12 01:15:00,0.08126666666666667,0.0,0.0
2024-01-12 01:30:00,0.17,0.0,0.0
2024-01-12 01:45:00,0.23506666666666665,0.0,0.0
2024-01-12 02:00:00,0.40599999999999997,0.0,0.0
2024-01-12 02:15:00,0.45666666666666667,0.0,1.2
2024-01-12 02:30:00,0.26174916158178235,0.0,0.0
2024-01-12 02:45:00,0.18435707570600682,0.0,0.0
2024-01-12 03:00:00,0.5516237423726735,0.0,0.2
2024-01-12 03:15:00,0.7102237423726735,1.0,1.5
2024-01-12 03:30:00,0.29935707570600684,5.0,1.5
2024-01-12 03:45:00,0.11942757875693744,1.6666666666666667,1.5
2024-01-12 04:00:00,0.049,0.0,1.5
2024-01-12 04:15:00,0.049,0.0,1.5
2024-01-12 04:30:00,0.049,0.0,0.6
2024-01-12 04:45:00,0.17566666666666667,0.0,0.3
2024-01-12 05:00:00,0.20099999999999998,0.0,1.5
2024-01-12 05:15:00,0.049,0.0,1.5
2024-01-12 05:30:00,0.049,0.0,0.8
2024-01-12 05:45:00,0.049,2.6666666666666665,0.0
2024-01-12 06:00:00,0.087,0.0,0.7
2024-01-12 06:15:00,1.3051333333333333,0.0,1.5
2024-01-12 06:30:00,0.09966666666666665,0.0,1.5
2024-01-12 06:45:00,0.049,0.0,1.4
2024-01-12 07:00:00,0.049,0.0,1.5
2024-01-12 07:15:00,0.0594,0.0,1.5
2024-01-12 07:30:00,0.20133333333333334,0.0,1.5
2024-01-12 07:45:00,1.2829333333333333,2.3333333333333335,1.5
2024-01-12 08:00:00,1.31,0.0,1.5
2024-01-12 08:15:00,0.38613333333333333,0.0,1.0
2024-01-12 08:30:00,0.049,0.0,0.0
2024-01-12 08:45:00,0.09966666666666667,0.0,0.0
2024-01-12 09:00:00,0.239,0.0,0.0
2024-01-12 09:15:00,0.11953333333333334,0.0,0.4
2024-01-12 09:30:00,0.18226666666666666,0.0,1.5
2024-01-12 09:45:00,0.1910942454236041,2.3333333333333335,1.4
2024-01-12 10:00:00,0.1958237423726735,0.0,1.4
