,TumbleDryer,DishWasher,BaseLoad,P_HP
2024-01-10 17:15:00,0.001,0.0,0.22633333333333333,0.6
2024-01-10 17:30:00,0.001,0.0,0.125,0.4
2024-01-10 17:45:00,0.001,0.0,0.049,0.0
2024-01-10 18:00:00,0.001,0.0,0.049,0.6
2024-01-10 18:15:00,0.001,0.0,0.049,3.0
2024-01-10 18:30:00,0.001,0.0,0.049,1.0
2024-01-10 18:45:00,0.001,0.0,0.18833333333333332,0.0
2024-01-10 19:00:00,0.001,0.0,0.16299999999999998,0.0
2024-01-10 19:15:00,0.001,0.0,0.117,0.0
2024-01-10 19:30:00,0.001,0.0,0.24806666666666669,1.4
2024-01-10 19:45:00,0.001,0.0,0.3097294969490694,2.4
2024-01-10 20:00:00,0.001,0.0,0.3168237423726735,0.0
2024-01-10 20:15:00,0.001,0.0,0.4112237423726735,0.0
2024-01-10 20:30:00,0.001,0.0,0.3184237423726735,0.0
2024-01-10 20:45:00,0.001,0.0,0.0608237423726735,0.0
2024-01-10 21:00:00,0.001,0.0,0.0537294969490694,1.8
2024-01-10 21:15:00,0.001,0.0,0.049,2.2
2024-01-10 21:30:00,0.001,0.0,0.049,0.0
2024-01-10 21:45:00,0.001,0.0,0.21423774644058097,0.0
2024-01-10 22:00:00,0.001,0.0,0.9048904090393403,0.0
2024-01-10 22:15:00,0.001,0.0,0.2060237423726735,0.0
2024-01-10 22:30:00,0.001,0.0,0.3028237423726735,0.0
2024-01-10 22:45:00,0.001,0.0,0.3028237423726735,0.0
2024-01-10 23:00:00,0.001,0.0,0.3028237423726735,0.0
2024-01-10 23:15:00,0.001,0.0,0.7299764989830231,0.0
2024-01-10 23:30:00,0.001,0.0,0.36,0.0
2024-01-10 23:45:00,0.001,0.0,0.13540000000000002,0.0
2024-01-11 00:00:00,0.001,0.0,0.049,0.0
2024-01-11 00:15:00,0.001,0.0,0.049,0.0
2024-01-11 00:30:00,0.001,0.0,0.049,0.0
2024-01-11 00:45:00,0.001,0.0,0.049,0.0
2024-01-11 01:00:00,0.001,0.0,0.22633333333333333,0.0
2024-01-11 01:15:00,0.001,0.0,0.125,0.0
2024-01-11 01:30:00,0.001,0.0,0.049,0.0
2024-01-11 01:45:00,0.001,0.0,0.049,0.0
2024-01-11 02:00:00,0.001,0.0,0.049,0.0
2024-01-11 02:15:00,0.001,0.0,0.049,0.0
2024-01-11 02:30:00,0.001,0.0,0.18833333333333332,0.0
2024-01-11 02:45:00,0.001,0.0,0.16299999999999998,0.0
2024-01-11 03:00:00,0.001,0.0,0.049,0.0
2024-01-11 03:15:00,0.001,0.0,0.049,0.0
2024-01-11 03:30:00,0.001,0.0,0.049,0.0
2024-01-11 03:45:00,0.001,0.0,0.049,0.0
2024-01-11 04:00:00,0.001,0.0,0.15033333333333332,0.4
2024-01-11 04:15:00,0.001,0.0,0.20099999999999998,2.8
2024-01-11 04:30:00,0.001,0.0,0.049,0.4
2024-01-11 04:45:00,0.001,0.0,0.049,0.0
2024-01-11 05:00:00,0.001,0.0,0.049,0.0
2024-01-11 05:15:00,0.001,0.0,0.049,0.0
