,WasherDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-02 17:45:00,0.001,0.0,0.18633333333333332,0.0,0.0
2024-01-02 18:00:00,0.001,0.0,0.16533333333333333,0.0,0.0
2024-01-02 18:15:00,0.001,0.0,0.17099999999999999,0.0,0.0
2024-01-02 18:30:00,0.001,0.0,0.047,0.0,0.0
2024-01-02 18:45:00,0.001,0.0,0.1423333333333333,0.0,0.0
2024-01-02 19:00:00,0.001,0.0,0.263,0.0,0.0
2024-01-02 19:15:00,0.001,0.0,0.047,0.0,0.0
2024-01-02 19:30:00,0.001,0.0,0.078,0.0,0.0
2024-01-02 19:45:00,0.001,0.0,0.202,0.0,0.0
2024-01-02 20:00:00,0.001,0.0,0.078,0.0,0.0
2024-01-02 20:15:00,0.001,0.0,0.285,0.0,0.0
2024-01-02 20:30:00,0.001,0.0,0.12033333333333333,0.0,0.0
2024-01-02 20:45:00,0.21194260961537684,0.0,0.06313333333333333,0.0,1.2
2024-01-02 21:00:00,0.7920347860576631,0.0,0.20657710613724953,0.0,1.0666666666666667
2024-01-02 21:15:00,0.7920347860576631,0.0,0.4738267781438054,0.0,0.0
2024-01-02 21:30:00,0.7920347860576631,0.0,1.0977759397255877,0.0,0.0
2024-01-02 21:45:00,0.7920347860576631,0.0,0.45148260639225446,0.0,0.0
2024-01-02 22:00:00,0.7920347860576631,0.0,0.5764092730589212,0.0,0.0
2024-01-02 22:15:00,0.7920347860576631,0.0,0.4810759397255878,0.0,0.0
2024-01-02 22:30:00,0.7920347860576631,0.0,0.4268759397255878,0.0,0.0
2024-01-02 22:45:00,0.7920347860576631,0.0,0.6553426063922544,0.0,0.0
2024-01-02 23:00:00,0.7920347860576631,0.0,0.6101982356719053,0.0,0.0
2024-01-02 23:15:00,0.7920347860576631,0.0,0.44911190437252574,0.0,0.0
2024-01-02 23:30:00,0.7920347860576631,0.0,0.4452521973529143,0.0,0.0
2024-01-02 23:45:00,0.7920347860576631,0.0,0.3780680256013633,0.0,0.0
2024-01-03 00:00:00,0.7920347860576631,0.0,0.3147426063922545,0.0,0.0
2024-01-03 00:15:00,0.7920347860576631,0.0,0.7016411414903115,0.0,0.0
2024-01-03 00:30:00,0.6338278288461304,0.0,0.6037904090393401,0.0,0.0
2024-01-03 00:45:00,0.001,0.0,0.38485707570600686,0.0,0.0
2024-01-03 01:00:00,0.001,0.0,0.5158215828248449,0.0,0.0
2024-01-03 01:15:00,0.001,0.0,0.39636666666666664,0.0,0.0
2024-01-03 01:30:00,0.001,0.0,0.28756666666666664,0.0,0.0
2024-01-03 01:45:00,0.001,0.0,0.1827,0.0,0.0
2024-01-03 02:00:00,0.001,0.0,0.40896666666666665,0.0,0.0
2024-01-03 02:15:00,0.001,0.0,0.8331666666666667,0.0,0.0
2024-01-03 02:30:00,0.001,0.0,0.31603333333333333,0.0,0.0
2024-01-03 02:45:00,0.001,0.0,0.23403333333333334,7.0,0.0
2024-01-03 03:00:00,0.001,0.0,0.06509333333333334,7.0,0.0
2024-01-03 03:15:00,0.001,0.0,0.5800666666666666,0.0,0.0
2024-01-03 03:30:00,0.001,0.0,0.23,0.0,0.0
2024-01-03 03:45:00,0.001,0.0,1.1475333333333333,0.0,0.4
2024-01-03 04:00:00,0.001,0.0,0.15133333333333335,0.0,0.0
2024-01-03 04:15:00,0.001,0.0,0.6534,0.0,1.8666666666666667
2024-01-03 04:30:00,0.001,0.0,0.047,0.0,0.5333333333333333
2024-01-03 04:45:00,0.001,0.0,0.21166666666666664,0.0,0.0
2024-01-03 05:00:00,0.001,0.0,0.047,0.0,0.0
2024-01-03 05:15:00,0.001,0.0,0.171,0.0,0.0
2024-01-03 05:30:00,0.001,0.0,0.19133333333333333,0.0,0.0
2024-01-03 05:45:00,0.001,0.0,0.155,0.0,0.0
2024-01-03 06:00:00,0.001,0.0,0.19899999999999998,0.0,0.0
2024-01-03 06:15:00,0.001,0.0,0.047,0.0,0.0
2024-01-03 06:30:00,0.001,0.0,0.047,0.0,0.13333333333333333
2024-01-03 06:45:00,0.001,0.0,0.109,0.0,2.0
2024-01-03 07:00:00,0.001,0.0,0.27366666666666667,0.0,0.26666666666666666
2024-01-03 07:15:00,0.001,0.0,0.2966666666666667,0.0,0.0
2024-01-03 07:30:00,0.001,0.0,0.06733333333333333,0.0,0.0
2024-01-03 07:45:00,0.001,0.0,0.05999999999999999,0.0,0.0
2024-01-03 08:00:00,0.001,0.0,0.054799999999999995,0.0,0.0
2024-01-03 08:15:00,0.001,0.0,0.11033333333333334,0.0,0.0
2024-01-03 08:30:00,0.001,0.0,0.3106666666666667,0.0,0.0
2024-01-03 08:45:00,0.001,0.0,0.219,0.0,0.0
2024-01-03 09:00:00,0.001,0.0,0.07633333333333334,0.0,0.0
2024-01-03 09:15:00,0.001,0.0,0.047,0.0,0.0
2024-01-03 09:30:00,0.001,0.0,0.14039616361573606,0.0,0.0
2024-01-03 09:45:00,0.001,0.0,0.1348237423726735,2.8,0.0
2024-01-03 10:00:00,0.001,0.0,0.1622237423726735,7.0,0.0
2024-01-03 10:15:00,0.001,0.0,0.38795707570600685,7.0,0.26666666666666666
2024-01-03 10:30:00,0.001,0.0,0.24415707570600684,2.8,2.0
2024-01-03 10:45:00,0.001,0.0,0.30524724338965037,0.0,0.0
2024-01-03 11:00:00,0.001,0.0,0.7646069596470553,0.0,0.0
2024-01-03 11:15:00,0.001,0.0,0.1995521973529143,0.0,0.0
2024-01-03 11:30:00,0.001,0.0,0.19021886401958096,0.0,0.0
2024-01-03 11:45:00,0.001,0.0,0.3068855306862476,0.0,0.0
2024-01-03 12:00:00,0.001,0.0,0.32221886401958094,0.0,0.0
2024-01-03 12:15:00,0.001,0.0,0.10388553068624763,0.0,0.0
2024-01-03 12:30:00,0.001,0.0,0.5821701464901942,0.0,0.0
2024-01-03 12:45:00,0.001,0.0,0.047,0.0,0.0
2024-01-03 13:00:00,0.001,0.0,0.047,0.0,0.0
2024-01-03 13:15:00,0.001,0.0,0.38699999999999996,0.0,0.0
2024-01-03 13:30:00,0.001,0.0,0.2353333333333333,0.0,0.0
2024-01-03 13:45:00,0.001,0.0,0.047,0.0,0.0
2024-01-03 14:00:00,0.001,0.0,0.047,0.0,0.0
2024-01-03 14:15:00,0.001,0.0,0.0954,0.0,0.0
2024-01-03 14:30:00,0.001,0.0,0.33266666666666667,0.0,1.3333333333333333
2024-01-03 14:45:00,0.001,0.0,0.25933333333333336,0.0,0.13333333333333333
2024-01-03 15:00:00,0.001,0.0,0.433,0.0,0.0
2024-01-03 15:15:00,0.001,0.0,0.17533333333333337,0.0,0.0
2024-01-03 15:30:00,0.001,0.0,0.16106666666666666,0.0,0.0
2024-01-03 15:45:00,0.001,0.0,0.7194,0.0,0.0
2024-01-03 16:00:00,0.001,0.0,0.047,4.2,0.0
2024-01-03 16:15:00,0.001,0.0,0.09956666666666666,0.9333333333333333,0.0
2024-01-03 16:30:00,0.001,0.0,0.4477,0.0,0.6666666666666666
2024-01-03 16:45:00,0.001,0.0,0.3247,0.0,1.6
2024-01-03 17:00:00,0.001,0.0,0.30511391929411047,0.0,0.0
2024-01-03 17:15:00,0.001,0.0,0.2142521973529143,0.0,0.0
2024-01-03 17:30:00,0.001,0.0,0.2220521973529143,0.0,0.0
2024-01-03 17:45:00,0.001,0.0,0.2272521973529143,0.0,0.0
2024-01-03 18:00:00,0.001,0.0,0.49158553068624766,0.0,0.0
2024-01-03 18:15:00,0.001,0.0,0.4828382780588038,0.0,0.0
2024-01-03 18:30:00,0.001,0.0,0.7852333333333331,0.0,0.0
2024-01-03 18:45:00,0.001,0.0,0.3419417578823315,0.0,0.0
2024-01-03 19:00:00,0.001,0.0,0.35534644277651845,0.0,0.0
2024-01-03 19:15:00,0.001,0.0,0.4614092730589211,0.0,0.0
2024-01-03 19:30:00,0.001,0.0,0.5277426063922545,0.0,0.0
