,DishWasher,BaseLoad,P_EV,P_HP
2024-01-04 00:00:00,0.0,0.3426426063922545,0.0,0.0
2024-01-04 00:15:00,0.0,0.39937593972558777,0.0,0.0
2024-01-04 00:30:00,0.0,0.68123469226803,0.0,0.0
2024-01-04 00:45:00,0.0,0.2701521973529143,0.0,0.0
2024-01-04 01:00:00,0.0,0.1765173991176381,0.0,0.0
2024-01-04 01:15:00,0.0,0.166,0.0,0.0
2024-01-04 01:30:00,0.0,0.22933333333333333,0.0,0.0
2024-01-04 01:45:00,0.0,0.3479333333333333,0.0,0.0
2024-01-04 02:00:00,0.0,0.057666666666666665,0.0,0.0
2024-01-04 02:15:00,0.0,0.045,0.0,0.0
2024-01-04 02:30:00,0.0,0.045,0.0,0.0
2024-01-04 02:45:00,0.0,0.045,0.0,0.0
2024-01-04 03:00:00,0.0,0.17166666666666666,0.0,0.0
2024-01-04 03:15:00,0.0,0.5841333333333334,0.0,0.8
2024-01-04 03:30:00,0.0,0.045,0.0,0.0
2024-01-04 03:45:00,0.0,0.045,0.0,0.0
2024-01-04 04:00:00,0.0,0.045,0.0,0.0
2024-01-04 04:15:00,0.0,0.045,0.0,2.4
2024-01-04 04:30:00,0.0,0.235,0.0,1.0666666666666667
2024-01-04 04:45:00,0.0,0.121,5.133333333333334,0.0
2024-01-04 05:00:00,0.0,0.5780666666666667,0.0,0.0
2024-01-04 05:15:00,0.0,0.045,0.0,0.0
2024-01-04 05:30:00,0.0,0.045,0.0,0.0
2024-01-04 05:45:00,0.0,0.10833333333333334,0.0,0.0
2024-01-04 06:00:00,0.0,0.235,0.0,0.0
2024-01-04 06:15:00,0.0,0.057666666666666665,0.0,0.0
2024-01-04 06:30:00,0.0,0.045,0.0,0.0
2024-01-04 06:45:00,0.0,0.045,0.0,0.0
2024-01-04 07:00:00,0.0,0.045,0.0,0.0
2024-01-04 07:15:00,0.0,0.17166666666666666,0.0,0.0
2024-01-04 07:30:00,0.0,0.18433333333333332,0.0,0.0
2024-01-04 07:45:00,0.0,0.045,0.0,0.0
2024-01-04 08:00:00,0.0,0.045,0.0,0.0
2024-01-04 08:15:00,0.0,0.44480000000000003,0.0,0.0
2024-01-04 08:30:00,0.0,0.17826666666666666,0.0,0.0
2024-01-04 08:45:00,0.0,0.24626666666666666,0.0,0.0
2024-01-04 09:00:00,0.0,0.134,0.0,0.0
2024-01-04 09:15:00,0.0,0.058,0.0,0.0
2024-01-04 09:30:00,0.0,0.058,0.0,0.0
2024-01-04 09:45:00,0.0,0.4456666666666667,0.0,0.0
2024-01-04 10:00:00,0.0,0.10833333333333334,0.0,0.0
2024-01-04 10:15:00,0.0,0.235,0.0,2.933333333333333
2024-01-04 10:30:00,0.0,0.057666666666666665,0.0,0.0
2024-01-04 10:45:00,0.0,0.10146666666666666,0.0,0.0
2024-01-04 11:00:00,0.0,0.5873139100563171,0.0,0.0
2024-01-04 11:15:00,0.0,0.1908237423726735,9.533333333333333,0.0
2024-01-04 11:30:00,0.0,0.31749040903934017,0.7333333333333333,0.0
2024-01-04 11:45:00,0.0,0.39469040903934016,0.0,0.0
2024-01-04 12:00:00,0.0,0.18649040903934017,0.0,0.0
2024-01-04 12:15:00,0.0,0.17388249491511568,0.0,0.0
2024-01-04 12:30:00,0.0,0.5658,0.0,0.0
2024-01-04 12:45:00,0.0,0.166,0.0,0.0
2024-01-04 13:00:00,0.0,0.3318,0.0,0.0
