,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-03 18:15:00,0.7920347860576631,0.001,0.0,0.001,0.11953333333333332,0.0
2024-01-03 18:30:00,0.7920347860576631,0.001,0.0,0.001,0.055,0.0
2024-01-03 18:45:00,0.7920347860576631,0.001,0.0,0.001,0.099,0.0
2024-01-03 19:00:00,0.7920347860576631,0.001,0.0,0.001,0.15033333333333332,0.0
2024-01-03 19:15:00,0.7920347860576631,0.001,0.0,0.001,0.055,0.0
2024-01-03 19:30:00,0.7920347860576631,0.001,0.0,0.001,0.055,0.0
2024-01-03 19:45:00,0.6338278288461304,0.001,0.0,0.001,0.055,0.0
2024-01-03 20:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 20:15:00,0.001,0.001,0.0,0.001,0.09166666666666666,0.0
2024-01-03 20:30:00,0.001,0.001,0.0,0.001,0.15766666666666668,0.0
2024-01-03 20:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 21:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 21:15:00,0.001,0.001,0.0,0.001,0.055,3.6666666666666665
2024-01-03 21:30:00,0.001,0.001,0.0,0.001,0.055,5.866666666666666
2024-01-03 21:45:00,0.001,0.001,0.0,0.001,0.08433333333333334,0.0
2024-01-03 22:00:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-03 22:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 22:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 22:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 23:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 23:15:00,0.001,0.001,0.0,0.001,0.077,0.0
2024-01-03 23:30:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-03 23:45:00,0.001,0.001,0.0,0.001,0.06233333333333334,0.0
2024-01-04 00:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 00:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 00:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 00:45:00,0.001,0.001,0.0,0.001,0.06966666666666667,0.0
2024-01-04 01:00:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-04 01:15:00,0.001,0.001,0.0,0.001,0.06966666666666667,0.0
2024-01-04 01:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 01:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 02:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 02:15:00,0.001,0.001,0.0,0.001,0.06233333333333334,0.0
2024-01-04 02:30:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-04 02:45:00,0.001,0.001,0.0,0.001,0.077,0.0
2024-01-04 03:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 03:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 03:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 03:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 04:00:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-04 04:15:00,0.001,0.001,0.0,0.001,0.08433333333333334,0.0
2024-01-04 04:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 04:45:00,0.001,0.001,0.0,0.001,0.48880000000000007,0.0
2024-01-04 05:00:00,0.001,0.001,0.0,0.001,0.089,0.0
2024-01-04 05:15:00,0.001,0.001,0.0,0.001,0.6016666666666667,0.0
2024-01-04 05:30:00,0.001,0.001,0.0,0.001,0.15766666666666668,0.0
2024-01-04 05:45:00,0.001,0.001,0.0,0.001,0.09166666666666666,0.0
2024-01-04 06:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 06:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 06:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 06:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 07:00:00,0.001,0.001,0.0,0.001,0.15726666666666667,0.0
2024-01-04 07:15:00,0.001,0.001,0.0,0.001,0.6450666666666667,0.0
2024-01-04 07:30:00,0.001,0.001,0.0,0.001,0.068,0.0
2024-01-04 07:45:00,0.001,0.001,0.0,0.001,0.068,0.0
2024-01-04 08:00:00,0.001,0.001,0.0,0.001,0.060200000000000004,0.0
2024-01-04 08:15:00,0.001,0.001,0.0,0.001,0.4547999999999999,0.0
2024-01-04 08:30:00,0.001,0.001,0.0,0.001,0.27626666666666666,0.0
2024-01-04 08:45:00,0.001,0.001,0.0,0.001,0.10633333333333334,3.6666666666666665
2024-01-04 09:00:00,0.001,0.001,0.0,0.001,0.055,7.333333333333333
2024-01-04 09:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 09:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 09:45:00,0.001,0.001,0.0,0.001,0.1308,0.0
2024-01-04 10:00:00,0.001,0.001,0.0,0.001,0.26966666666666667,0.0
2024-01-04 10:15:00,0.001,0.001,0.0,0.001,0.24766666666666665,0.0
2024-01-04 10:30:00,0.001,0.001,0.0,0.001,0.7220666666666667,0.0
2024-01-04 10:45:00,0.001,0.001,0.0,0.001,0.1276,0.0
2024-01-04 11:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 11:15:00,0.001,0.001,0.0,0.001,0.4547999999999999,0.0
2024-01-04 11:30:00,0.001,0.001,0.0,0.001,0.12833333333333333,0.0
2024-01-04 11:45:00,0.001,0.001,0.0,0.001,1.7384666666666666,0.0
2024-01-04 12:00:00,0.001,0.001,0.0,0.001,1.2085333333333332,0.0
2024-01-04 12:15:00,0.001,0.001,0.0,0.001,0.0754,0.0
2024-01-04 12:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 12:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 13:00:00,0.001,0.001,0.0,0.001,0.121,0.0
2024-01-04 13:15:00,0.001,0.001,0.0,0.001,0.12833333333333333,0.0
2024-01-04 13:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 13:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 14:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 14:15:00,0.001,0.001,0.0,0.001,0.055,1.4666666666666666
2024-01-04 14:30:00,0.001,0.001,0.0,0.001,0.12233333333333334,2.2
2024-01-04 14:45:00,0.001,0.001,0.0,0.001,0.14866666666666667,0.0
2024-01-04 15:00:00,0.001,0.001,0.0,0.001,0.068,0.0
2024-01-04 15:15:00,0.001,0.001,0.0,0.001,0.068,0.0
2024-01-04 15:30:00,0.001,0.001,0.0,0.001,0.06453333333333335,0.0
2024-01-04 15:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 16:00:00,0.001,0.001,0.0,0.001,0.10633333333333334,0.0
2024-01-04 16:15:00,0.001,0.001,0.0,0.001,0.14386666666666667,0.0
2024-01-04 16:30:00,0.001,0.001,0.0,0.001,0.068,0.0
2024-01-04 16:45:00,0.001,0.001,0.0,0.001,0.068,0.0
2024-01-04 17:00:00,0.001,0.001,0.0,0.001,0.07272949694906941,0.0
2024-01-04 17:15:00,0.001,0.001,0.0,0.001,0.0798237423726735,0.0
2024-01-04 17:30:00,0.001,0.001,0.0,0.001,0.11775707570600685,0.0
2024-01-04 17:45:00,0.001,0.001,0.0,0.001,0.16215707570600685,0.0
2024-01-04 18:00:00,0.001,0.001,0.0,0.001,0.06682374237267351,0.0
2024-01-04 18:15:00,0.001,0.001,0.0,0.001,0.17328249491511566,0.0
2024-01-04 18:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 18:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-04 19:00:00,0.001,0.001,0.0,0.001,0.09166666666666666,0.0
2024-01-04 19:15:00,0.001,0.001,0.0,0.001,0.1616079141242245,0.0
2024-01-04 19:30:00,0.001,0.001,0.0,0.001,0.06682374237267351,0.0
2024-01-04 19:45:00,0.001,0.001,0.0,0.001,0.06682374237267351,0.0
2024-01-04 20:00:00,0.001,0.001,0.0,0.001,0.06682374237267351,0.0
2024-01-04 20:15:00,0.001,0.001,0.0,0.001,0.06682374237267351,0.0
2024-01-04 20:30:00,0.001,0.001,0.0,0.001,0.5038484576981032,0.0
2024-01-04 20:45:00,0.001,0.001,0.0008,0.001,0.27721886401958096,0.0
2024-01-04 21:00:00,0.001,0.001,1.2004666666666668,0.001,0.6073521973529143,0.0
2024-01-04 21:15:00,0.001,0.001,0.001,0.001,0.2075521973529143,0.0
2024-01-04 21:30:00,0.001,0.001,0.001,0.001,0.19282783858822095,0.0
2024-01-04 21:45:00,0.001,0.001,0.001,0.001,0.7090666666666666,0.0
2024-01-04 22:00:00,0.001,0.001,0.001,0.001,0.10926666666666666,0.0
2024-01-04 22:15:00,0.001,0.001,0.001,0.001,0.165,0.0
2024-01-04 22:30:00,0.001,0.001,0.001,0.001,0.48633333333333334,0.0
2024-01-04 22:45:00,0.001,0.001,0.30086666666666667,0.001,0.33193333333333336,0.0
2024-01-04 23:00:00,0.001,0.001,2.1000666666666667,0.001,0.21,0.0
2024-01-04 23:15:00,0.001,0.001,0.0006666666666666666,0.001,0.19866666666666666,0.0
2024-01-04 23:30:00,0.001,0.001,0.0,0.001,0.19066666666666665,0.0
2024-01-04 23:45:00,0.001,0.001,0.0,0.001,0.21666666666666667,0.0
2024-01-05 00:00:00,0.001,0.001,0.0,0.001,0.10366666666666666,0.0
2024-01-05 00:15:00,0.001,0.001,0.0,0.001,0.0754,0.0
2024-01-05 00:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 00:45:00,0.001,0.001,0.0,0.001,0.059333333333333335,0.0
2024-01-05 01:00:00,0.001,0.001,0.0,0.001,0.07533333333333334,0.0
2024-01-05 01:15:00,0.001,0.001,0.0,0.001,0.178,0.0
2024-01-05 01:30:00,0.001,0.001,0.0,0.001,0.09000000000000001,0.0
2024-01-05 01:45:00,0.001,0.001,0.0,0.001,0.0654,0.0
2024-01-05 02:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 02:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 02:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 02:45:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-05 03:00:00,0.001,0.001,0.0,0.001,0.08433333333333334,0.0
2024-01-05 03:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 03:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 03:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 04:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 04:15:00,0.001,0.001,0.0,0.001,0.15766666666666668,0.0
2024-01-05 04:30:00,0.001,0.001,0.0,0.001,0.09166666666666666,0.0
2024-01-05 04:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 05:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 05:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 05:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 05:45:00,0.001,0.001,0.0,0.001,0.15033333333333332,0.0
2024-01-05 06:00:00,0.001,0.001,0.0,0.001,0.099,0.0
2024-01-05 06:15:00,0.001,0.001,0.0,0.001,0.5880666666666666,0.0
2024-01-05 06:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 06:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 07:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 07:15:00,0.001,0.001,0.0,0.001,0.5428000000000001,2.2
2024-01-05 07:30:00,0.528356524038442,0.001,0.0,0.001,0.10633333333333334,11.0
2024-01-05 07:45:00,0.7920347860576631,0.001,0.0,0.001,0.055,2.2
2024-01-05 08:00:00,0.7920347860576631,0.001,0.0,0.001,0.055,0.0
2024-01-05 08:15:00,0.7920347860576631,0.001,0.0,0.001,0.055,0.0
2024-01-05 08:30:00,0.7920347860576631,0.001,0.0,0.001,1.1745333333333334,0.0
2024-01-05 08:45:00,0.7920347860576631,0.001,0.0,0.001,2.1081333333333334,0.0
2024-01-05 09:00:00,0.7920347860576631,0.001,0.0,0.001,0.6467333333333333,0.0
2024-01-05 09:15:00,0.7920347860576631,0.001,0.0,0.001,0.055,0.0
2024-01-05 09:30:00,0.7920347860576631,0.001,0.0,0.001,0.055,0.0
2024-01-05 09:45:00,0.7920347860576631,0.001,0.0,0.001,0.055,0.0
2024-01-05 10:00:00,0.7920347860576631,0.001,0.0,0.001,0.055,0.0
2024-01-05 10:15:00,0.7920347860576631,0.001,0.0,0.001,0.13613333333333333,0.0
2024-01-05 10:30:00,0.4228852192307536,0.001,0.0,0.001,0.13399999999999998,0.0
2024-01-05 10:45:00,0.001,0.001,0.0,0.001,0.12446666666666667,0.0
2024-01-05 11:00:00,0.001,0.001,0.0,0.001,0.189,0.0
2024-01-05 11:15:00,0.001,0.001,0.0,0.001,0.17859999999999998,0.0
2024-01-05 11:30:00,0.001,0.001,0.0,0.001,0.176,0.0
2024-01-05 11:45:00,0.001,0.001,0.0,0.001,0.242,0.0
2024-01-05 12:00:00,0.001,0.001,0.0,0.001,0.17673333333333333,0.0
2024-01-05 12:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 12:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 12:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 13:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 13:15:00,0.001,0.001,0.0,0.001,0.21046666666666664,0.0
2024-01-05 13:30:00,0.001,0.001,0.0,0.001,0.25666666666666665,0.0
2024-01-05 13:45:00,0.001,0.001,0.0,0.001,0.24223999999999998,0.0
2024-01-05 14:00:00,0.001,0.001,0.0,0.001,0.22016,0.0
2024-01-05 14:15:00,0.001,0.001,0.0,0.001,0.10339999999999999,0.0
2024-01-05 14:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 14:45:00,0.001,0.001,0.0,0.001,0.10633333333333334,0.0
2024-01-05 15:00:00,0.001,0.001,0.0,0.001,0.6760666666666667,0.0
2024-01-05 15:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 15:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 15:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 16:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-05 16:15:00,0.001,0.001,0.0,0.001,0.099,0.0
2024-01-05 16:30:00,0.001,0.001,0.0,0.001,0.15033333333333332,0.0
