,BaseLoad,P_EV,P_WB
2024-01-04 05:45:00,0.5770666666666667,0.9333333333333333,1.2
2024-01-04 06:00:00,0.044,1.8666666666666667,0.0
2024-01-04 06:15:00,0.044,0.0,0.0
2024-01-04 06:30:00,0.168,0.0,0.0
2024-01-04 06:45:00,0.3016666666666667,0.0,2.2
2024-01-04 07:00:00,0.14533333333333334,0.0,0.0
2024-01-04 07:15:00,0.044,0.0,0.0
2024-01-04 07:30:00,0.044,0.0,0.0
2024-01-04 07:45:00,0.044,0.0,0.0
2024-01-04 08:00:00,0.08533333333333333,0.0,0.0
2024-01-04 08:15:00,0.3383333333333333,0.0,0.0
2024-01-04 08:30:00,0.19133333333333333,0.0,0.0
2024-01-04 08:45:00,0.044,0.0,0.0
2024-01-04 09:00:00,0.044,0.0,0.0
2024-01-04 09:15:00,0.044,0.0,0.0
2024-01-04 09:30:00,0.044,0.0,0.0
2024-01-04 09:45:00,0.27166666666666667,2.3333333333333335,0.0
2024-01-04 10:00:00,0.29933333333333334,3.7333333333333334,0.0
2024-01-04 10:15:00,0.044,0.0,0.0
2024-01-04 10:30:00,0.044,0.0,0.0
2024-01-04 10:45:00,0.044,0.0,0.0
2024-01-04 11:00:00,0.044,0.0,0.0
2024-01-04 11:15:00,0.16366666666666668,0.0,0.0
2024-01-04 11:30:00,0.37633333333333335,0.0,0.0
2024-01-04 11:45:00,0.075,0.0,0.0
2024-01-04 12:00:00,0.044,0.0,0.0
2024-01-04 12:15:00,0.044,0.0,0.0
2024-01-04 12:30:00,0.044,0.0,0.0
2024-01-04 12:45:00,0.10733333333333334,0.0,0.0
2024-01-04 13:00:00,0.3373333333333334,0.0,0.0
2024-01-04 13:15:00,0.17033333333333334,0.0,0.0
2024-01-04 13:30:00,0.044,3.7333333333333334,0.0
2024-01-04 13:45:00,0.044,0.0,0.0
2024-01-04 14:00:00,0.044,0.0,0.0
2024-01-04 14:15:00,0.082,0.0,0.0
2024-01-04 14:30:00,0.2546666666666667,0.0,0.0
2024-01-04 14:45:00,0.23700000000000002,0.0,0.0
2024-01-04 15:00:00,0.08533333333333333,0.0,0.0
2024-01-04 15:15:00,0.044,0.0,0.0
2024-01-04 15:30:00,0.044,0.0,0.0
2024-01-04 15:45:00,0.056666666666666664,0.0,0.0
2024-01-04 16:00:00,0.234,0.0,0.0
2024-01-04 16:15:00,0.20033333333333336,0.0,0.0
2024-01-04 16:30:00,0.2211294969490694,0.0,0.0
2024-01-04 16:45:00,0.2736237423726735,0.9333333333333333,0.0
2024-01-04 17:00:00,0.2978237423726735,2.3333333333333335,0.0
2024-01-04 17:15:00,0.3056237423726735,0.0,0.6
2024-01-04 17:30:00,0.4881570757060068,0.0,2.4
2024-01-04 17:45:00,0.4074589938981388,0.0,0.0
2024-01-04 18:00:00,0.27348013267058807,0.0,2.4
2024-01-04 18:15:00,2.1195759397255878,0.0,0.0
2024-01-04 18:30:00,1.9342426063922542,0.0,0.0
2024-01-04 18:45:00,0.10037593972558781,0.0,0.0
