,TumbleDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-01-04 23:00:00,0.001,0.0,0.3333759397255877,0.0,1.5
2024-01-04 23:15:00,0.001,0.0,0.41604260639225443,0.0,1.5
2024-01-04 23:30:00,0.001,0.0,0.4895092730589211,0.0,1.5
2024-01-04 23:45:00,0.001,0.0,0.3952816943019837,0.0,1.5
2024-01-05 00:00:00,0.001,0.0,0.22588553068624764,0.0,1.5
2024-01-05 00:15:00,0.001,0.0,0.20055219735291427,0.0,1.5
2024-01-05 00:30:00,0.001,0.0,0.20843469226803,0.0,1.5
2024-01-05 00:45:00,0.001,0.0,0.3009849142942278,0.0,0.9
2024-01-05 01:00:00,0.001,0.0,0.4672953537648106,0.0,0.0
2024-01-05 01:15:00,0.001,0.0,0.7077092730589212,0.0,0.1
2024-01-05 01:30:00,0.001,0.0,0.0913759397255878,0.0,1.5
2024-01-05 01:45:00,0.001,0.0,0.08743469226802997,0.0,1.5
2024-01-05 02:00:00,0.001,0.0,0.0795521973529143,0.0,1.5
2024-01-05 02:15:00,0.001,0.0,0.19518406578430478,0.0,1.5
2024-01-05 02:30:00,0.001,0.0,0.3413333333333333,0.0,1.5
2024-01-05 02:45:00,0.001,0.0,0.13666666666666666,0.0,1.5
2024-01-05 03:00:00,0.001,0.0,0.07744871752938669,0.0,1.5
2024-01-05 03:15:00,0.001,0.0,0.0795521973529143,0.0,0.4
2024-01-05 03:30:00,0.001,0.0,0.09081886401958099,0.0,0.5
2024-01-05 03:45:00,0.001,0.0,0.313218864019581,0.0,1.5
2024-01-05 04:00:00,0.001,0.0,0.7481910254313601,0.0,0.6
2024-01-05 04:15:00,0.001,0.0,0.08633333333333333,0.0,0.0
2024-01-05 04:30:00,0.001,0.0,0.052333333333333336,0.0,0.0
2024-01-05 04:45:00,0.001,0.0,0.048,0.0,0.0
2024-01-05 05:00:00,0.001,0.0,0.10673333333333333,0.0,1.3
2024-01-05 05:15:00,0.001,0.0,0.4633333333333333,0.0,1.5
2024-01-05 05:30:00,0.001,0.0,0.7828,0.0,1.5
2024-01-05 05:45:00,0.001,0.0,0.30226666666666674,0.0,1.5
2024-01-05 06:00:00,0.001,0.0,0.169,0.0,1.5
2024-01-05 06:15:00,0.001,0.0,0.5365333333333333,0.0,0.6
2024-01-05 06:30:00,0.001,0.0,0.09166666666666666,0.0,0.0
2024-01-05 06:45:00,0.001,0.0,0.393,0.0,1.3
2024-01-05 07:00:00,0.001,0.0,0.178,0.0,1.3
2024-01-05 07:15:00,0.001,0.0,0.048,0.0,0.0
2024-01-05 07:30:00,0.001,0.0,0.048,0.0,1.4
2024-01-05 07:45:00,0.001,0.0,0.048,0.0,0.6
2024-01-05 08:00:00,0.001,0.0,0.1756666666666667,0.0,1.0
2024-01-05 08:15:00,0.001,0.0,0.3938666666666667,0.0,1.5
2024-01-05 08:30:00,0.001,0.0,0.107,0.0,1.4
2024-01-05 08:45:00,0.001,0.0,0.061000000000000006,0.0,0.0
2024-01-05 09:00:00,0.001,0.0,0.061000000000000006,0.0,0.0
2024-01-05 09:15:00,0.001,0.0,0.061000000000000006,0.0,0.0
2024-01-05 09:30:00,0.001,0.0,0.6724666666666667,0.0,0.0
2024-01-05 09:45:00,0.001,0.0,0.9010666666666667,0.0,0.0
2024-01-05 10:00:00,0.001,0.0,0.04886666666666666,0.0,0.2
2024-01-05 10:15:00,0.001,0.0,0.12406666666666667,0.0,1.5
2024-01-05 10:30:00,0.001,0.0,0.182,0.0,1.5
2024-01-05 10:45:00,0.001,0.0,0.19466666666666665,0.0,1.5
2024-01-05 11:00:00,0.001,0.0,0.465,0.0,1.5
2024-01-05 11:15:00,0.001,0.0,0.38193333333333335,0.0,0.0
2024-01-05 11:30:00,0.001,0.0,0.18113333333333334,0.0,1.3
2024-01-05 11:45:00,0.001,0.0,1.5841412474575578,0.0,1.5
2024-01-05 12:00:00,0.001,0.0,1.97489040903934,0.0,0.2
2024-01-05 12:15:00,0.001,0.0,0.8441570757060067,0.0,0.0
2024-01-05 12:30:00,0.001,0.0,0.4773570757060069,0.0,0.5
2024-01-05 12:45:00,0.001,0.0,0.1988237423726735,0.0,1.5
2024-01-05 13:00:00,0.001,0.0,0.0598237423726735,0.0,0.4
2024-01-05 13:15:00,0.001,0.0,0.08234810113736685,0.0,0.0
2024-01-05 13:30:00,0.001,0.0,0.6374426063922546,0.0,0.0
2024-01-05 13:45:00,0.001,0.0,0.24370927305892112,0.0,0.0
2024-01-05 14:00:00,0.001,0.0,0.3907092730589211,0.0,0.0
2024-01-05 14:15:00,0.001,0.0,0.17827029111643816,0.0,0.0
2024-01-05 14:30:00,0.001,0.0,0.048,0.0,0.4
