,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-02 14:00:00,0.001,0.001,0.0,0.001,0.0795521973529143,0.0,0.0
2024-01-02 14:15:00,0.001,0.001,0.0,0.001,0.0795521973529143,0.0,0.0
2024-01-02 14:30:00,0.001,0.001,0.0,0.001,0.17191538419605334,0.0,0.0
2024-01-02 14:45:00,0.001,0.001,0.0,0.001,0.359,0.0,0.0
2024-01-02 15:00:00,0.001,0.001,0.0,0.001,0.2742745807908912,0.0,2.6666666666666665
2024-01-02 15:15:00,0.001,0.001,0.0,0.001,0.22605707570600683,0.0,3.0
2024-01-02 15:30:00,0.001,0.001,0.0,0.001,0.3165237423726735,0.0,1.0
2024-01-02 15:45:00,0.001,0.001,0.0,0.001,0.2661724599020602,0.0,0.0
2024-01-02 16:00:00,0.001,0.001,0.0,0.001,0.2527426063922545,0.0,0.0
2024-01-02 16:15:00,0.001,0.001,0.0,0.001,0.42219344481047216,0.0,0.0
2024-01-02 16:30:00,0.001,0.001,0.0,0.001,0.44365219735291433,0.0,0.0
2024-01-02 16:45:00,0.001,0.001,0.0,0.001,0.3943347982352762,0.0,0.0
2024-01-02 17:00:00,0.001,0.001,0.0,0.001,0.4387,0.0,0.0
2024-01-02 17:15:00,0.001,0.001,0.0,0.001,0.4690333333333333,0.0,4.0
2024-01-02 17:30:00,0.001,0.001,0.0,0.001,0.5297000000000001,0.0,0.3333333333333333
2024-01-02 17:45:00,0.001,0.001,0.0,0.001,0.6508333333333333,0.0,0.0
2024-01-02 18:00:00,0.001,0.001,0.0,0.001,0.5880333333333333,0.0,2.3333333333333335
2024-01-02 18:15:00,0.001,0.001,0.0,0.001,0.4631,0.0,2.6666666666666665
2024-01-02 18:30:00,0.001,0.001,0.0,0.001,0.43948824949151155,0.0,1.6666666666666667
2024-01-02 18:45:00,0.001,0.001,0.0,0.001,0.36985707570600684,0.0,0.0
2024-01-02 19:00:00,0.001,0.001,0.0,0.001,0.4389446213138392,0.0,0.0
2024-01-02 19:15:00,0.001,0.001,0.0,0.001,0.6340759397255877,0.0,2.6666666666666665
2024-01-02 19:30:00,0.001,0.001,0.0,0.001,0.5700759397255877,0.0,0.0
2024-01-02 19:45:00,0.001,0.001,0.0,0.001,0.4521543569007429,0.0,0.0
2024-01-02 20:00:00,0.001,0.001,0.0,0.001,0.4690759397255878,0.0,2.0
2024-01-02 20:15:00,0.001,0.001,0.0,0.001,0.35965506078442205,0.0,0.0
2024-01-02 20:30:00,0.001,0.001,0.0,0.001,0.74859040903934,0.0,0.0
2024-01-02 20:45:00,0.001,0.001,0.0,0.001,0.5238570757060068,0.0,0.0
2024-01-02 21:00:00,0.001,0.001,0.0,0.001,0.5180995467098108,0.0,0.0
2024-01-02 21:15:00,0.001,0.001,0.0,0.001,0.5063855306862476,0.0,1.3333333333333333
2024-01-02 21:30:00,0.001,0.001,0.0,0.001,0.8578404468444258,0.0,1.0
2024-01-02 21:45:00,0.001,0.001,0.0,0.001,0.4690759397255878,0.0,0.0
2024-01-02 22:00:00,0.001,0.001,0.0,0.001,0.38840927305892115,0.0,0.0
2024-01-02 22:15:00,0.001,0.001,0.0,0.001,0.9803724599020602,0.0,0.0
2024-01-02 22:30:00,0.001,0.001,0.0,0.001,0.5300092730589211,0.0,0.0
2024-01-02 22:45:00,0.001,0.001,0.0,0.001,0.2595581932850068,0.0,0.0
2024-01-02 23:00:00,0.001,0.001,0.0,0.001,0.29591886401958095,0.0,0.0
2024-01-02 23:15:00,0.001,0.001,0.0,0.001,0.392718864019581,0.0,0.0
2024-01-02 23:30:00,0.001,0.001,0.0,0.001,0.4383208789411657,0.0,0.0
2024-01-02 23:45:00,0.001,0.001,0.0,0.001,0.5017,0.0,2.3333333333333335
2024-01-03 00:00:00,0.001,0.001,0.0,0.001,0.6157,0.0,0.0
2024-01-03 00:15:00,0.001,0.001,0.0,0.001,0.3922333333333333,0.0,0.0
2024-01-03 00:30:00,0.001,0.001,0.0,0.001,0.26436666666666664,0.0,0.0
2024-01-03 00:45:00,0.001,0.001,0.0,0.001,0.1837,0.0,0.0
2024-01-03 01:00:00,0.001,0.001,0.0,0.001,0.1837,0.0,0.0
2024-01-03 01:15:00,0.001,0.001,0.0,0.001,0.18913333333333332,0.0,0.0
2024-01-03 01:30:00,0.001,0.001,0.0,0.001,0.7710666666666667,0.0,0.0
2024-01-03 01:45:00,0.001,0.001,0.0,0.001,0.13666666666666666,0.0,0.0
2024-01-03 02:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 02:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 02:30:00,0.001,0.001,0.0,0.001,0.048,0.0,2.3333333333333335
2024-01-03 02:45:00,0.001,0.001,0.0,0.001,0.07333333333333333,0.0,0.0
2024-01-03 03:00:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0
2024-01-03 03:15:00,0.001,0.001,0.0,0.001,0.16199999999999998,0.0,0.0
2024-01-03 03:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 03:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 04:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 04:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 04:30:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0
2024-01-03 04:45:00,0.001,0.001,0.0,0.001,0.18733333333333332,0.0,0.0
2024-01-03 05:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 05:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 05:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 05:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 06:00:00,0.001,0.001,0.0,0.001,0.21266666666666667,0.0,0.0
2024-01-03 06:15:00,0.001,0.001,0.0,0.001,0.21266666666666667,0.0,0.0
2024-01-03 06:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 06:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 07:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 07:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 07:30:00,0.001,0.001,0.0,0.001,0.18733333333333332,0.0,0.0
2024-01-03 07:45:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0
2024-01-03 08:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 08:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 08:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 08:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-03 09:00:00,0.001,0.001,0.0,0.001,0.16199999999999998,0.0,0.0
2024-01-03 09:15:00,0.001,0.001,0.0,0.001,0.7771333333333333,0.0,0.0
2024-01-03 09:30:00,0.001,0.001,0.0,0.001,0.08633333333333333,0.0,4.0
2024-01-03 09:45:00,0.001,0.001,0.0,0.001,0.06546822829806233,0.0,5.0
2024-01-03 10:00:00,0.001,0.001,0.0,0.001,0.10437593972558781,0.0,5.0
2024-01-03 10:15:00,0.001,0.001,0.0,0.001,0.10437593972558781,0.0,5.0
2024-01-03 10:30:00,0.001,0.001,0.0,0.001,0.19304260639225446,0.0,5.0
2024-01-03 10:45:00,0.001,0.001,0.0,0.001,0.2943759397255878,0.0,5.0
2024-01-03 11:00:00,0.001,0.001,0.0,0.001,0.6849562750928749,0.0,5.0
2024-01-03 11:15:00,0.001,0.001,0.0,0.001,1.1423910254313598,0.0,5.0
