,DishWasher,BaseLoad,P_HP,P_WB
2024-01-03 23:45:00,0.0,0.2502904090393402,0.0,0.0
2024-01-04 00:00:00,0.0,0.2502904090393402,0.0,0.0
2024-01-04 00:15:00,0.0,0.3061570757060068,0.0,0.0
2024-01-04 00:30:00,0.0,0.7556634374366292,0.0,0.0
2024-01-04 00:45:00,0.0,0.37788553068624764,0.0,0.0
2024-01-04 01:00:00,0.0,0.20055219735291427,0.0,0.0
2024-01-04 01:15:00,0.0,0.1279521973529143,0.0,1.2
2024-01-04 01:30:00,0.0,0.0795521973529143,0.0,1.4
2024-01-04 01:45:00,0.0,0.07534523770585906,0.0,0.0
2024-01-04 02:00:00,0.0,0.2,0.0,2.8
2024-01-04 02:15:00,0.0,0.16199999999999998,0.0,3.0
2024-01-04 02:30:00,0.0,0.048,0.0,3.0
2024-01-04 02:45:00,0.0,0.048,0.0,3.0
2024-01-04 03:00:00,0.0,0.048,0.0,1.8
2024-01-04 03:15:00,0.0,0.07333333333333333,0.0,0.0
2024-01-04 03:30:00,0.0,0.238,0.0,0.0
2024-01-04 03:45:00,0.0,0.6317333333333334,0.0,0.0
2024-01-04 04:00:00,0.0,0.048,0.0,0.0
2024-01-04 04:15:00,0.0,0.048,1.3333333333333333,0.0
2024-01-04 04:30:00,0.0,0.5810666666666667,2.0,0.8
2024-01-04 04:45:00,0.0,0.13666666666666666,1.0666666666666667,2.4
2024-01-04 05:00:00,0.0,0.22533333333333333,0.0,0.0
2024-01-04 05:15:00,0.0,0.048,0.0,0.0
2024-01-04 05:30:00,0.0,0.048,0.0,0.0
2024-01-04 05:45:00,0.0,0.44780000000000003,0.0,0.0
2024-01-04 06:00:00,0.0,0.048,0.0,0.0
2024-01-04 06:15:00,0.0,0.6229382780588039,0.0,0.0
2024-01-04 06:30:00,0.0,0.19355219735291432,0.0,0.6
2024-01-04 06:45:00,0.0,0.0913759397255878,0.0,3.0
2024-01-04 07:00:00,0.0,0.15204260639225448,0.0,2.4
2024-01-04 07:15:00,0.0,0.1823759397255878,0.0,0.0
2024-01-04 07:30:00,0.0,0.18877795464717254,1.4666666666666666,0.0
2024-01-04 07:45:00,0.0,0.3157647484745347,0.9333333333333333,0.0
2024-01-04 08:00:00,0.0,0.11166666666666666,0.0,1.8
2024-01-04 08:15:00,0.0,0.17393333333333333,0.0,2.6
2024-01-04 08:30:00,0.0,0.182,0.0,0.0
2024-01-04 08:45:00,0.0,0.17853333333333332,0.0,0.0
2024-01-04 09:00:00,0.0,0.27066666666666667,0.0,0.6
2024-01-04 09:15:00,0.0,0.3432,0.0,3.0
2024-01-04 09:30:00,0.0,0.7273333333333334,0.0,3.0
2024-01-04 09:45:00,0.0,0.056666666666666664,0.0,3.0
2024-01-04 10:00:00,0.0,0.048,0.0,3.0
2024-01-04 10:15:00,0.0,0.048,0.0,2.8
2024-01-04 10:30:00,0.0,0.2,0.6666666666666666,0.0
2024-01-04 10:45:00,0.0,0.16199999999999998,0.0,0.0
2024-01-04 11:00:00,0.0,0.048,0.0,0.0
2024-01-04 11:15:00,0.0,0.048,0.26666666666666666,0.0
2024-01-04 11:30:00,0.0,0.44780000000000003,2.0,2.2
2024-01-04 11:45:00,0.0,0.07333333333333333,0.13333333333333333,1.2
2024-01-04 12:00:00,0.0,0.238,0.0,3.0
2024-01-04 12:15:00,0.0,0.09866666666666667,0.0,0.0
2024-01-04 12:30:00,0.0,0.048,0.0,0.0
2024-01-04 12:45:00,0.0,0.048,0.0,0.0
2024-01-04 13:00:00,0.0,0.05824724338965037,0.0,0.0
2024-01-04 13:15:00,0.0,0.5482904090393402,0.0,0.0
2024-01-04 13:30:00,0.0,0.23715707570600683,0.0,0.0
2024-01-04 13:45:00,0.0,0.0598237423726735,0.0,2.4
2024-01-04 14:00:00,0.0,0.05588249491511567,0.0,1.0
2024-01-04 14:15:00,0.0,0.5810666666666667,0.4,0.0
2024-01-04 14:30:00,0.0,0.048,1.8666666666666667,0.0
2024-01-04 14:45:00,0.0,0.7330666666666666,0.0,2.6
2024-01-04 15:00:00,0.0,0.16199999999999998,0.0,3.0
2024-01-04 15:15:00,0.0,0.048,0.0,1.4
2024-01-04 15:30:00,0.0,0.06272435876469334,0.0,0.0
2024-01-04 15:45:00,0.0,0.0795521973529143,0.0,0.0
2024-01-04 16:00:00,0.0,0.10488553068624765,0.0,0.0
2024-01-04 16:15:00,0.0,0.2695521973529143,0.0,0.4
2024-01-04 16:30:00,0.0,0.13021886401958097,0.0,3.0
2024-01-04 16:45:00,0.0,0.5831701464901944,0.0,1.4
2024-01-04 17:00:00,0.0,0.048,0.26666666666666666,0.6
2024-01-04 17:15:00,0.0,0.048,2.0,3.0
2024-01-04 17:30:00,0.0,0.13666666666666666,0.13333333333333333,1.8
2024-01-04 17:45:00,0.0,0.29813333333333336,0.0,0.0
2024-01-04 18:00:00,0.0,0.13899999999999998,0.0,0.0
2024-01-04 18:15:00,0.0,0.26,0.0,0.0
2024-01-04 18:30:00,0.0,0.25593333333333335,0.0,2.6
2024-01-04 18:45:00,0.0,0.4131244131072476,0.0,3.0
2024-01-04 19:00:00,0.0,0.5895237423726735,0.0,2.6
2024-01-04 19:15:00,0.0,0.5515237423726734,0.0,0.0
2024-01-04 19:30:00,0.0,0.42139040903934016,0.0,0.0
2024-01-04 19:45:00,0.0,0.7889237423726735,0.0,0.0
2024-01-04 20:00:00,0.0,0.5977814344707002,1.0666666666666667,0.0
2024-01-04 20:15:00,0.0,0.5448286963359374,1.3333333333333333,0.0
2024-01-04 20:30:00,0.0,0.6472521973529143,0.0,0.0
2024-01-04 20:45:00,0.0,0.42961694582744897,0.0,0.0
2024-01-04 21:00:00,0.0,0.3480759397255878,0.0,0.0
2024-01-04 21:15:00,0.0,0.3964759397255878,0.0,1.8
2024-01-04 21:30:00,0.0,0.4690759397255878,0.0,3.0
2024-01-04 21:45:00,0.0,0.5142640353530621,0.0,1.0
2024-01-04 22:00:00,0.0,0.5198915266183401,0.0,0.0
