,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-04 01:45:00,0.0,0.001,0.6668,0.0
2024-01-04 02:00:00,0.0,0.001,0.32899999999999996,0.0
2024-01-04 02:15:00,0.0,0.001,0.2936666666666667,0.0
2024-01-04 02:30:00,0.0,0.001,0.11379999999999998,0.0
2024-01-04 02:45:00,0.0,0.001,0.056,0.0
2024-01-04 03:00:00,0.0,0.001,0.6017333333333333,0.0
2024-01-04 03:15:00,0.0,0.001,0.228,0.0
2024-01-04 03:30:00,0.0,0.001,0.166,0.0
2024-01-04 03:45:00,0.0,0.001,0.078,0.0
2024-01-04 04:00:00,0.0,0.001,0.056,0.0
2024-01-04 04:15:00,0.0,0.001,0.056,0.0
2024-01-04 04:30:00,0.0,0.001,0.19533333333333333,0.0
2024-01-04 04:45:00,0.0,0.001,0.182,0.0
2024-01-04 05:00:00,0.0,0.001,0.10733333333333334,0.0
2024-01-04 05:15:00,0.0,0.001,0.056,0.0
2024-01-04 05:30:00,0.0,0.001,0.056,0.0
2024-01-04 05:45:00,0.0,0.001,0.132,0.0
2024-01-04 06:00:00,0.0,0.001,0.34926666666666667,0.0
2024-01-04 06:15:00,0.0,0.001,0.5364666666666668,0.0
2024-01-04 06:30:00,0.0,0.001,0.056,0.0
2024-01-04 06:45:00,0.0,0.001,0.056,0.0
2024-01-04 07:00:00,0.0,0.001,0.08080000000000001,0.0
2024-01-04 07:15:00,0.0,0.001,0.263,0.0
2024-01-04 07:30:00,0.0,0.001,0.179,0.0
2024-01-04 07:45:00,0.0,0.001,0.069,0.0
2024-01-04 08:00:00,0.0,0.001,0.06206666666666667,0.0
2024-01-04 08:15:00,0.0,0.001,0.056,0.0
2024-01-04 08:30:00,0.0,0.001,0.19533333333333333,0.0
2024-01-04 08:45:00,0.0,0.001,0.20400000000000001,0.0
2024-01-04 09:00:00,0.0,0.001,0.08533333333333333,0.0
2024-01-04 09:15:00,0.0,0.001,0.056,0.0
2024-01-04 09:30:00,0.0,0.001,0.056,0.0
2024-01-04 09:45:00,0.0,0.001,0.132,0.0
2024-01-04 10:00:00,0.0,0.001,0.6378,0.0
2024-01-04 10:15:00,0.0,0.001,0.11466666666666667,0.0
2024-01-04 10:30:00,0.0,0.001,0.056,0.0
2024-01-04 10:45:00,0.0,0.001,0.45580000000000004,0.0
2024-01-04 11:00:00,0.0,0.001,0.06866666666666667,0.0
2024-01-04 11:15:00,0.0,0.001,0.272,0.0
2024-01-04 11:30:00,0.0,0.001,0.14400000000000002,0.0
2024-01-04 11:45:00,0.0,0.001,0.056,0.0
2024-01-04 12:00:00,0.0,0.001,0.056,0.0
2024-01-04 12:15:00,0.0,0.001,0.056,0.0
2024-01-04 12:30:00,0.0,0.001,0.21733333333333332,0.0
2024-01-04 12:45:00,0.0,0.001,0.20400000000000001,0.0
2024-01-04 13:00:00,0.0,0.001,0.06333333333333334,0.0
2024-01-04 13:15:00,0.0,0.001,0.056,0.0
2024-01-04 13:30:00,0.0,0.001,0.056,0.0
2024-01-04 13:45:00,0.0,0.001,0.132,0.0
2024-01-04 14:00:00,0.0,0.001,0.26,0.0
2024-01-04 14:15:00,0.0,0.001,0.09266666666666667,0.0
2024-01-04 14:30:00,0.0,0.001,0.056788249491511573,0.0
2024-01-04 14:45:00,0.0,0.001,0.06782374237267351,0.0
2024-01-04 15:00:00,0.0,0.001,0.08049040903934017,0.0
2024-01-04 15:15:00,0.0,0.001,0.37035707570600684,0.0
2024-01-04 15:30:00,0.0,0.001,0.2548237423726735,0.0
2024-01-04 15:45:00,0.0,0.001,0.18567074440662726,0.0
2024-01-04 16:00:00,0.0,0.001,0.177,0.0
2024-01-04 16:15:00,0.0,0.001,0.16086666666666666,0.0
2024-01-04 16:30:00,0.0,0.001,0.23933333333333331,5.0
2024-01-04 16:45:00,0.0,0.001,0.19799999999999998,15.0
2024-01-04 17:00:00,0.0,0.001,2.308066666666667,15.0
2024-01-04 17:15:00,0.0,0.001,0.22893333333333335,15.0
2024-01-04 17:30:00,0.0,0.001,0.06978824949151158,15.0
2024-01-04 17:45:00,0.0,0.001,0.16282374237267352,7.0
2024-01-04 18:00:00,0.0,0.001,0.27915707570600684,0.0
2024-01-04 18:15:00,0.0,0.001,0.08249040903934017,0.0
2024-01-04 18:30:00,0.0,0.001,0.16542374237267352,0.0
2024-01-04 18:45:00,0.0,0.001,0.18982374237267352,0.0
