,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-08-03 17:24:00,1.0,0,0,0,0.0,0.0,20.0,24.59019442109259,24.347249580407606,28.815,0.36222655735187775,0.0,0.07431780463042281,60.0,59.15890231521141,0.0
2024-08-03 17:25:00,1.0,0,0,0,0.0,0.0,20.0,24.591369617233198,24.349024929026022,28.815,0.36222655735187775,0.0,0.07452215468231525,60.0,59.26107734115762,0.0
2024-08-03 17:26:00,1.0,0,0,0,0.0,0.0,20.0,24.59254536139958,24.350799050975212,28.815,0.36222655735187775,0.0,0.07472647544370813,60.0,59.36323772185406,0.0
2024-08-03 17:27:00,1.0,0,0,0,0.0,0.0,20.0,24.593721651781227,24.352571948510246,28.815,0.36222655735187775,0.0,0.07493076691879981,60.0,59.4653834593999,0.0
2024-08-03 17:28:00,1.0,0,0,0,0.0,0.0,20.0,24.594898486571804,24.354343623881224,28.815,0.36222655735187775,1.92556,0.07513502911178803,60.0,59.567514555894014,1.0
2024-08-03 17:29:00,1.0,0,0,0,0.0,0.0,20.0,24.596075863969137,24.35611407933328,28.815,0.36222655735187775,0.0,0.07506326202686996,60.0,59.531631013434975,0.0
2024-08-03 17:30:00,1.0,0,0,0,0.0,0.0,20.0,24.597253782175212,24.357883317106594,28.815,0.36222655735187775,0.0,0.07526750522868167,60.0,59.633752614340835,0.0
2024-08-03 17:31:00,1.0,0,0,0,0.0,0.0,20.0,24.598432239396157,24.3596513394364,28.815,0.36222655735187775,0.0,0.07547171915530919,60.0,59.735859577654594,0.0
2024-08-03 17:32:00,1.0,0,0,0,0.0,0.0,20.0,24.599611233842236,24.361418148553003,28.815,0.36222655735187775,0.0,0.07567590381094866,60.0,59.83795190547433,0.0
2024-08-03 17:33:00,1.0,0,0,0,0.0,0.0,20.0,24.600790763727844,24.36318374668178,28.815,0.36222655735187775,0.0,0.07588005919979562,60.0,59.94002959989781,0.0
2024-08-03 17:34:00,1.0,0,0,0,0.0,0.0,20.0,24.60197082727149,24.364948136043207,28.815,0.36222655735187775,0.0,0.07608418532604506,60.0,60.04209266302253,0.0
2024-08-03 17:35:00,1.0,0,0,0,0.0,0.0,20.0,24.60315142269579,24.366711318852854,28.815,0.36222655735187775,0.0,0.0762882821938913,60.0,60.14414109694565,0.0
2024-08-03 17:36:00,1.0,0,0,0,0.0,0.0,20.0,24.604332548227468,24.368473297321408,28.815,0.36222655735187775,0.0,0.07649234980752811,60.0,60.24617490376406,0.0
2024-08-03 17:37:00,1.0,0,0,0,0.0,0.0,20.0,24.605514202097325,24.370234073654675,28.815,0.36222655735187775,0.0,0.07669638817114863,60.0,60.34819408557431,0.0
2024-08-03 17:38:00,1.0,0,0,0,0.0,0.0,20.0,24.606696382540253,24.371993650053597,28.815,0.36222655735187775,0.0,0.0769003972889454,60.0,60.4501986444727,0.0
2024-08-03 17:39:00,1.0,0,0,0,0.0,0.0,20.0,24.607879087795215,24.373752028714257,28.815,0.36222655735187775,0.0,0.0771043771651104,60.0,60.552188582555196,0.0
2024-08-03 17:40:00,1.0,0,0,0,0.0,0.0,20.0,24.60906231610523,24.3755092118279,28.815,0.36222655735187775,0.0,0.07730832780383493,60.0,60.654163901917464,0.0
2024-08-03 17:41:00,1.0,0,0,0,0.0,0.0,20.0,24.610246065717376,24.37726520158093,28.815,0.36222655735187775,0.0,0.07751224920930977,60.0,60.756124604654886,0.0
2024-08-03 17:42:00,1.0,0,0,0,0.0,0.0,20.0,24.611430334882773,24.379020000154934,28.815,0.36222655735187775,0.0,0.07771614138572507,60.0,60.85807069286253,0.0
2024-08-03 17:43:00,1.0,0,0,0,0.0,0.0,20.0,24.612615121856575,24.38077360972669,28.815,0.36222655735187775,0.0,0.07792000433727035,60.0,60.96000216863518,0.0
2024-08-03 17:44:00,1.0,0,0,0,0.0,0.0,20.0,24.613800424897963,24.382526032468164,28.815,0.36222655735187775,0.0,0.07812383806813458,60.0,61.06191903406729,0.0
2024-08-03 17:45:00,1.0,0,0,0,0.0,0.0,20.0,24.614986242270135,24.38427727054654,28.815,0.36222655735187775,0.0,0.07811264019359065,60.0,61.056320096795325,0.0
2024-08-03 17:46:00,1.0,0,0,0,0.0,0.0,20.0,24.6161725722403,24.386027326124225,28.815,0.36222655735187775,0.0,0.07810144392409325,60.0,61.05072196204662,0.0
2024-08-03 17:47:00,1.0,0,0,0,0.0,0.0,20.0,24.617359413079658,24.387776201358847,28.815,0.36222655735187775,0.0,0.07809024925941231,60.0,61.04512462970615,0.0
2024-08-03 17:48:00,1.0,0,0,0,0.0,0.0,20.0,24.618546763063407,24.389523898403283,28.815,0.36222655735187775,0.0,0.07807905619931779,60.0,61.039528099658895,0.0
2024-08-03 17:49:00,1.0,0,0,0,0.0,0.0,20.0,24.619734620470723,24.391270419405664,28.815,0.36222655735187775,0.0,0.07806786474357973,60.0,61.03393237178986,0.0
2024-08-03 17:50:00,1.0,0,0,0,0.0,0.0,20.0,24.62092298358475,24.39301576650938,28.815,0.36222655735187775,0.0,0.07805667489196812,60.0,61.02833744598406,0.0
2024-08-03 17:51:00,1.0,0,0,0,0.0,0.0,20.0,24.622111850692605,24.394759941853096,28.815,0.36222655735187775,0.0,0.07804548664425308,60.0,61.02274332212654,0.0
2024-08-03 17:52:00,1.0,0,0,0,0.0,0.0,20.0,24.623301220085345,24.396502947570763,28.815,0.36222655735187775,0.0,0.07803430000020468,60.0,61.01715000010234,0.0
2024-08-03 17:53:00,1.0,0,0,0,0.0,0.0,20.0,24.624491090057983,24.398244785791626,28.815,0.36222655735187775,0.0,0.07802311495959309,60.0,61.011557479796544,0.0
2024-08-03 17:54:00,1.0,0,0,0,0.0,0.0,20.0,24.62568145890946,24.399985458640234,28.815,0.36222655735187775,0.0,0.07801193152218847,60.0,61.00596576109423,0.0
2024-08-03 17:55:00,1.0,0,0,0,0.0,0.0,20.0,24.626872324942656,24.401724968236454,28.815,0.36222655735187775,0.0,0.07800074968776102,60.0,61.00037484388051,0.0
2024-08-03 17:56:00,1.0,0,0,0,0.0,0.0,20.0,24.62806368646436,24.403463316695483,28.815,0.36222655735187775,0.0,0.07798956945608097,60.0,60.994784728040486,0.0
2024-08-03 17:57:00,1.0,0,0,0,0.0,0.0,20.0,24.62925554178527,24.405200506127848,28.815,0.36222655735187775,0.0,0.07797839082691861,60.0,60.989195413459306,0.0
2024-08-03 17:58:00,1.0,0,0,0,0.0,0.0,20.0,24.63044788921999,24.406936538639428,28.815,0.36222655735187775,0.0,0.07796721380004423,60.0,60.98360690002212,0.0
2024-08-03 17:59:00,1.0,0,0,0,0.0,0.0,20.0,24.631640727087014,24.408671416331458,28.815,0.36222655735187775,0.0,0.07795603837522817,60.0,60.97801918761409,0.0
2024-08-03 18:00:00,1.0,0,0,0,0.0,0.0,20.0,24.63283405370872,24.410405141300544,27.99,0.36222655735187775,0.0,0.0779448645522408,60.0,60.9724322761204,0.0
2024-08-03 18:01:00,1.0,0,0,0,0.0,0.0,20.0,24.6328959203405,24.411856313567746,27.99,0.36222655735187775,0.0,0.07793369233085252,60.0,60.96684616542626,0.0
2024-08-03 18:02:00,1.0,0,0,0,0.0,0.0,20.0,24.63295918113789,24.413305553030153,27.99,0.36222655735187775,0.0,0.07792252171083376,60.0,60.96126085541688,0.0
2024-08-03 18:03:00,1.0,0,0,0,0.0,0.0,20.0,24.633023832689457,24.41475286379018,27.99,0.36222655735187775,0.0,0.07791135269195501,60.0,60.9556763459775,0.0
