,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-07-29 02:29:00,2.0,0,0,0,0.0,0.0,15.0,15.419617123990982,15.978813169811907,16.29,0.36655901510803535
2024-07-29 02:30:00,2.0,0,0,0,0.0,0.0,15.0,15.421412080046206,15.97732794890793,16.29,0.36655901510803535
2024-07-29 02:31:00,2.0,0,0,0,0.0,0.0,15.0,15.423196658643208,15.97585483873797,16.29,0.36655901510803535
2024-07-29 02:32:00,2.0,0,0,0,0.0,0.0,15.0,15.424970930839354,15.974393754293786,16.29,0.36655901510803535
2024-07-29 02:33:00,2.0,0,0,0,0.0,0.0,15.0,15.426734967198925,15.972944611158072,16.29,0.36655901510803535
2024-07-29 02:34:00,2.0,0,0,0,0.0,0.0,15.0,15.42848883779654,15.971507325500353,16.29,0.36655901510803535
2024-07-29 02:35:00,2.0,0,0,0,0.0,0.0,15.0,15.430232612220555,15.970081814072906,16.29,0.36655901510803535
2024-07-29 02:36:00,2.0,0,0,0,0.0,0.0,15.0,15.43196635957645,15.96866799420671,16.29,0.36655901510803535
2024-07-29 02:37:00,2.0,0,0,0,0.0,0.0,15.0,15.433690148490168,15.967265783807433,16.29,0.36655901510803535
2024-07-29 02:38:00,2.0,0,0,0,0.0,0.0,15.0,15.435404047111462,15.965875101351433,16.29,0.36655901510803535
2024-07-29 02:39:00,2.0,0,0,0,0.0,0.0,15.0,15.437108123117186,15.964495865881796,16.29,0.36655901510803535
2024-07-29 02:40:00,2.0,0,0,0,0.0,0.0,15.0,15.438802443714597,15.963127997004399,16.29,0.36655901510803535
2024-07-29 02:41:00,2.0,0,0,0,0.0,0.0,15.0,15.4404870756446,15.961771414884,16.29,0.36655901510803535
2024-07-29 02:42:00,2.0,0,0,0,0.0,0.0,15.0,15.442162085185002,15.960426040240357,16.29,0.36655901510803535
2024-07-29 02:43:00,2.0,0,0,0,0.0,0.0,15.0,15.443827538153716,15.959091794344369,16.29,0.36655901510803535
2024-07-29 02:44:00,2.0,0,0,0,0.0,0.0,15.0,15.445483499911965,15.957768599014255,16.29,0.36655901510803535
