,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-08-01 19:03:00,1.0,20.0,22.726259456747382,22.148374043150596,27.29833,0.3258480176488709
2024-08-01 19:04:00,1.0,20.0,22.725799560711643,22.150842831001242,27.29833,0.3258480176488709
2024-08-01 19:05:00,1.0,20.0,22.725342947414994,22.153307410145437,27.29833,0.3258480176488709
2024-08-01 19:06:00,1.0,20.0,22.724889608380522,22.15576779060878,27.29833,0.3258480176488709
2024-08-01 19:07:00,1.0,20.0,22.72443953515227,22.158223982392247,27.29833,0.3258480176488709
2024-08-01 19:08:00,1.0,20.0,22.72399271929518,22.16067599547223,27.29833,0.3258480176488709
2024-08-01 19:09:00,1.0,20.0,22.723549152395034,22.163123839800615,27.29833,0.3258480176488709
2024-08-01 19:10:00,1.0,20.0,22.723108826058418,22.165567525304848,27.29833,0.3258480176488709
2024-08-01 19:11:00,1.0,20.0,22.722671731912655,22.16800706188797,27.29833,0.3258480176488709
2024-08-01 19:12:00,1.0,20.0,22.72223786160577,22.1704424594287,27.29833,0.3258480176488709
2024-08-01 19:13:00,1.0,20.0,22.721807206806425,22.172873727781486,27.29833,0.3258480176488709
2024-08-01 19:14:00,1.0,20.0,22.721379759203877,22.175300876776564,27.29833,0.3258480176488709
2024-08-01 19:15:00,1.0,20.0,22.72095551050792,22.17772391622002,27.29833,0.3258480176488709
2024-08-01 19:16:00,1.0,20.0,22.72053445244884,22.180142855893855,27.29833,0.3258480176488709
2024-08-01 19:17:00,1.0,20.0,22.720116576777368,22.18255770555603,27.29833,0.3258480176488709
2024-08-01 19:18:00,1.0,20.0,22.71970187526462,22.184968474940533,27.29833,0.3258480176488709
2024-08-01 19:19:00,1.0,20.0,22.719290339702045,22.187375173757445,27.29833,0.3258480176488709
2024-08-01 19:20:00,1.0,20.0,22.718881961901396,22.189777811692988,27.29833,0.3258480176488709
2024-08-01 19:21:00,1.0,20.0,22.71847673369465,22.19217639840959,27.29833,0.3258480176488709
2024-08-01 19:22:00,1.0,20.0,22.71807464693399,22.194570943545937,27.29833,0.3258480176488709
2024-08-01 19:23:00,1.0,20.0,22.71767569349172,22.196961456717045,27.29833,0.3258480176488709
2024-08-01 19:24:00,1.0,20.0,22.71727986526025,22.199347947514298,27.29833,0.3258480176488709
2024-08-01 19:25:00,1.0,20.0,22.716887154152015,22.201730425505527,27.29833,0.3258480176488709
2024-08-01 19:26:00,1.0,20.0,22.716497552099458,22.204108900235056,27.29833,0.3258480176488709
2024-08-01 19:27:00,1.0,20.0,22.716111051054956,22.206483381223762,27.29833,0.3258480176488709
2024-08-01 19:28:00,1.0,20.0,22.715727642990775,22.20885387796913,27.29833,0.3258480176488709
2024-08-01 19:29:00,1.0,20.0,22.715347319899028,22.21122039994532,27.29833,0.3258480176488709
2024-08-01 19:30:00,1.0,20.0,22.714970073791626,22.21358295660321,27.29833,0.3258480176488709
2024-08-01 19:31:00,1.0,20.0,22.71459589670022,22.215941557370474,27.29833,0.3258480176488709
