,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_EV
2024-01-07 21:30:00,0.001,0.001,0.001,0.30910927305892105,0.0
2024-01-07 21:45:00,0.001,0.001,0.001,0.23304260639225444,0.0
2024-01-07 22:00:00,0.001,0.001,0.001,0.22654775381442396,0.0
2024-01-07 22:15:00,0.001,0.001,0.001,0.10200000000000001,0.0
2024-01-07 22:30:00,0.001,0.001,0.001,0.04,0.0
2024-01-07 22:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-07 23:00:00,0.001,0.001,0.001,0.10333333333333333,0.0
2024-01-07 23:15:00,0.001,0.001,0.001,0.292,0.0
2024-01-07 23:30:00,0.001,0.001,0.001,0.25833333333333336,0.0
2024-01-07 23:45:00,0.001,0.001,0.001,0.050333333333333334,0.0
2024-01-08 00:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 00:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 00:30:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 00:45:00,0.001,0.001,0.001,0.29300000000000004,0.0
2024-01-08 01:00:00,0.001,0.001,0.001,0.331,0.0
2024-01-08 01:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 01:30:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 01:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 02:00:00,0.001,0.001,0.001,0.050333333333333334,0.0
2024-01-08 02:15:00,0.001,0.001,0.001,0.22033333333333335,0.0
2024-01-08 02:30:00,0.001,0.001,0.001,0.292,0.0
2024-01-08 02:45:00,0.001,0.001,0.001,0.14133333333333334,0.0
2024-01-08 03:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 03:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 03:30:00,0.001,0.001,0.001,0.10200000000000001,0.0
2024-01-08 03:45:00,0.001,0.001,0.001,0.195,0.0
2024-01-08 04:00:00,0.001,0.001,0.001,0.15166666666666667,0.0
2024-01-08 04:15:00,0.001,0.001,0.001,0.23,0.0
2024-01-08 04:30:00,0.001,0.001,0.001,0.06533333333333333,0.0
2024-01-08 04:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 05:00:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-08 05:15:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-08 05:30:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 05:45:00,0.001,0.001,0.001,0.21733333333333335,0.0
2024-01-08 06:00:00,0.001,0.001,0.001,0.17933333333333332,0.0
2024-01-08 06:15:00,0.001,0.001,0.001,0.050333333333333334,7.333333333333333
2024-01-08 06:30:00,0.001,0.001,0.001,0.195,11.0
2024-01-08 06:45:00,0.001,0.001,0.001,0.10200000000000001,5.866666666666666
2024-01-08 07:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 07:15:00,0.001,0.001,0.001,0.10333333333333333,0.0
2024-01-08 07:30:00,0.001,0.001,0.001,0.23,0.0
2024-01-08 07:45:00,0.001,0.001,0.001,0.16533333333333333,0.0
2024-01-08 08:00:00,0.001,0.001,0.001,0.195,0.0
2024-01-08 08:15:00,0.001,0.001,0.001,0.050333333333333334,0.0
2024-01-08 08:30:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 08:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 09:00:00,0.001,0.001,0.001,0.17933333333333332,0.0
2024-01-08 09:15:00,0.001,0.001,0.001,0.331,0.0
2024-01-08 09:30:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-08 09:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-08 10:00:00,0.001,0.001,0.001,0.04,0.0
