,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-02 12:15:00,0.001,0.001,0.13466666666666666,0.0,0.0,0.0
2024-01-02 12:30:00,0.001,0.001,0.23600000000000002,0.0,0.0,0.0
2024-01-02 12:45:00,0.001,0.001,0.6043999999999999,0.0,0.0,0.0
2024-01-02 13:00:00,0.001,0.001,0.3805147558483777,0.0,0.0,0.0
2024-01-02 13:15:00,0.001,0.001,0.33137593972558776,0.0,0.5333333333333333,0.0
2024-01-02 13:30:00,0.001,0.001,0.7818426063922544,0.0,1.8666666666666667,0.9
2024-01-02 13:45:00,0.001,0.001,0.5213759397255877,0.0,0.0,1.5
2024-01-02 14:00:00,0.001,0.001,0.38984260639225443,0.0,0.0,0.2
2024-01-02 14:15:00,0.001,0.001,0.11247230603802288,0.0,0.0,0.6
2024-01-02 14:30:00,0.001,0.001,0.18,0.0,0.0,1.5
2024-01-02 14:45:00,0.001,0.001,0.7074393292654259,0.0,0.0,1.5
2024-01-02 15:00:00,0.001,0.09392164779051025,0.3688237423726735,0.0,0.0,1.5
2024-01-02 15:15:00,0.001,0.2165984273480836,0.28015707570600684,0.0,0.0,1.5
2024-01-02 15:30:00,0.001,1.1430523432723534,0.21109040903934018,0.0,0.0,1.1
2024-01-02 15:45:00,0.001,0.1447400146355617,0.1788237423726735,0.0,0.0,0.0
2024-01-02 16:00:00,0.001,0.1411019904780345,0.1788237423726735,0.0,0.0,0.0
2024-01-02 16:15:00,0.001,0.2720530160899676,0.3434904090393402,0.0,0.0,1.0
2024-01-02 16:30:00,0.001,0.6309848638715755,0.3181570757060069,0.0,0.0,1.5
2024-01-02 16:45:00,0.001,0.12937987831482983,0.1945437423726735,0.0,0.0,0.6
2024-01-02 17:00:00,0.001,0.27823892558351815,0.07675074440662724,0.0,0.0,0.0
2024-01-02 17:15:00,0.001,1.6536739716103108,0.046,0.0,0.0,0.0
2024-01-02 17:30:00,0.001,0.4373188138364432,0.17266666666666666,0.0,0.0,0.0
2024-01-02 17:45:00,0.001,0.16762203730679656,0.2233333333333333,0.0,2.4,0.0
2024-01-02 18:00:00,0.001,0.23982869028390835,0.046,0.0,0.0,0.0
2024-01-02 18:15:00,0.001,0.5993692209683182,0.046,0.0,0.0,0.0
2024-01-02 18:30:00,0.001,0.15725309728029072,0.046,0.0,0.0,0.0
2024-01-02 18:45:00,0.001,0.001,0.13466666666666666,0.0,0.0,0.0
2024-01-02 19:00:00,0.001,0.001,0.23600000000000002,0.0,0.0,0.0
