,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-04 13:00:00,1.9501333333333333,0.15704385363812254,2.3111,3.3333333333333335
2024-01-04 13:15:00,1.2004666666666666,0.24201605146578084,0.9322333333333332,0.0
2024-01-04 13:30:00,0.4508,0.707970005707166,0.6327,1.3333333333333333
2024-01-04 13:45:00,0.00013333333333333334,0.03051514850408295,0.5187,2.0
2024-01-04 14:00:00,0.0,0.001,0.43576666666666664,0.0
2024-01-04 14:15:00,0.0,0.001,0.8971716113921371,0.0
2024-01-04 14:30:00,0.0,0.001,0.32411886401958095,2.3333333333333335
2024-01-04 14:45:00,0.0,0.001,0.3096521973529143,1.0
2024-01-04 15:00:00,0.0,0.001,1.0198521973529142,0.0
2024-01-04 15:15:00,0.0,0.001,0.6762521973529142,0.6666666666666666
2024-01-04 15:30:00,0.0,0.001,0.7260611719215542,3.0
2024-01-04 15:45:00,0.0,0.001,0.4418333333333333,0.0
2024-01-04 16:00:00,0.0,0.001,0.44232087894116573,0.0
2024-01-04 16:15:00,0.0,0.001,0.5573855306862476,0.3333333333333333
2024-01-04 16:30:00,0.0,0.001,0.4430521973529143,5.0
2024-01-04 16:45:00,0.0,0.001,0.2322521973529143,3.0
2024-01-04 17:00:00,0.0,0.001,0.6189347982352762,1.6666666666666667
2024-01-04 17:15:00,0.0,0.001,0.18769999999999998,0.3333333333333333
2024-01-04 17:30:00,0.0,0.001,0.23836666666666667,2.6666666666666665
2024-01-04 17:45:00,0.0,0.001,0.3777,0.0
2024-01-04 18:00:00,0.0,0.001,0.22569999999999996,0.0
2024-01-04 18:15:00,0.0,0.001,0.18769999999999998,0.0
2024-01-04 18:30:00,0.0,0.001,0.18769999999999998,0.0
2024-01-04 18:45:00,0.0,0.001,0.18769999999999998,0.0
2024-01-04 19:00:00,0.0,0.001,0.3143666666666666,0.0
2024-01-04 19:15:00,0.0,0.001,0.33969999999999995,0.0
2024-01-04 19:30:00,0.0,0.001,0.18769999999999998,2.6666666666666665
