,WasherDryer,TumbleDryer,BaseLoad
2024-01-02 12:45:00,0.001,0.001,0.30382374237267357
2024-01-02 13:00:00,0.001,0.001,0.241215828248449
2024-01-02 13:15:00,0.001,0.001,0.182
2024-01-02 13:30:00,0.001,0.001,0.31006666666666666
2024-01-02 13:45:00,0.001,0.001,0.5688
2024-01-02 14:00:00,0.001,0.001,0.15839999999999999
2024-01-02 14:15:00,0.001,0.001,0.12866666666666665
2024-01-02 14:30:00,0.001,0.001,0.13733741107329392
2024-01-02 14:45:00,0.001,0.001,0.0598237423726735
2024-01-02 15:00:00,0.001,0.001,0.0598237423726735
2024-01-02 15:15:00,0.001,0.001,0.0598237423726735
2024-01-02 15:30:00,0.001,0.001,0.0598237423726735
2024-01-02 15:45:00,0.001,0.001,0.10169808180786803
2024-01-02 16:00:00,0.001,0.001,0.16036474847453472
2024-01-02 16:15:00,0.001,0.001,0.18082374237267348
2024-01-02 16:30:00,0.001,0.001,0.18082374237267348
2024-01-02 16:45:00,0.001,0.001,0.18082374237267348
2024-01-02 17:00:00,0.001,0.001,0.18082374237267348
2024-01-02 17:15:00,0.001,0.001,0.19967074440662724
2024-01-02 17:30:00,0.001,0.001,0.19026666666666667
2024-01-02 17:45:00,0.001,0.001,1.031
2024-01-02 18:00:00,0.001,0.001,2.8240666666666665
2024-01-02 18:15:00,0.001,0.001,1.8665999999999998
2024-01-02 18:30:00,0.001,0.001,0.169
2024-01-02 18:45:00,0.001,0.001,0.1496079141242245
2024-01-02 19:00:00,0.001,0.001,0.17549040903934018
2024-01-02 19:15:00,0.001,0.001,0.1718237423726735
2024-01-02 19:30:00,0.001,0.001,0.1938237423726735
2024-01-02 19:45:00,0.001,0.001,0.1938237423726735
2024-01-02 20:00:00,0.001,0.001,0.18602374237267352
2024-01-02 20:15:00,0.001,0.001,0.15662374237267349
2024-01-02 20:30:00,0.001,0.001,0.13315707570600685
2024-01-02 20:45:00,0.001,0.001,0.14782374237267348
2024-01-02 21:00:00,0.001,0.001,0.18647707570600683
2024-01-02 21:15:00,0.001,0.001,0.1955237423726735
2024-01-02 21:30:00,0.001,0.001,0.1907942454236041
2024-01-02 21:45:00,0.001,0.001,0.19158249491511567
2024-01-02 22:00:00,0.001,0.001,0.7725904090393402
2024-01-02 22:15:00,0.001,0.001,0.3055237423726735
2024-01-02 22:30:00,0.001,0.001,0.20285707570600683
2024-01-02 22:45:00,0.001,0.001,0.1955237423726735
2024-01-02 23:00:00,0.001,0.001,0.19473549288116193
2024-01-02 23:15:00,0.001,0.001,0.5835
2024-01-02 23:30:00,0.001,0.001,0.27096666666666663
2024-01-02 23:45:00,0.001,0.001,0.4147
