,TumbleDryer,BaseLoad,P_EV
2024-01-03 14:15:00,0.001,0.40425707570600683,6.533333333333333
2024-01-03 14:30:00,0.001,0.14887808180786802,7.0
2024-01-03 14:45:00,0.001,0.237,4.2
2024-01-03 15:00:00,0.001,0.15459798507841524,0.0
2024-01-03 15:15:00,0.001,1.068818864019581,0.0
2024-01-03 15:30:00,0.001,2.2005521973529145,0.0
2024-01-03 15:45:00,0.001,0.8112188640195811,0.0
2024-01-03 16:00:00,0.001,0.2685521973529143,0.0
2024-01-03 16:15:00,0.001,0.14188553068624762,0.0
2024-01-03 16:30:00,0.001,0.1511521973529143,0.0
2024-01-03 16:45:00,0.001,0.1995521973529143,0.0
2024-01-03 17:00:00,0.001,0.2551051953189606,0.0
2024-01-03 17:15:00,0.001,2.403637661666784,0.0
2024-01-03 17:30:00,0.001,2.505375939725588,0.0
2024-01-03 17:45:00,0.001,0.9031759397255877,0.0
2024-01-03 18:00:00,0.001,0.2243759397255878,0.0
2024-01-03 18:15:00,0.001,0.3275159397255878,0.0
2024-01-03 18:30:00,0.001,0.6120092730589212,0.0
2024-01-03 18:45:00,0.001,0.45760432833345066,0.0
2024-01-03 19:00:00,0.001,0.3881237423726735,0.0
2024-01-03 19:15:00,0.001,0.7368855214484543,0.0
2024-01-03 19:30:00,0.001,0.43658553068624767,0.0
2024-01-03 19:45:00,0.001,0.4996051953189606,0.0
2024-01-03 20:00:00,0.001,0.2260759397255878,0.0
2024-01-03 20:15:00,0.001,0.2260759397255878,0.0
2024-01-03 20:30:00,0.001,0.33900927305892115,0.0
2024-01-03 20:45:00,0.001,0.47374260639225446,0.0
2024-01-03 21:00:00,0.001,0.5313426063922544,0.0
2024-01-03 21:15:00,0.001,0.4680759397255878,0.0
2024-01-03 21:30:00,0.001,0.8678759397255879,0.0
2024-01-03 21:45:00,0.001,0.4575585406079497,0.0
2024-01-03 22:00:00,0.001,0.6032481011373668,0.0
2024-01-03 22:15:00,0.001,0.590013109443185,0.0
2024-01-03 22:30:00,0.001,0.45625219735291433,0.0
2024-01-03 22:45:00,0.001,0.9261778579177198,0.0
2024-01-03 23:00:00,0.001,0.18913593972558781,0.0
2024-01-03 23:15:00,0.001,0.3154147678040335,0.0
2024-01-03 23:30:00,0.001,0.2832605555295345,0.0
