,TumbleDryer,DishWasher,WashingMachine,BaseLoad
2024-01-05 15:45:00,0.001,0.0,0.001,0.6627333333333334
2024-01-05 16:00:00,0.001,0.0,0.001,0.18033333333333335
2024-01-05 16:15:00,0.001,0.0,0.001,0.041
2024-01-05 16:30:00,0.001,0.0,0.001,0.041
2024-01-05 16:45:00,0.001,0.0,0.001,0.041
2024-01-05 17:00:00,0.001,0.0,0.001,0.3075333333333333
2024-01-05 17:15:00,0.001,0.0,0.001,0.3516
2024-01-05 17:30:00,0.001,0.0,0.001,0.09166666666666666
2024-01-05 17:45:00,0.001,0.0,0.001,0.041
2024-01-05 18:00:00,0.001,0.00013333333333333334,0.001,0.041
2024-01-05 18:15:00,0.001,1.8002,0.001,0.041
2024-01-05 18:30:00,0.001,1.2004666666666668,0.001,0.2185294969490694
2024-01-05 18:45:00,0.001,1.6502666666666668,0.001,0.3258237423726735
2024-01-05 19:00:00,0.001,0.0008666666666666667,0.001,0.1738237423726735
2024-01-05 19:15:00,0.001,0.0,0.001,0.1738237423726735
2024-01-05 19:30:00,0.001,0.0,0.001,0.1738237423726735
2024-01-05 19:45:00,0.001,0.0,0.001,0.1496237423726735
2024-01-05 20:00:00,0.001,0.0,0.001,0.7489805767229838
2024-01-05 20:15:00,0.001,0.0,0.001,0.19306666666666666
2024-01-05 20:30:00,0.001,0.0,0.001,0.162
2024-01-05 20:45:00,0.001,0.0,0.001,0.1690942454236041
2024-01-05 21:00:00,0.001,0.0,0.001,0.1738237423726735
2024-01-05 21:15:00,0.001,0.0,0.001,0.23715707570600683
2024-01-05 21:30:00,0.001,0.0,0.001,0.2174904090393402
2024-01-05 21:45:00,0.001,0.0,0.001,0.08148421041054861
2024-01-05 22:00:00,0.001,0.0,0.001,0.07255219735291431
2024-01-05 22:15:00,0.001,0.0,0.001,0.08122294175954153
2024-01-05 22:30:00,0.001,0.0,0.001,0.0843759397255878
2024-01-05 22:45:00,0.001,0.0,0.001,0.2258585406079497
2024-01-05 23:00:00,0.001,0.0,0.001,0.16037593972558778
2024-01-05 23:15:00,0.001,0.0,0.001,0.0843759397255878
2024-01-05 23:30:00,0.001,0.0,0.001,0.07412869633593745
2024-01-05 23:45:00,0.001,0.0,0.001,0.06834523770585907
2024-01-06 00:00:00,0.001,0.0,0.001,0.09166666666666666
2024-01-06 00:15:00,0.001,0.0,0.001,0.21833333333333335
2024-01-06 00:30:00,0.001,0.0,0.001,0.041
2024-01-06 00:45:00,0.001,0.0,0.001,0.041
2024-01-06 01:00:00,0.001,0.0,0.001,0.041
2024-01-06 01:15:00,0.001,0.0,0.001,0.041
2024-01-06 01:30:00,0.001,0.0,0.001,0.18033333333333335
2024-01-06 01:45:00,0.001,0.0,0.001,0.12966666666666668
2024-01-06 02:00:00,0.001,0.0,0.001,0.041
2024-01-06 02:15:00,0.001,0.0,0.001,0.041
2024-01-06 02:30:00,0.001,0.0,0.001,0.041
2024-01-06 02:45:00,0.001,0.0,0.001,0.079
2024-01-06 03:00:00,0.001,0.0,0.001,0.231
2024-01-06 03:15:00,0.001,0.0,0.001,0.041
2024-01-06 03:30:00,0.001,0.0,0.001,0.041
2024-01-06 03:45:00,0.001,0.0,0.001,0.041
2024-01-06 04:00:00,0.001,0.0,0.001,0.041
2024-01-06 04:15:00,0.001,0.0,0.001,0.16766666666666669
2024-01-06 04:30:00,0.001,0.0,0.001,0.14233333333333334
2024-01-06 04:45:00,0.001,0.0,0.001,0.041
2024-01-06 05:00:00,0.001,0.0,0.001,0.041
2024-01-06 05:15:00,0.001,0.0,0.001,0.041
