,WasherDryer,WashingMachine,BaseLoad,P_HP
2024-01-04 00:45:00,0.7920347860576631,0.0320847911347406,0.31085299796604626,0.0
2024-01-04 01:00:00,0.4756208716345978,0.17024573764765996,0.3171589938981388,0.0
2024-01-04 01:15:00,0.001,0.6549454171780517,0.30339040903934017,0.0
2024-01-04 01:30:00,0.001,0.6899985656358884,0.35052374237267353,0.0
2024-01-04 01:45:00,0.001,0.14051531329240405,0.31433707570600683,0.0
2024-01-04 02:00:00,0.001,0.26725347411247097,0.0628237423726735,0.0
2024-01-04 02:15:00,0.001,0.6694765650804625,0.05257649898302313,0.0
2024-01-04 02:30:00,0.001,0.09643487810921333,0.051,0.0
2024-01-04 02:45:00,0.001,0.16095998638317108,0.051,0.0
2024-01-04 03:00:00,0.001,0.6840029394128664,0.12699999999999997,0.0
2024-01-04 03:15:00,0.001,1.519195949822883,0.241,0.0
2024-01-04 03:30:00,0.001,0.13219224463900603,0.089,0.0
2024-01-04 03:45:00,0.001,0.1423001883100892,0.5840666666666666,0.0
2024-01-04 04:00:00,0.001,0.2842216236540919,0.051,0.0
2024-01-04 04:15:00,0.001,0.6613092642575037,0.051,0.8
2024-01-04 04:30:00,0.001,0.001,0.051,2.2
2024-01-04 04:45:00,0.001,0.001,0.6408,0.0
2024-01-04 05:00:00,0.001,0.001,0.165,0.2
2024-01-04 05:15:00,0.001,0.001,0.051,0.0
2024-01-04 05:30:00,0.001,0.001,0.051,0.0
2024-01-04 05:45:00,0.001,0.001,0.051,0.0
2024-01-04 06:00:00,0.001,0.001,0.051,0.0
2024-01-04 06:15:00,0.001,0.001,0.165,0.2
2024-01-04 06:30:00,0.001,0.001,0.241,2.4
2024-01-04 06:45:00,0.001,0.001,0.051,0.0
2024-01-04 07:00:00,0.001,0.001,0.8505999999999999,0.0
2024-01-04 07:15:00,0.001,0.001,0.051,0.0
2024-01-04 07:30:00,0.001,0.001,0.051,0.0
2024-01-04 07:45:00,0.001,0.001,0.5009333333333333,0.0
2024-01-04 08:00:00,0.001,0.001,0.254,0.0
2024-01-04 08:15:00,0.001,0.001,0.14,0.0
2024-01-04 08:30:00,0.001,0.001,0.064,0.0
2024-01-04 08:45:00,0.001,0.001,0.051,0.0
2024-01-04 09:00:00,0.001,0.001,0.08255219735291432,0.0
2024-01-04 09:15:00,0.001,0.001,0.08255219735291432,1.4
2024-01-04 09:30:00,0.001,0.036593312409691596,0.23455219735291427,0.6
2024-01-04 09:45:00,0.001,0.19006134212123083,0.34548553068624765,0.0
2024-01-04 10:00:00,0.001,0.12045873301736304,0.20182783858822095,0.0
2024-01-04 10:15:00,0.001,0.19006134212123083,0.40065219735291435,0.0
