,WasherDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-01-04 02:15:00,0.001,0.0,0.152,0.0,0.0
2024-01-04 02:30:00,0.001,0.0,0.064,0.0,2.0
2024-01-04 02:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 03:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 03:15:00,0.001,0.0,0.042,0.0,2.2
2024-01-04 03:30:00,0.001,0.0,0.14466666666666667,0.0,0.8
2024-01-04 03:45:00,0.001,0.0,0.07866666666666666,0.0,0.0
2024-01-04 04:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 04:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 04:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 04:45:00,0.001,0.0,0.13,0.0,0.0
2024-01-04 05:00:00,0.001,0.0,0.09333333333333332,0.0,0.0
2024-01-04 05:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 05:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 05:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 06:00:00,0.001,0.0,0.11533333333333333,0.0,0.0
2024-01-04 06:15:00,0.001,0.0,0.108,0.0,0.0
2024-01-04 06:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 06:45:00,0.001,0.0,0.042,0.7333333333333333,0.0
2024-01-04 07:00:00,0.001,0.0,0.042,2.933333333333333,0.0
2024-01-04 07:15:00,0.001,0.0,0.10066666666666667,0.0,0.0
2024-01-04 07:30:00,0.001,0.0,0.12266666666666666,0.0,0.0
2024-01-04 07:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 08:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 08:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 08:30:00,0.7392991336538189,0.0,0.08600000000000001,0.0,1.0
2024-01-04 08:45:00,0.7920347860576631,0.00013333333333333334,0.13733333333333334,0.0,3.0
2024-01-04 09:00:00,0.7920347860576631,0.1509333333333333,0.042,0.0,0.2
2024-01-04 09:15:00,0.7920347860576631,1.0505333333333333,0.1524,0.0,0.0
2024-01-04 09:30:00,0.7920347860576631,0.001,0.042,0.0,0.0
2024-01-04 09:45:00,0.7920347860576631,0.0006666666666666666,0.07133333333333333,0.0,0.0
2024-01-04 10:00:00,0.7920347860576631,0.0,0.152,0.0,1.8
2024-01-04 10:15:00,0.7920347860576631,0.0,0.042,0.0,0.2
2024-01-04 10:30:00,0.7920347860576631,0.0,0.042,0.0,0.0
2024-01-04 10:45:00,0.7920347860576631,0.0,0.042,0.0,0.0
2024-01-04 11:00:00,0.7920347860576631,0.0,0.05666666666666667,0.0,0.0
2024-01-04 11:15:00,0.7920347860576631,0.0,0.152,0.0,2.6
2024-01-04 11:30:00,0.7920347860576631,0.0,0.056666666666666664,2.2,2.2
2024-01-04 11:45:00,0.7920347860576631,0.0,0.07355219735291431,0.0,0.0
2024-01-04 12:00:00,0.5810921764422863,0.0,0.17841886401958099,0.0,0.0
2024-01-04 12:15:00,0.001,0.0,0.19455219735291432,0.0,0.4
2024-01-04 12:30:00,0.001,0.0,0.3045521973529143,0.0,2.6
2024-01-04 12:45:00,0.001,0.0,0.20495421227449906,0.0,0.0
2024-01-04 13:00:00,0.001,0.0,0.18719999999999998,0.0,0.0
2024-01-04 13:15:00,0.001,0.0,0.163,2.933333333333333,1.8
2024-01-04 13:30:00,0.001,0.0,0.20630215954782863,0.0,0.6
2024-01-04 13:45:00,0.001,0.0,0.39115707570600683,0.0,2.4
2024-01-04 14:00:00,0.001,0.0,0.3156237423726735,0.0,0.0
2024-01-04 14:15:00,0.001,0.0,0.1748237423726735,0.0,0.0
2024-01-04 14:30:00,0.001,0.0,0.1748237423726735,0.0,0.0
2024-01-04 14:45:00,0.001,0.0,0.1000431656496898,0.0,0.0
2024-01-04 15:00:00,0.001,0.0,0.12266666666666666,0.0,0.0
2024-01-04 15:15:00,0.001,0.0,0.10066666666666667,0.0,0.0
2024-01-04 15:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 15:45:00,0.001,0.0,0.07426666666666668,0.0,0.0
2024-01-04 16:00:00,0.001,0.0,0.6960666666666666,0.0,2.6
2024-01-04 16:15:00,0.001,0.0,0.23741391929411046,0.0,1.2
2024-01-04 16:30:00,0.001,0.0,0.8009521973529143,0.0,0.0
2024-01-04 16:45:00,0.001,0.0,0.4610855306862477,0.0,0.0
2024-01-04 17:00:00,0.001,0.0,0.4368855306862477,5.133333333333334,1.2
2024-01-04 17:15:00,0.001,0.0,0.07355219735291431,2.2,0.8
2024-01-04 17:30:00,0.001,0.0,0.10595421227449905,0.0,0.0
2024-01-04 17:45:00,0.001,0.0,0.13867074440662724,0.0,0.0
2024-01-04 18:00:00,0.001,0.0,0.0538237423726735,0.0,0.0
2024-01-04 18:15:00,0.001,0.0,0.0538237423726735,0.0,0.0
2024-01-04 18:30:00,0.001,0.0,0.0538237423726735,0.0,0.0
2024-01-04 18:45:00,0.001,0.0,0.09049040903934016,0.0,0.0
2024-01-04 19:00:00,0.001,0.0,0.22102374237267347,0.0,0.0
2024-01-04 19:15:00,0.001,0.0,0.1990237423726735,0.0,0.0
2024-01-04 19:30:00,0.001,0.0,0.29582374237267345,0.0,0.0
2024-01-04 19:45:00,0.001,0.0,0.29582374237267345,0.0,1.6
2024-01-04 20:00:00,0.001,0.0,0.31782374237267347,0.0,0.6
2024-01-04 20:15:00,0.001,0.0,0.3198883941177554,0.0,0.0
2024-01-04 20:30:00,0.001,0.0,0.20740327712682863,0.0,2.4
2024-01-04 20:45:00,0.001,0.0,0.12195219735291431,0.0,0.0
2024-01-04 21:00:00,0.001,0.0,0.07512425279744711,0.0,0.0
2024-01-04 21:15:00,0.001,0.0,0.08535707570600684,0.0,0.0
2024-01-04 21:30:00,0.001,0.0,0.6617570757060068,0.0,0.0
2024-01-04 21:45:00,0.001,0.0,0.33815707570600684,0.0,0.0
2024-01-04 22:00:00,0.001,0.0,0.29345899389813884,0.0,0.0
