,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_EV
2024-06-01 10:45:00,0.7920347860576631,0.0,0.5650498999573015,0.066,0.0
2024-06-01 11:00:00,0.7920347860576631,0.001,0.4858834679740317,0.157,0.0
2024-06-01 11:15:00,0.7920347860576631,1.2004666666666668,0.001,0.7197688262144953,3.2666666666666666
2024-06-01 11:30:00,0.7920347860576631,0.001,0.001,1.5692237423726736,7.0
2024-06-01 11:45:00,0.7920347860576631,0.0008,0.001,2.35277040903934,7.0
2024-06-01 12:00:00,0.7920347860576631,0.0,0.001,0.8607770757060068,0.9333333333333333
2024-06-01 12:15:00,0.7920347860576631,0.0,0.001,0.19894724338965036,0.0
2024-06-01 12:30:00,0.7920347860576631,0.0,0.001,0.3853666666666667,0.0
2024-06-01 12:45:00,0.7920347860576631,0.0,0.001,0.46190000000000003,0.0
2024-06-01 13:00:00,0.7920347860576631,0.0,0.001,0.20248824949151156,0.0
2024-06-01 13:15:00,0.528356524038442,0.0,0.001,1.0107237423726734,0.0
2024-06-01 13:30:00,0.001,0.0,0.001,1.4993237423726735,0.0
2024-06-01 13:45:00,0.001,0.0,0.001,0.7069356467451992,0.0
2024-06-01 14:00:00,0.001,0.0,0.001,0.6950759397255877,0.0
2024-06-01 14:15:00,0.001,0.0,0.001,0.35943661046016195,0.0
2024-06-01 14:30:00,0.001,0.0,0.001,0.34125219735291434,0.0
2024-06-01 14:45:00,0.001,0.0,0.001,0.3248521973529143,0.0
2024-06-01 15:00:00,0.001,0.0,0.001,0.6963049447254706,0.0
2024-06-01 15:15:00,0.001,0.0,0.001,1.6359021687856221,0.0
2024-06-01 15:30:00,0.001,0.0,0.001,1.1147426063922545,0.0
2024-06-01 15:45:00,0.001,0.0,0.001,0.2320759397255878,0.0
2024-06-01 16:00:00,0.001,0.0,0.001,0.37674260639225454,0.0
2024-06-01 16:15:00,0.001,0.0,0.001,0.3863426063922545,0.0
2024-06-01 16:30:00,0.001,0.0,0.001,1.0430139100563172,3.2666666666666666
2024-06-01 16:45:00,0.001,0.0,0.001,0.39836666666666665,2.3333333333333335
2024-06-01 17:00:00,0.001,0.0,0.001,0.2450542454236041,0.0
2024-06-01 17:15:00,0.001,0.0,0.001,0.6201759397255878,0.0
2024-06-01 17:30:00,0.001,0.0,0.001,0.0963759397255878,0.0
2024-06-01 17:45:00,0.001,0.0,0.001,0.5313092730589211,0.0
2024-06-01 18:00:00,0.001,0.0,0.001,2.345042606392254,0.0
2024-06-01 18:15:00,0.001,0.0,0.001,1.634070291116438,0.0
2024-06-01 18:30:00,0.001,0.0,0.001,0.13693333333333332,0.0
2024-06-01 18:45:00,0.001,0.0,0.001,0.174,0.0
2024-06-01 19:00:00,0.001,0.0,0.001,0.3153452377058591,0.0
2024-06-01 19:15:00,0.001,0.0,0.001,0.5267521973529142,0.0
2024-06-01 19:30:00,0.001,0.0,0.001,0.46088553068624766,0.0
2024-06-01 19:45:00,0.001,0.0,0.001,0.3295210235674096,0.0
2024-06-01 20:00:00,0.001,0.0,0.001,0.3303092730589211,0.0
2024-06-01 20:15:00,0.001,0.0,0.06337075933274473,0.36914114149031163,0.0
2024-06-01 20:30:00,0.001,0.0,0.3414159952733573,0.5804904090393401,0.0
2024-06-01 20:45:00,0.001,0.0,0.7703547907991353,0.3814904090393402,0.0
2024-06-01 21:00:00,0.001,0.0,0.14195283548275117,0.694615828248449,0.0
2024-06-01 21:15:00,0.001,0.0,0.1586556859711958,0.3068237423726735,0.0
2024-06-01 21:30:00,0.001,0.0,1.0589097406909311,0.2732237423726735,0.0
2024-06-01 21:45:00,0.001,0.0,0.7245716183784601,0.5527570757060069,0.0
2024-06-01 22:00:00,0.001,0.0,0.12587528452921137,0.8874040777399607,0.0
