,DishWasher,BaseLoad,P_WB
2024-10-01 08:45:00,0.0,0.050333333333333334,0.0
2024-10-01 09:00:00,0.0,0.19799999999999998,0.0
2024-10-01 09:15:00,0.0,0.18533333333333332,0.0
2024-10-01 09:30:00,0.0,0.11833333333333335,1.3333333333333333
2024-10-01 09:45:00,0.0,0.1889313184117486,0.0
2024-10-01 10:00:00,0.0,0.5306855306862476,1.6666666666666667
2024-10-01 10:15:00,0.0,2.5573521973529143,0.0
2024-10-01 10:30:00,0.0,0.1665521973529143,0.6666666666666666
2024-10-01 10:45:00,0.0,0.3012188640195809,0.3333333333333333
2024-10-01 11:00:00,0.0,0.24354029298038857,0.0
2024-10-01 11:15:00,0.0,0.13726666666666668,0.0
2024-10-01 11:30:00,0.0,0.167,0.0
2024-10-01 11:45:00,0.0,0.17306666666666667,0.0
2024-10-01 12:00:00,0.0,0.24332666666666664,0.0
2024-10-01 12:15:00,0.0,0.6297,1.0
2024-10-01 12:30:00,0.0,0.4087,0.0
2024-10-01 12:45:00,0.0,0.2013237423726735,1.6666666666666667
2024-10-01 13:00:00,0.0,0.3039237423726735,4.666666666666667
2024-10-01 13:15:00,0.0,0.1935237423726735,0.0
2024-10-01 13:30:00,0.0,0.26796055552953446,0.0
2024-10-01 13:45:00,0.0,0.45913469226803,0.0
2024-10-01 14:00:00,0.0,0.8710521973529144,0.0
2024-10-01 14:15:00,0.0,0.33425219735291434,1.3333333333333333
2024-10-01 14:30:00,0.0,0.33425219735291434,0.0
2024-10-01 14:45:00,0.0,0.36024523770585914,0.0
2024-10-01 15:00:00,0.0,0.4707,0.0
2024-10-01 15:15:00,0.0,0.2533666666666667,0.0
2024-10-01 15:30:00,0.0,0.8008313184117486,0.0
2024-10-01 15:45:00,0.0,0.27658553068624764,0.0
2024-10-01 16:00:00,0.0,0.25741219735291426,1.3333333333333333
2024-10-01 16:15:00,0.0,0.3861416943019837,0.0
2024-10-01 16:30:00,0.0,0.27847795464717257,0.0
2024-10-01 16:45:00,0.0,0.17543040903934018,0.0
2024-10-01 17:00:00,0.0,0.2098237423726735,0.0
2024-10-01 17:15:00,0.0,0.19715707570600685,2.0
2024-10-01 17:30:00,0.0,0.19329808180786803,0.0
2024-10-01 17:45:00,0.0,0.4144,0.0
2024-10-01 18:00:00,0.0,0.18,0.0
2024-10-01 18:15:00,0.0,0.18,2.0
2024-10-01 18:30:00,0.0,0.30838175788233146,0.0
2024-10-01 18:45:00,0.0,0.43691886401958097,0.0
2024-10-01 19:00:00,0.0,0.40658553068624764,0.0
2024-10-01 19:15:00,0.0,0.646718864019581,1.6666666666666667
2024-10-01 19:30:00,0.0,0.21325219735291429,0.0
2024-10-01 19:45:00,0.0,0.21272521651240978,1.0
2024-10-01 20:00:00,0.0,0.1935237423726735,0.0
2024-10-01 20:15:00,0.0,0.6095724599020601,0.0
2024-10-01 20:30:00,0.0,0.5197426063922544,0.0
2024-10-01 20:45:00,0.0,0.3460759397255878,0.0
2024-10-01 21:00:00,0.0,0.3460759397255878,2.0
2024-10-01 21:15:00,0.0,0.3358286963359375,0.0
2024-10-01 21:30:00,0.0,0.39393419108104977,2.0
2024-10-01 21:45:00,0.0,0.5970759397255878,0.0
