,WasherDryer,TumbleDryer,WashingMachine,BaseLoad
2024-07-25 05:15:00,0.001,0.001,0.001,0.1106
2024-07-25 05:30:00,0.001,0.001,0.001,0.038
2024-07-25 05:45:00,0.001,0.001,0.001,0.43779999999999997
2024-07-25 06:00:00,0.001,0.001,0.001,0.09666666666666666
2024-07-25 06:15:00,0.001,0.001,0.001,0.11866666666666666
2024-07-25 06:30:00,0.001,0.001,0.001,0.038
2024-07-25 06:45:00,0.001,0.001,0.001,0.038
2024-07-25 07:00:00,0.001,0.001,0.001,0.038
2024-07-25 07:15:00,0.001,0.001,0.001,0.038
2024-07-25 07:30:00,0.001,0.001,0.001,0.4719333333333333
2024-07-25 07:45:00,0.001,0.001,0.001,0.161
2024-07-25 08:00:00,0.001,0.001,0.001,0.058333333333333334
2024-07-25 08:15:00,0.001,0.001,0.001,0.0432
2024-07-25 08:30:00,0.001,0.001,0.001,0.04641391929411048
2024-07-25 08:45:00,0.001,0.001,0.001,0.0695521973529143
2024-07-25 09:00:00,0.001,0.001,0.001,0.0695521973529143
2024-07-25 09:15:00,0.001,0.001,0.001,0.16488553068624764
2024-07-25 09:30:00,0.001,0.001,0.001,0.1135521973529143
2024-07-25 09:45:00,0.001,0.001,0.001,0.0695521973529143
2024-07-25 10:00:00,0.001,0.001,0.001,0.0485173991176381
2024-07-25 10:15:00,0.001,0.001,0.001,0.038
2024-07-25 10:30:00,0.001,0.001,0.001,0.038
2024-07-25 10:45:00,0.001,0.001,0.001,0.10099999999999999
2024-07-25 11:00:00,0.001,0.001,0.001,0.13166666666666668
2024-07-25 11:15:00,0.001,0.001,0.001,0.051
2024-07-25 11:30:00,0.001,0.001,0.001,0.051
2024-07-25 11:45:00,0.001,0.001,0.001,0.051
2024-07-25 12:00:00,0.001,0.001,0.001,0.042333333333333334
2024-07-25 12:15:00,0.001,0.001,0.001,0.05999999999999999
2024-07-25 12:30:00,0.001,0.001,0.001,0.17324175788233145
2024-07-25 12:45:00,0.001,0.001,0.001,0.07688553068624765
2024-07-25 13:00:00,0.001,0.001,0.001,0.0695521973529143
2024-07-25 13:15:00,0.001,0.001,0.001,0.0695521973529143
2024-07-25 13:30:00,0.001,0.001,0.001,0.0695521973529143
2024-07-25 13:45:00,0.001,0.001,0.001,0.06744871752938669
2024-07-25 14:00:00,0.001,0.001,0.001,0.13333333333333333
2024-07-25 14:15:00,0.001,0.001,0.001,0.082
2024-07-25 14:30:00,0.001,0.001,0.001,0.038
2024-07-25 14:45:00,0.001,0.001,0.001,0.09446666666666667
2024-07-25 15:00:00,0.001,0.001,0.001,0.159
2024-07-25 15:15:00,0.001,0.001,0.001,0.159
2024-07-25 15:30:00,0.001,0.001,0.001,0.7507333333333333
2024-07-25 15:45:00,0.001,0.001,0.001,0.19933333333333333
2024-07-25 16:00:00,0.001,0.001,0.001,0.038
2024-07-25 16:15:00,0.001,0.001,0.001,0.0864
2024-07-25 16:30:00,0.001,0.001,0.001,0.159
2024-07-25 16:45:00,0.001,0.001,0.001,0.159
2024-07-25 17:00:00,0.001,0.001,0.001,0.181
2024-07-25 17:15:00,0.001,0.001,0.001,0.269
2024-07-25 17:30:00,0.001,0.001,0.001,0.46126666666666666
2024-07-25 17:45:00,0.001,0.001,0.001,0.17126666666666665
2024-07-25 18:00:00,0.001,0.001,0.001,0.038
2024-07-25 18:15:00,0.001,0.001,0.001,0.049035492881161935
2024-07-25 18:30:00,0.001,0.001,0.001,0.18309040903934015
2024-07-25 18:45:00,0.001,0.001,0.001,0.4197570757060068
2024-07-25 19:00:00,0.001,0.001,0.0283419891600648,0.2148237423726735
2024-07-25 19:15:00,0.001,0.001,0.10681042737621244,0.2002724599020602
2024-07-25 19:30:00,0.001,0.001,0.23745119725150918,0.1960699437934953
2024-07-25 19:45:00,0.001,0.001,1.1517212860473274,0.19055219735291432
2024-07-25 20:00:00,0.001,0.001,0.11247319452245182,0.19055219735291432
2024-07-25 20:15:00,0.001,0.001,0.252807102289962,0.249218864019581
2024-07-25 20:30:00,0.001,0.001,0.5250463032851831,0.723618864019581
2024-07-25 20:45:00,0.001,0.001,0.27769471884134433,0.044310439470582864
2024-07-25 21:00:00,0.001,0.001,0.10995358341106361,0.038
2024-07-25 21:15:00,0.001,0.001,0.3463290547485196,0.038
2024-07-25 21:30:00,0.001,0.001,1.9364847608761733,0.05403514555821907
2024-07-25 21:45:00,0.001,0.001,0.08999815063567654,0.1033759397255878
2024-07-25 22:00:00,0.001,0.001,0.15052396454798453,0.1913759397255878
2024-07-25 22:15:00,0.001,0.001,0.24201605146578084,0.08870927305892114
2024-07-25 22:30:00,0.001,0.001,0.7200375568180221,0.10557593972558779
2024-07-25 22:45:00,0.001,0.001,0.018447597393226975,0.1795033738562814
2024-07-25 23:00:00,0.001,0.001,0.001,0.159
2024-07-25 23:15:00,0.001,0.001,0.001,0.5682589938981388
2024-07-25 23:30:00,0.001,0.001,0.001,0.7992237423726735
2024-07-25 23:45:00,0.001,0.001,0.001,0.12609040903934016
2024-07-26 00:00:00,0.001,0.001,0.001,0.0498237423726735
2024-07-26 00:15:00,0.001,0.001,0.001,0.0427294969490694
2024-07-26 00:30:00,0.001,0.001,0.001,0.038
2024-07-26 00:45:00,0.001,0.001,0.001,0.038
2024-07-26 01:00:00,0.001,0.001,0.001,0.09666666666666666
2024-07-26 01:15:00,0.001,0.001,0.001,0.12339616361573606
2024-07-26 01:30:00,0.001,0.001,0.001,0.0498237423726735
2024-07-26 01:45:00,0.001,0.001,0.001,0.0498237423726735
2024-07-26 02:00:00,0.001,0.001,0.001,0.0498237423726735
2024-07-26 02:15:00,0.001,0.001,0.001,0.0498237423726735
2024-07-26 02:30:00,0.001,0.001,0.001,0.062364748474534694
2024-07-26 02:45:00,0.001,0.001,0.001,0.148
2024-07-26 03:00:00,0.001,0.001,0.001,0.04533333333333333
2024-07-26 03:15:00,0.001,0.001,0.001,0.038
2024-07-26 03:30:00,0.001,0.001,0.001,0.038
2024-07-26 03:45:00,0.001,0.001,0.001,0.038
2024-07-26 04:00:00,0.001,0.001,0.001,0.038
2024-07-26 04:15:00,0.001,0.001,0.001,0.13333333333333333
2024-07-26 04:30:00,0.001,0.001,0.001,0.082
2024-07-26 04:45:00,0.001,0.001,0.001,0.038
2024-07-26 05:00:00,0.001,0.001,0.001,0.038
2024-07-26 05:15:00,0.001,0.001,0.001,0.038
2024-07-26 05:30:00,0.001,0.001,0.001,0.038
2024-07-26 05:45:00,0.001,0.001,0.001,0.09666666666666666
2024-07-26 06:00:00,0.001,0.001,0.001,0.11866666666666666
2024-07-26 06:15:00,0.001,0.001,0.001,0.5710666666666666
2024-07-26 06:30:00,0.001,0.001,0.001,0.038
2024-07-26 06:45:00,0.001,0.001,0.001,0.038
2024-07-26 07:00:00,0.001,0.001,0.001,0.038
2024-07-26 07:15:00,0.001,0.001,0.001,0.05999999999999999
2024-07-26 07:30:00,0.001,0.001,0.001,0.148
2024-07-26 07:45:00,0.001,0.001,0.001,0.4451333333333333
2024-07-26 08:00:00,0.001,0.001,0.001,0.038
2024-07-26 08:15:00,0.001,0.001,0.001,0.038
2024-07-26 08:30:00,0.001,0.001,0.001,0.0484
2024-07-26 08:45:00,0.001,0.001,0.001,0.051
2024-07-26 09:00:00,0.001,0.001,0.001,0.14633333333333332
2024-07-26 09:15:00,0.001,0.001,0.001,0.095
2024-07-26 09:30:00,0.001,0.001,0.001,0.042333333333333334
2024-07-26 09:45:00,0.001,0.001,0.001,0.038
2024-07-26 10:00:00,0.001,0.001,0.001,0.038
2024-07-26 10:15:00,0.001,0.001,0.001,0.05272435876469334
2024-07-26 10:30:00,0.001,0.001,0.001,0.12821886401958096
2024-07-26 10:45:00,0.001,0.001,0.001,0.15021886401958098
2024-07-26 11:00:00,0.001,0.001,0.001,0.07034044684442588
2024-07-26 11:15:00,0.001,0.001,0.001,0.08137593972558779
2024-07-26 11:30:00,0.001,0.001,0.001,0.07085854060794969
2024-07-26 11:45:00,0.001,0.001,0.001,0.0498237423726735
2024-07-26 12:00:00,0.001,0.001,0.001,0.0718237423726735
2024-07-26 12:15:00,0.001,0.001,0.001,0.16272435876469335
2024-07-26 12:30:00,0.001,0.001,0.001,0.07688553068624765
2024-07-26 12:45:00,0.001,0.001,0.001,0.0695521973529143
2024-07-26 13:00:00,0.001,0.001,0.001,0.0695521973529143
2024-07-26 13:15:00,0.001,0.001,0.001,0.07761886401958097
2024-07-26 13:30:00,0.001,0.001,0.001,0.159
2024-07-26 13:45:00,0.001,0.001,0.001,0.25433333333333336
2024-07-26 14:00:00,0.001,0.001,0.001,0.20299999999999999
2024-07-26 14:15:00,0.001,0.001,0.001,0.159
2024-07-26 14:30:00,0.001,0.001,0.001,0.1348
2024-07-26 14:45:00,0.001,0.001,0.001,0.159
2024-07-26 15:00:00,0.001,0.001,0.001,0.159
2024-07-26 15:15:00,0.001,0.001,0.001,0.21766666666666667
2024-07-26 15:30:00,0.001,0.001,0.001,0.23966666666666667
2024-07-26 15:45:00,0.001,0.001,0.001,0.16609424542360413
2024-07-26 16:00:00,0.001,0.001,0.001,0.13049040903934017
2024-07-26 16:15:00,0.001,0.001,0.001,0.0603411414903116
2024-07-26 16:30:00,0.001,0.001,0.001,0.08137593972558779
2024-07-26 16:45:00,0.001,0.7458391507932689,0.001,0.1033759397255878
2024-07-26 17:00:00,0.001,1.8438313183695985,0.001,0.19058769023407626
2024-07-26 17:15:00,0.001,1.971994101397868,0.001,0.07688553068624765
2024-07-26 17:30:00,0.001,1.927021184257893,0.001,0.04641391929411048
2024-07-26 17:45:00,0.001,0.4647264759922531,0.001,0.038
2024-07-26 18:00:00,0.001,0.001,0.001,0.038
2024-07-26 18:15:00,0.001,0.001,0.001,0.038
2024-07-26 18:30:00,0.001,0.001,0.001,0.9329333333333332
2024-07-26 18:45:00,0.001,0.001,0.001,0.3485333333333333
2024-07-26 19:00:00,0.001,0.001,0.001,0.038
2024-07-26 19:15:00,0.001,0.001,0.001,0.038
2024-07-26 19:30:00,0.001,0.001,0.001,0.05413333333333334
2024-07-26 19:45:00,0.001,0.001,0.001,0.159
2024-07-26 20:00:00,0.001,0.001,0.001,0.21766666666666667
2024-07-26 20:15:00,0.001,0.001,0.001,0.7727333333333333
2024-07-26 20:30:00,0.001,0.001,0.001,0.159
2024-07-26 20:45:00,0.001,0.001,0.001,0.0864
2024-07-26 21:00:00,0.001,0.001,0.001,0.05903479823527621
2024-07-26 21:15:00,0.001,0.001,0.001,0.0695521973529143
2024-07-26 21:30:00,0.001,0.001,0.001,0.09155219735291431
2024-07-26 21:45:00,0.001,0.001,0.001,0.1795521973529143
2024-07-26 22:00:00,0.001,0.001,0.001,0.07688553068624765
2024-07-26 22:15:00,0.001,0.001,0.001,0.05062087894116572
2024-07-26 22:30:00,0.001,0.001,0.001,0.038
2024-07-26 22:45:00,0.001,0.001,0.001,0.05062087894116572
2024-07-26 23:00:00,0.001,0.001,0.001,0.0695521973529143
2024-07-26 23:15:00,0.001,0.001,0.001,0.16488553068624764
2024-07-26 23:30:00,0.001,0.001,0.001,0.1135521973529143
2024-07-26 23:45:00,0.001,0.001,0.001,0.0695521973529143
2024-07-27 00:00:00,0.001,0.001,0.001,0.0485173991176381
2024-07-27 00:15:00,0.001,0.001,0.001,0.038
2024-07-27 00:30:00,0.001,0.001,0.001,0.05272435876469334
2024-07-27 00:45:00,0.001,0.001,0.001,0.12821886401958096
2024-07-27 01:00:00,0.001,0.001,0.001,0.15021886401958098
2024-07-27 01:15:00,0.001,0.001,0.001,0.0695521973529143
2024-07-27 01:30:00,0.001,0.001,0.001,0.0695521973529143
2024-07-27 01:45:00,0.001,0.001,0.001,0.06534523770585907
2024-07-27 02:00:00,0.001,0.001,0.001,0.46304175788233143
2024-07-27 02:15:00,0.001,0.001,0.001,0.4913521973529143
2024-07-27 02:30:00,0.001,0.001,0.001,0.1795521973529143
2024-07-27 02:45:00,0.001,0.001,0.001,0.07688553068624765
2024-07-27 03:00:00,0.001,0.001,0.001,0.0695521973529143
2024-07-27 03:15:00,0.001,0.001,0.001,0.06744871752938669
2024-07-27 03:30:00,0.001,0.001,0.001,0.038
2024-07-27 03:45:00,0.001,0.001,0.001,0.038
2024-07-27 04:00:00,0.001,0.001,0.001,0.13333333333333333
2024-07-27 04:15:00,0.001,0.001,0.001,0.082
2024-07-27 04:30:00,0.001,0.001,0.001,0.038
2024-07-27 04:45:00,0.001,0.001,0.001,0.038
2024-07-27 05:00:00,0.001,0.001,0.001,0.038
2024-07-27 05:15:00,0.001,0.001,0.001,0.038
2024-07-27 05:30:00,0.001,0.001,0.001,0.09666666666666666
2024-07-27 05:45:00,0.001,0.001,0.001,0.11866666666666666
2024-07-27 06:00:00,0.001,0.001,0.001,0.038
2024-07-27 06:15:00,0.001,0.001,0.001,0.038
2024-07-27 06:30:00,0.001,0.001,0.001,0.038
2024-07-27 06:45:00,0.001,0.001,0.001,0.5710666666666666
2024-07-27 07:00:00,0.001,0.001,0.001,0.05999999999999999
2024-07-27 07:15:00,0.001,0.001,0.001,0.148
2024-07-27 07:30:00,0.001,0.001,0.001,0.04533333333333333
2024-07-27 07:45:00,0.001,0.001,0.001,0.038
2024-07-27 08:00:00,0.001,0.001,0.001,0.038
2024-07-27 08:15:00,0.001,0.001,0.001,0.43779999999999997
2024-07-27 08:30:00,0.001,0.001,0.001,0.038
2024-07-27 08:45:00,0.001,0.001,0.001,0.13333333333333333
2024-07-27 09:00:00,0.001,0.001,0.10233478986486258,0.082
2024-07-27 09:15:00,0.001,0.001,0.36330937265511193,0.038
2024-07-27 09:30:00,0.001,0.001,0.7448434248549539,0.038
2024-07-27 09:45:00,0.001,0.001,0.12795766130169658,0.038
2024-07-27 10:00:00,0.001,0.001,0.18132711716955444,0.038
2024-07-27 10:15:00,0.001,0.001,1.1661397118533803,0.09926666666666666
2024-07-27 10:30:00,0.001,0.001,0.596649559355055,0.13166666666666668
2024-07-27 10:45:00,0.001,0.001,0.12117046888454211,0.051
2024-07-27 11:00:00,0.001,0.001,0.2824425081346481,0.051
2024-07-27 11:15:00,0.001,0.001,0.9319294030625876,0.07624175788233144
2024-07-27 11:30:00,0.001,0.001,0.001,0.07561886401958097
2024-07-27 11:45:00,0.001,0.001,0.001,0.09155219735291431
2024-07-27 12:00:00,0.001,0.001,0.001,0.1795521973529143
2024-07-27 12:15:00,0.001,0.001,0.001,0.051643772803916195
2024-07-27 12:30:00,0.001,0.001,0.001,0.038
2024-07-27 12:45:00,0.001,0.001,0.001,0.038
2024-07-27 13:00:00,0.001,0.001,0.001,0.038
2024-07-27 13:15:00,0.001,0.001,0.001,0.038
2024-07-27 13:30:00,0.001,0.001,0.001,0.13333333333333333
2024-07-27 13:45:00,0.001,0.001,0.001,0.082
2024-07-27 14:00:00,0.001,0.001,0.001,0.038
2024-07-27 14:15:00,0.001,0.001,0.001,0.038
2024-07-27 14:30:00,0.001,0.001,0.001,0.038
2024-07-27 14:45:00,0.001,0.001,0.001,0.038
2024-07-27 15:00:00,0.001,0.001,0.001,0.09666666666666666
2024-07-27 15:15:00,0.001,0.001,0.001,0.12662757875693742
2024-07-27 15:30:00,0.001,0.001,0.001,0.0628237423726735
2024-07-27 15:45:00,0.001,0.001,0.001,0.0628237423726735
2024-07-27 16:00:00,0.001,0.001,0.001,0.0628237423726735
2024-07-27 16:15:00,0.001,0.001,0.001,0.4555294969490694
2024-07-27 16:30:00,0.001,0.001,0.001,0.0626
2024-07-27 16:45:00,0.001,0.001,0.001,0.1606079141242245
2024-07-27 17:00:00,0.001,0.001,0.001,0.0782237423726735
2024-07-27 17:15:00,0.001,0.001,0.001,0.18382374237267352
2024-07-27 17:30:00,0.001,0.001,0.001,0.18382374237267352
2024-07-27 17:45:00,0.001,0.001,0.001,0.17255707570600684
2024-07-27 18:00:00,0.001,0.001,0.001,0.1708237423726735
2024-07-27 18:15:00,0.001,0.001,0.001,0.25748633129937964
2024-07-27 18:30:00,0.001,0.001,0.08198752458236763,0.082
2024-07-27 18:45:00,0.001,0.001,0.22577821760524625,0.04824724338965037
2024-07-27 19:00:00,0.001,0.001,1.1005373010781025,0.0498237423726735
2024-07-27 19:15:00,0.001,0.001,0.1826653497677094,0.0498237423726735
2024-07-27 19:30:00,0.001,0.001,0.137110304242186,0.0498237423726735
2024-07-27 19:45:00,0.001,0.001,0.2502079141020956,0.10849040903934017
2024-07-27 20:00:00,0.001,0.001,0.6559089073405496,0.12812566056480545
2024-07-27 20:15:00,0.001,0.001,0.12951676761525008,0.038
2024-07-27 20:30:00,0.001,0.001,0.2676745865142295,0.038
2024-07-27 20:45:00,0.001,0.001,0.17451129193977946,0.038
