,BaseLoad,P_EV,P_HP
2024-01-06 23:15:00,0.33937593972558777,0.0,0.0
2024-01-06 23:30:00,0.3151759397255878,0.0,0.0
2024-01-06 23:45:00,0.3703759397255878,0.0,0.0
2024-01-07 00:00:00,0.36170519531896056,0.0,0.0
2024-01-07 00:15:00,0.07468754560783239,0.0,0.0
2024-01-07 00:30:00,0.054,0.0,0.0
2024-01-07 00:45:00,0.054,0.0,0.0
2024-01-07 01:00:00,0.46186666666666665,0.0,0.0
2024-01-07 01:15:00,0.3143333333333333,0.0,0.0
2024-01-07 01:30:00,0.3396666666666667,0.0,0.0
2024-01-07 01:45:00,0.175,0.0,0.0
2024-01-07 02:00:00,0.175,0.0,0.0
2024-01-07 02:15:00,0.11046666666666667,0.0,0.0
2024-01-07 02:30:00,0.054,0.0,0.0
2024-01-07 02:45:00,0.18066666666666667,0.0,0.0
2024-01-07 03:00:00,0.2313333333333333,0.0,0.0
2024-01-07 03:15:00,0.054,0.0,0.0
2024-01-07 03:30:00,0.054,0.0,0.0
2024-01-07 03:45:00,0.054,0.0,2.1333333333333333
2024-01-07 04:00:00,0.4538,0.0,1.6
2024-01-07 04:15:00,0.168,0.0,0.0
2024-01-07 04:30:00,0.7770666666666666,0.0,1.3333333333333333
2024-01-07 04:45:00,0.5870666666666666,0.0,2.4
2024-01-07 05:00:00,0.054,0.0,0.0
2024-01-07 05:15:00,0.054,0.0,0.0
2024-01-07 05:30:00,0.054,0.0,0.0
2024-01-07 05:45:00,0.15533333333333335,0.0,0.0
2024-01-07 06:00:00,0.24400000000000002,0.0,0.0
2024-01-07 06:15:00,0.46646666666666664,0.0,3.466666666666667
2024-01-07 06:30:00,0.054,0.0,4.0
2024-01-07 06:45:00,0.054,0.0,4.0
2024-01-07 07:00:00,0.4538,0.0,2.933333333333333
2024-01-07 07:15:00,0.14266666666666666,0.0,0.0
2024-01-07 07:30:00,0.24746666666666664,0.0,3.466666666666667
2024-01-07 07:45:00,0.09233333333333334,0.0,2.1333333333333333
2024-01-07 08:00:00,0.07604666666666667,1.4666666666666666,0.0
2024-01-07 08:15:00,0.2027,11.0,0.0
2024-01-07 08:30:00,0.2027,5.866666666666666,0.26666666666666666
2024-01-07 08:45:00,0.2787,0.0,4.0
2024-01-07 09:00:00,0.3927,0.0,0.8
2024-01-07 09:15:00,0.2407,0.0,0.0
2024-01-07 09:30:00,1.5620999999999998,0.0,0.0
2024-01-07 09:45:00,1.8020333333333332,0.0,0.0
2024-01-07 10:00:00,0.19576666666666664,0.0,3.7333333333333334
2024-01-07 10:15:00,0.25303333333333333,0.0,1.0666666666666667
2024-01-07 10:30:00,0.4845666666666667,0.0,0.0
2024-01-07 10:45:00,0.36136666666666667,0.0,0.0
2024-01-07 11:00:00,0.3107,0.0,0.0
2024-01-07 11:15:00,0.3107,0.0,2.933333333333333
2024-01-07 11:30:00,0.3107,0.0,1.8666666666666667
2024-01-07 11:45:00,0.24036666666666665,0.0,0.0
2024-01-07 12:00:00,0.3797,0.0,0.0
2024-01-07 12:15:00,0.25303333333333333,0.0,0.0
2024-01-07 12:30:00,0.18969999999999995,0.0,0.8
2024-01-07 12:45:00,0.18969999999999995,0.0,4.0
2024-01-07 13:00:00,0.21914871752938667,3.6666666666666665,0.0
