,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-09 21:30:00,0.001,0.001,0.0,0.001,0.22182374237267352,0.0
2024-01-09 21:45:00,0.001,0.001,0.0,0.001,0.3738237423726735,0.0
2024-01-09 22:00:00,0.001,0.001,0.0,0.001,0.3208237423726735,0.0
2024-01-09 22:15:00,0.001,0.001,0.0,0.001,0.17682374237267354,0.0
2024-01-09 22:30:00,0.001,0.001,0.0,0.001,0.05967074440662724,0.0
2024-01-09 22:45:00,0.001,0.001,0.0,0.001,0.07633333333333334,0.0
2024-01-09 23:00:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-09 23:15:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-09 23:30:00,0.001,0.001,0.0,0.001,0.17766666666666667,0.0
2024-01-09 23:45:00,0.001,0.001,0.0,0.001,0.11433333333333333,0.0
2024-01-10 00:00:00,0.001,0.001,0.0,0.001,0.06366666666666666,0.0
2024-01-10 00:15:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-10 00:30:00,0.001,0.001,0.0,0.001,0.17766666666666667,0.0
2024-01-10 00:45:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 01:00:00,0.001,0.001,0.0,0.001,0.22833333333333333,0.0
2024-01-10 01:15:00,0.001,0.001,0.0,0.001,0.06366666666666666,0.0
2024-01-10 01:30:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-10 01:45:00,0.001,0.001,0.0,0.001,0.19033333333333333,0.0
2024-01-10 02:00:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 02:15:00,0.001,0.001,0.0,0.001,0.089,0.0
2024-01-10 02:30:00,0.001,0.001,0.0,0.001,0.20299999999999999,0.0
2024-01-10 02:45:00,0.001,0.001,0.0,0.001,0.22833333333333333,0.0
2024-01-10 03:00:00,0.001,0.001,0.0,0.001,0.20299999999999999,0.0
2024-01-10 03:15:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 03:30:00,0.001,0.001,0.0,0.001,0.051,0.2
2024-01-10 03:45:00,0.001,0.001,0.0,0.001,0.13966666666666666,3.0
2024-01-10 04:00:00,0.001,0.001,0.0,0.001,0.317,1.6
2024-01-10 04:15:00,0.001,0.001,0.0,0.001,0.21566666666666665,0.0
2024-01-10 04:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 04:45:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 05:00:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 05:15:00,0.001,0.001,0.0,0.001,0.3423333333333333,0.0
2024-01-10 05:30:00,0.001,0.001,0.0,0.001,0.27899999999999997,0.0
2024-01-10 05:45:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 06:00:00,0.001,0.001,0.0,0.001,0.051,2.8
2024-01-10 06:15:00,0.001,0.001,0.0,0.001,0.051,0.4
2024-01-10 06:30:00,0.001,0.001,0.0,0.001,0.19033333333333333,0.0
2024-01-10 06:45:00,0.001,0.001,0.0,0.001,0.431,0.0
2024-01-10 07:00:00,0.001,0.001,6.666666666666667e-05,0.001,0.9908,0.0
2024-01-10 07:15:00,0.001,0.001,0.001,0.001,0.0710942454236041,0.0
2024-01-10 07:30:00,0.001,0.001,1.2004666666666668,0.001,0.0758237423726735,0.0
2024-01-10 07:45:00,0.001,0.001,0.001,0.001,0.6426237423726736,0.0
2024-01-10 08:00:00,0.001,0.001,0.001,0.001,0.43749040903934017,0.0
2024-01-10 08:15:00,0.001,0.001,0.001,0.001,0.34882374237267355,0.0
2024-01-10 08:30:00,0.001,0.001,0.001,0.001,0.1968237423726735,0.0
2024-01-10 08:45:00,0.001,0.001,0.001,0.001,0.1726237423726735,0.0
2024-01-10 09:00:00,0.001,0.5133357661134783,0.001,0.001,0.18982374237267352,0.0
2024-01-10 09:15:00,0.001,1.8126105293494639,0.9006000000000001,0.020933333333333335,0.26582374237267353,0.0
2024-01-10 09:30:00,0.001,1.9750930667388347,1.0505333333333333,0.31359415481395836,0.20091391005631704,1.8
2024-01-10 09:45:00,0.001,1.9517746161720926,1.0505333333333333,0.7784300551217537,0.14659999999999998,1.4
2024-01-10 10:00:00,0.001,0.7872116014247428,0.1509333333333333,0.19031532135688214,0.051,0.0
2024-01-10 10:15:00,0.001,0.001,0.001,0.16125635070014202,0.15233333333333335,0.0
2024-01-10 10:30:00,0.001,0.001,0.001,0.9356263301377817,0.241,0.0
2024-01-10 10:45:00,0.001,0.001,0.001,0.8501022392556616,0.089,0.0
2024-01-10 11:00:00,0.001,0.001,0.001,0.11419909048795261,0.20299999999999999,0.0
2024-01-10 11:15:00,0.001,0.001,0.001,0.2357076404471998,0.089,0.0
2024-01-10 11:30:00,0.001,0.001,0.001,0.6393256247629363,0.5394666666666665,0.0
2024-01-10 11:45:00,0.001,0.001,1.9501333333333333,0.3796138767187912,0.241,0.0
2024-01-10 12:00:00,0.001,0.001,0.4508,0.001,0.10166666666666666,0.0
2024-01-10 12:15:00,0.001,0.001,0.001,0.001,0.4634666666666666,0.0
2024-01-10 12:30:00,0.001,0.001,0.00046666666666666666,0.001,0.22833333333333333,0.0
2024-01-10 12:45:00,0.001,0.001,0.0,0.001,0.12699999999999997,0.0
2024-01-10 13:00:00,0.001,0.001,0.0,0.001,0.7740666666666667,1.0
2024-01-10 13:15:00,0.001,0.001,0.0,0.001,0.11433333333333333,0.0
2024-01-10 13:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 13:45:00,0.001,0.001,0.0,0.001,0.5141333333333333,0.0
2024-01-10 14:00:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-10 14:15:00,0.001,0.001,0.0,0.001,0.29528,1.6
2024-01-10 14:30:00,0.001,0.001,0.0,0.001,0.2627,1.6
2024-01-10 14:45:00,0.001,0.001,0.0,0.001,0.18669999999999998,0.0
2024-01-10 15:00:00,0.001,0.001,0.0,0.001,0.8530333333333332,0.0
2024-01-10 15:15:00,0.001,0.001,0.0,0.001,0.4846333333333333,0.0
2024-01-10 15:30:00,0.001,0.001,0.0,0.001,0.45270000000000005,0.0
2024-01-10 15:45:00,0.001,0.001,0.0,0.001,0.27536666666666665,0.0
2024-01-10 16:00:00,0.001,0.001,0.0,0.001,0.18669999999999998,0.0
2024-01-10 16:15:00,0.001,0.001,0.0,0.001,0.18669999999999998,0.0
2024-01-10 16:30:00,0.001,0.001,0.0,0.001,0.22469999999999998,0.0
2024-01-10 16:45:00,0.001,0.001,0.0,0.001,0.5413666666666668,0.0
2024-01-10 17:00:00,0.001,0.001,0.0,0.001,0.3133666666666667,0.0
2024-01-10 17:15:00,0.001,0.001,0.0,0.001,0.18669999999999998,0.0
2024-01-10 17:30:00,0.001,0.001,0.0,0.001,0.23085999999999998,0.0
2024-01-10 17:45:00,0.001,0.001,0.0,0.001,0.2782733333333333,1.4
2024-01-10 18:00:00,0.001,0.001,0.0,0.001,0.49035333333333336,1.8
2024-01-10 18:15:00,0.001,0.001,0.0,0.001,0.46536666666666676,0.0
2024-01-10 18:30:00,0.001,0.001,0.0,0.001,0.18669999999999998,0.0
2024-01-10 18:45:00,0.001,0.001,0.0,0.001,0.18669999999999998,0.0
2024-01-10 19:00:00,0.001,0.001,0.0,0.001,0.19936666666666664,0.0
2024-01-10 19:15:00,0.001,0.001,0.0,0.001,0.3767,0.0
2024-01-10 19:30:00,0.001,0.001,0.0,0.001,0.38032,0.0
2024-01-10 19:45:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-10 20:00:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 20:15:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 20:30:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-10 20:45:00,0.001,0.001,0.0,0.001,0.19033333333333333,0.0
2024-01-10 21:00:00,0.001,0.001,0.0,0.001,0.17766666666666667,0.2
2024-01-10 21:15:00,0.001,0.001,0.0,0.001,0.11433333333333333,3.0
2024-01-10 21:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 21:45:00,0.001,0.001,0.0,0.001,0.22833333333333333,0.0
2024-01-10 22:00:00,0.001,0.001,0.0,0.001,0.20299999999999999,0.0
2024-01-10 22:15:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-10 22:30:00,0.001,0.001,0.0,0.001,0.22833333333333333,0.0
2024-01-10 22:45:00,0.001,0.001,0.0,0.001,0.6496472433896504,0.0
2024-01-10 23:00:00,0.001,0.001,0.0,0.001,0.3614904090393402,0.0
2024-01-10 23:15:00,0.001,0.001,0.0,0.001,0.3614904090393402,0.0
2024-01-10 23:30:00,0.001,0.001,0.0,0.001,0.5966237423726736,0.0
2024-01-10 23:45:00,0.001,0.001,0.0,0.001,0.2322237423726735,0.0
2024-01-11 00:00:00,0.001,0.001,0.0,0.001,0.31162374237267354,0.0
2024-01-11 00:15:00,0.001,0.001,0.0,0.001,0.21482374237267352,0.0
2024-01-11 00:30:00,0.001,0.001,0.0,0.001,0.24015707570600683,0.0
2024-01-11 00:45:00,0.001,0.001,0.0,0.001,0.0628237423726735,0.0
2024-01-11 01:00:00,0.001,0.001,0.0,0.001,0.5958904090393401,0.0
2024-01-11 01:15:00,0.001,0.001,0.0,0.001,0.16070146490194284,0.0
2024-01-11 01:30:00,0.001,0.001,0.0,0.001,0.32321886401958094,0.0
2024-01-11 01:45:00,0.001,0.001,0.0,0.001,0.27255219735291425,0.0
2024-01-11 02:00:00,0.001,0.001,0.0,0.001,0.08255219735291432,0.0
2024-01-11 02:15:00,0.001,0.001,0.0,0.001,0.08255219735291432,0.0
2024-01-11 02:30:00,0.001,0.001,0.0,0.001,0.07413827805880382,0.0
2024-01-11 02:45:00,0.001,0.001,0.0,0.001,0.317,0.0
2024-01-11 03:00:00,0.001,0.001,0.0,0.001,0.2916666666666667,0.0
2024-01-11 03:15:00,0.001,0.001,0.0,0.001,0.06366666666666666,0.0
2024-01-11 03:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 03:45:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 04:00:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-11 04:15:00,0.001,0.001,0.0,0.001,0.431,2.6
2024-01-11 04:30:00,0.001,0.001,0.0,0.001,0.07633333333333334,3.0
2024-01-11 04:45:00,0.001,0.001,0.0,0.001,0.051,1.0
2024-01-11 05:00:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-11 05:15:00,0.001,0.001,0.0,0.001,0.15233333333333335,0.0
2024-01-11 05:30:00,0.001,0.001,0.0,0.001,0.2916666666666667,0.0
