,BaseLoad,P_EV
2024-01-06 19:30:00,0.2285521973529143,0.0
2024-01-06 19:45:00,0.0883759397255878,0.0
2024-01-06 20:00:00,0.1609759397255878,0.0
2024-01-06 20:15:00,0.26804260639225447,0.0
2024-01-06 20:30:00,0.27537593972558777,0.0
2024-01-06 20:45:00,0.3360426063922545,0.0
2024-01-06 21:00:00,0.3352543569007429,0.0
2024-01-06 21:15:00,0.07830842454899813,0.0
2024-01-06 21:30:00,0.04578824949151157,0.0
2024-01-06 21:45:00,0.06415707570600683,0.0
2024-01-06 22:00:00,0.1668237423726735,0.0
2024-01-06 22:15:00,0.21615707570600684,0.0
2024-01-06 22:30:00,0.15815707570600684,0.0
2024-01-06 22:45:00,0.0789037423726735,0.0
2024-01-06 23:00:00,0.10195616361573606,0.0
2024-01-06 23:15:00,0.6990666666666667,0.0
2024-01-06 23:30:00,0.25724175788233145,0.0
2024-01-06 23:45:00,0.4335521973529143,0.0
2024-01-07 00:00:00,0.2735521973529143,0.0
2024-01-07 00:15:00,0.18948553068624763,0.0
2024-01-07 00:30:00,0.07234523770585907,0.0
2024-01-07 00:45:00,0.045,0.0
2024-01-07 01:00:00,0.07233333333333333,0.0
2024-01-07 01:15:00,0.345,0.0
2024-01-07 01:30:00,0.6287333333333333,0.0
2024-01-07 01:45:00,0.045,0.0
2024-01-07 02:00:00,0.045,0.0
2024-01-07 02:15:00,0.045,0.0
2024-01-07 02:30:00,0.08299999999999999,0.0
2024-01-07 02:45:00,0.30833333333333335,0.0
2024-01-07 03:00:00,0.12166666666666666,0.0
2024-01-07 03:15:00,0.045,0.0
2024-01-07 03:30:00,0.045,0.0
2024-01-07 03:45:00,0.045,0.0
2024-01-07 04:00:00,0.10833333333333334,0.0
2024-01-07 04:15:00,0.25699999999999995,0.0
2024-01-07 04:30:00,0.14766666666666667,0.0
2024-01-07 04:45:00,0.045,0.0
2024-01-07 05:00:00,0.045,0.0
2024-01-07 05:15:00,0.045,0.0
2024-01-07 05:30:00,0.13366666666666666,0.0
2024-01-07 05:45:00,0.20966666666666667,0.0
2024-01-07 06:00:00,0.12566666666666668,0.0
2024-01-07 06:15:00,0.089,0.0
2024-01-07 06:30:00,0.045,0.0
2024-01-07 06:45:00,0.045,0.0
2024-01-07 07:00:00,0.15899999999999997,0.0
2024-01-07 07:15:00,0.18433333333333332,0.0
2024-01-07 07:30:00,0.07433333333333333,0.0
2024-01-07 07:45:00,0.14033333333333334,0.0
2024-01-07 08:00:00,0.045,0.0
2024-01-07 08:15:00,0.045,0.0
2024-01-07 08:30:00,0.18433333333333332,2.2
2024-01-07 08:45:00,0.15899999999999997,5.866666666666666
2024-01-07 09:00:00,0.045,0.0
2024-01-07 09:15:00,0.13299999999999998,0.0
2024-01-07 09:30:00,0.08166666666666668,0.0
2024-01-07 09:45:00,0.045,0.0
2024-01-07 10:00:00,0.20966666666666667,0.0
2024-01-07 10:15:00,0.13366666666666666,0.0
2024-01-07 10:30:00,0.045,0.0
2024-01-07 10:45:00,0.08166666666666668,0.0
2024-01-07 11:00:00,0.13299999999999998,0.0
2024-01-07 11:15:00,0.045,0.0
2024-01-07 11:30:00,0.235,0.0
2024-01-07 11:45:00,0.10833333333333334,0.0
2024-01-07 12:00:00,0.045,0.0
2024-01-07 12:15:00,0.045,4.4
2024-01-07 12:30:00,0.14033333333333334,3.6666666666666665
2024-01-07 12:45:00,0.09966666666666665,0.0
2024-01-07 13:00:00,0.235,0.0
2024-01-07 13:15:00,0.08299999999999999,0.0
2024-01-07 13:30:00,0.045,0.0
2024-01-07 13:45:00,0.045,0.0
2024-01-07 14:00:00,0.089,0.0
2024-01-07 14:15:00,0.17633333333333334,0.0
2024-01-07 14:30:00,0.235,0.0
2024-01-07 14:45:00,0.057666666666666665,0.0
2024-01-07 15:00:00,0.045,0.0
2024-01-07 15:15:00,0.045,0.0
2024-01-07 15:30:00,0.045,0.0
2024-01-07 15:45:00,0.22366666666666665,0.0
2024-01-07 16:00:00,0.24433333333333332,0.0
2024-01-07 16:15:00,0.045,0.0
2024-01-07 16:30:00,0.045,0.0
2024-01-07 16:45:00,0.045,0.0
2024-01-07 17:00:00,0.045,0.0
2024-01-07 17:15:00,0.19766666666666666,0.0
2024-01-07 17:30:00,0.2703333333333333,0.0
2024-01-07 17:45:00,0.045,0.0
2024-01-07 18:00:00,0.045,0.0
2024-01-07 18:15:00,0.045,0.0
2024-01-07 18:30:00,0.045,0.0
2024-01-07 18:45:00,0.17166666666666666,0.0
2024-01-07 19:00:00,0.2816666666666666,0.0
2024-01-07 19:15:00,0.059666666666666666,0.0
2024-01-07 19:30:00,0.045,0.0
2024-01-07 19:45:00,0.045,0.0
2024-01-07 20:00:00,0.045,0.0
2024-01-07 20:15:00,0.197,0.0
2024-01-07 20:30:00,0.205,0.0
2024-01-07 20:45:00,0.111,0.0
2024-01-07 21:00:00,0.045,0.0
2024-01-07 21:15:00,0.045,0.0
2024-01-07 21:30:00,0.045,0.0
2024-01-07 21:45:00,0.22233333333333333,0.0
2024-01-07 22:00:00,0.12833333333333333,0.0
2024-01-07 22:15:00,0.155,0.0
2024-01-07 22:30:00,0.05233333333333333,0.0
2024-01-07 22:45:00,0.045,0.0
2024-01-07 23:00:00,0.057666666666666665,0.0
2024-01-07 23:15:00,0.235,0.0
2024-01-07 23:30:00,0.09566666666666665,0.0
2024-01-07 23:45:00,0.111,0.0
2024-01-08 00:00:00,0.10366666666666666,0.0
2024-01-08 00:15:00,0.045,0.0
2024-01-08 00:30:00,0.08299999999999999,0.0
2024-01-08 00:45:00,0.235,0.0
2024-01-08 01:00:00,0.07033333333333333,0.0
2024-01-08 01:15:00,0.059666666666666666,0.0
2024-01-08 01:30:00,0.155,0.0
2024-01-08 01:45:00,0.045,0.0
2024-01-08 02:00:00,0.10833333333333334,0.0
2024-01-08 02:15:00,0.235,0.0
2024-01-08 02:30:00,0.045,0.0
2024-01-08 02:45:00,0.045,0.0
2024-01-08 03:00:00,0.11833333333333333,0.0
2024-01-08 03:15:00,0.09633333333333334,0.0
2024-01-08 03:30:00,0.13366666666666666,0.0
2024-01-08 03:45:00,0.20966666666666667,0.0
2024-01-08 04:00:00,0.045,2.933333333333333
2024-01-08 04:15:00,0.045,0.0
2024-01-08 04:30:00,0.06699999999999999,0.0
2024-01-08 04:45:00,0.14766666666666667,0.0
2024-01-08 05:00:00,0.15899999999999997,0.0
2024-01-08 05:15:00,0.18433333333333332,0.0
2024-01-08 05:30:00,0.045,0.0
2024-01-08 05:45:00,0.045,0.0
2024-01-08 06:00:00,0.045,0.7333333333333333
2024-01-08 06:15:00,0.12566666666666668,0.0
2024-01-08 06:30:00,0.22833333333333333,0.0
2024-01-08 06:45:00,0.15899999999999997,0.0
2024-01-08 07:00:00,0.045,0.0
2024-01-08 07:15:00,0.045,0.0
2024-01-08 07:30:00,0.045,0.0
2024-01-08 07:45:00,0.07433333333333333,0.0
2024-01-08 08:00:00,0.30499999999999994,0.0
2024-01-08 08:15:00,0.13366666666666666,0.0
2024-01-08 08:30:00,0.045,0.0
2024-01-08 08:45:00,0.045,0.0
2024-01-08 09:00:00,0.045,0.0
2024-01-08 09:15:00,0.045,0.0
2024-01-08 09:30:00,0.323,0.0
2024-01-08 09:45:00,0.145,0.0
2024-01-08 10:00:00,0.045,0.0
2024-01-08 10:15:00,0.045,0.0
2024-01-08 10:30:00,0.045,0.0
2024-01-08 10:45:00,0.07033333333333333,0.0
2024-01-08 11:00:00,0.2716666666666666,0.0
2024-01-08 11:15:00,0.17099999999999999,0.0
2024-01-08 11:30:00,0.045,0.0
2024-01-08 11:45:00,0.045,0.0
2024-01-08 12:00:00,0.045,8.066666666666666
2024-01-08 12:15:00,0.09566666666666666,2.2
2024-01-08 12:30:00,0.235,0.0
2024-01-08 12:45:00,0.153,0.0
2024-01-08 13:00:00,0.07433333333333333,0.0
2024-01-08 13:15:00,0.045,0.0
2024-01-08 13:30:00,0.045,0.0
2024-01-08 13:45:00,0.121,0.0
2024-01-08 14:00:00,0.22233333333333333,0.0
2024-01-08 14:15:00,0.089,0.0
2024-01-08 14:30:00,0.12566666666666668,0.0
2024-01-08 14:45:00,0.045,0.0
2024-01-08 15:00:00,0.045,0.0
2024-01-08 15:15:00,0.14633333333333332,0.0
2024-01-08 15:30:00,0.19699999999999998,0.0
2024-01-08 15:45:00,0.045,0.0
2024-01-08 16:00:00,0.14766666666666667,0.0
2024-01-08 16:15:00,0.06699999999999999,0.0
2024-01-08 16:30:00,0.045,0.0
2024-01-08 16:45:00,0.17166666666666666,0.0
2024-01-08 17:00:00,0.17166666666666666,0.0
2024-01-08 17:15:00,0.045,0.0
2024-01-08 17:30:00,0.09633333333333334,0.0
2024-01-08 17:45:00,0.11833333333333333,0.0
2024-01-08 18:00:00,0.045,0.0
2024-01-08 18:15:00,0.197,0.0
2024-01-08 18:30:00,0.14633333333333332,0.0
2024-01-08 18:45:00,0.045,0.0
2024-01-08 19:00:00,0.045,0.0
2024-01-08 19:15:00,0.155,0.0
2024-01-08 19:30:00,0.059666666666666666,0.0
2024-01-08 19:45:00,0.22233333333333333,0.0
2024-01-08 20:00:00,0.121,0.0
2024-01-08 20:15:00,0.045,0.0
2024-01-08 20:30:00,0.045,0.0
2024-01-08 20:45:00,0.10366666666666666,0.0
2024-01-08 21:00:00,0.12366666666666666,0.0
2024-01-08 21:15:00,0.235,0.0
2024-01-08 21:30:00,0.09566666666666665,0.0
2024-01-08 21:45:00,0.045,0.0
2024-01-08 22:00:00,0.045,0.0
2024-01-08 22:15:00,0.05233333333333333,0.0
2024-01-08 22:30:00,0.193,0.0
2024-01-08 22:45:00,0.24233333333333332,0.0
2024-01-08 23:00:00,0.07033333333333333,0.0
2024-01-08 23:15:00,0.045,0.0
2024-01-08 23:30:00,0.045,0.0
2024-01-08 23:45:00,0.045,0.0
2024-01-09 00:00:00,0.1743333333333333,0.0
2024-01-09 00:15:00,0.29366666666666663,0.0
2024-01-09 00:30:00,0.045,0.0
2024-01-09 00:45:00,0.045,0.0
2024-01-09 01:00:00,0.045,0.0
2024-01-09 01:15:00,0.045,0.0
2024-01-09 01:30:00,0.14833333333333332,0.0
2024-01-09 01:45:00,0.31966666666666665,0.0
2024-01-09 02:00:00,0.045,0.0
2024-01-09 02:15:00,0.045,0.0
2024-01-09 02:30:00,0.045,0.0
2024-01-09 02:45:00,0.045,0.0
2024-01-09 03:00:00,0.15899999999999997,0.0
2024-01-09 03:15:00,0.25766666666666665,0.0
2024-01-09 03:30:00,0.09633333333333334,0.0
2024-01-09 03:45:00,0.045,0.0
2024-01-09 04:00:00,0.045,0.0
2024-01-09 04:15:00,0.045,0.0
2024-01-09 04:30:00,0.18433333333333332,0.0
2024-01-09 04:45:00,0.181,0.0
2024-01-09 05:00:00,0.14766666666666667,0.0
2024-01-09 05:15:00,0.045,0.0
2024-01-09 05:30:00,0.045,0.0
2024-01-09 05:45:00,0.045,0.0
2024-01-09 06:00:00,0.20966666666666667,0.0
2024-01-09 06:15:00,0.13366666666666666,0.0
2024-01-09 06:30:00,0.12566666666666668,0.0
2024-01-09 06:45:00,0.089,0.0
2024-01-09 07:00:00,0.045,0.0
2024-01-09 07:15:00,0.045,0.0
2024-01-09 07:30:00,0.235,0.0
2024-01-09 07:45:00,0.10833333333333334,0.0
2024-01-09 08:00:00,0.07433333333333333,0.0
2024-01-09 08:15:00,0.14033333333333334,0.0
2024-01-09 08:30:00,0.045,0.0
2024-01-09 08:45:00,0.07033333333333333,0.0
2024-01-09 09:00:00,0.235,0.0
2024-01-09 09:15:00,0.08299999999999999,0.0
2024-01-09 09:30:00,0.045,0.0
2024-01-09 09:45:00,0.13299999999999998,0.0
2024-01-09 10:00:00,0.08166666666666668,0.0
2024-01-09 10:15:00,0.09566666666666666,0.0
2024-01-09 10:30:00,0.235,8.066666666666666
2024-01-09 10:45:00,0.057666666666666665,2.933333333333333
2024-01-09 11:00:00,0.045,0.0
2024-01-09 11:15:00,0.08166666666666668,0.0
2024-01-09 11:30:00,0.13299999999999998,0.0
2024-01-09 11:45:00,0.121,0.7333333333333333
2024-01-09 12:00:00,0.22233333333333333,0.0
2024-01-09 12:15:00,0.045,0.0
2024-01-09 12:30:00,0.045,0.0
2024-01-09 12:45:00,0.045,0.0
2024-01-09 13:00:00,0.14033333333333334,0.0
2024-01-09 13:15:00,0.17566666666666667,0.0
2024-01-09 13:30:00,0.19699999999999998,0.0
2024-01-09 13:45:00,0.045,0.0
2024-01-09 14:00:00,0.045,0.0
2024-01-09 14:15:00,0.045,0.0
2024-01-09 14:30:00,0.089,0.0
2024-01-09 14:45:00,0.2523333333333333,0.0
2024-01-09 15:00:00,0.17166666666666666,0.0
2024-01-09 15:15:00,0.045,0.0
2024-01-09 15:30:00,0.045,0.0
2024-01-09 15:45:00,0.045,0.7333333333333333
2024-01-09 16:00:00,0.045,0.0
2024-01-09 16:15:00,0.29966666666666664,0.0
2024-01-09 16:30:00,0.16833333333333333,0.0
2024-01-09 16:45:00,0.045,0.0
2024-01-09 17:00:00,0.045,0.0
2024-01-09 17:15:00,0.045,0.0
2024-01-09 17:30:00,0.045,0.0
2024-01-09 17:45:00,0.2736666666666666,0.0
2024-01-09 18:00:00,0.19433333333333333,0.0
2024-01-09 18:15:00,0.045,0.0
2024-01-09 18:30:00,0.045,0.0
2024-01-09 18:45:00,0.045,0.0
2024-01-09 19:00:00,0.057666666666666665,0.0
2024-01-09 19:15:00,0.235,0.0
2024-01-09 19:30:00,0.20566666666666666,0.0
2024-01-09 19:45:00,0.059666666666666666,0.0
2024-01-09 20:00:00,0.045,0.0
2024-01-09 20:15:00,0.045,0.0
2024-01-09 20:30:00,0.6160666666666667,0.0
2024-01-09 20:45:00,0.235,0.0
2024-01-09 21:00:00,0.129,0.0
2024-01-09 21:15:00,0.111,0.0
2024-01-09 21:30:00,0.045,0.0
2024-01-09 21:45:00,0.045,0.0
2024-01-09 22:00:00,0.10833333333333334,0.0
2024-01-09 22:15:00,0.235,0.0
2024-01-09 22:30:00,0.05233333333333333,0.0
2024-01-09 22:45:00,0.155,0.0
2024-01-09 23:00:00,0.05233333333333333,0.0
2024-01-09 23:15:00,0.045,0.0
2024-01-09 23:30:00,0.13366666666666666,0.0
2024-01-09 23:45:00,0.20966666666666667,0.0
2024-01-10 00:00:00,0.045,0.0
2024-01-10 00:15:00,0.111,0.0
2024-01-10 00:30:00,0.10366666666666666,0.0
2024-01-10 00:45:00,0.045,0.0
2024-01-10 01:00:00,0.15899999999999997,0.0
2024-01-10 01:15:00,0.18433333333333332,0.0
2024-01-10 01:30:00,0.045,0.0
2024-01-10 01:45:00,0.059666666666666666,0.0
2024-01-10 02:00:00,0.155,0.0
2024-01-10 02:15:00,0.045,0.0
2024-01-10 02:30:00,0.18433333333333332,0.0
2024-01-10 02:45:00,0.15899999999999997,0.0
2024-01-10 03:00:00,0.045,0.0
2024-01-10 03:15:00,0.045,0.0
2024-01-10 03:30:00,0.11833333333333333,0.0
2024-01-10 03:45:00,0.49613333333333337,0.0
2024-01-10 04:00:00,0.20966666666666667,0.0
2024-01-10 04:15:00,0.13366666666666666,0.0
2024-01-10 04:30:00,0.045,0.0
2024-01-10 04:45:00,0.045,0.0
2024-01-10 05:00:00,0.06699999999999999,0.0
2024-01-10 05:15:00,0.14766666666666667,0.0
2024-01-10 05:30:00,0.235,0.0
2024-01-10 05:45:00,0.10833333333333334,0.0
2024-01-10 06:00:00,0.045,0.0
2024-01-10 06:15:00,0.045,0.0
2024-01-10 06:30:00,0.045,0.0
2024-01-10 06:45:00,0.15099999999999997,0.0
2024-01-10 07:00:00,0.27899999999999997,0.0
2024-01-10 07:15:00,0.08299999999999999,0.0
2024-01-10 07:30:00,0.045,0.0
2024-01-10 07:45:00,0.048466666666666665,0.0
2024-01-10 08:00:00,0.058,0.0
2024-01-10 08:15:00,0.13799999999999998,0.0
2024-01-10 08:30:00,0.3433333333333333,0.0
2024-01-10 08:45:00,0.06286666666666667,0.0
2024-01-10 09:00:00,0.045,0.0
2024-01-10 09:15:00,0.045,0.0
2024-01-10 09:30:00,0.045,0.0
2024-01-10 09:45:00,0.121,0.0
2024-01-10 10:00:00,0.3103333333333333,0.0
2024-01-10 10:15:00,0.08166666666666668,0.0
2024-01-10 10:30:00,0.045,0.0
2024-01-10 10:45:00,0.045,0.0
2024-01-10 11:00:00,0.045,0.0
2024-01-10 11:15:00,0.14633333333333332,0.0
2024-01-10 11:30:00,0.23366666666666666,0.0
2024-01-10 11:45:00,0.13299999999999998,5.866666666666666
2024-01-10 12:00:00,0.045,9.533333333333333
2024-01-10 12:15:00,0.045,0.0
2024-01-10 12:30:00,0.045,0.0
2024-01-10 12:45:00,0.17166666666666666,0.0
2024-01-10 13:00:00,0.17166666666666666,0.0
2024-01-10 13:15:00,0.14033333333333334,0.0
2024-01-10 13:30:00,0.07433333333333333,0.0
2024-01-10 13:45:00,0.045,0.0
2024-01-10 14:00:00,0.045,0.0
2024-01-10 14:15:00,0.197,0.0
2024-01-10 14:30:00,0.14633333333333332,0.0
2024-01-10 14:45:00,0.089,0.0
2024-01-10 15:00:00,0.12566666666666668,0.0
2024-01-10 15:15:00,0.045,0.0
2024-01-10 15:30:00,0.045,0.0
2024-01-10 15:45:00,0.22233333333333333,0.0
2024-01-10 16:00:00,0.121,0.0
2024-01-10 16:15:00,0.045,0.0
2024-01-10 16:30:00,0.15081966463271293,0.0
2024-01-10 16:45:00,0.07882374237267349,0.0
2024-01-10 17:00:00,0.06949040903934017,0.0
2024-01-10 17:15:00,0.24682374237267352,0.0
2024-01-10 17:30:00,0.10749040903934018,0.0
2024-01-10 17:45:00,0.05051774644058096,0.0
2024-01-10 18:00:00,0.09633333333333334,0.0
2024-01-10 18:15:00,0.11833333333333333,0.0
2024-01-10 18:30:00,0.08299999999999999,0.0
2024-01-10 18:45:00,0.235,0.0
2024-01-10 19:00:00,0.07033333333333333,0.0
2024-01-10 19:15:00,0.045,0.0
2024-01-10 19:30:00,0.045,0.0
2024-01-10 19:45:00,0.155,0.0
2024-01-10 20:00:00,0.123,0.0
2024-01-10 20:15:00,0.235,0.0
2024-01-10 20:30:00,0.045,0.0
2024-01-10 20:45:00,0.045,0.0
2024-01-10 21:00:00,0.045,0.0
2024-01-10 21:15:00,0.10366666666666666,0.0
2024-01-10 21:30:00,0.1996666666666667,0.0
2024-01-10 21:45:00,0.20966666666666667,0.0
2024-01-10 22:00:00,0.045,0.0
2024-01-10 22:15:00,0.045,0.0
2024-01-10 22:30:00,0.045,0.0
2024-01-10 22:45:00,0.05233333333333333,0.0
2024-01-10 23:00:00,0.269,0.0
2024-01-10 23:15:00,0.19166666666666668,0.0
2024-01-10 23:30:00,0.045,0.0
2024-01-10 23:45:00,0.045,0.0
2024-01-11 00:00:00,0.045,0.0
2024-01-11 00:15:00,0.045,0.0
2024-01-11 00:30:00,0.25033333333333335,0.0
2024-01-11 00:45:00,0.21766666666666665,0.0
2024-01-11 01:00:00,0.045,0.0
2024-01-11 01:15:00,0.12566666666666668,0.0
2024-01-11 01:30:00,0.166,0.0
2024-01-11 01:45:00,0.166,0.0
2024-01-11 02:00:00,0.3453333333333333,0.0
2024-01-11 02:15:00,0.33240000000000003,0.0
2024-01-11 02:30:00,0.045,0.0
2024-01-11 02:45:00,0.045,0.0
2024-01-11 03:00:00,0.5780666666666667,0.0
2024-01-11 03:15:00,0.045,0.0
2024-01-11 03:30:00,0.235,0.0
2024-01-11 03:45:00,0.18166666666666667,0.0
2024-01-11 04:00:00,0.09633333333333334,0.0
2024-01-11 04:15:00,0.045,0.0
2024-01-11 04:30:00,0.045,0.0
2024-01-11 04:45:00,0.07033333333333333,0.0
2024-01-11 05:00:00,0.235,0.0
2024-01-11 05:15:00,0.105,5.866666666666666
2024-01-11 05:30:00,0.14766666666666667,3.6666666666666665
2024-01-11 05:45:00,0.045,0.0
2024-01-11 06:00:00,0.045,0.0
2024-01-11 06:15:00,0.09566666666666666,0.0
2024-01-11 06:30:00,0.235,0.0
2024-01-11 06:45:00,0.057666666666666665,0.0
2024-01-11 07:00:00,0.12566666666666668,0.0
