,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_HP
2024-01-03 02:15:00,0.001,0.001,0.001,0.2890333333333333,0.0
2024-01-03 02:30:00,0.001,0.001,0.001,0.23636666666666664,0.0
2024-01-03 02:45:00,0.001,0.001,0.001,0.3757,0.0
2024-01-03 03:00:00,0.001,0.001,0.001,0.2617,0.0
2024-01-03 03:15:00,0.001,0.001,0.001,0.1960333333333333,0.0
2024-01-03 03:30:00,0.001,0.001,0.001,0.8737666666666666,0.0
2024-01-03 03:45:00,0.001,0.001,0.001,0.23736666666666664,0.0
2024-01-03 04:00:00,0.001,0.001,0.001,0.06809333333333334,0.0
2024-01-03 04:15:00,0.001,0.001,0.001,0.21466666666666664,1.2
2024-01-03 04:30:00,0.001,0.001,0.001,0.20199999999999999,3.0
2024-01-03 04:45:00,0.001,0.001,0.001,0.112,1.8
2024-01-03 05:00:00,0.001,0.001,0.001,0.205,0.0
2024-01-03 05:15:00,0.001,0.001,0.001,0.05,1.2
2024-01-03 05:30:00,0.001,0.001,0.001,0.4498,0.0
2024-01-03 05:45:00,0.001,0.001,0.001,0.2719333333333333,0.0
2024-01-03 06:00:00,0.001,0.001,0.001,0.23999999999999996,0.2
2024-01-03 06:15:00,0.001,0.001,0.001,0.20166666666666666,2.2
2024-01-03 06:30:00,0.001,0.001,0.001,0.15333333333333332,0.0
2024-01-03 06:45:00,0.001,0.001,0.001,0.05,1.4
2024-01-03 07:00:00,0.001,0.001,0.001,0.05,0.6
2024-01-03 07:15:00,0.001,0.001,0.001,0.06266666666666668,0.0
2024-01-03 07:30:00,0.001,0.001,0.001,0.25033333333333335,0.0
2024-01-03 07:45:00,0.001,0.001,0.001,0.319,0.0
2024-01-03 08:00:00,0.001,0.001,0.001,0.10166666666666666,0.0
2024-01-03 08:15:00,0.001,0.001,0.001,0.05,1.8
2024-01-03 08:30:00,0.001,0.001,0.001,0.5830666666666666,1.8
2024-01-03 08:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-03 09:00:00,0.001,0.001,0.001,0.23866666666666667,0.0
2024-01-03 09:15:00,0.001,0.001,0.001,0.3950000000000001,0.0
2024-01-03 09:30:00,0.001,0.001,0.0836337114293139,0.05,0.0
2024-01-03 09:45:00,0.001,0.001,0.35241852509254945,0.05,0.0
2024-01-03 10:00:00,0.001,0.001,0.759159940451665,0.05,0.0
2024-01-03 10:15:00,0.001,0.001,0.1313832674071484,0.07714,1.4
2024-01-03 10:30:00,0.001,0.001,0.16556550051723923,0.35003333333333336,2.2
2024-01-03 10:45:00,0.001,0.001,1.1133278462578373,0.47903333333333337,0.0
2024-01-03 11:00:00,0.001,0.001,0.6646948238997311,0.2617,0.0
2024-01-03 11:15:00,0.001,0.001,0.12497312234815415,0.19003333333333333,0.0
2024-01-03 11:30:00,0.001,0.001,0.2759831373647351,0.7317666666666667,0.0
2024-01-03 11:45:00,0.001,0.001,0.8756974757013526,0.20903333333333332,0.0
2024-01-03 12:00:00,0.001,0.001,0.07226666666666669,0.3537,0.0
2024-01-03 12:15:00,0.001,0.001,0.001,0.41156666666666664,1.4
2024-01-03 12:30:00,0.001,0.001,0.001,0.3377,1.8
2024-01-03 12:45:00,0.001,0.001,0.001,0.32344523770585903,0.0
2024-01-03 13:00:00,0.001,0.001,0.001,0.2928210235674096,0.0
2024-01-03 13:15:00,0.001,0.001,0.001,0.4120759397255878,0.0
2024-01-03 13:30:00,0.001,0.001,0.001,0.5050759397255878,0.0
2024-01-03 13:45:00,0.001,0.001,0.001,0.43874260639225443,0.0
2024-01-03 14:00:00,0.001,0.047599999999999996,0.001,0.5106316657346914,0.0
2024-01-03 14:15:00,0.001,1.643048217049416,0.036593312409691596,0.6323549161581782,0.8
2024-01-03 14:30:00,0.001,1.9473821803476017,0.19006134212123083,0.6053904090393403,0.0
2024-01-03 14:45:00,0.001,1.9800067705896622,0.7803025484349668,0.4321904090393402,0.0
2024-01-03 15:00:00,0.001,1.421988411811932,0.5492199581826239,0.42185707570600683,0.6
2024-01-03 15:15:00,0.001,0.001,0.1434513441698239,0.33119040903934016,1.0
2024-01-03 15:30:00,0.001,0.001,0.2554147936828785,0.4994770757060068,2.2
2024-01-03 15:45:00,0.001,0.001,0.67508669111518,0.2897294969490694,0.0
2024-01-03 16:00:00,0.001,0.001,0.09870951859967539,0.10873333333333333,0.0
2024-01-03 16:15:00,0.001,0.001,0.18557756726486918,0.205,0.0
2024-01-03 16:30:00,0.001,0.001,0.8314813029734992,0.10166666666666666,0.0
2024-01-03 16:45:00,0.001,0.001,0.19899558261326525,0.05,0.0
2024-01-03 17:00:00,0.001,0.001,0.001,0.18508058596077717,0.0
2024-01-03 17:15:00,0.001,0.001,0.001,0.2715521973529143,0.8
2024-01-03 17:30:00,0.001,0.001,0.001,0.2080855306862476,2.4
2024-01-03 17:45:00,0.001,0.001,0.001,0.35755219735291427,0.0
2024-01-03 18:00:00,0.001,0.001,0.001,0.2025521973529143,0.0
2024-01-03 18:15:00,0.001,0.001,0.001,0.17731043947058286,0.0
2024-01-03 18:30:00,0.001,0.001,0.001,0.22166666666666668,0.0
2024-01-03 18:45:00,0.001,0.001,0.001,0.27226666666666666,0.0
2024-01-03 19:00:00,0.001,0.001,0.001,0.23966666666666664,0.0
2024-01-03 19:15:00,0.001,0.001,0.001,0.15333333333333332,0.2
2024-01-03 19:30:00,0.001,0.001,0.001,0.05,3.0
2024-01-03 19:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-03 20:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-03 20:15:00,0.001,0.001,0.001,0.225,0.0
2024-01-03 20:30:00,0.001,0.001,0.001,0.35700000000000004,0.0
2024-01-03 20:45:00,0.001,0.001,0.001,0.10166666666666666,0.0
2024-01-03 21:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-03 21:15:00,0.001,0.001,0.001,0.05,0.2
2024-01-03 21:30:00,0.001,0.001,0.001,0.05,2.2
2024-01-03 21:45:00,0.001,0.001,0.001,0.2006666666666667,0.0
2024-01-03 22:00:00,0.001,0.001,0.001,0.3950000000000001,0.0
2024-01-03 22:15:00,0.001,0.001,0.001,0.08800000000000001,0.0
2024-01-03 22:30:00,0.001,0.001,0.001,0.05,0.0
2024-01-03 22:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-03 23:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-03 23:15:00,0.001,0.001,0.001,0.17633333333333334,0.0
2024-01-03 23:30:00,0.001,0.001,0.001,0.3433333333333334,0.0
2024-01-03 23:45:00,0.001,0.001,0.001,0.164,0.0
2024-01-04 00:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-04 00:15:00,0.001,0.001,0.001,0.05,0.0
2024-01-04 00:30:00,0.001,0.001,0.001,0.060333333333333336,0.0
2024-01-04 00:45:00,0.001,0.001,0.001,0.205,0.0
2024-01-04 01:00:00,0.001,0.001,0.001,0.22833333333333333,0.0
2024-01-04 01:15:00,0.001,0.001,0.001,0.23999999999999996,0.0
2024-01-04 01:30:00,0.001,0.001,0.001,0.05,0.0
2024-01-04 01:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-04 02:00:00,0.001,0.001,0.001,0.112,0.0
2024-01-04 02:15:00,0.001,0.001,0.001,0.205,0.0
2024-01-04 02:30:00,0.001,0.001,0.001,0.10066666666666667,0.0
2024-01-04 02:45:00,0.001,0.001,0.001,0.23999999999999996,0.0
2024-01-04 03:00:00,0.001,0.001,0.001,0.126,0.0
2024-01-04 03:15:00,0.001,0.001,0.001,0.05,0.0
2024-01-04 03:30:00,0.001,0.001,0.001,0.16366666666666668,0.0
2024-01-04 03:45:00,0.001,0.001,0.001,0.15333333333333332,0.0
2024-01-04 04:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-04 04:15:00,0.001,0.001,0.001,0.21466666666666664,0.6
2024-01-04 04:30:00,0.001,0.001,0.001,0.20199999999999999,1.2
2024-01-04 04:45:00,0.001,0.001,0.001,0.060333333333333336,0.6
2024-01-04 05:00:00,0.001,0.001,0.001,0.205,0.0
2024-01-04 05:15:00,0.001,0.001,0.001,0.10166666666666666,0.0
2024-01-04 05:30:00,0.001,0.001,0.001,0.05,1.2
2024-01-04 05:45:00,0.001,0.001,0.001,0.13866666666666666,3.0
2024-01-04 06:00:00,0.001,0.001,0.001,0.23999999999999996,1.8
2024-01-04 06:15:00,0.001,0.001,0.001,0.15,2.0
2024-01-04 06:30:00,0.001,0.001,0.001,0.205,1.8
2024-01-04 06:45:00,0.001,0.001,0.001,0.4619333333333333,0.0
2024-01-04 07:00:00,0.001,0.001,0.001,0.5960666666666666,0.0
2024-01-04 07:15:00,0.001,0.001,0.001,0.07566666666666667,0.0
2024-01-04 07:30:00,0.001,0.001,0.001,0.253,0.0
2024-01-04 07:45:00,0.001,0.001,0.001,0.2846,1.8
2024-01-04 08:00:00,0.001,0.001,0.001,0.15333333333333332,1.6
2024-01-04 08:15:00,0.001,0.001,0.001,0.10646666666666668,0.0
2024-01-04 08:30:00,0.001,0.001,0.001,0.5708,0.0
2024-01-04 08:45:00,0.001,0.001,0.001,0.171,0.0
2024-01-04 09:00:00,0.001,0.001,0.001,0.308,0.0
2024-01-04 09:15:00,0.001,0.001,0.001,0.49180000000000007,1.0
2024-01-04 09:30:00,0.001,0.001,0.001,0.10166666666666666,2.4
2024-01-04 09:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-04 10:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-04 10:15:00,0.001,0.001,0.001,0.05,0.0
2024-01-04 10:30:00,0.001,0.001,0.001,0.1847466666666667,0.0
2024-01-04 10:45:00,0.001,0.001,0.001,1.0163866666666668,0.0
2024-01-04 11:00:00,0.001,0.001,0.001,0.126,2.0
2024-01-04 11:15:00,0.001,0.001,0.001,0.05,1.4
2024-01-04 11:30:00,0.001,0.001,0.001,0.05210347982352762,0.0
2024-01-04 11:45:00,0.001,0.001,0.001,0.48135219735291435,0.0
2024-01-04 12:00:00,0.001,0.001,0.001,0.20388553068624762,0.0
2024-01-04 12:15:00,0.001,0.001,0.001,0.4982521973529143,0.0
2024-01-04 12:30:00,0.001,0.001,0.001,0.3822521973529143,0.0
2024-01-04 12:45:00,0.001,0.001,0.001,0.21973479823527622,2.8
2024-01-04 13:00:00,0.001,0.001,0.001,0.21978695964705522,0.6
2024-01-04 13:15:00,0.001,0.001,0.001,0.2938255306862476,0.0
2024-01-04 13:30:00,0.001,0.001,0.001,0.3722521973529143,0.0
2024-01-04 13:45:00,0.001,0.001,0.001,0.3575855306862477,0.0
2024-01-04 14:00:00,0.001,0.001,0.001,0.40725219735291435,0.0
2024-01-04 14:15:00,0.001,0.001,0.001,0.25104523770585907,0.0
2024-01-04 14:30:00,0.001,0.001,0.001,0.1857,3.0
2024-01-04 14:45:00,0.001,0.001,0.001,0.24769999999999998,0.4
2024-01-04 15:00:00,0.001,0.001,0.001,0.3407,0.0
2024-01-04 15:15:00,0.001,0.001,0.001,0.7711666666666666,0.0
2024-01-04 15:30:00,0.001,0.001,0.001,2.5107,0.0
2024-01-04 15:45:00,0.001,0.001,0.001,1.5858999999999999,0.0
2024-01-04 16:00:00,0.001,0.001,0.001,0.1987,0.0
2024-01-04 16:15:00,0.001,0.001,0.001,0.3011,3.0
2024-01-04 16:30:00,0.001,0.001,0.001,0.2890333333333333,0.4
2024-01-04 16:45:00,0.001,0.001,0.001,0.20989999999999995,0.0
2024-01-04 17:00:00,0.001,0.001,0.001,0.3609933333333333,0.0
2024-01-04 17:15:00,0.001,0.001,0.001,0.361,0.0
2024-01-04 17:30:00,0.001,0.001,0.001,0.18133333333333335,0.0
2024-01-04 17:45:00,0.001,0.001,0.001,0.326,0.0
