,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-05 02:30:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 02:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 03:00:00,0.001,0.0,0.001,0.043,0.0,0.0,1.3333333333333333
2024-01-05 03:15:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.0,2.0
2024-01-05 03:30:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.0,0.0
2024-01-05 03:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 04:00:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 04:15:00,0.001,0.0,0.001,0.043,0.0,1.4666666666666666,0.6666666666666666
2024-01-05 04:30:00,0.001,0.0,0.001,0.043,0.0,0.0,3.6666666666666665
2024-01-05 04:45:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.0,0.0
2024-01-05 05:00:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.0,1.0
2024-01-05 05:15:00,0.001,0.0,0.001,0.043,0.0,0.0,2.6666666666666665
2024-01-05 05:30:00,0.001,0.0,0.001,0.043,0.0,0.0,1.6666666666666667
2024-01-05 05:45:00,0.001,0.0,0.001,0.043,0.0,0.0,5.0
2024-01-05 06:00:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 06:15:00,0.001,0.0,0.001,0.18233333333333335,0.0,1.2,0.0
2024-01-05 06:30:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.0,3.0
2024-01-05 06:45:00,0.001,0.0,0.001,0.043,0.0,0.0,5.0
2024-01-05 07:00:00,0.001,0.0,0.001,0.043,0.0,0.0,5.0
2024-01-05 07:15:00,0.001,0.0,0.001,0.043,0.0,0.0,5.0
2024-01-05 07:30:00,0.001,0.0,0.001,0.043,0.0,0.0,5.0
2024-01-05 07:45:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.0,5.0
2024-01-05 08:00:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.6666666666666666,5.0
2024-01-05 08:15:00,0.001,0.0,0.001,0.043,0.0,1.7333333333333334,5.0
2024-01-05 08:30:00,0.001,0.0,0.001,0.043,0.0,0.0,5.0
2024-01-05 08:45:00,0.001,0.0,0.001,0.043,0.0,0.0,5.0
2024-01-05 09:00:00,0.001,0.0,0.001,0.043,0.0,0.0,5.0
2024-01-05 09:15:00,0.001,0.0,0.001,0.18233333333333335,1.0,0.0,0.0
2024-01-05 09:30:00,0.001,0.0,0.001,0.22033333333333335,15.0,0.0,0.0
2024-01-05 09:45:00,0.001,0.0,0.001,0.043,15.0,0.0,4.666666666666667
2024-01-05 10:00:00,0.001,0.0,0.001,0.043,8.0,0.0,5.0
2024-01-05 10:15:00,0.001,0.0,0.001,0.043,0.0,0.0,2.6666666666666665
2024-01-05 10:30:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-05 10:45:00,0.001,0.0,0.001,0.1831215828248449,0.0,0.0,0.0
2024-01-05 11:00:00,0.001,0.0,0.001,0.23215707570600683,0.0,0.0,0.0
2024-01-05 11:15:00,0.001,0.0,0.001,0.0548237423726735,7.0,0.0,0.0
2024-01-05 11:30:00,0.001,0.0,0.001,0.0548237423726735,8.0,0.0,0.0
2024-01-05 11:45:00,0.001,0.0,0.001,0.0548237423726735,0.0,1.6,0.0
2024-01-05 12:00:00,0.001,0.0,0.001,0.0548237423726735,0.0,0.8,0.0
2024-01-05 12:15:00,0.001,0.0,0.001,0.18942757875693744,0.0,0.0,0.0
