,WasherDryer,BaseLoad,P_EV,P_HP,P_WB
2024-01-03 05:00:00,0.001,0.5780666666666666,0.0,0.0,0.6666666666666666
2024-01-03 05:15:00,0.001,0.13332,0.0,0.0,0.0
2024-01-03 05:30:00,0.001,0.31153333333333333,0.0,0.0,0.0
2024-01-03 05:45:00,0.001,0.19093333333333332,0.0,0.0,0.0
2024-01-03 06:00:00,0.001,0.235,0.0,0.0,0.0
2024-01-03 06:15:00,0.001,0.5461333333333334,0.0,0.0,0.0
2024-01-03 06:30:00,0.001,0.045,0.0,0.0,2.3333333333333335
2024-01-03 06:45:00,0.001,0.44480000000000003,0.0,0.0,0.3333333333333333
2024-01-03 07:00:00,0.001,0.17826666666666666,0.0,0.0,0.0
2024-01-03 07:15:00,0.001,0.10833333333333334,0.0,0.0,0.0
2024-01-03 07:30:00,0.001,0.235,0.0,0.0,0.0
2024-01-03 07:45:00,0.001,0.6287333333333334,0.0,0.0,0.0
2024-01-03 08:00:00,0.001,0.5806666666666668,0.0,0.0,0.0
2024-01-03 08:15:00,0.001,0.058,0.0,0.0,0.0
2024-01-03 08:30:00,0.001,0.058,0.0,0.0,0.0
2024-01-03 08:45:00,0.001,0.43866666666666665,0.0,2.4,0.0
2024-01-03 09:00:00,0.001,2.7784666666666666,0.0,0.2,0.6666666666666666
2024-01-03 09:15:00,0.001,0.31166666666666665,0.0,0.0,2.0
2024-01-03 09:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-03 09:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-03 10:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-03 10:15:00,0.001,0.20966666666666667,0.0,0.0,3.6666666666666665
2024-01-03 10:30:00,0.001,0.18433333333333332,0.0,0.0,0.0
2024-01-03 10:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-03 11:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-03 11:15:00,0.001,0.045,2.8,0.0,0.0
2024-01-03 11:30:00,0.001,0.07033333333333333,7.0,0.0,0.6666666666666666
2024-01-03 11:45:00,0.001,0.235,3.2666666666666666,0.0,3.6666666666666665
2024-01-03 12:00:00,0.001,0.13366666666666666,0.0,0.0,0.0
2024-01-03 12:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-03 12:30:00,0.001,0.1282,0.0,0.0,0.0
2024-01-03 12:45:00,0.001,1.293,0.0,0.0,0.0
2024-01-03 13:00:00,0.001,1.369,0.0,0.0,0.0
2024-01-03 13:15:00,0.001,0.42189040903934016,0.0,0.0,0.0
2024-01-03 13:30:00,0.001,0.12254810113736685,0.0,0.0,0.0
2024-01-03 13:45:00,0.001,0.2223759397255878,0.0,0.0,0.0
2024-01-03 14:00:00,0.001,0.2223759397255878,0.0,0.0,0.0
2024-01-03 14:15:00,0.001,0.2223759397255878,0.0,0.0,0.0
2024-01-03 14:30:00,0.001,0.3299718619856272,0.0,0.0,0.0
2024-01-03 14:45:00,0.001,0.35174725262744383,0.0,0.0,0.0
2024-01-03 15:00:00,0.001,0.6825104394705829,0.0,0.0,0.0
2024-01-03 15:15:00,0.001,0.5973521973529142,0.0,0.0,1.6666666666666667
2024-01-03 15:30:00,0.001,0.1975521973529143,0.0,1.4,1.0
2024-01-03 15:45:00,0.001,0.1975521973529143,2.8,1.2,0.0
2024-01-03 16:00:00,0.001,0.37488553068624764,0.0,0.0,0.0
2024-01-03 16:15:00,0.001,1.0063217578823316,0.0,0.0,0.0
2024-01-03 16:30:00,0.001,0.48524,0.0,0.0,0.0
2024-01-03 16:45:00,0.001,0.058,0.0,0.0,0.0
2024-01-03 17:00:00,0.001,0.07482783858822098,0.0,0.0,0.0
2024-01-03 17:15:00,0.001,2.058575939725588,0.0,0.0,0.0
2024-01-03 17:30:00,0.001,2.207975939725588,0.0,0.0,0.0
2024-01-03 17:45:00,0.001,1.309575939725588,0.0,0.0,0.0
2024-01-03 18:00:00,0.001,0.21396202043147733,0.0,0.0,2.6666666666666665
2024-01-03 18:15:00,0.001,0.18609424542360412,1.4,0.0,0.0
2024-01-03 18:30:00,0.001,0.5788,2.8,0.0,0.0
2024-01-03 18:45:00,0.001,0.6622666666666667,0.0,0.0,0.0
2024-01-03 19:00:00,0.001,0.33266666666666667,0.0,0.0,0.0
2024-01-03 19:15:00,0.001,0.08885107977391431,0.0,0.0,0.0
2024-01-03 19:30:00,0.001,0.06982374237267351,0.0,0.0,0.0
2024-01-03 19:45:00,0.001,0.12629040903934016,0.0,0.0,1.6666666666666667
2024-01-03 20:00:00,0.001,0.1932973686863954,0.0,0.0,1.3333333333333333
2024-01-03 20:15:00,0.001,0.3487092730589211,0.0,0.0,0.0
2024-01-03 20:30:00,0.001,0.7667483609686504,0.0,0.0,1.0
2024-01-03 20:45:00,0.001,0.1975521973529143,0.0,0.0,1.6666666666666667
2024-01-03 21:00:00,0.001,0.20779944074256468,0.0,0.0,0.0
2024-01-03 21:15:00,0.001,0.22721593972558782,0.0,0.0,0.0
2024-01-03 21:30:00,0.001,0.21462810113736686,0.0,0.0,3.0
2024-01-03 21:45:00,0.001,0.3678237423726735,0.0,0.0,0.6666666666666666
2024-01-03 22:00:00,0.001,0.5583570757060069,0.0,0.0,0.0
2024-01-03 22:15:00,0.001,0.3152973686863954,0.0,0.4,0.0
2024-01-03 22:30:00,0.001,0.20937593972558782,0.0,2.0,0.0
2024-01-03 22:45:00,0.001,0.11257593972558781,0.0,0.0,0.0
2024-01-03 23:00:00,0.001,0.40557593972558786,0.0,0.0,2.3333333333333335
2024-01-03 23:15:00,0.001,0.6247876902340762,0.0,0.0,1.6666666666666667
2024-01-03 23:30:00,0.001,0.2690292942523704,0.0,0.0,0.0
2024-01-03 23:45:00,0.001,0.1778237423726735,0.0,0.0,0.0
2024-01-04 00:00:00,0.001,0.1778237423726735,0.0,0.0,0.0
2024-01-04 00:15:00,0.001,0.16169040903934018,0.0,0.0,0.0
2024-01-04 00:30:00,0.001,0.15815707570600684,0.0,0.0,4.0
2024-01-04 00:45:00,0.001,0.3276745807908911,0.0,0.0,0.0
2024-01-04 01:00:00,0.001,0.17866666666666667,0.0,0.0,3.0
2024-01-04 01:15:00,0.001,0.166,0.0,0.0,0.0
2024-01-04 01:30:00,0.001,0.166,0.0,0.0,0.0
2024-01-04 01:45:00,0.001,0.166,0.0,0.0,0.0
2024-01-04 02:00:00,0.001,0.2534666666666666,0.0,0.0,2.6666666666666665
2024-01-04 02:15:00,0.001,0.19699999999999998,0.0,0.0,0.0
2024-01-04 02:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-04 02:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-04 03:00:00,0.001,0.31153333333333333,2.8,0.0,1.6666666666666667
2024-01-04 03:15:00,0.001,0.5907333333333333,0.0,0.0,1.3333333333333333
2024-01-04 03:30:00,0.001,0.235,0.0,0.0,0.0
2024-01-04 03:45:00,0.001,0.14633333333333332,0.0,0.0,0.0
2024-01-04 04:00:00,0.001,0.045,0.0,0.8,0.0
2024-01-04 04:15:00,0.001,0.045,0.0,1.8,0.0
2024-01-04 04:30:00,0.001,0.045,0.0,0.0,2.6666666666666665
2024-01-04 04:45:00,0.001,0.10833333333333334,0.0,0.0,0.0
2024-01-04 05:00:00,0.001,0.235,0.0,0.0,0.0
2024-01-04 05:15:00,0.001,0.6287333333333334,0.0,0.0,0.0
2024-01-04 05:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-04 05:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-04 06:00:00,0.001,0.44480000000000003,0.0,0.0,0.0
2024-01-04 06:15:00,0.001,0.15899999999999997,0.0,0.0,0.0
2024-01-04 06:30:00,0.001,0.235,0.0,0.0,0.0
2024-01-04 06:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-04 07:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-04 07:15:00,0.001,0.0497294969490694,0.0,0.0,0.6666666666666666
