,Occupancy,EV,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-04 23:43:00,2.0,0.0,14.5,11.86543929180798,10.71016639367483,2.0,261.87686488453676,0.0,0.0
2024-01-04 23:44:00,2.0,0.0,14.5,11.864464778626406,10.708525849116368,2.0,261.761188387007,0.0,0.0
2024-01-04 23:45:00,2.0,0.0,14.5,11.863490012718595,10.70688602889951,2.0,261.6456142514019,0.0,0.0
2024-01-04 23:46:00,2.0,0.0,14.5,11.86251499454263,10.705246932383398,2.0,261.53014236954897,0.0,0.0
2024-01-04 23:47:00,2.0,0.0,14.5,11.861539724556076,10.70360855892785,2.0,261.41477263339345,0.0,0.0
2024-01-04 23:48:00,2.0,0.0,14.5,11.860564203215969,10.701970907893365,2.0,261.2995049349971,0.0,0.0
2024-01-04 23:49:00,2.0,0.0,14.5,11.859588430978823,10.700333978641112,2.0,261.18433916653936,0.0,0.0
2024-01-04 23:50:00,2.0,0.0,14.5,11.85861240830063,10.698697770532936,2.0,261.0692752203162,0.0,0.0
2024-01-04 23:51:00,2.0,0.0,14.5,11.85763613563686,10.697062282931359,2.0,260.95431298874047,0.0,0.0
2024-01-04 23:52:00,2.0,0.0,14.5,11.856659613442458,10.695427515199574,2.0,260.8394523643418,0.0,0.0
2024-01-04 23:53:00,2.0,0.0,14.5,11.855682842171856,10.693793466701448,2.0,260.7246932397667,0.0,0.0
2024-01-04 23:54:00,2.0,0.0,14.5,11.854705822278959,10.69216013680152,2.0,260.6100355077774,0.0,0.0
2024-01-04 23:55:00,2.0,0.0,14.5,11.853728554217156,10.690527524865,2.0,260.4954790612529,0.0,0.0
2024-01-04 23:56:00,2.0,0.0,14.5,11.852751038439314,10.68889563025777,2.0,260.38102379318843,0.0,0.0
2024-01-04 23:57:00,2.0,0.0,14.5,11.851773275397782,10.68726445234638,2.0,260.266669596695,0.0,0.0
2024-01-04 23:58:00,2.0,0.0,14.5,11.850795265544395,10.685633990498049,2.0,260.152416365,0.0,0.0
2024-01-04 23:59:00,2.0,0.0,14.5,11.849817009330467,10.684004244080667,2.0,260.038263991446,0.0,0.0
