,WasherDryer,DishWasher,BaseLoad,P_HP,P_WB
2024-01-08 11:30:00,0.001,0.0,0.15766666666666668,0.5333333333333333,0.0
2024-01-08 11:45:00,0.001,0.0,0.19433333333333333,0.0,0.0
2024-01-08 12:00:00,0.001,0.0,0.093,0.0,0.0
2024-01-08 12:15:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 12:30:00,0.001,0.0,0.055,1.3333333333333333,0.0
2024-01-08 12:45:00,0.001,0.0,0.12833333333333333,2.0,0.0
2024-01-08 13:00:00,0.001,0.0,0.14433333333333334,0.0,0.0
2024-01-08 13:15:00,0.001,0.0,0.19433333333333333,0.0,0.0
2024-01-08 13:30:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 13:45:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 14:00:00,0.001,0.0,0.06966666666666667,1.6,0.0
2024-01-08 14:15:00,0.001,0.0,0.165,1.7333333333333334,0.0
2024-01-08 14:30:00,0.001,0.0,0.18166666666666667,0.0,0.0
2024-01-08 14:45:00,0.001,0.0,0.10566666666666666,0.0,0.0
2024-01-08 15:00:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 15:15:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 15:30:00,0.001,0.0,0.121,1.7333333333333334,0.0
2024-01-08 15:45:00,0.001,0.0,0.13899999999999998,1.6,0.0
2024-01-08 16:00:00,0.001,0.0,0.207,0.0,0.0
2024-01-08 16:15:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 16:30:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 16:45:00,0.001,0.0,0.06233333333333334,0.0,0.0
2024-01-08 17:00:00,0.001,0.0,0.165,1.6,0.0
2024-01-08 17:15:00,0.001,0.0,0.17633333333333334,1.7333333333333334,0.0
2024-01-08 17:30:00,0.001,0.0,0.11833333333333333,0.0,0.0
2024-01-08 17:45:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 18:00:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 18:15:00,0.001,0.0,0.11366666666666667,0.0,0.0
2024-01-08 18:30:00,0.001,0.0,0.13366666666666666,1.2,0.0
2024-01-08 18:45:00,0.001,0.0,0.21966666666666665,2.0,0.0
2024-01-08 19:00:00,0.001,0.0,0.055,0.13333333333333333,0.0
2024-01-08 19:15:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 19:30:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 19:45:00,0.001,0.0,0.165,0.0,0.0
2024-01-08 20:00:00,0.001,0.0,0.17099999999999999,0.4,0.0
2024-01-08 20:15:00,0.001,0.0,0.131,2.0,0.0
