,WasherDryer,TumbleDryer,DishWasher,BaseLoad
2024-01-03 19:00:00,0.001,0.001,0.0,0.5771333333333334
2024-01-03 19:15:00,0.001,0.001,0.0,0.148
2024-01-03 19:30:00,0.001,0.001,0.0,0.13186666666666666
2024-01-03 19:45:00,0.001,0.001,0.0,0.192
2024-01-03 20:00:00,0.001,0.001,0.0,0.2506666666666667
2024-01-03 20:15:00,0.001,0.001,0.0,0.6810666666666666
2024-01-03 20:30:00,0.001,0.001,0.0,0.15220695964705525
2024-01-03 20:45:00,0.001,0.001,0.0,0.1311521973529143
2024-01-03 21:00:00,0.001,0.001,0.0,0.13921886401958095
2024-01-03 21:15:00,0.001,0.001,0.0,0.1245521973529143
2024-01-03 21:30:00,0.001,0.001,0.0,0.09081886401958097
2024-01-03 21:45:00,0.001,0.001,0.0,0.17113827805880383
2024-01-03 22:00:00,0.001,0.001,0.0,0.17005769209802668
2024-01-03 22:15:00,0.001,0.001,0.0,0.28955219735291426
2024-01-03 22:30:00,0.001,0.001,0.0,0.20888553068624763
2024-01-03 22:45:00,0.001,0.001,0.0,0.1553521973529143
2024-01-03 23:00:00,0.001,0.001,0.0,0.058552197352914295
2024-01-03 23:15:00,0.001,0.001,0.0,0.09834523770585907
2024-01-03 23:30:00,0.001,0.001,0.0,0.12966666666666668
2024-01-03 23:45:00,0.001,0.001,0.0,0.027
2024-01-04 00:00:00,0.001,0.001,0.0,0.027
2024-01-04 00:15:00,0.001,0.001,0.0,0.027
2024-01-04 00:30:00,0.001,0.001,0.0,0.10766666666666667
2024-01-04 00:45:00,0.001,0.001,0.0,0.093
2024-01-04 01:00:00,0.001,0.001,0.0,0.027
2024-01-04 01:15:00,0.001,0.001,0.0,0.027
2024-01-04 01:30:00,0.001,0.001,0.0,0.034333333333333334
2024-01-04 01:45:00,0.001,0.001,0.0,0.137
2024-01-04 02:00:00,0.001,0.001,0.0,0.05633333333333334
2024-01-04 02:15:00,0.001,0.001,0.0,0.027
2024-01-04 02:30:00,0.001,0.001,0.0,0.027
2024-01-04 02:45:00,0.001,0.001,0.0,0.071
2024-01-04 03:00:00,0.001,0.001,0.0,0.12966666666666668
2024-01-04 03:15:00,0.001,0.001,0.0,0.027
2024-01-04 03:30:00,0.001,0.001,0.0,0.027
2024-01-04 03:45:00,0.001,0.001,0.0,0.5600666666666666
2024-01-04 04:00:00,0.001,0.001,0.0,0.10766666666666667
2024-01-04 04:15:00,0.001,0.001,0.0,0.093
2024-01-04 04:30:00,0.001,0.001,0.0,0.027
2024-01-04 04:45:00,0.001,0.001,0.0,0.027
2024-01-04 05:00:00,0.001,0.001,0.0,0.034333333333333334
2024-01-04 05:15:00,0.001,0.001,0.0,0.137
2024-01-04 05:30:00,0.001,0.001,0.0,0.05633333333333334
2024-01-04 05:45:00,0.001,0.001,0.0,0.027
2024-01-04 06:00:00,0.001,0.001,0.0,0.027
2024-01-04 06:15:00,0.001,0.001,0.0,0.071
2024-01-04 06:30:00,0.001,0.001,0.0,0.12966666666666668
2024-01-04 06:45:00,0.001,0.001,0.0,0.027
2024-01-04 07:00:00,0.001,0.001,0.0,0.027
2024-01-04 07:15:00,0.001,0.001,0.0,0.035666666666666666
2024-01-04 07:30:00,0.001,0.001,0.0,0.12066666666666667
2024-01-04 07:45:00,0.001,0.001,0.0,0.106
2024-01-04 08:00:00,0.001,0.001,0.0,0.04
2024-01-04 08:15:00,0.001,0.001,0.0,0.030466666666666666
2024-01-04 08:30:00,0.001,0.001,0.0,0.034333333333333334
2024-01-04 08:45:00,0.001,0.001,0.0,0.137
2024-01-04 09:00:00,0.001,0.001,0.0,0.05633333333333334
2024-01-04 09:15:00,0.001,0.001,0.0,0.027
2024-01-04 09:30:00,0.001,0.001,0.0,0.027
2024-01-04 09:45:00,0.001,0.001,0.0,0.071
2024-01-04 10:00:00,0.001,0.001,0.0,0.12966666666666668
2024-01-04 10:15:00,0.001,0.001,0.0,0.027
2024-01-04 10:30:00,0.001,0.001,0.0,0.027
2024-01-04 10:45:00,0.001,0.001,0.0,0.027
2024-01-04 11:00:00,0.001,0.001,0.0,0.10766666666666667
2024-01-04 11:15:00,0.001,0.001,0.0,0.093
2024-01-04 11:30:00,0.001,0.001,0.0,0.027
2024-01-04 11:45:00,0.001,0.001,0.0,0.027
2024-01-04 12:00:00,0.001,0.001,0.0,0.034333333333333334
2024-01-04 12:15:00,0.001,0.001,0.0,0.137
2024-01-04 12:30:00,0.001,0.001,0.0,0.05633333333333334
2024-01-04 12:45:00,0.001,0.001,0.0,0.027
2024-01-04 13:00:00,0.001,0.001,0.0,0.027
2024-01-04 13:15:00,0.001,0.001,0.0,0.071
2024-01-04 13:30:00,0.001,0.001,0.0,0.12966666666666668
2024-01-04 13:45:00,0.001,0.001,0.0,0.027
2024-01-04 14:00:00,0.001,0.001,0.0,0.027
2024-01-04 14:15:00,0.001,0.001,0.0,0.027
2024-01-04 14:30:00,0.001,0.001,0.0,0.10766666666666667
2024-01-04 14:45:00,0.001,0.001,0.0,0.093
2024-01-04 15:00:00,0.001,0.001,0.0,0.027
2024-01-04 15:15:00,0.001,0.001,0.0,0.027
2024-01-04 15:30:00,0.001,0.001,0.0,0.034333333333333334
2024-01-04 15:45:00,0.001,0.001,0.0,0.137
2024-01-04 16:00:00,0.001,0.001,0.0,0.05633333333333334
2024-01-04 16:15:00,0.001,0.001,0.0,0.027
2024-01-04 16:30:00,0.001,0.001,0.0,0.027
2024-01-04 16:45:00,0.001,0.001,0.0,0.071
2024-01-04 17:00:00,0.001,0.001,0.0,0.12966666666666668
2024-01-04 17:15:00,0.001,0.001,0.0,0.027
2024-01-04 17:30:00,0.001,0.001,0.0,0.027
2024-01-04 17:45:00,0.001,0.001,0.0,0.09153333333333333
2024-01-04 18:00:00,0.001,0.001,0.0,0.23820000000000002
2024-01-04 18:15:00,0.001,0.001,0.0,0.227
2024-01-04 18:30:00,0.001,0.001,0.0,0.161
2024-01-04 18:45:00,0.001,0.001,0.0,0.17313333333333333
2024-01-04 19:00:00,0.001,0.001,0.0,0.323
2024-01-04 19:15:00,0.001,0.001,0.0,0.47
2024-01-04 19:30:00,0.001,0.001,0.0,0.4006
2024-01-04 19:45:00,0.001,0.001,0.0,0.26006666666666667
2024-01-04 20:00:00,0.001,0.001,0.0,0.3124
2024-01-04 20:15:00,0.001,0.001,0.0,0.4026487175293866
2024-01-04 20:30:00,0.001,0.001,0.0,0.49421886401958093
2024-01-04 20:45:00,0.001,0.001,0.0,0.3915521973529143
2024-01-04 21:00:00,0.001,0.001,0.0,0.3794188640195809
2024-01-04 21:15:00,0.001,0.001,0.0,0.8252049447254705
2024-01-04 21:30:00,0.001,0.001,0.0,0.269
2024-01-04 21:45:00,0.001,0.001,0.0,0.6218666666666668
2024-01-04 22:00:00,0.001,0.001,0.0,0.148
2024-01-04 22:15:00,0.001,0.001,0.0,0.21253333333333335
2024-01-04 22:30:00,0.001,0.001,0.0,0.2763333333333334
2024-01-04 22:45:00,0.001,0.001,0.0,0.37900000000000006
2024-01-04 23:00:00,0.001,0.001,0.0,0.17733333333333334
2024-01-04 23:15:00,0.001,0.001,0.0,0.148
2024-01-04 23:30:00,0.001,0.001,0.0,0.5478
2024-01-04 23:45:00,0.001,0.001,0.0,0.08713333333333333
2024-01-05 00:00:00,0.001,0.001,0.0,0.12966666666666668
2024-01-05 00:15:00,0.001,0.001,0.0,0.027
2024-01-05 00:30:00,0.001,0.001,0.0,0.027
2024-01-05 00:45:00,0.001,0.001,0.0,0.027
2024-01-05 01:00:00,0.001,0.001,0.0,0.10766666666666667
2024-01-05 01:15:00,0.001,0.001,0.0,0.093
2024-01-05 01:30:00,0.001,0.001,0.0,0.027
2024-01-05 01:45:00,0.001,0.001,0.0,0.027
2024-01-05 02:00:00,0.001,0.001,0.0,0.034333333333333334
2024-01-05 02:15:00,0.001,0.001,0.0,0.137
2024-01-05 02:30:00,0.001,0.001,0.0,0.05633333333333334
2024-01-05 02:45:00,0.001,0.001,0.0,0.027
2024-01-05 03:00:00,0.001,0.001,0.0,0.027
2024-01-05 03:15:00,0.001,0.001,0.0,0.071
2024-01-05 03:30:00,0.001,0.001,0.0,0.12966666666666668
2024-01-05 03:45:00,0.001,0.001,0.0,0.027
2024-01-05 04:00:00,0.001,0.001,0.0,0.027
2024-01-05 04:15:00,0.001,0.001,0.0,0.027
2024-01-05 04:30:00,0.001,0.001,0.0,0.10766666666666667
2024-01-05 04:45:00,0.001,0.001,0.0,0.093
2024-01-05 05:00:00,0.001,0.001,0.0,0.027
2024-01-05 05:15:00,0.001,0.001,0.0,0.027
2024-01-05 05:30:00,0.001,0.001,0.0,0.034333333333333334
2024-01-05 05:45:00,0.001,0.001,0.0,0.137
2024-01-05 06:00:00,0.001,0.001,0.0,0.05633333333333334
2024-01-05 06:15:00,0.001,0.001,0.0,0.027
2024-01-05 06:30:00,0.001,0.001,0.0,0.027
2024-01-05 06:45:00,0.001,0.001,0.0,0.071
2024-01-05 07:00:00,0.001,0.001,0.0,0.6627333333333334
2024-01-05 07:15:00,0.001,0.001,0.0,0.027
