,DishWasher,BaseLoad,P_EV
2024-01-07 00:00:00,0.0,0.5623764989830231,0.0
2024-01-07 00:15:00,0.0,0.161,0.0
2024-01-07 00:30:00,0.0,0.1715173991176381,0.0
2024-01-07 00:45:00,0.0,0.24681886401958095,0.0
2024-01-07 01:00:00,0.0,0.09355219735291431,0.0
2024-01-07 01:15:00,0.0,0.0715521973529143,0.0
2024-01-07 01:30:00,0.0,0.0715521973529143,0.0
2024-01-07 01:45:00,0.0,0.04,0.0
2024-01-07 02:00:00,0.0,0.06933333333333333,0.0
2024-01-07 02:15:00,0.0,0.13533333333333333,0.0
2024-01-07 02:30:00,0.0,0.04,0.0
2024-01-07 02:45:00,0.0,0.04,0.0
2024-01-07 03:00:00,0.0,0.04,0.0
2024-01-07 03:15:00,0.0,0.04,0.0
2024-01-07 03:30:00,0.0,0.6390666666666667,0.0
2024-01-07 03:45:00,0.0,0.09866666666666667,0.0
2024-01-07 04:00:00,0.0,0.4398,0.0
2024-01-07 04:15:00,0.0,0.04,0.0
2024-01-07 04:30:00,0.0,0.04,0.0
2024-01-07 04:45:00,0.0,0.04,0.0
2024-01-07 05:00:00,0.0,0.14266666666666666,0.0
2024-01-07 05:15:00,0.0,0.06199999999999999,0.0
2024-01-07 05:30:00,0.0,0.04,0.0
2024-01-07 05:45:00,0.0,0.04,0.9333333333333333
2024-01-07 06:00:00,0.0,0.04,7.0
2024-01-07 06:15:00,0.0,0.06933333333333333,7.0
2024-01-07 06:30:00,0.0,0.13533333333333333,7.0
2024-01-07 06:45:00,0.0,0.4398,7.0
2024-01-07 07:00:00,0.0,0.04,3.2666666666666666
2024-01-07 07:15:00,0.0,0.04,0.0
2024-01-07 07:30:00,0.0,0.04,0.0
2024-01-07 07:45:00,0.0,0.106,0.0
2024-01-07 08:00:00,0.0,0.09866666666666667,0.0
2024-01-07 08:15:00,0.0,0.04,0.0
2024-01-07 08:30:00,0.0,0.2951333333333333,0.0
