,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-06 07:00:00,0.001,0.001,0.0,0.001,0.1266,0.0,0.0
2024-01-06 07:15:00,0.001,0.001,0.0,0.001,0.06526666666666667,0.0,0.0
2024-01-06 07:30:00,0.001,0.001,0.0,0.001,0.11766666666666667,0.0,0.1
2024-01-06 07:45:00,0.001,0.001,0.0,0.001,0.257,0.0,1.5
2024-01-06 08:00:00,0.001,0.001,0.0,0.001,0.11766666666666667,0.0,1.5
2024-01-06 08:15:00,0.001,0.001,0.0,0.001,0.0566,0.0,1.5
2024-01-06 08:30:00,0.001,0.001,0.0,0.001,0.6042736263137218,0.0,1.5
2024-01-06 08:45:00,0.001,0.001,0.0,0.001,0.19953886401958093,0.0,1.5
2024-01-06 09:00:00,0.001,0.001,0.0,0.001,0.2995876902340762,0.0,0.6
2024-01-06 09:15:00,0.001,0.001,0.0,0.001,1.2806426063922547,2.0,0.0
2024-01-06 09:30:00,0.001,0.001,0.0,0.001,1.4371626063922542,0.0,0.0
2024-01-06 09:45:00,0.001,0.001,0.0,0.001,0.34697593972558777,0.0,0.3
2024-01-06 10:00:00,0.001,0.001,0.0,0.001,0.07754341624317988,0.0,1.5
2024-01-06 10:15:00,0.001,0.001,0.0,0.001,0.23166666666666666,0.0,0.5
2024-01-06 10:30:00,0.001,0.001,0.0,0.001,0.19445491615817823,0.0,0.0
2024-01-06 10:45:00,0.001,0.001,0.0,0.001,0.07535707570600685,0.0,0.0
2024-01-06 11:00:00,0.001,0.001,0.0,0.001,0.06582374237267351,0.0,0.0
2024-01-06 11:15:00,0.001,0.001,1.2003333333333333,0.001,0.06582374237267351,0.0,0.4
2024-01-06 11:30:00,0.001,0.001,1.8002,0.001,0.19249040903934017,0.0,1.5
2024-01-06 11:45:00,0.001,0.001,1.3504,0.001,0.22339616361573608,0.0,0.5
2024-01-06 12:00:00,0.001,0.001,0.30086666666666667,0.001,0.1266,0.0,0.0
2024-01-06 12:15:00,0.001,0.001,0.00013333333333333334,0.001,0.9746666666666666,0.0,0.0
2024-01-06 12:30:00,0.001,0.001,0.0,0.001,2.2541333333333333,0.0,0.0
2024-01-06 12:45:00,0.001,0.001,0.0,0.001,0.39032,0.0,0.0
2024-01-06 13:00:00,0.001,0.001,0.0,0.001,0.5015666666666667,0.0,0.0
2024-01-06 13:15:00,0.001,0.001,0.0,0.001,0.33636666666666665,0.0,0.0
2024-01-06 13:30:00,0.001,0.001,0.0,0.001,0.2858173991176381,0.0,0.0
2024-01-06 13:45:00,0.6338278288461304,0.001,0.0,0.001,0.3552521973529143,0.0,0.0
2024-01-06 14:00:00,0.7920347860576631,0.001,0.0,0.001,0.405918864019581,0.0,0.0
2024-01-06 14:15:00,0.7920347860576631,0.001,0.0,0.001,0.5391855306862475,0.0,0.0
2024-01-06 14:30:00,0.7920347860576631,0.001,0.0,0.001,0.392918864019581,0.3333333333333333,0.0
2024-01-06 14:45:00,0.7920347860576631,0.001,0.0,0.001,0.21635073245097142,1.6666666666666667,0.0
2024-01-06 15:00:00,0.7920347860576631,0.001,0.0,0.001,0.18969999999999995,0.0,0.0
2024-01-06 15:15:00,0.7920347860576631,0.001,0.0,0.001,0.20236666666666667,0.0,0.0
2024-01-06 15:30:00,0.7920347860576631,0.001,0.0,0.001,0.3797,0.0,0.0
2024-01-06 15:45:00,0.7920347860576631,0.001,0.0,0.001,0.27836666666666665,0.0,0.0
2024-01-06 16:00:00,0.7920347860576631,0.001,0.0,0.001,0.18969999999999995,0.0,0.0
2024-01-06 16:15:00,0.7920347860576631,0.001,0.0,0.001,0.18969999999999995,0.0,0.0
2024-01-06 16:30:00,0.1592069572115326,0.001,0.0,0.001,0.18969999999999995,0.0,0.0
2024-01-06 16:45:00,0.001,0.001,0.0,0.001,0.35436666666666666,0.0,0.0
2024-01-06 17:00:00,0.001,0.001,0.0,0.001,0.31636666666666663,0.0,0.0
2024-01-06 17:15:00,0.001,0.001,0.0,0.001,0.18969999999999995,0.0,0.0
2024-01-06 17:30:00,0.001,0.001,0.0,0.001,0.07209333333333333,0.0,0.0
2024-01-06 17:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-06 18:00:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.0
2024-01-06 18:15:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,0.0
2024-01-06 18:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-06 18:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-06 19:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-06 19:15:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0,0.0
2024-01-06 19:30:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.6666666666666666,0.0
2024-01-06 19:45:00,0.001,0.001,0.0,0.001,0.06666666666666667,1.3333333333333333,0.0
2024-01-06 20:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-06 20:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-06 20:30:00,0.001,0.001,0.0,0.001,0.10466666666666667,0.0,0.0
2024-01-06 20:45:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,0.0
2024-01-06 21:00:00,0.001,0.001,0.0,0.001,0.10466666666666667,0.0,0.0
2024-01-06 21:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-06 21:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-06 21:45:00,0.001,0.001,0.0,0.001,0.06666666666666667,0.0,0.0
2024-01-06 22:00:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,0.0
2024-01-06 22:15:00,0.001,0.001,0.0,0.001,0.20314391743016005,0.0,0.4
2024-01-06 22:30:00,0.001,0.001,0.0,0.001,0.2183759397255878,0.0,1.5
2024-01-06 22:45:00,0.001,0.001,0.0,0.001,0.7064959397255879,0.0,1.5
2024-01-06 23:00:00,0.001,0.001,0.0,0.001,0.2183759397255878,0.0,1.4
2024-01-06 23:15:00,0.001,0.001,0.0,0.001,0.46781344481047216,0.0,0.0
2024-01-06 23:30:00,0.001,0.001,0.0,0.001,0.7231855306862476,0.0,0.0
2024-01-06 23:45:00,0.001,0.001,0.0,0.001,0.7571437728039162,0.0,0.0
2024-01-07 00:00:00,0.001,0.001,0.0,0.001,0.4317,0.0,0.0
2024-01-07 00:15:00,0.001,0.001,0.0,0.001,0.4317,0.0,0.0
2024-01-07 00:30:00,0.001,0.001,0.0,0.001,0.47769999999999996,0.0,1.5
2024-01-07 00:45:00,0.001,0.001,0.0,0.001,0.9074333333333333,0.0,1.5
2024-01-07 01:00:00,0.001,0.001,0.0,0.001,0.7589,0.0,1.5
2024-01-07 01:15:00,0.001,0.001,0.0,0.001,0.3107,0.0,1.4
2024-01-07 01:30:00,0.001,0.001,0.0,0.001,0.3107,0.0,0.8
2024-01-07 01:45:00,0.001,0.001,0.0,0.001,0.39936666666666665,0.0,1.5
2024-01-07 02:00:00,0.001,0.001,0.0,0.001,0.45230000000000004,0.0,1.5
2024-01-07 02:15:00,0.001,0.001,0.0,0.001,0.22550494472547047,0.0,0.1
2024-01-07 02:30:00,0.001,0.001,0.0,0.001,0.2212521973529143,0.0,1.5
2024-01-07 02:45:00,0.001,0.001,0.0,0.001,0.2212521973529143,3.0,1.5
2024-01-07 03:00:00,0.001,0.001,0.0,0.001,0.27191886401958093,0.0,1.5
2024-01-07 03:15:00,0.001,0.001,0.0,0.001,0.4112521973529143,0.0,0.6
2024-01-07 03:30:00,0.001,0.001,0.0,0.001,0.2592979850784152,0.0,0.0
2024-01-07 03:45:00,0.001,0.001,0.0,0.001,0.7227666666666667,0.0,0.7
2024-01-07 04:00:00,0.001,0.001,0.0,0.001,0.08113999999999999,0.0,1.5
2024-01-07 04:15:00,0.001,0.001,0.0,0.001,0.5997333333333333,0.0,0.4
2024-01-07 04:30:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,0.0
2024-01-07 04:45:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0,0.0
2024-01-07 05:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 05:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.6
2024-01-07 05:30:00,0.001,0.001,0.0,0.001,0.054,0.0,1.5
2024-01-07 05:45:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,1.5
2024-01-07 06:00:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,1.5
2024-01-07 06:15:00,0.001,0.001,0.0,0.001,0.054,0.0,1.5
2024-01-07 06:30:00,0.001,0.001,0.0,0.001,0.054,0.0,1.5
2024-01-07 06:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.1
2024-01-07 07:00:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.0
2024-01-07 07:15:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,0.0
2024-01-07 07:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 07:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 08:00:00,0.001,0.001,0.0,0.001,0.054,0.0,1.3
2024-01-07 08:15:00,0.001,0.001,0.0,0.001,0.2759333333333333,0.0,1.5
2024-01-07 08:30:00,0.001,0.001,0.0,0.001,0.5833333333333334,0.0,1.5
2024-01-07 08:45:00,0.001,0.001,0.0,0.001,0.15766666666666665,0.0,1.5
2024-01-07 09:00:00,0.001,0.001,0.0,0.001,0.145,2.0,1.5
2024-01-07 09:15:00,0.001,0.001,0.0,0.001,0.7425999999999999,0.6666666666666666,1.5
2024-01-07 09:30:00,0.001,0.001,0.0,0.001,0.2802666666666667,0.0,1.5
2024-01-07 09:45:00,0.001,0.001,0.0,0.001,0.7777999999999999,0.0,1.5
2024-01-07 10:00:00,0.001,0.001,0.0,0.001,0.6386666666666667,0.0,1.0
2024-01-07 10:15:00,0.001,0.001,0.0,0.001,2.188,0.0,0.0
2024-01-07 10:30:00,0.001,0.001,0.0,0.001,1.1985999999999999,0.0,1.3
2024-01-07 10:45:00,0.001,0.001,0.0,0.001,2.2016666666666667,0.0,1.5
2024-01-07 11:00:00,0.001,0.001,0.0,0.001,1.5302,0.0,0.1
2024-01-07 11:15:00,0.001,0.001,0.0,0.001,0.71972,0.0,0.0
2024-01-07 11:30:00,0.001,0.001,0.0,0.001,0.18969999999999995,0.0,0.0
2024-01-07 11:45:00,0.001,0.001,0.0,0.0687316897825012,0.18969999999999995,0.0,1.2
2024-01-07 12:00:00,0.001,0.001,0.0,0.22682445028681286,0.18969999999999995,0.0,1.5
2024-01-07 12:15:00,0.001,0.001,0.0,1.0480917842527124,0.35436666666666666,0.0,0.4
2024-01-07 12:30:00,0.001,0.001,0.0,0.23935650167967457,0.31636666666666663,0.0,0.0
2024-01-07 12:45:00,0.001,0.001,0.0,0.13825657016981338,0.18969999999999995,0.0,0.0
2024-01-07 13:00:00,0.001,0.749399932232701,0.0,0.23973158958077476,0.24106882621449527,0.0,0.0
2024-01-07 13:15:00,0.001,1.8972392235313549,0.0,0.6691374043641064,0.3225237423726735,0.0,0.0
2024-01-07 13:30:00,0.001,1.8309528189172917,0.0,0.12481499771125158,0.44919040903934015,0.0,1.0
2024-01-07 13:45:00,0.001,0.7354850558423817,0.0,0.25295079774059637,0.4871904090393402,0.0,1.3
2024-01-07 14:00:00,0.001,0.11006031687742372,0.0,1.3412469755805598,0.30481391005631703,0.0,0.0
2024-01-07 14:15:00,0.001,0.001,0.0,0.001,0.18969999999999995,2.0,0.0
2024-01-07 14:30:00,0.001,0.001,0.0,0.001,0.18969999999999995,0.0,0.0
2024-01-07 14:45:00,0.001,0.001,0.0,0.001,0.27836666666666665,0.0,0.0
2024-01-07 15:00:00,0.001,0.001,0.0,0.001,0.3797,0.0,0.0
2024-01-07 15:15:00,0.001,0.001,0.0,0.001,0.20236666666666667,0.0,0.0
2024-01-07 15:30:00,0.001,0.001,0.0,0.001,0.18969999999999995,0.0,0.0
2024-01-07 15:45:00,0.001,0.001,0.0,0.001,0.18969999999999995,0.0,0.0
2024-01-07 16:00:00,0.001,0.001,0.0,0.001,0.24036666666666665,0.0,0.0
2024-01-07 16:15:00,0.001,0.001,0.0,0.001,0.3797,0.0,0.0
2024-01-07 16:30:00,0.001,0.001,0.0,0.001,0.14085333333333333,0.0,0.0
2024-01-07 16:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 17:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 17:15:00,0.001,0.001,0.0,0.001,0.06666666666666667,0.0,0.0
2024-01-07 17:30:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,0.0
2024-01-07 17:45:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0,0.0
2024-01-07 18:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 18:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 18:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 18:45:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,0.0
2024-01-07 19:00:00,0.001,0.001,0.0,0.001,0.18066666666666667,2.0,0.0
2024-01-07 19:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 19:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 19:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 20:00:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.0
2024-01-07 20:15:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,0.0
2024-01-07 20:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 20:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 21:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 21:15:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0,0.0
2024-01-07 21:30:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,0.0
2024-01-07 21:45:00,0.001,0.001,0.0,0.001,0.06666666666666667,0.0,0.0
2024-01-07 22:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 22:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 22:30:00,0.001,0.001,0.0,0.001,0.10466666666666667,0.0,0.0
2024-01-07 22:45:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,0.0
2024-01-07 23:00:00,0.001,0.001,0.0,0.001,0.10466666666666667,0.0,0.0
2024-01-07 23:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 23:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-07 23:45:00,0.001,0.001,0.0,0.001,0.06666666666666667,0.0,0.0
2024-01-08 00:00:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,0.0
2024-01-08 00:15:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0,0.0
2024-01-08 00:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 00:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 01:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 01:15:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,0.0
2024-01-08 01:30:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.0
2024-01-08 01:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 02:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 02:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 02:30:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.0
2024-01-08 02:45:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,0.0
2024-01-08 03:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 03:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 03:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 03:45:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0,0.0
2024-01-08 04:00:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,0.0
2024-01-08 04:15:00,0.001,0.001,0.0,0.001,0.06666666666666667,2.3333333333333335,0.0
2024-01-08 04:30:00,0.001,0.001,0.0,0.001,0.054,1.3333333333333333,1.2
2024-01-08 04:45:00,0.001,0.001,0.0,0.001,0.45380000000000004,0.0,1.5
2024-01-08 05:00:00,0.001,0.001,0.0,0.001,0.10466666666666667,0.0,0.1
2024-01-08 05:15:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,0.0
2024-01-08 05:30:00,0.001,0.001,0.0,0.001,0.10466666666666667,0.0,0.0
2024-01-08 05:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 06:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 06:15:00,0.001,0.001,0.0,0.001,0.06666666666666667,0.0,0.0
2024-01-08 06:30:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,0.0
2024-01-08 06:45:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0,0.0
2024-01-08 07:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 07:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 07:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 07:45:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,0.0
2024-01-08 08:00:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.0
2024-01-08 08:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 08:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 08:45:00,0.001,0.001,0.0,0.001,0.054,0.6666666666666666,0.0
2024-01-08 09:00:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.0
2024-01-08 09:15:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,0.0
2024-01-08 09:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 09:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 10:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-08 10:15:00,0.001,0.001,0.0,0.001,0.14266666666666666,1.6666666666666667,0.0
