,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited,Flex_EV
2024-01-03 18:29:00,11.0,16.14141078416951,15.054327105887841,8.0,178.71233413979058,0.0,0.0,1.0
2024-01-03 18:30:00,11.0,16.140359597781785,15.053207378038072,8.0,178.66097638953335,0.0,0.0,1.0
2024-01-03 18:31:00,11.0,16.13930842633498,15.052087971800463,8.0,178.60966075752657,0.0,0.0,1.0
2024-01-03 18:32:00,11.0,16.138257270005635,15.05096888691137,8.0,178.5583871912416,0.0,0.0,1.0
2024-01-03 18:33:00,11.0,16.13720612897002,15.049850123107486,8.0,178.50715563821893,0.0,0.0,1.0
2024-01-03 18:34:00,11.0,16.13615500340415,15.048731680125828,8.0,178.45596604606888,0.0,0.0,1.0
2024-01-03 18:35:00,11.0,16.135103893483766,15.04761355770374,8.0,178.4048183624714,0.0,0.0,1.0
2024-01-03 18:36:00,11.0,16.13405279938436,15.046495755578892,8.0,178.35371253517545,0.0,0.0,1.0
2024-01-03 18:37:00,11.0,16.133001721281154,15.045378273489288,8.0,178.302648511999,0.0,0.0,1.0
2024-01-03 18:38:00,11.0,16.131950659349105,15.044261111173252,8.0,178.25162624083,0.0,0.0,1.0
2024-01-03 18:39:00,11.0,16.130899613762917,15.043144268369439,8.0,178.20064566962546,0.0,0.0,1.0
2024-01-03 18:40:00,11.0,16.129848584697026,15.042027744816822,8.0,178.14970674641052,0.0,0.0,1.0
2024-01-03 18:41:00,11.0,16.12879757232561,15.04091154025471,8.0,178.09880941927992,0.0,0.0,1.0
2024-01-03 18:42:00,11.0,16.127746576822585,15.039795654422727,8.0,178.04795363639732,0.0,0.0,1.0
2024-01-03 18:43:00,11.0,16.126695598361607,15.038680087060829,8.0,177.9971393459947,0.0,0.0,1.0
2024-01-03 18:44:00,11.0,16.125644637116075,15.037564837909292,8.0,177.94636649637306,0.0,0.0,1.0
2024-01-03 18:45:00,11.0,16.124593693259126,15.036449906708716,8.0,177.89563503590182,0.0,0.0,1.0
2024-01-03 18:46:00,11.0,16.123542766963638,15.035335293200024,8.0,177.8449449130187,0.0,0.0,1.0
2024-01-03 18:47:00,11.0,16.122491858402235,15.034220997124464,8.0,177.7942960762296,0.0,0.0,1.0
2024-01-03 18:48:00,11.0,16.121440967747272,15.033107018223603,8.0,177.74368847410926,0.0,0.0,1.0
2024-01-03 18:49:00,11.0,16.12039009517086,15.031993356239333,8.0,177.69312205530036,0.0,0.0,1.0
2024-01-03 18:50:00,11.0,16.119339240844834,15.030880010913863,8.0,177.6425967685135,0.0,0.0,1.0
2024-01-03 18:51:00,11.0,16.11828840494079,15.029766981989729,8.0,177.59211256252752,0.0,0.0,1.0
2024-01-03 18:52:00,11.0,16.11723758763006,15.028654269209783,8.0,177.54166938618897,0.0,0.0,1.0
2024-01-03 18:53:00,11.0,16.11618678908372,15.0275418723172,8.0,177.4912671884124,0.0,0.0,1.0
2024-01-03 18:54:00,11.0,16.115136009472582,15.02642979105547,8.0,177.44090591817985,0.0,0.0,1.0
2024-01-03 18:55:00,11.0,16.114085248967214,15.02531802516841,8.0,177.3905855245414,0.0,0.0,1.0
2024-01-03 18:56:00,11.0,16.113034507737922,15.02420657440015,8.0,177.34030595661426,0.0,0.0,1.0
2024-01-03 18:57:00,11.0,16.111983785954756,15.02309543849514,8.0,177.2900671635834,0.0,0.0,1.0
2024-01-03 18:58:00,11.0,16.11093308378751,15.021984617198148,8.0,177.23986909470102,0.0,0.0,1.0
2024-01-03 18:59:00,11.0,16.109882401405734,15.020874110254262,8.0,177.18971169928682,0.0,0.0,1.0
2024-01-03 19:00:00,11.0,16.10883173897871,15.019763917408882,8.0,177.13959492672728,0.0,0.0,1.0
2024-01-03 19:01:00,11.0,16.107781096675478,15.01865403840773,8.0,177.08951872647617,0.0,0.0,1.0
2024-01-03 19:02:00,11.0,16.10673047466481,15.01754447299684,8.0,177.0394830480543,0.0,0.0,1.0
2024-01-03 19:03:00,11.0,16.105679873115243,15.016435220922567,8.0,176.98948784104948,0.0,0.0,1.0
2024-01-03 19:04:00,11.0,16.104629292195042,15.015326281931575,8.0,176.9395330551161,0.0,0.0,1.0
2024-01-03 19:05:00,11.0,16.103578732072236,15.01421765577085,8.0,176.88961863997565,0.0,0.0,1.0
2024-01-03 19:06:00,11.0,16.102528192914594,15.013109342187688,8.0,176.83974454541595,0.0,0.0,1.0
2024-01-03 19:07:00,11.0,16.101477674889633,15.0120013409297,8.0,176.78991072129156,0.0,0.0,1.0
2024-01-03 19:08:00,11.0,16.10042717816462,15.010893651744814,8.0,176.7401171175232,0.0,0.0,1.0
2024-01-03 19:09:00,11.0,16.099376702906568,15.009786274381268,8.0,176.69036368409874,0.0,0.0,1.0
2024-01-03 19:10:00,11.0,16.09832624928225,15.008679208587614,8.0,176.64065037107167,0.0,0.0,1.0
2024-01-03 19:11:00,20.0,16.09727581745817,15.007572454112715,8.0,176.59097712856146,0.0,0.0,1.0
2024-01-03 19:12:00,20.0,16.096286128778434,15.00646601070575,8.0,176.54134390675455,0.0,0.0,1.0
2024-01-03 19:13:00,20.0,16.095296423970776,15.005359914353116,8.0,176.4859687853491,0.0,0.0,1.0
2024-01-03 19:14:00,20.0,16.09430670324602,15.004254164751071,8.0,176.43064212833104,0.0,0.0,1.0
2024-01-03 19:15:00,20.0,16.09331696681468,15.003148761596256,8.0,176.3753638745539,0.0,0.0,1.0
2024-01-03 19:16:00,20.0,16.092327214886964,15.002043704585693,8.0,176.32013396295193,0.0,0.0,1.0
2024-01-03 19:17:00,20.0,16.091337447672775,15.000938993416788,8.0,176.26495233254073,0.0,0.0,1.0
2024-01-03 19:18:00,20.0,16.090347665381703,14.99983462778733,8.0,176.20981892241656,0.0,0.0,1.0
2024-01-03 19:19:00,20.0,16.08935786822304,14.998730607395485,8.0,176.15473367175696,0.0,0.0,1.0
2024-01-03 19:20:00,20.0,16.08836805640576,14.997626931939804,8.0,176.09969651981964,0.0,0.0,1.0
2024-01-03 19:21:00,20.0,16.087378230138537,14.996523601119216,8.0,176.0447074059439,0.0,0.0,1.0
2024-01-03 19:22:00,20.0,16.086388389629743,14.995420614633032,8.0,175.98976626954897,0.0,0.0,1.0
2024-01-03 19:23:00,20.0,16.08539853508744,14.994317972180937,8.0,175.93487305013446,0.0,0.0,1.0
2024-01-03 19:24:00,20.0,16.084408666719387,14.993215673463,8.0,175.8800276872804,0.0,0.0,1.0
2024-01-03 19:25:00,20.0,16.083418784733038,14.992113718179665,8.0,175.82523012064684,0.0,0.0,1.0
2024-01-03 19:26:00,20.0,16.082428889335542,14.991012106031755,8.0,175.77048028997444,0.0,0.0,1.0
2024-01-03 19:27:00,20.0,16.081438980733747,14.989910836720473,8.0,175.7157781350836,0.0,0.0,1.0
2024-01-03 19:28:00,20.0,16.080449059134196,14.988809909947392,8.0,175.66112359587487,0.0,0.0,1.0
2024-01-03 19:29:00,20.0,16.07945912474313,14.987709325414466,8.0,175.6065166123282,0.0,0.0,1.0
2024-01-03 19:30:00,20.0,16.07846917776649,14.986609082824023,8.0,175.55195712450308,0.0,0.0,1.0
2024-01-03 19:31:00,20.0,16.07747921840991,14.985509181878768,8.0,175.49744507253922,0.0,0.0,1.0
2024-01-03 19:32:00,20.0,16.076489246878726,14.98440962228178,8.0,175.4429803966555,0.0,0.0,1.0
2024-01-03 19:33:00,20.0,16.075499263377974,14.983310403736509,8.0,175.38856303714994,0.0,0.0,1.0
2024-01-03 19:34:00,20.0,16.074509268112386,14.98221152594678,8.0,175.3341929344,0.0,0.0,1.0
2024-01-03 19:35:00,20.0,16.0735192612864,14.981112988616797,8.0,175.27987002886226,0.0,0.0,1.0
2024-01-03 19:36:00,20.0,16.072529243104142,14.98001479145113,8.0,175.22559426107233,0.0,0.0,1.0
2024-01-03 19:37:00,20.0,16.07153921376945,14.978916934154721,8.0,175.17136557164523,0.0,0.0,1.0
2024-01-03 19:38:00,20.0,16.070549173485862,14.977819416432888,8.0,175.1171839012743,0.0,0.0,1.0
2024-01-03 19:39:00,20.0,16.06955912245661,14.97672223799132,8.0,175.0630491907314,0.0,0.0,1.0
2024-01-03 19:40:00,20.0,16.068569060884634,14.97562539853607,8.0,175.00896138086782,0.0,0.0,1.0
2024-01-03 19:41:00,20.0,16.067578988972574,14.97452889777357,8.0,174.95492041261258,0.0,0.0,1.0
2024-01-03 19:42:00,20.0,16.066588906922775,14.973432735410617,8.0,174.90092622697364,0.0,0.0,1.0
2024-01-03 19:43:00,20.0,16.06559881493728,14.972336911154377,8.0,174.84697876503702,0.0,0.0,1.0
2024-01-03 19:44:00,20.0,16.064608713217844,14.971241424712387,8.0,174.79307796796692,0.0,0.0,1.0
2024-01-03 19:45:00,20.0,16.063618601965914,14.97014627579255,8.0,174.73922377700592,0.0,0.0,1.0
2024-01-03 19:46:00,20.0,16.06262848138265,14.969051464103137,8.0,174.68541613347426,0.0,0.0,1.0
2024-01-03 19:47:00,20.0,16.06163835166891,14.967956989352787,8.0,174.63165497877029,0.0,0.0,1.0
2024-01-03 19:48:00,20.0,16.060648213025267,14.966862851250509,8.0,174.57794025437016,0.0,0.0,1.0
2024-01-03 19:49:00,20.0,16.05965806565199,14.965769049505672,8.0,174.5242719018279,0.0,0.0,1.0
2024-01-03 19:50:00,20.0,16.05866790974906,14.964675583828015,8.0,174.47064986277442,0.0,0.0,1.0
2024-01-03 19:51:00,20.0,16.05767774551616,14.963582453927641,8.0,174.41707407891852,0.0,0.0,1.0
2024-01-03 19:52:00,20.0,16.056687573152676,14.962489659515018,8.0,174.36354449204697,0.0,0.0,1.0
2024-01-03 19:53:00,20.0,16.055697392857713,14.96139720030098,8.0,174.31006104402297,0.0,0.0,1.0
2024-01-03 19:54:00,20.0,16.05470720483007,14.96030507599672,8.0,174.256623676787,0.0,0.0,1.0
2024-01-03 19:55:00,20.0,16.053717009268265,14.959213286313801,8.0,174.20323233235723,0.0,0.0,1.0
2024-01-03 19:56:00,20.0,16.052726806370515,14.958121830964144,8.0,174.14988695282796,0.0,0.0,1.0
2024-01-03 19:57:00,20.0,16.051736596334752,14.957030709660035,8.0,174.0965874803711,0.0,0.0,1.0
2024-01-03 19:58:00,20.0,16.050746379358614,14.955939922114121,8.0,174.0433338572348,0.0,0.0,1.0
2024-01-03 19:59:00,20.0,16.049756155639447,14.95484946803941,8.0,173.9901260257442,0.0,0.0,1.0
2024-01-03 20:00:00,20.0,16.048765925374312,14.953759347149271,8.0,173.93696392830086,0.0,0.0,1.0
2024-01-03 20:01:00,20.0,16.047775688759973,14.952669559157435,8.0,173.88384750738246,0.0,0.0,1.0
2024-01-03 20:02:00,20.0,16.04678544599291,14.951580103777992,8.0,173.83077670554374,0.0,0.0,1.0
2024-01-03 20:03:00,20.0,16.04579519726931,14.950490980725391,8.0,173.77775146541524,0.0,0.0,1.0
2024-01-03 20:04:00,20.0,16.044804942785078,14.94940218971444,8.0,173.72477172970366,0.0,0.0,1.0
2024-01-03 20:05:00,20.0,16.04381468273582,14.948313730460308,8.0,173.6718374411916,0.0,0.0,1.0
2024-01-03 20:06:00,20.0,16.042824417316865,14.94722560267852,8.0,173.61894854273794,0.0,0.0,1.0
2024-01-03 20:07:00,20.0,16.041834146723247,14.946137806084957,8.0,173.56610497727758,0.0,0.0,1.0
2024-01-03 20:08:00,20.0,16.040843871149715,14.945050340395863,8.0,173.51330668782037,0.0,0.0,1.0
2024-01-03 20:09:00,20.0,16.039853590790734,14.943963205327831,8.0,173.46055361745277,0.0,0.0,1.0
2024-01-03 20:10:00,20.0,16.03886330584048,14.942876400597816,8.0,173.40784570933562,0.0,0.0,1.0
2024-01-03 20:11:00,20.0,16.03787301649284,14.941789925923127,8.0,173.35518290670632,0.0,0.0,1.0
2024-01-03 20:12:00,20.0,16.036882722941417,14.940703781021428,8.0,173.3025651528771,0.0,0.0,1.0
2024-01-03 20:13:00,20.0,16.035892425379537,14.939617965610738,8.0,173.24999239123574,0.0,0.0,1.0
2024-01-03 20:14:00,20.0,16.03490212400023,14.93853247940943,8.0,173.19746456524453,0.0,0.0,1.0
2024-01-03 20:15:00,20.0,16.033911818996245,14.937447322136231,8.0,173.14498161844128,0.0,0.0,1.0
