,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,P_use_WB,P_loss_WB,T_set_WB
2024-01-01 07:45:00,1.0,21.0,0.5042060741958176,20.669787715992655,16.863405537793053,10.0,59.118634084439414,0.12837066666666666,0.07416496663307051,60.0
2024-01-01 08:00:00,1.0,21.0,0.45766606822341405,20.623905300657054,16.87642988289708,10.0,59.11590824835513,0.0,0.07415738265430401,60.0
2024-01-01 08:15:00,1.0,21.0,0.44862680167913965,20.582518265360306,16.88882532802949,10.0,59.03618817622318,0.2567413333333333,0.07410670083512065,60.0
2024-01-01 08:30:00,1.0,21.0,0.4425729664656283,20.541693668732265,16.900627738174546,10.0,59.11052736548308,1.2837066666666668,0.07378009849876252,60.0
2024-01-01 08:45:00,1.0,21.0,0.49222478935983893,20.50141968605488,16.911851076056013,10.0,58.94122721181742,0.0,0.07420933498385059,60.0
2024-01-01 09:00:00,1.0,21.0,0.510166537770486,21.548827942270623,16.92809105493367,10.0,59.0764536792261,0.0,0.07407855263993968,60.0
2024-01-01 09:15:00,1.0,21.0,0.49909451425570134,21.50271719556696,16.949191784126583,10.0,58.99681835030117,0.2567413333333333,0.07426521368766241,60.0
2024-01-01 09:30:00,1.0,21.0,0.49157952051092596,21.457304879017094,16.969530422693055,10.0,59.07098713635123,0.12837066666666666,0.07418262085486357,60.0
2024-01-01 09:45:00,3.0,21.0,0.48422510062633073,21.412576056053116,16.989124666261336,10.0,59.06824232176764,0.0,0.07409081337762172,60.0
2024-01-01 10:00:00,1.0,21.0,0.34666818306991926,21.36851612330314,17.007991812589538,11.0,59.203596201318696,0.0,0.07433258270703018,60.0
2024-01-01 10:15:00,1.0,21.0,0.33135310014411484,21.33782898783241,17.02994549324001,11.0,59.12368778703737,0.12837066666666666,0.07417292613024623,60.0
2024-01-01 10:30:00,1.0,21.0,0.32551605374603765,21.307684571620705,17.051281999391826,11.0,58.90595100548311,0.12837066666666666,0.07425384365343973,60.0
2024-01-01 10:45:00,1.0,21.0,0.3198064219998768,21.27807102204189,17.072015428970136,11.0,59.11813201445575,0.2567413333333333,0.0742687151018579,60.0
2024-01-01 11:00:00,1.0,21.0,0.20286333834323916,21.248976751421644,17.092159563400614,12.0,59.192297036443726,0.0,0.07431000703711256,60.0
2024-01-01 11:15:00,1.0,21.0,0.1902775716596169,21.23125496692414,17.1155157216202,12.0,59.11241289127721,2.439042666666667,0.07282856773129022,60.0
2024-01-01 11:30:00,1.0,21.0,0.1857786201608067,21.213951759013263,17.138366993318005,12.0,58.562145200213955,0.0,0.07416801442253258,60.0
2024-01-01 11:45:00,1.0,21.0,0.18138098985202208,21.1970577017877,17.160724653267327,12.0,59.12742086555046,0.0,0.07418038480079583,60.0
2024-01-01 12:00:00,1.0,21.0,0.22369309599946108,21.18056358067448,17.182599723662765,12.0,59.047676065836264,0.12837066666666666,0.07410528513605089,60.0
2024-01-01 12:15:00,1.0,21.0,0.22230901699466893,21.1599133794125,17.203981207311735,12.0,59.045014388074144,0.7702240000000001,0.07376774420881674,60.0
2024-01-01 12:30:00,1.0,21.0,0.21768298525091231,21.13969346707193,17.224855494498712,12.0,58.997722737586884,0.0,0.07432221273682668,60.0
2024-01-01 12:45:00,1.0,21.0,0.21315986135112744,21.119894270381074,17.245234011166982,12.0,59.13282786006281,14.505885333333334,0.06766654817457769,60.0
2024-01-01 13:00:00,3.0,21.0,0.20689450575002344,21.10050643045337,17.26512792708125,12.0,45.186104623850305,2.0539306666666666,0.045418202309109985,60.0
2024-01-01 13:15:00,3.0,21.0,0.202458934045551,21.081700571909973,17.28454902238137,12.0,46.15431534759828,0.7702240000000001,0.05126835525244911,60.0
2024-01-01 13:30:00,3.0,21.0,0.19825142917935137,21.06328607204478,17.303508926129293,12.0,48.49623708705456,0.2567413333333333,0.05552462111593275,60.0
2024-01-01 13:45:00,1.0,21.0,0.19413750929929416,21.0452542248717,17.322018028890376,12.0,51.38558328986831,0.2567413333333333,0.061518066049472714,60.0
2024-01-01 14:00:00,1.0,21.0,0.32516126352047725,21.02759651936523,17.34008648826323,12.0,54.26848646778932,0.2567413333333333,0.06738843553335087,60.0
2024-01-01 14:15:00,1.0,21.0,0.32939198021642474,20.997130486384783,17.35766115224126,12.0,57.145078928396096,0.0,0.0727979184559055,60.0
2024-01-01 14:30:00,1.0,21.0,0.32404289816567733,20.96716169529335,17.37468177622654,12.0,59.00184179675453,0.0,0.07430182898026226,60.0
2024-01-01 14:45:00,1.0,21.0,0.31880934774510283,20.937679399106536,17.391161118042266,12.0,59.136968832012265,0.2567413333333333,0.07409169150151526,60.0
2024-01-01 15:00:00,1.0,21.0,0.4425373642621116,20.90867309083008,17.40711164888378,12.0,58.99632176756964,0.12837066666666666,0.07431941360635788,60.0
2024-01-01 15:15:00,1.0,21.0,0.44531625171773626,20.867562940359182,17.42248537285082,12.0,58.993429899144274,0.0,0.07431363566898473,60.0
2024-01-01 15:30:00,1.0,21.0,0.43897951814031805,20.827041612685854,17.43722746544864,12.0,59.12854424207058,0.12837066666666666,0.07421556269587902,60.0
2024-01-01 15:45:00,1.0,21.0,0.4327770114956783,20.787096622259597,17.451352694241677,12.0,59.12576401461442,0.0,0.07417707442164405,60.0
2024-01-01 16:00:00,1.0,21.0,0.43922839073615055,20.747715761810795,17.4648754945506,11.0,59.04602277359734,0.12837066666666666,0.07412249022144216,60.0
2024-01-01 16:15:00,1.0,21.0,0.43443319602033187,20.7076642383593,17.474068297291687,11.0,59.04334260016292,1.7971893333333335,0.07309845601385909,60.0
2024-01-01 16:30:00,1.0,21.0,0.4288707960137644,20.66812940362836,17.48272617050905,11.0,59.1827847759722,0.0,0.07429100159246671,60.0
2024-01-01 16:45:00,1.0,21.0,0.423424137974224,20.629100491915686,17.490861803979037,11.0,59.10292106188569,6.290162666666666,0.07231522338943014,60.0
2024-01-01 17:00:00,1.0,21.0,0.41809064719144745,20.590566977038165,17.49848760160606,11.0,53.553195666459885,0.12837066666666666,0.06590415168161562,60.0
2024-01-01 17:15:00,1.0,21.0,0.4128678066127801,20.552518566968008,17.505615687832073,11.0,56.56938374993641,0.2567413333333333,0.07192016197916,60.0
2024-01-01 17:30:00,1.0,21.0,0.42275703894325023,20.514945198589157,17.512257913902403,11.0,59.01109977265351,2.5674133333333335,0.07237680446757677,60.0
2024-01-01 17:45:00,1.0,21.0,0.5195671473370128,21.2046698795862,17.520168374345356,11.0,58.96832489924117,0.2567413333333333,0.07425962522924474,60.0
2024-01-01 18:00:00,1.0,21.0,0.5228789987344771,21.521392187835094,17.536329320080167,11.0,59.04249969295076,0.2567413333333333,0.07409880923957024,60.0
2024-01-01 18:15:00,1.0,21.0,0.5155734522649305,21.473812248569747,17.5523927686288,11.0,59.11684736577014,0.0,0.07415925900578749,60.0
2024-01-01 18:30:00,1.0,21.0,0.5084222009620013,21.426896764601683,17.567749232464628,11.0,59.03712527653793,0.12837066666666666,0.07408420471646189,60.0
2024-01-01 18:45:00,1.0,21.0,0.501421807242665,21.380631703549305,17.58241529566489,11.0,59.034486260478666,0.385112,0.07409349185175204,60.0
2024-01-01 19:00:00,1.0,21.0,0.4945689105158086,21.335003345659697,17.596407169082763,11.0,59.1858420384689,0.0,0.07429710998629409,60.0
2024-01-01 19:15:00,1.0,21.0,0.4878602254569638,21.289998276806617,17.60974069871453,11.0,59.105971757786065,0.5134826666666666,0.07412641162886115,60.0
2024-01-01 19:30:00,1.0,21.0,0.4812925403217058,21.245603381645473,17.622431373879213,11.0,59.1192921466227,0.0,0.07416414366462365,60.0
2024-01-01 19:45:00,1.0,21.0,0.4748627152968439,21.20180583692161,17.63449433521498,11.0,59.03956480632387,1.155336,0.0738242553193079,60.0
2024-01-01 20:00:00,1.0,21.0,0.4685676808885635,21.1585931049286,17.645944382496257,11.0,59.00821718354869,2.5674133333333335,0.0730488252340453,60.0
2024-01-01 20:15:00,1.0,21.0,0.462404436346687,21.115952927113074,17.656795982275707,11.0,58.74971749086995,0.0,0.07419905007918591,60.0
2024-01-01 20:30:00,1.0,21.0,0.45637004812424725,21.073873317822894,17.667063275354945,11.0,59.09995740358942,1.5404480000000003,0.07329870427599644,60.0
2024-01-01 20:45:00,1.0,21.0,0.4504616483715837,21.032342558195413,17.676760084087817,11.0,59.08517953229417,0.0,0.07409598684687393,60.0
2024-01-01 21:00:00,1.0,21.0,0.4527842646805763,20.99134919018269,17.685899919519986,10.0,59.00552546138855,0.0,0.07428057120587127,60.0
2024-01-01 21:15:00,1.0,21.0,0.4480003777442986,20.95008983141564,17.690756370980107,10.0,59.140675349007644,0.2567413333333333,0.07415635243773819,60.0
2024-01-01 21:30:00,1.0,21.0,0.44275763110413574,20.909317308400325,17.695125909520268,10.0,58.99995877328623,0.0,0.074326680323983,60.0
2024-01-01 21:45:00,1.0,21.0,0.43762213160534913,20.869021645947026,17.69902025383515,10.0,59.135059093052604,0.2567413333333333,0.07415285830135761,60.0
2024-01-01 22:00:00,2.0,20.966666666666665,0.4325914977459692,20.829193090410705,17.702450858284998,10.0,59.20934866248496,0.0,0.0743440760931291,60.0
2024-01-01 22:15:00,2.0,20.5,0.42766340134584524,20.789822104730515,17.70542891882291,10.0,59.1294278926763,0.385112,0.07418520267996066,60.0
2024-01-01 22:30:00,2.0,20.5,0.4228355663518271,20.7508993635805,17.707965378789314,10.0,59.065682691515335,0.12837066666666666,0.07415151718823197,60.0
2024-01-01 22:45:00,2.0,20.5,0.41810576766971236,20.712415748628928,17.710070934576567,10.0,59.0629713137449,1.0269653333333335,0.07382559391412545,60.0
2024-01-01 23:00:00,2.0,20.5,0.41347183002238297,20.67436234390385,17.711756041166634,10.0,59.16962225196431,0.2567413333333333,0.07418129254247985,60.0
2024-01-01 23:15:00,2.0,20.5,0.4089316268335227,20.636730431262585,17.713030917544643,10.0,59.028878865332416,0.2567413333333333,0.07415752192113771,60.0
2024-01-01 23:30:00,2.0,20.5,0.40448307913634574,20.599511485962594,17.713905551991115,10.0,59.10316342131783,0.8985946666666668,0.07399891599855904,60.0
2024-01-01 23:45:00,2.0,20.5,0.4001241545067908,20.5626971723317,17.714389707255577,10.0,59.132625647310775,0.0,0.07419078392642274,60.0
