,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-06 22:15:00,0.7920347860576631,1.7347724020109978,0.0,0.2732855306862476,0.0,0.0
2024-01-06 22:30:00,0.7920347860576631,1.9241623818578888,0.0,0.20855219735291428,0.0,0.0
2024-01-06 22:45:00,0.7920347860576631,1.3724456512705567,0.0,0.19671512436476982,0.0,1.0
2024-01-06 23:00:00,0.7920347860576631,0.1283456747623794,0.0,0.1888237423726735,0.0,0.2
2024-01-06 23:15:00,0.7920347860576631,0.001,0.0,0.34082374237267354,0.0,0.0
2024-01-06 23:30:00,0.7920347860576631,0.001,0.0,0.27889040903934015,0.0,0.0
2024-01-06 23:45:00,0.7920347860576631,0.001,0.0,0.7088904090393401,0.0,0.0
2024-01-07 00:00:00,0.7920347860576631,0.001,0.0,0.1758237423726735,0.0,0.0
2024-01-07 00:15:00,0.7392991336538189,0.001,0.0,0.1671529979660463,0.0,0.0
2024-01-07 00:30:00,0.001,0.001,0.0,0.29066666666666663,0.0,0.0
2024-01-07 00:45:00,0.001,0.001,0.0,0.24226666666666666,0.0,0.0
2024-01-07 01:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 01:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 01:30:00,0.001,0.001,0.0,0.04733333333333333,0.0,0.0
2024-01-07 01:45:00,0.001,0.001,0.0,0.6904000000000001,0.0,0.0
2024-01-07 02:00:00,0.001,0.001,0.0,0.20800000000000002,0.0,0.0
2024-01-07 02:15:00,0.001,0.001,0.0,0.056,0.0,0.0
2024-01-07 02:30:00,0.001,0.001,0.0,0.04906666666666667,0.0,0.0
2024-01-07 02:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-07 03:00:00,0.001,0.001,0.0,0.11900000000000001,0.0,0.0
2024-01-07 03:15:00,0.001,0.001,0.0,0.22033333333333335,0.0,0.0
2024-01-07 03:30:00,0.001,0.001,0.0,0.043,0.0,0.0
