,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB,SoC_ref_EV,SoC_arr_EV,EV_plugged,EV_arrival,EV_departure
2024-01-11 19:00:00,1.0,21.5,1.6739255155785904,21.35316424352402,15.611421295074168,2.481667,60.914732971954564,60.0,0.0,0.1945736648597728,0.7999999999999999,0.0,1,0,0
2024-01-11 19:15:00,1.0,21.5,1.6739255155785904,21.215251690137734,15.619390641773306,2.481667,60.83342233407431,60.0,0.0,0.1941671116703715,0.7999999999999999,0.0,1,0,0
2024-01-11 19:30:00,1.0,21.5,1.6739255155785904,21.0805026610568,15.624148246570813,2.481667,60.66677143484501,60.0,0.0,0.19333385717422502,0.7999999999999999,0.0,1,0,0
2024-01-11 19:45:00,1.0,21.5,1.6739255155785904,21.442908772469774,15.628516862029512,2.481667,60.50083570622249,60.0,0.0,0.19250417853111246,0.7999999999999999,0.0,1,0,0
2024-01-11 20:00:00,1.0,21.5,1.6739255155785904,21.94370851936163,15.644049897450483,1.798333,60.335612079102404,60.0,0.0,0.19167806039551205,0.7999999999999999,0.0,1,0,0
2024-01-11 20:15:00,1.0,21.5,1.6739255155785904,21.79295325246682,15.65772594017312,1.798333,60.17109749755128,60.0,0.0,0.19085548748775638,0.7999999999999999,0.0,1,0,0
2024-01-11 20:30:00,1.0,20.3,1.6739255155785904,21.64575908522851,15.667740506287457,1.798333,60.007288918749964,60.0,0.0,0.19003644459374983,0.7999999999999999,0.0,1,0,0
2024-01-11 20:45:00,1.0,21.5,1.6739255155785904,21.501972648691392,15.674281390975278,1.798333,59.844183312937325,60.0,0.0,0.18922091656468662,0.7999999999999999,0.0,1,0,0
2024-01-11 21:00:00,1.0,21.5,1.6739255155785904,21.361162654682342,15.67491711711579,1.166667,59.68177766335425,60.0,0.0,0.18840888831677122,0.7999999999999999,0.0,1,0,0
2024-01-11 21:15:00,1.0,21.5,1.6739255155785904,21.223082580474568,15.669546323070952,1.166667,59.52006896618782,60.0,0.0,0.1876003448309391,0.7999999999999999,0.0,1,0,0
2024-01-11 21:30:00,2.0,18.3,1.6739255155785904,21.087892955185904,15.661364987299256,1.166667,59.359054230515795,60.0,0.0,0.186795271152579,0.7999999999999999,0.0,1,0,0
2024-01-11 21:45:00,2.0,15.5,1.6739255155785904,20.95547264090395,15.650520641000623,1.166667,59.19873047825126,60.0,0.0,0.1859936523912563,0.7999999999999999,0.0,1,0,0
2024-01-11 22:00:00,2.0,15.5,1.6739255155785904,20.825654279808784,15.636678508532924,1.051667,59.07348855241686,60.0,0.0,0.1853674427620843,0.7999999999999999,0.0,1,0,0
2024-01-11 22:15:00,2.0,15.5,1.6739255155785904,20.698308321577322,15.619922843791134,1.051667,59.82457034452208,60.0,0.0,0.18912285172261042,0.7999999999999999,0.0,1,0,0
2024-01-11 22:30:00,2.0,15.5,1.6739255155785904,20.573383294211578,15.600933268610957,1.051667,60.82933392298189,60.0,0.0,0.19414666961490948,0.7999999999999999,0.0,1,0,0
2024-01-11 22:45:00,2.0,15.5,1.6739255155785904,20.450780228288078,15.579829705316724,1.051667,60.868413640893785,60.0,0.0,0.19434206820446892,0.7999999999999999,0.0,1,0,0
2024-01-11 23:00:00,2.0,15.5,1.6739255155785904,20.330124158405184,15.554157354478516,0.43,60.679537642306975,60.0,0.15404479999999998,0.19339768821153486,0.7999999999999999,0.0,1,0,0
2024-01-11 23:15:00,2.0,15.5,1.6739255155785904,20.211219601646643,15.523757588980208,0.43,60.36812342438713,60.0,0.1155336,0.19184061712193565,0.7999999999999999,0.0,1,0,0
2024-01-11 23:30:00,2.0,15.5,1.6739255155785904,20.094269437566687,15.491719727840318,0.43,60.13444251526678,60.0,0.02567413333333333,0.19067221257633388,0.7999999999999999,0.0,1,0,0
2024-01-11 23:45:00,2.0,15.5,1.6739255155785904,19.97919719837603,15.458135566553056,0.43,59.95390559284281,60.0,0.0,0.18976952796421406,0.7999999999999999,0.0,1,0,0
2024-01-12 00:00:00,2.0,15.5,1.6739255155785904,19.865848726580793,15.422348643679213,0.25,59.782944672238116,60.0,0.012837066666666666,0.18891472336119056,0.7999999999999999,0.0,1,0,0
2024-01-12 00:15:00,2.0,15.5,1.6739255155785904,19.754123950458986,15.38436471106694,0.25,59.51645339428958,60.0,0.15404479999999998,0.18758226697144792,0.7999999999999999,0.0,1,0,0
2024-01-12 00:30:00,2.0,15.5,1.6739255155785904,19.644040158875416,15.345127439733341,0.25,59.324654652394656,60.0,0.0,0.1866232732619733,0.7999999999999999,0.0,1,0,0
2024-01-12 00:45:00,2.0,15.5,1.6739255155785904,19.5355356786157,15.30471020052775,0.25,59.164478523498936,60.0,0.012837066666666666,0.18582239261749464,0.7999999999999999,0.0,1,0,0
2024-01-12 01:00:00,2.0,15.5,1.6739255155785904,19.428592327308152,15.263554722076698,0.34,59.189951374513655,60.0,0.012837066666666666,0.1859497568725683,0.7999999999999999,0.0,1,0,0
2024-01-12 01:15:00,2.0,15.5,1.6739255155785904,19.323169304979228,15.221766130835793,0.34,60.18972229054348,60.0,0.012837066666666666,0.1909486114527174,0.7999999999999999,0.0,1,0,0
2024-01-12 01:30:00,2.0,15.5,1.6739255155785904,19.219171346445716,15.178975360208517,0.34,60.931552465424126,60.0,0.0,0.1946577623271206,0.7999999999999999,0.0,1,0,0
2024-01-12 01:45:00,2.0,15.5,1.6739255155785904,19.116546682453045,15.135243509795338,0.34,60.78331086424164,60.0,0.05134826666666666,0.19391655432120822,0.7999999999999999,0.0,1,0,0
2024-01-12 02:00:00,2.0,15.5,1.6739255155785904,19.015136090355764,15.089623170896692,0.096667,60.577957409491916,60.0,0.012837066666666666,0.1928897870474596,0.7999999999999999,0.0,1,0,0
2024-01-12 02:15:00,2.0,15.5,1.6739255155785904,18.914851150295586,15.042065026654257,0.096667,60.41166976835772,60.0,0.0,0.1920583488417886,0.7999999999999999,0.0,1,0,1
2024-01-12 02:30:00,2.0,15.5,1.6739255155785904,18.81575989326162,14.993790427878059,0.096667,60.246828790585354,60.0,0.0,0.19123414395292676,0.0,0.0,0,0,0
2024-01-12 02:45:00,2.0,15.5,1.6739255155785904,18.717821507059217,14.944846821098473,0.096667,60.082695216269215,60.0,0.0,0.19041347608134604,0.0,0.0,0,0,0
2024-01-12 03:00:00,2.0,15.5,1.6739255155785904,18.62103542194711,14.895630584738816,0.181667,59.91926600963712,60.0,0.0,0.1895963300481856,0.0,0.0,0,0,0
2024-01-12 03:15:00,2.0,15.5,1.6739255155785904,18.52537891451748,14.846221184175455,0.181667,59.756538147944745,60.0,0.0,0.18878269073972373,0.0,0.0,0,0,0
2024-01-12 03:30:00,2.0,15.5,1.6739255155785904,18.43077706714577,14.796251177714668,0.181667,59.59450862141962,60.0,0.0,0.1879725431070981,0.0,0.0,0,0,0
2024-01-12 03:45:00,2.0,15.5,1.6739255155785904,18.33719532279255,14.745760288822938,0.181667,59.433174433205515,60.0,0.0,0.18716587216602756,0.0,0.0,0,0,0
2024-01-12 04:00:00,2.0,15.5,1.6739255155785904,18.24465261339124,14.69526151269943,0.296667,59.27253259930701,60.0,0.0,0.18636266299653506,0.0,0.0,0,0,0
2024-01-12 04:15:00,1.0,17.1,1.6739255155785904,18.342943486429416,14.646102800251821,0.296667,59.11258014853429,60.0,0.0,0.18556290074267145,0.0,0.0,0,0,0
2024-01-12 04:30:00,1.0,21.5,1.6739255155785904,19.101235372002975,14.606124080428252,0.296667,59.33135696980317,60.0,0.0,0.1866567848490158,0.0,0.0,0,0,0
2024-01-12 04:45:00,1.0,21.5,1.6739255155785904,20.407678933467764,14.591392422962944,0.296667,60.42431183947681,60.0,0.0,0.19212155919738408,0.0,0.0,0,0,0
2024-01-12 05:00:00,1.0,21.5,1.6739255155785904,21.647110621264847,14.604047204394005,0.016667,60.94558600076659,60.0,0.0,0.19472793000383293,0.0,0.0,0,0,0
2024-01-12 05:15:00,2.0,18.7,1.6739255155785904,21.893292052386172,14.633677126236543,0.016667,60.77845375905465,60.0,0.0,0.19389226879527324,0.0,0.0,0,0,0
2024-01-12 05:30:00,2.0,15.5,1.6739255155785904,21.720898570019482,14.661230224991412,0.016667,60.612038753596906,60.0,0.0,0.1930601937679845,0.0,0.0,0,0,0
2024-01-12 05:45:00,1.0,19.5,1.6739255155785904,21.552824456050633,14.684234773294692,0.016667,60.44633790642441,60.0,0.0,0.19223168953212205,0.0,0.0,0,0,0
2024-01-12 06:00:00,1.0,21.5,1.6739255155785904,21.389141024590323,14.705297920388904,0.591667,60.281348152777134,60.0,0.0,0.19140674076388567,0.0,0.0,0,0,0
2024-01-12 06:15:00,1.0,21.5,1.6739255155785904,21.229766552700077,14.724886863335808,0.591667,60.11706644104728,60.0,0.0,0.19058533220523638,0.0,0.0,0,0,0
2024-01-12 06:30:00,3.0,21.5,1.6739255155785904,21.074263214213396,14.74044928985469,0.591667,59.95348973272276,60.0,0.0,0.18976744866361378,0.0,0.0,0,0,0
2024-01-12 06:45:00,2.0,21.1,1.6739255155785904,21.567887486796096,14.75640122745483,0.591667,59.7832644895821,60.0,0.012837066666666666,0.18891632244791054,0.0,0.0,0,0,0
2024-01-12 07:00:00,2.0,15.5,1.6739255155785904,21.89503449903316,14.7858537001865,0.626667,59.58213165910552,60.0,0.4107861333333333,0.1879106582955276,0.0,0.0,0,0,0
2024-01-12 07:15:00,2.0,15.5,1.6739255155785904,21.726392394375083,14.81420107133659,0.626667,59.107289392573875,60.0,0.10269653333333333,0.18553644696286936,0.0,0.0,0,0,0
2024-01-12 07:30:00,2.0,15.5,1.6739255155785904,21.56200457903891,14.838056574727654,0.626667,59.970237253174155,60.0,0.012837066666666666,0.1898511862658708,0.0,0.0,0,0,0
2024-01-12 07:45:00,1.0,16.7,1.6739255155785904,21.40168538917369,14.857648131492125,0.626667,60.87008180559709,60.0,0.038511199999999995,0.19435040902798542,0.0,0.0,0,0,0
2024-01-12 08:00:00,2.0,15.5,1.6739255155785904,21.24676762410833,14.870814109123403,0.048333,60.79975925088838,60.0,0.0,0.19399879625444189,0.0,0.0,0,0,0
