,WashingMachine,BaseLoad
2024-01-03 21:00:00,0.001,0.6115759397255879
2024-01-03 21:15:00,0.1907336200641085,0.7221759397255878
2024-01-03 21:30:00,0.5904714082723814,0.4110426063922545
2024-01-03 21:45:00,0.4854863435082232,0.49970927305892116
2024-01-03 22:00:00,0.16616168836457856,0.32237593972558776
2024-01-03 22:15:00,0.5149083967827618,0.32237593972558776
2024-01-03 22:30:00,1.2575608255053539,0.32237593972558776
2024-01-03 22:45:00,0.12384923520517449,0.32237593972558776
2024-01-03 23:00:00,0.1218282831049564,0.42835506078442204
2024-01-03 23:15:00,0.3680441955704638,0.34070927305892107
2024-01-03 23:30:00,0.7990600207583909,0.2497759397255878
2024-01-03 23:45:00,0.001,0.2952071135110925
2024-01-04 00:00:00,0.001,0.3286855306862476
2024-01-04 00:15:00,0.001,0.34455219735291426
2024-01-04 00:30:00,0.001,0.4865521973529142
2024-01-04 00:45:00,0.001,0.2866863312993796
2024-01-04 01:00:00,0.001,0.6141570757060069
2024-01-04 01:15:00,0.001,0.0488237423726735
2024-01-04 01:30:00,0.001,0.0488237423726735
2024-01-04 01:45:00,0.001,0.06149040903934016
2024-01-04 02:00:00,0.001,0.23251774644058099
2024-01-04 02:15:00,0.001,0.5001333333333334
2024-01-04 02:30:00,0.001,0.17026666666666665
2024-01-04 02:45:00,0.001,0.037
2024-01-04 03:00:00,0.001,0.5700666666666667
2024-01-04 03:15:00,0.001,0.08766666666666666
2024-01-04 03:30:00,0.001,0.227
2024-01-04 03:45:00,0.001,0.06233333333333333
2024-01-04 04:00:00,0.001,0.3035333333333333
2024-01-04 04:15:00,0.001,0.3035333333333333
2024-01-04 04:30:00,0.001,0.037
2024-01-04 04:45:00,0.001,0.6587333333333334
2024-01-04 05:00:00,0.001,0.21433333333333335
2024-01-04 05:15:00,0.001,0.5700666666666667
2024-01-04 05:30:00,0.001,0.037
2024-01-04 05:45:00,0.001,0.037
2024-01-04 06:00:00,0.001,0.037
2024-01-04 06:15:00,0.001,0.16366666666666668
2024-01-04 06:30:00,0.001,0.17633333333333334
2024-01-04 06:45:00,0.001,0.037
2024-01-04 07:00:00,0.001,0.037
2024-01-04 07:15:00,0.001,0.3035333333333333
2024-01-04 07:30:00,0.001,0.3035333333333333
2024-01-04 07:45:00,0.001,0.20166666666666666
2024-01-04 08:00:00,0.001,0.2593333333333333
2024-01-04 08:15:00,0.001,0.158
2024-01-04 08:30:00,0.001,0.158
2024-01-04 08:45:00,0.001,0.158
2024-01-04 09:00:00,0.001,0.1384
2024-01-04 09:15:00,0.001,0.7600666666666667
2024-01-04 09:30:00,0.001,0.10033333333333334
2024-01-04 09:45:00,0.001,0.037
2024-01-04 10:00:00,0.001,0.037
2024-01-04 10:15:00,0.001,0.037
2024-01-04 10:30:00,0.001,0.08766666666666666
2024-01-04 10:45:00,0.001,0.227
2024-01-04 11:00:00,0.001,0.06233333333333333
2024-01-04 11:15:00,0.001,0.037
2024-01-04 11:30:00,0.001,0.037
2024-01-04 11:45:00,0.001,0.037
2024-01-04 12:00:00,0.001,0.12566666666666668
2024-01-04 12:15:00,0.001,0.21433333333333335
2024-01-04 12:30:00,0.001,0.037
2024-01-04 12:45:00,0.001,0.037
2024-01-04 13:00:00,0.001,0.037
2024-01-04 13:15:00,0.001,0.037
2024-01-04 13:30:00,0.001,0.16366666666666668
2024-01-04 13:45:00,0.001,0.17633333333333334
2024-01-04 14:00:00,0.001,0.0612
2024-01-04 14:15:00,0.001,0.158
2024-01-04 14:30:00,0.001,0.158
2024-01-04 14:45:00,0.001,0.158
2024-01-04 15:00:00,0.001,0.3310805859607771
2024-01-04 15:15:00,0.001,0.2666855306862476
2024-01-04 15:30:00,0.001,0.0685521973529143
2024-01-04 15:45:00,0.001,0.0685521973529143
2024-01-04 16:00:00,0.001,0.0685521973529143
2024-01-04 16:15:00,0.001,0.06228754560783239
2024-01-04 16:30:00,0.001,0.23803549288116196
2024-01-04 16:45:00,0.001,0.5119570757060068
2024-01-04 17:00:00,0.001,0.05303070201972874
2024-01-04 17:15:00,0.001,0.08037593972558779
2024-01-04 17:30:00,0.001,0.09826994379349527
2024-01-04 17:45:00,0.001,1.2530855306862478
2024-01-04 18:00:00,0.001,2.883418864019581
2024-01-04 18:15:00,0.001,0.495818864019581
2024-01-04 18:30:00,0.001,0.843618864019581
2024-01-04 18:45:00,0.001,0.3105521973529143
2024-01-04 19:00:00,0.001,0.2540855306862476
2024-01-04 19:15:00,0.001,0.27821886401958096
2024-01-04 19:30:00,0.001,0.3684620296692708
2024-01-04 19:45:00,0.001,0.3062426063922544
2024-01-04 20:00:00,0.001,0.3563759397255878
2024-01-04 20:15:00,0.001,0.3563759397255878
2024-01-04 20:30:00,0.001,0.33597593972558776
2024-01-04 20:45:00,0.001,0.44904260639225446
2024-01-04 21:00:00,0.001,0.45382677814380545
2024-01-04 21:15:00,0.001,0.3176464427765184
2024-01-04 21:30:00,0.001,0.8560953537648108
2024-01-04 21:45:00,0.001,0.333237661666784
2024-01-04 22:00:00,0.001,0.3450426063922544
2024-01-04 22:15:00,0.001,0.8868426063922547
2024-01-04 22:30:00,0.001,0.4237092730589211
2024-01-04 22:45:00,0.001,0.32237593972558776
2024-01-04 23:00:00,0.001,0.5889092730589212
2024-01-04 23:15:00,0.001,0.5889092730589212
2024-01-04 23:30:00,0.001,0.3168057932353935
2024-01-04 23:45:00,0.001,0.41629040903934017
2024-01-05 00:00:00,0.001,0.3541570757060068
2024-01-05 00:15:00,0.001,0.2908237423726735
2024-01-05 00:30:00,0.001,0.6632707444066273
2024-01-05 00:45:00,0.001,0.158
2024-01-05 01:00:00,0.001,0.18446666666666667
2024-01-05 01:15:00,0.001,0.227
2024-01-05 01:30:00,0.001,0.06233333333333333
2024-01-05 01:45:00,0.001,0.037
2024-01-05 02:00:00,0.001,0.037
2024-01-05 02:15:00,0.001,0.037
2024-01-05 02:30:00,0.001,0.13473333333333332
2024-01-05 02:45:00,0.001,0.7814
2024-01-05 03:00:00,0.001,0.0574
2024-01-05 03:15:00,0.001,0.43679999999999997
2024-01-05 03:30:00,0.001,0.037
2024-01-05 03:45:00,0.001,0.037
2024-01-05 04:00:00,0.001,0.16366666666666668
2024-01-05 04:15:00,0.001,0.17633333333333334
2024-01-05 04:30:00,0.001,0.037
2024-01-05 04:45:00,0.001,0.037
2024-01-05 05:00:00,0.001,0.037
2024-01-05 05:15:00,0.001,0.037
2024-01-05 05:30:00,0.001,0.20166666666666666
2024-01-05 05:45:00,0.001,0.5381333333333334
2024-01-05 06:00:00,0.001,0.037
2024-01-05 06:15:00,0.001,0.037
2024-01-05 06:30:00,0.001,0.19693333333333332
2024-01-05 06:45:00,0.001,2.857137411073294
2024-01-05 07:00:00,0.001,0.3987570757060068
2024-01-05 07:15:00,0.001,0.11215707570600683
2024-01-05 07:30:00,0.001,0.0488237423726735
2024-01-05 07:45:00,0.001,0.0440942454236041
2024-01-05 08:00:00,0.001,0.037
2024-01-05 08:15:00,0.001,0.1522
2024-01-05 08:30:00,0.001,0.8810666666666667
2024-01-05 08:45:00,0.001,0.18333333333333332
2024-01-05 09:00:00,0.001,0.158
2024-01-05 09:15:00,0.001,0.6910666666666666
2024-01-05 09:30:00,0.001,0.0612
2024-01-05 09:45:00,0.001,0.6587333333333334
2024-01-05 10:00:00,0.001,0.21433333333333335
2024-01-05 10:15:00,0.001,0.5700666666666667
2024-01-05 10:30:00,0.001,0.037
2024-01-05 10:45:00,0.001,0.5700666666666667
2024-01-05 11:00:00,0.04455419540545832,0.037
2024-01-05 11:15:00,0.20731554370726968,0.16366666666666668
2024-01-05 11:30:00,0.8902552693618025,0.17633333333333334
2024-01-05 11:45:00,0.42325419234686357,0.071
2024-01-05 12:00:00,0.1434758900354722,0.071
2024-01-05 12:15:00,0.24618820814434933,0.0738
2024-01-05 12:30:00,0.67508669111518,0.6910666666666666
