,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-04-21 08:00:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-04-21 08:15:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-04-21 08:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,3.3333333333333335
2024-04-21 08:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-21 09:00:00,0.001,0.001,0.0,0.038,0.0,4.666666666666667
2024-04-21 09:15:00,0.001,0.001,0.0,0.07600000000000001,0.0,4.333333333333333
2024-04-21 09:30:00,0.001,0.001,0.0,0.266,0.0,0.0
2024-04-21 09:45:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-04-21 10:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-21 10:15:00,0.001,0.001,0.0,0.5710666666666666,0.0,0.0
2024-04-21 10:30:00,0.001,0.001,0.0,0.038,6.6,0.0
2024-04-21 10:45:00,0.001,0.001,0.0,0.152,7.333333333333333,0.0
2024-04-21 11:00:00,0.001,0.001,0.0,0.31666666666666665,0.0,0.0
2024-04-21 11:15:00,0.001,0.001,0.0,0.07600000000000001,0.0,5.0
2024-04-21 11:30:00,0.001,0.001,0.0,0.038,0.0,0.3333333333333333
2024-04-21 11:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-21 12:00:00,0.001,0.001,0.0,0.038,0.0,2.3333333333333335
2024-04-21 12:15:00,0.001,0.001,0.0,0.31666666666666665,0.0,0.0
2024-04-21 12:30:00,0.001,0.001,0.0,0.19,0.0,0.0
2024-04-21 12:45:00,0.001,0.001,0.0,0.038,0.0,1.0
2024-04-21 13:00:00,0.001,0.001,0.0,0.050133333333333335,0.0,4.666666666666667
2024-04-21 13:15:00,0.001,0.001,0.0,0.051,0.0,0.0
2024-04-21 13:30:00,0.001,0.001,0.0,0.1604,0.0,0.0
2024-04-21 13:45:00,0.001,0.001,0.0,0.5075979850784152,0.0,0.0
2024-04-21 14:00:00,0.001,0.001,0.0,0.319578864019581,0.0,0.0
2024-04-21 14:15:00,0.001,0.001,0.0,0.32625219735291433,0.0,0.3333333333333333
2024-04-21 14:30:00,0.001,0.001,0.0,0.3278286963359375,2.2,2.0
2024-04-21 14:45:00,0.001,0.001,0.0,0.36766202043147733,0.7333333333333333,0.0
2024-04-21 15:00:00,0.001,0.001,0.0,0.4884570757060068,0.0,0.0
2024-04-21 15:15:00,0.001,0.001,0.0,0.9089904090393401,0.0,1.6666666666666667
2024-04-21 15:30:00,0.001,0.001,0.0,0.3169237423726735,0.0,5.0
2024-04-21 15:45:00,0.001,0.001,0.0,0.7193237423726735,0.0,5.0
2024-04-21 16:00:00,0.001,0.001,0.0,0.31085299796604626,0.0,5.0
2024-04-21 16:15:00,0.001,0.001,0.0,0.3594333333333333,0.0,5.0
2024-04-21 16:30:00,0.001,0.001,0.0,0.3268215828248449,0.0,5.0
2024-04-21 16:45:00,0.001,0.001,0.0,0.32519040903934016,0.0,5.0
2024-04-21 17:00:00,0.001,0.001,0.0,0.30339040903934017,0.0,5.0
2024-04-21 17:15:00,0.001,0.001,0.0,0.3143237423726735,0.0,5.0
2024-04-21 17:30:00,0.001,0.001,0.0,0.4078570757060068,0.0,5.0
2024-04-21 17:45:00,0.001,0.001,0.0,0.4711904090393402,0.0,4.333333333333333
2024-04-21 18:00:00,0.001,0.001,0.0,0.3316491615817823,0.0,0.0
2024-04-21 18:15:00,0.001,0.001,0.0,0.27536666666666665,0.0,2.3333333333333335
2024-04-21 18:30:00,0.001,0.001,0.0,0.5970173991176381,0.0,3.6666666666666665
2024-04-21 18:45:00,0.001,0.001,0.0,0.3881902791607823,0.0,0.0
2024-04-21 19:00:00,0.001,0.001,0.0,0.9384426063922544,0.0,0.0
2024-04-21 19:15:00,0.001,0.001,0.0,0.2533759397255878,0.0,0.0
2024-04-21 19:30:00,0.001,0.001,0.0,0.7291759397255878,0.0,0.0
2024-04-21 19:45:00,0.001,0.001,0.0,0.6590356467451992,0.0,0.0
2024-04-21 20:00:00,0.001,0.001,0.0,0.11364260639225446,0.0,0.0
2024-04-21 20:15:00,0.001,0.001,0.0,0.6295759397255878,0.0,0.0
2024-04-21 20:30:00,0.001,0.001,0.0,0.44997593972558775,0.0,4.333333333333333
2024-04-21 20:45:00,0.001,0.001,0.0,0.2153759397255878,0.0,3.3333333333333335
2024-04-21 21:00:00,0.001,0.001,0.0,0.9614173686863955,0.0,0.0
2024-04-21 21:15:00,0.001,0.001,0.0,0.19649040903934017,0.0,3.6666666666666665
2024-04-21 21:30:00,0.001,0.001,0.0,0.29579631747977336,0.0,0.0
2024-04-21 21:45:00,0.001,0.001,0.0,0.3615248599516735,0.0,0.0
2024-04-21 22:00:00,0.001,0.001,0.0,0.20237593972558782,0.0,0.0
2024-04-21 22:15:00,0.001,0.001,0.0,0.20237593972558782,0.0,0.0
2024-04-21 22:30:00,0.001,0.001,0.0,0.36704260639225444,0.0,0.0
2024-04-21 22:45:00,0.001,0.001,0.0,0.2403759397255878,0.0,4.0
2024-04-21 23:00:00,0.001,0.001,0.0,0.39237593972558776,0.0,3.0
2024-04-21 23:15:00,0.001,0.001,0.0,0.2403759397255878,0.0,0.6666666666666666
2024-04-21 23:30:00,0.001,0.001,0.0,0.17240468489418698,0.0,0.0
2024-04-21 23:45:00,0.001,0.001,0.0,0.197,0.0,0.0
2024-04-22 00:00:00,0.001,0.001,0.0,0.2856666666666667,0.0,0.6666666666666666
2024-04-22 00:15:00,0.001,0.001,0.0,0.8567333333333332,0.0,4.666666666666667
2024-04-22 00:30:00,0.001,0.001,0.0,0.1958,0.0,0.0
2024-04-22 00:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-22 01:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-22 01:15:00,0.001,0.001,0.0,0.6470666666666667,0.0,0.0
2024-04-22 01:30:00,0.001,0.001,0.0,0.23903549288116194,1.4666666666666666,0.0
2024-04-22 01:45:00,0.001,0.001,0.0,0.2144904090393402,0.0,0.0
2024-04-22 02:00:00,0.001,0.001,0.0,0.0498237423726735,0.0,0.0
2024-04-22 02:15:00,0.001,0.001,0.0,0.0498237423726735,0.0,0.0
2024-04-22 02:30:00,0.001,0.001,0.0,0.0498237423726735,0.0,0.0
2024-04-22 02:45:00,0.001,0.001,0.0,0.19,0.0,0.0
2024-04-22 03:00:00,0.001,0.001,0.0,0.2786666666666667,0.0,2.0
2024-04-22 03:15:00,0.001,0.001,0.0,0.07600000000000001,0.0,2.0
