,TumbleDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-03-16 20:15:00,0.001,0.001,0.6363759397255877,0.8,0.0
2024-03-16 20:30:00,0.001,0.001,0.9057092730589211,0.0,0.0
2024-03-16 20:45:00,0.001,0.001,0.7215759397255878,0.0,4.666666666666667
2024-03-16 21:00:00,0.001,0.001,0.30817593972558777,0.0,0.0
2024-03-16 21:15:00,0.001,0.001,0.33237593972558777,0.0,1.6666666666666667
2024-03-16 21:30:00,0.001,0.001,0.547709273058921,0.0,2.0
2024-03-16 21:45:00,0.001,0.001,0.5350426063922544,0.0,2.0
2024-03-16 22:00:00,0.001,0.001,0.33237593972558777,0.0,0.0
2024-03-16 22:15:00,0.001,0.001,0.33237593972558777,0.0,0.0
2024-03-16 22:30:00,0.001,0.001,0.40354869633593743,0.0,3.0
2024-03-16 22:45:00,0.001,0.001,0.5249716113921372,0.0,0.3333333333333333
2024-03-16 23:00:00,0.001,0.001,0.6243079141242246,0.0,0.0
2024-03-16 23:15:00,0.001,0.001,0.3155237423726735,0.0,0.0
2024-03-16 23:30:00,0.001,0.001,0.42845707570600683,0.0,0.0
2024-03-16 23:45:00,0.001,0.001,0.46386898007853256,0.0,4.0
2024-03-17 00:00:00,0.001,0.001,0.38854260639225446,0.0,0.3333333333333333
2024-03-17 00:15:00,0.001,0.001,0.6851346922680298,0.0,0.0
2024-03-17 00:30:00,0.001,0.001,0.35365219735291425,0.0,0.0
2024-03-17 00:45:00,0.001,0.001,0.2142521973529143,0.0,0.0
2024-03-17 01:00:00,0.001,0.001,0.19952783858822096,0.0,2.3333333333333335
2024-03-17 01:15:00,0.001,0.001,0.1827,0.0,0.0
2024-03-17 01:30:00,0.001,0.001,0.4360333333333334,0.0,0.0
2024-03-17 01:45:00,0.001,0.001,0.3473666666666667,0.0,0.0
2024-03-17 02:00:00,0.001,0.001,0.1827,0.0,0.0
2024-03-17 02:15:00,0.001,0.001,0.1827,0.0,2.3333333333333335
2024-03-17 02:30:00,0.001,0.001,0.3159666666666666,0.0,1.0
2024-03-17 02:45:00,0.001,0.001,0.5885666666666667,0.0,0.0
2024-03-17 03:00:00,0.001,0.001,0.8611666666666667,0.0,0.0
2024-03-17 03:15:00,0.001,0.001,0.1827,0.0,0.0
2024-03-17 03:30:00,0.001,0.001,0.3159666666666666,0.0,0.0
2024-03-17 03:45:00,0.001,0.001,0.5824999999999999,0.4,0.0
2024-03-17 04:00:00,0.001,0.001,0.20803333333333332,0.5333333333333333,0.0
2024-03-17 04:15:00,0.001,0.001,0.82318,2.0,0.0
2024-03-17 04:30:00,0.001,0.001,0.07233333333333333,2.0,0.0
2024-03-17 04:45:00,0.001,0.001,0.047,2.0,0.6666666666666666
2024-03-17 05:00:00,0.001,0.001,0.047,0.6666666666666666,2.3333333333333335
2024-03-17 05:15:00,0.001,0.001,0.047,0.0,0.0
2024-03-17 05:30:00,0.001,0.001,0.8714,0.5333333333333333,3.0
