,Occupancy,EV_plugged,SoC_ref_EV,T_ref_WB,T_set_WB,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,P_use_WB,P_loss_WB,EV_arrival,EV_departure,SoC_arr_EV
2024-01-01 13:56:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.457193651269538,15.571619053882511,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:57:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.454573407004002,15.57475540624037,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:58:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.45195711931666,15.57788702895465,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:59:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.449344782237215,15.581013929161275,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:00:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.44673638980439,15.584136113985396,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:01:00,3.0,1.0,0.793888888888889,60.75859722885736,60.0,21.5,0.5790360513319585,21.443252878896917,15.587253590541419,12.0,0.0,0.0,1.0,0.0,0.7908333333333334
2024-01-01 14:02:00,3.0,1.0,0.7969444444444446,60.75859722885736,60.0,21.5,0.5790360513319585,21.439773929790185,15.590365763761703,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:03:00,3.0,1.0,0.8000000000000002,60.75859722885736,60.0,21.5,0.5790360513319585,21.436299535700055,15.593472641733571,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:04:00,3.0,1.0,0.8000000000000002,60.75859722885736,60.0,21.5,0.5790360513319585,21.43282968985261,15.59657423253213,12.0,3.85112,0.0,0.0,0.0,0.0
2024-01-01 14:05:00,3.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.429364385484146,15.599670544220292,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:06:00,3.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.425903615841143,15.602761584848787,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:07:00,3.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.422447374180262,15.605847362456192,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:08:00,3.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.418995653768324,15.608927885068939,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:09:00,3.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.41554844788229,15.612003160701335,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:10:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.412105749809257,15.615073197355587,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:11:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.408667552846435,15.618138003021814,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:12:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.40523385030113,15.621197585678066,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:13:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.401804635490738,15.624251953290345,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:14:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.39837990174272,15.62730111381262,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:15:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.394959642394593,15.630345075186847,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:16:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.39154385079391,15.633383845342987,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:17:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.388132520298246,15.636417432199023,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:18:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.384725644275193,15.639445843660981,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:19:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.381323216102324,15.642469087622944,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:20:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.3779252291672,15.64548717196707,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:21:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.374531676867342,15.648500104563615,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:22:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.371142552610216,15.651507893270947,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:23:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.367757849813227,15.654510545935567,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:24:00,1.0,1.0,0.8000000000000002,60.48259722885736,60.0,21.5,0.5790360513319585,21.36437756190369,15.65750807039212,12.0,0.0,0.0,0.0,0.0,0.0
