,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-03 09:30:00,0.001,0.001,0.18,0.0,0.0
2024-01-03 09:45:00,0.001,0.001,0.37266666666666665,0.0,0.0
2024-01-03 10:00:00,0.001,0.001,0.3806333333333333,0.0,0.0
2024-01-03 10:15:00,0.001,0.001,0.34286,0.0,0.0
2024-01-03 10:30:00,0.001,0.001,0.1817,0.0,0.0
2024-01-03 10:45:00,0.001,0.001,0.1921,0.0,0.0
2024-01-03 11:00:00,0.001,0.001,0.20203333333333334,0.0,0.0
2024-01-03 11:15:00,0.11525299393937072,0.001,0.44403333333333334,0.0,0.0
2024-01-03 11:30:00,1.6984739823927635,0.001,0.2608215828248449,0.0,0.0
2024-01-03 11:45:00,1.9571921555028464,0.001,0.3091237423726734,0.0,0.0
2024-01-03 12:00:00,1.9777871676156922,0.001,0.2472570757060068,0.0,0.0
2024-01-03 12:15:00,1.2913192803479392,0.001,0.8305904090393402,0.0,0.0
2024-01-03 12:30:00,0.001,0.001,0.7559904090393401,0.0,0.0
2024-01-03 12:45:00,0.001,0.001,0.527064035353062,6.6,0.0
2024-01-03 13:00:00,0.001,0.001,0.30065219735291426,0.0,0.0
2024-01-03 13:15:00,0.001,0.001,0.291918864019581,0.0,0.0
2024-01-03 13:30:00,0.001,0.001,0.7765188640195809,0.0,2.6666666666666665
2024-01-03 13:45:00,0.001,0.001,0.43825219735291426,0.0,0.3333333333333333
2024-01-03 14:00:00,0.001,0.001,0.5482521973529143,0.0,0.0
2024-01-03 14:15:00,0.001,0.001,1.0247188640195808,0.0,0.0
2024-01-03 14:30:00,0.001,0.001,0.3696034798235276,0.0,0.0
2024-01-03 14:45:00,0.001,0.001,0.8103998184967501,0.0,0.0
2024-01-03 15:00:00,0.001,0.001,0.2999826063922545,0.0,0.0
2024-01-03 15:15:00,0.001,0.001,0.39740927305892115,0.0,0.0
2024-01-03 15:30:00,0.001,0.001,0.42674260639225453,0.0,0.0
2024-01-03 15:45:00,0.001,0.001,0.6377446213138391,0.0,0.0
2024-01-03 16:00:00,0.001,0.001,1.1267904090393401,0.0,0.0
2024-01-03 16:15:00,0.001,0.001,0.30585299796604626,0.0,0.0
2024-01-03 16:30:00,0.001,0.001,0.3090104394705829,0.0,0.0
2024-01-03 16:45:00,0.001,0.001,0.43691886401958097,0.0,0.0
2024-01-03 17:00:00,0.001,0.001,1.3019699437934953,0.0,0.0
2024-01-03 17:15:00,0.001,0.001,0.5360759397255878,0.0,0.0
2024-01-03 17:30:00,0.001,0.001,0.3236092730589212,0.0,0.0
2024-01-03 17:45:00,0.001,0.001,0.2380759397255878,0.0,0.0
2024-01-03 18:00:00,0.001,0.001,0.2799724599020602,0.0,0.0
2024-01-03 18:15:00,0.001,0.001,0.3213464427765184,0.0,0.0
2024-01-03 18:30:00,0.001,0.001,0.287318864019581,0.0,0.0
2024-01-03 18:45:00,0.001,0.001,0.5124521973529143,0.0,0.0
2024-01-03 19:00:00,0.001,0.001,0.34118553068624763,0.0,0.0
2024-01-03 19:15:00,0.001,0.001,0.34725219735291435,0.0,3.0
2024-01-03 19:30:00,0.001,0.001,0.4425855306862477,0.0,0.0
2024-01-03 19:45:00,0.001,0.001,0.7613083609686504,0.0,0.0
2024-01-03 20:00:00,0.001,0.001,0.24350927305892114,0.0,0.0
2024-01-03 20:15:00,0.001,0.001,0.4230121669216716,0.0,0.0
2024-01-03 20:30:00,0.001,0.001,0.33135158096089445,0.0,0.0
2024-01-03 20:45:00,0.001,0.001,0.7825426063922546,0.0,0.0
2024-01-03 21:00:00,0.001,0.001,0.4414092730589212,0.0,0.0
2024-01-03 21:15:00,0.001,0.001,0.3358286963359375,0.0,0.0
2024-01-03 21:30:00,0.001,0.001,0.38013469226802993,0.0,0.0
2024-01-03 21:45:00,0.001,0.001,0.5102092730589212,0.0,0.0
2024-01-03 22:00:00,0.001,0.001,0.27840927305892116,0.0,0.0
2024-01-03 22:15:00,0.001,0.001,0.7258759397255878,0.0,0.0
2024-01-03 22:30:00,0.001,0.001,0.6784092730589212,0.0,0.0
2024-01-03 22:45:00,0.001,0.001,0.33800927305892114,0.0,0.0
2024-01-03 23:00:00,0.001,0.014266666666666669,0.3904366104601619,0.0,0.0
2024-01-03 23:15:00,0.001,0.10510630079405671,0.47358553068624765,0.0,0.0
2024-01-03 23:30:00,0.001,0.19214710767787047,0.36358553068624766,0.0,0.0
2024-01-03 23:45:00,0.001,1.1703943324324184,0.4327119043725257,0.0,0.0
2024-01-04 00:00:00,0.001,0.10681042737621244,0.30269999999999997,0.0,0.0
2024-01-04 00:15:00,0.001,0.23745119725150918,0.30269999999999997,0.0,0.0
2024-01-04 00:30:00,0.001,1.1517212860473274,0.3660333333333333,0.0,0.0
2024-01-04 00:45:00,0.001,0.11247319452245182,0.4293666666666666,0.0,0.0
2024-01-04 01:00:00,0.001,0.252807102289962,0.38336666666666663,0.0,0.0
2024-01-04 01:15:00,0.001,0.5250463032851831,0.35403333333333337,0.0,0.0
2024-01-04 01:30:00,0.001,0.27769471884134433,0.2946333333333333,0.0,0.0
2024-01-04 01:45:00,0.001,0.10995358341106361,0.1817,0.0,0.0
2024-01-04 02:00:00,0.001,0.3463290547485196,0.2577,0.0,0.0
2024-01-04 02:15:00,0.001,1.9364847608761733,0.7174999999999999,3.6666666666666665,0.0
2024-01-04 02:30:00,0.001,0.08999815063567654,0.2917,2.933333333333333,0.0
2024-01-04 02:45:00,0.001,0.15052396454798453,0.13646666666666668,0.0,0.0
2024-01-04 03:00:00,0.001,0.24201605146578084,0.046,0.0,0.0
2024-01-04 03:15:00,0.001,0.7200375568180221,0.046,0.0,0.0
2024-01-04 03:30:00,0.001,0.018447597393226975,0.13466666666666666,0.0,0.0
2024-01-04 03:45:00,0.001,0.001,0.22066666666666668,0.0,1.0
2024-01-04 04:00:00,0.001,0.001,0.10466666666666667,0.0,2.0
2024-01-04 04:15:00,0.001,0.001,0.046,0.0,1.6666666666666667
2024-01-04 04:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-04 04:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-04 05:00:00,0.001,0.001,0.16199999999999998,0.0,0.0
2024-01-04 05:15:00,0.001,0.001,0.24466666666666667,0.0,0.0
2024-01-04 05:30:00,0.001,0.001,0.45313333333333333,0.0,0.0
2024-01-04 05:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-04 06:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-04 06:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-04 06:30:00,0.001,0.001,0.22599999999999998,0.0,0.0
2024-01-04 06:45:00,0.001,0.001,0.1958,0.0,0.0
2024-01-04 07:00:00,0.001,0.001,0.059000000000000004,0.0,0.0
2024-01-04 07:15:00,0.001,0.001,0.059000000000000004,0.0,0.0
2024-01-04 07:30:00,0.001,0.001,0.059000000000000004,0.0,0.0
2024-01-04 07:45:00,0.001,0.001,0.06633333333333333,0.0,0.0
2024-01-04 08:00:00,0.001,0.001,0.2948,0.0,0.0
2024-01-04 08:15:00,0.001,0.001,0.12399999999999999,0.0,0.0
2024-01-04 08:30:00,0.001,0.001,0.44974124745755784,5.866666666666666,0.0
2024-01-04 08:45:00,0.001,0.001,0.07395707570600683,1.4666666666666666,0.0
2024-01-04 09:00:00,0.001,0.001,0.1788237423726735,0.0,3.0
2024-01-04 09:15:00,0.001,0.001,0.23749040903934018,0.0,0.0
2024-01-04 09:30:00,0.001,0.001,0.3914904090393402,0.0,0.0
2024-01-04 09:45:00,0.001,0.001,0.35888249491511565,0.0,0.0
2024-01-04 10:00:00,0.001,0.001,2.0540666666666665,0.0,0.0
2024-01-04 10:15:00,0.001,0.001,0.7204666666666666,0.0,0.0
2024-01-04 10:30:00,0.001,0.001,0.059000000000000004,0.0,0.0
2024-01-04 10:45:00,0.001,0.001,0.169,0.0,0.0
2024-01-04 11:00:00,0.001,0.001,0.6430472433896505,0.0,0.0
2024-01-04 11:15:00,0.001,0.001,0.10535707570600686,0.0,0.0
2024-01-04 11:30:00,0.001,0.001,0.0578237423726735,2.2,0.0
2024-01-04 11:45:00,0.001,0.001,0.06589040903934017,0.0,0.0
2024-01-04 12:00:00,0.001,0.001,0.2285805767229837,0.0,0.0
2024-01-04 12:15:00,0.001,0.001,0.24766666666666667,0.0,0.0
2024-01-04 12:30:00,0.001,0.001,0.33166666666666667,0.0,0.0
2024-01-04 12:45:00,0.001,0.001,0.19233333333333336,0.0,0.0
2024-01-04 13:00:00,0.001,0.001,0.1428,0.0,0.0
2024-01-04 13:15:00,0.001,0.001,0.17015299796604627,0.0,0.0
2024-01-04 13:30:00,0.001,0.001,0.2920078081569783,0.0,0.0
2024-01-04 13:45:00,0.001,0.001,0.23970927305892115,0.0,0.0
2024-01-04 14:00:00,0.001,0.001,0.3877092730589211,0.0,3.0
2024-01-04 14:15:00,0.001,0.030364887719969622,0.19884260639225448,0.7333333333333333,0.0
2024-01-04 14:30:00,0.001,0.11640013629473317,0.08779944074256467,0.0,0.0
2024-01-04 14:45:00,0.001,0.3054680546714754,0.2509826063922545,0.0,0.0
2024-01-04 15:00:00,0.001,1.0758094750348788,0.3709515809608945,0.0,0.0
2024-01-04 15:15:00,0.001,0.11981635502885384,0.3460759397255878,0.0,0.0
2024-01-04 15:30:00,0.001,0.2712441244073021,0.5360759397255878,0.0,0.0
2024-01-04 15:45:00,0.001,0.5786271619195081,0.3460759397255878,0.0,0.0
2024-01-04 16:00:00,0.001,0.20181991422085735,0.3460759397255878,0.0,0.0
2024-01-04 16:15:00,0.001,0.11383771399667887,0.41696020820659163,0.0,0.0
2024-01-04 16:30:00,0.001,0.3925103414932591,0.23450000000000001,0.0,0.0
2024-01-04 16:45:00,0.001,1.8792154530222958,0.19783333333333333,0.0,0.0
2024-01-04 17:00:00,0.001,0.09771364591106028,0.3720333333333333,0.0,0.0
2024-01-04 17:15:00,0.001,0.1428084692726008,0.19469999999999998,0.0,0.0
2024-01-04 17:30:00,0.001,0.24201605146578084,0.23136666666666664,0.0,0.0
2024-01-04 17:45:00,0.001,0.7295518208779157,0.2900333333333333,0.0,0.0
2024-01-04 18:00:00,0.001,0.00893333333333332,0.24898553068624762,1.4666666666666666,0.0
2024-01-04 18:15:00,0.001,0.001,0.35958553068624766,1.4666666666666666,0.0
2024-01-04 18:30:00,0.001,0.001,0.49891886401958097,0.0,2.6666666666666665
2024-01-04 18:45:00,0.001,0.001,0.33425219735291434,0.0,0.3333333333333333
2024-01-04 19:00:00,0.001,0.001,0.41594175788233145,0.0,0.0
2024-01-04 19:15:00,0.001,0.001,0.8569,0.0,0.0
2024-01-04 19:30:00,0.001,0.001,0.21396666666666667,0.0,0.0
2024-01-04 19:45:00,0.001,0.001,0.7047926625987593,0.0,0.0
2024-01-04 20:00:00,0.001,0.001,0.2098237423726735,0.0,0.0
2024-01-04 20:15:00,0.001,0.001,0.08715707570600682,0.0,0.0
2024-01-04 20:30:00,0.001,0.001,0.16049040903934014,0.0,0.0
2024-01-04 20:45:00,0.001,0.001,0.1574217274510888,0.0,0.0
2024-01-04 21:00:00,0.001,0.001,0.2465626063922545,0.0,0.0
2024-01-04 21:15:00,0.001,0.001,0.39674260639225445,0.0,0.0
2024-01-04 21:30:00,0.001,0.001,0.4854092730589211,0.0,0.0
2024-01-04 21:45:00,0.001,0.001,0.42674260639225453,0.0,0.0
2024-01-04 22:00:00,0.001,0.001,0.39740927305892115,0.0,0.0
2024-01-04 22:15:00,0.001,0.001,0.336616945827449,0.0,0.0
2024-01-04 22:30:00,0.001,0.001,0.33477029111643813,0.0,0.0
2024-01-04 22:45:00,0.001,0.001,0.3841675151765897,0.0,0.0
2024-01-04 23:00:00,0.001,0.001,0.4947426063922544,0.0,2.0
2024-01-04 23:15:00,0.001,0.001,0.45607593972558785,0.0,0.0
2024-01-04 23:30:00,0.001,0.001,0.3460759397255878,0.0,0.0
2024-01-04 23:45:00,0.001,0.001,0.33740519531896057,0.0,0.0
2024-01-05 00:00:00,0.001,0.001,0.3408472526274438,0.0,0.0
2024-01-05 00:15:00,0.001,0.001,0.3230215828248449,0.0,0.0
2024-01-05 00:30:00,0.001,0.001,0.512374474823645,0.0,0.0
2024-01-05 00:45:00,0.001,0.001,0.6712759397255879,0.0,0.0
2024-01-05 01:00:00,0.001,0.001,0.6126092730589211,0.0,0.0
2024-01-05 01:15:00,0.001,0.001,0.3460759397255878,0.0,0.0
2024-01-05 01:30:00,0.001,0.001,0.2565543569007429,0.0,0.0
2024-01-05 01:45:00,0.001,0.001,0.5903649447254705,0.0,3.0
2024-01-05 02:00:00,0.001,0.001,0.2573333333333333,0.0,0.0
2024-01-05 02:15:00,0.001,0.001,0.05333333333333334,0.0,0.0
2024-01-05 02:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-05 02:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-05 03:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-05 03:15:00,0.001,0.001,0.21333333333333332,0.0,0.0
2024-01-05 03:30:00,0.001,0.001,0.20066666666666666,0.0,0.0
2024-01-05 03:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-05 04:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-05 04:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-05 04:30:00,0.001,0.001,0.05333333333333334,0.0,0.0
2024-01-05 04:45:00,0.001,0.001,0.26999999999999996,0.0,0.0
2024-01-05 05:00:00,0.001,0.001,0.13666666666666666,0.0,0.0
2024-01-05 05:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-05 05:30:00,0.001,0.001,0.046,0.0,3.0
2024-01-05 05:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-05 06:00:00,0.001,0.001,0.10466666666666667,0.0,0.0
2024-01-05 06:15:00,0.001,0.001,0.246,0.0,0.0
2024-01-05 06:30:00,0.001,0.001,0.10933333333333332,0.0,0.0
2024-01-05 06:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-05 07:00:00,0.001,0.001,0.046,0.0,0.0
2024-01-05 07:15:00,0.001,0.001,0.31253333333333333,0.0,0.0
2024-01-05 07:30:00,0.001,0.001,0.4251333333333333,0.0,0.0
2024-01-05 07:45:00,0.001,0.001,0.22033333333333335,0.0,0.0
2024-01-05 08:00:00,0.001,0.023245747194113448,0.7752666666666667,0.0,0.0
2024-01-05 08:15:00,0.001,0.10312271613385555,1.3431866666666668,0.0,0.0
2024-01-05 08:30:00,0.001,0.2010950398913879,1.025221582824845,0.0,0.0
2024-01-05 08:45:00,0.001,1.1929415846478972,0.3736570757060068,0.0,0.0
2024-01-05 09:00:00,0.001,0.10714553533121343,0.4081904090393402,0.0,1.6666666666666667
2024-01-05 09:15:00,0.001,0.22679193220298569,0.5457637423726734,0.0,1.3333333333333333
2024-01-05 09:30:00,0.001,0.46523556676035854,0.9571370757060068,0.0,0.0
2024-01-05 09:45:00,0.001,0.3648347632789099,0.2975237423726735,0.0,0.0
2024-01-05 10:00:00,0.001,0.11089546792914368,0.2975237423726735,0.0,0.0
2024-01-05 10:15:00,0.001,0.2977363900122302,0.4125666666666667,0.0,0.0
2024-01-05 10:30:00,0.001,0.10681042737621244,0.37710000000000005,0.0,0.0
2024-01-05 10:45:00,0.001,0.23745119725150918,0.8671666666666665,0.0,0.0
2024-01-05 11:00:00,0.001,1.1517212860473274,0.3280333333333333,0.0,0.0
