,TumbleDryer,DishWasher,BaseLoad,P_EV
2024-01-02 12:00:00,0.001,0.0,0.092,0.0
2024-01-02 12:15:00,0.001,0.0,0.054,0.0
2024-01-02 12:30:00,0.001,0.0,0.054,0.0
2024-01-02 12:45:00,0.001,0.0,0.054,0.0
2024-01-02 13:00:00,0.001,0.0,0.2313333333333333,0.0
2024-01-02 13:15:00,0.001,0.0,0.168,0.0
2024-01-02 13:30:00,0.001,0.0,0.054,0.0
2024-01-02 13:45:00,0.001,0.0,0.1681472526274438,0.0
2024-01-02 14:00:00,0.001,0.0,0.2075521973529143,0.0
2024-01-02 14:15:00,0.001,0.0,0.30888553068624763,0.0
2024-01-02 14:30:00,0.001,0.0,0.39755219735291425,0.0
2024-01-02 14:45:00,0.001,0.0,0.15061886401958097,0.0
2024-01-02 15:00:00,0.001,0.0,0.0855521973529143,0.0
2024-01-02 15:15:00,0.001,0.0,0.060310439470582865,1.8666666666666667
2024-01-02 15:30:00,0.001,0.0,0.08800407773996058,2.3333333333333335
2024-01-02 15:45:00,0.001,0.0,0.2558237423726735,0.0
2024-01-02 16:00:00,0.001,0.0,0.1418237423726735,0.0
2024-01-02 16:15:00,0.001,0.0,0.06582374237267351,0.0
2024-01-02 16:30:00,0.001,0.0,0.4656237423726735,0.0
2024-01-02 16:45:00,0.001,0.0,0.054,0.0
2024-01-02 17:00:00,0.001,0.0,0.19333333333333333,0.0
2024-01-02 17:15:00,0.001,0.0,0.206,0.0
2024-01-02 17:30:00,0.001,0.0,0.054,0.0
2024-01-02 17:45:00,0.001,0.0,0.054,0.0
2024-01-02 18:00:00,0.001,0.0,0.054,0.0
2024-01-02 18:15:00,0.001,0.0,0.11733333333333333,0.0
2024-01-02 18:30:00,0.001,0.0,0.24400000000000002,0.0
2024-01-02 18:45:00,0.001,0.0,0.092,0.0
2024-01-02 19:00:00,0.001,0.0,0.054,0.0
2024-01-02 19:15:00,0.001,0.0,0.054,0.0
2024-01-02 19:30:00,0.001,0.0,0.054,0.0
2024-01-02 19:45:00,0.001,0.0,0.2313333333333333,0.0
2024-01-02 20:00:00,0.001,0.0,0.168,0.0
2024-01-02 20:15:00,0.001,0.0,0.08626666666666667,0.0
2024-01-02 20:30:00,0.001,0.0006000000000000001,0.1852472433896504,0.0
2024-01-02 20:45:00,0.001,1.2004666666666668,0.2916904090393402,0.0
2024-01-02 21:00:00,0.001,0.001,0.5788104090393401,0.0
2024-01-02 21:15:00,1.097658519979849,0.001,0.6198237423726735,0.0
2024-01-02 21:30:00,1.885593053077702,0.0005333333333333334,0.37335707570600685,0.0
2024-01-02 21:45:00,1.9703161243890035,0.0,0.3259294969490694,0.0
2024-01-02 22:00:00,1.8448225303006172,0.0,0.2986814344707002,0.0
2024-01-02 22:15:00,0.24163535205144038,0.0,0.24370927305892115,0.0
2024-01-02 22:30:00,0.001,0.0,0.4734426063922544,0.0
2024-01-02 22:45:00,0.001,0.0,0.43250927305892106,0.0
2024-01-02 23:00:00,0.001,0.0,0.4591680256013633,0.0
2024-01-02 23:15:00,0.001,0.0,0.3420666666666667,0.0
2024-01-02 23:30:00,0.001,0.0,0.188,0.0
2024-01-02 23:45:00,0.001,0.0,0.35960000000000003,0.0
2024-01-03 00:00:00,0.001,0.0,0.4448666666666667,0.0
2024-01-03 00:15:00,0.001,0.0,0.17586666666666667,0.0
2024-01-03 00:30:00,0.001,0.0,0.175,0.0
2024-01-03 00:45:00,0.001,0.0,0.175,0.0
2024-01-03 01:00:00,0.001,0.0,0.22219999999999998,0.0
2024-01-03 01:15:00,0.001,0.0,0.24400000000000002,0.0
2024-01-03 01:30:00,0.001,0.0,0.092,0.0
2024-01-03 01:45:00,0.001,0.0,0.054,0.0
2024-01-03 02:00:00,0.001,0.0,0.054,0.0
2024-01-03 02:15:00,0.001,0.0,0.054,0.0
2024-01-03 02:30:00,0.001,0.0,0.2313333333333333,0.0
2024-01-03 02:45:00,0.001,0.0,0.168,0.0
2024-01-03 03:00:00,0.001,0.0,0.054,0.0
2024-01-03 03:15:00,0.001,0.0,0.054,0.0
2024-01-03 03:30:00,0.001,0.0,0.054,0.0
2024-01-03 03:45:00,0.001,0.0,0.15533333333333335,0.0
2024-01-03 04:00:00,0.001,0.0,0.24400000000000002,0.0
2024-01-03 04:15:00,0.001,0.0,0.054,0.0
2024-01-03 04:30:00,0.001,0.0,0.054,0.0
2024-01-03 04:45:00,0.001,0.0,0.054,0.0
2024-01-03 05:00:00,0.001,0.0,0.07933333333333333,0.0
