,TumbleDryer,BaseLoad,P_HP
2024-01-09 22:15:00,0.001,0.161,0.0
2024-01-09 22:30:00,0.001,0.07633333333333334,0.0
2024-01-09 22:45:00,0.001,0.22833333333333333,0.0
2024-01-09 23:00:00,0.001,0.051,0.0
2024-01-09 23:15:00,0.001,0.051,0.0
2024-01-09 23:30:00,0.001,0.13166666666666668,0.0
2024-01-09 23:45:00,0.001,0.117,0.0
2024-01-10 00:00:00,0.001,0.089,0.0
2024-01-10 00:15:00,0.001,0.21566666666666665,0.0
2024-01-10 00:30:00,0.001,0.051,0.0
2024-01-10 00:45:00,0.001,0.06566666666666666,0.0
2024-01-10 01:00:00,0.001,0.161,0.0
2024-01-10 01:15:00,0.001,0.073,0.0
2024-01-10 01:30:00,0.001,0.10166666666666666,0.0
2024-01-10 01:45:00,0.001,0.20299999999999999,0.0
2024-01-10 02:00:00,0.001,0.051,0.0
2024-01-10 02:15:00,0.001,0.10966666666666666,0.0
2024-01-10 02:30:00,0.001,0.13899999999999998,2.1333333333333333
2024-01-10 02:45:00,0.001,0.051,0.26666666666666666
2024-01-10 03:00:00,0.001,0.11433333333333333,0.0
2024-01-10 03:15:00,0.001,0.19033333333333333,0.0
2024-01-10 03:30:00,0.001,0.051,0.0
2024-01-10 03:45:00,0.001,0.15366666666666667,0.0
2024-01-10 04:00:00,0.001,0.095,0.0
2024-01-10 04:15:00,0.001,0.051,0.0
2024-01-10 04:30:00,0.001,0.12699999999999997,0.0
2024-01-10 04:45:00,0.001,0.17766666666666667,2.4
2024-01-10 05:00:00,0.001,0.08766666666666666,0.0
2024-01-10 05:15:00,0.001,0.161,0.0
2024-01-10 05:30:00,0.001,0.051,0.0
2024-01-10 05:45:00,0.001,0.051,0.0
2024-01-10 06:00:00,0.001,0.14833333333333334,0.0
2024-01-10 06:15:00,0.001,0.178,0.0
2024-01-10 06:30:00,0.001,0.14466666666666667,0.0
2024-01-10 06:45:00,0.001,0.13,0.0
2024-01-10 07:00:00,0.001,0.0562,0.0
2024-01-10 07:15:00,0.001,0.051,0.0
2024-01-10 07:30:00,0.001,0.16285073245097142,0.0
2024-01-10 07:45:00,0.001,0.19855219735291427,0.0
2024-01-10 08:00:00,0.001,0.5923521973529143,0.0
2024-01-10 08:15:00,0.001,0.1045521973529143,0.0
2024-01-10 08:30:00,0.001,0.08255219735291432,2.4
2024-01-10 08:45:00,0.001,0.07413827805880382,0.0
2024-01-10 09:00:00,0.001,0.165,0.0
2024-01-10 09:15:00,0.001,0.19833333333333333,0.0
2024-01-10 09:30:00,0.001,0.13899999999999998,0.0
2024-01-10 09:45:00,0.001,0.051,0.0
2024-01-10 10:00:00,0.001,0.051,0.0
2024-01-10 10:15:00,0.001,0.051,0.0
2024-01-10 10:30:00,0.001,0.17766666666666667,0.0
2024-01-10 10:45:00,0.001,0.22966666666666666,0.0
2024-01-10 11:00:00,0.001,0.095,0.0
2024-01-10 11:15:00,0.001,0.051,0.0
2024-01-10 11:30:00,0.001,0.051,0.0
2024-01-10 11:45:00,0.001,0.051,0.0
2024-01-10 12:00:00,0.001,0.22699999999999998,1.3333333333333333
2024-01-10 12:15:00,0.001,0.22433333333333333,1.0666666666666667
2024-01-10 12:30:00,0.001,0.051,0.0
2024-01-10 12:45:00,0.001,0.051,0.0
2024-01-10 13:00:00,0.001,0.051,0.0
2024-01-10 13:15:00,0.001,0.051,0.0
2024-01-10 13:30:00,0.001,0.2836666666666667,0.0
2024-01-10 13:45:00,0.001,0.16766666666666669,0.0
2024-01-10 14:00:00,0.001,0.051,0.0
2024-01-10 14:15:00,0.001,0.051,0.0
2024-01-10 14:30:00,0.001,0.051,0.0
2024-01-10 14:45:00,0.001,0.06566666666666666,0.0
2024-01-10 15:00:00,0.001,0.32566666666666666,0.0
2024-01-10 15:15:00,0.001,0.11099999999999999,0.0
2024-01-10 15:30:00,0.001,0.0615173991176381,0.0
2024-01-10 15:45:00,0.001,0.13135219735291429,2.1333333333333333
2024-01-10 16:00:00,0.001,1.194818864019581,0.26666666666666666
2024-01-10 16:15:00,0.001,2.786595363002604,0.0
2024-01-10 16:30:00,0.001,1.89427245990206,0.0
2024-01-10 16:45:00,0.001,0.21015707570600686,0.0
2024-01-10 17:00:00,0.001,0.22201040903934016,0.0
2024-01-10 17:15:00,0.001,1.8125814344707003,0.0
2024-01-10 17:30:00,0.001,2.6902013589346963,0.0
2024-01-10 17:45:00,0.001,0.9549855306862476,0.0
2024-01-10 18:00:00,0.001,1.0950521973529141,0.0
2024-01-10 18:15:00,0.001,0.473918864019581,0.0
2024-01-10 18:30:00,0.001,0.382518864019581,0.0
2024-01-10 18:45:00,0.001,0.32701043947058284,0.0
2024-01-10 19:00:00,0.001,0.3046570757060068,0.0
2024-01-10 19:15:00,0.001,0.5121237423726736,1.3333333333333333
2024-01-10 19:30:00,0.001,0.6419237423726736,1.0666666666666667
2024-01-10 19:45:00,0.001,3.773257075706007,0.0
2024-01-10 20:00:00,0.001,4.370825793235394,0.0
2024-01-10 20:15:00,0.001,0.5613959397255878,0.0
2024-01-10 20:30:00,0.001,1.4795150276353168,0.0
2024-01-10 20:45:00,0.001,0.5644092730589211,0.0
2024-01-10 21:00:00,0.001,0.650409273058921,0.0
2024-01-10 21:15:00,0.001,0.4730759397255878,0.0
2024-01-10 21:30:00,0.001,0.4730759397255878,0.0
2024-01-10 21:45:00,0.001,1.020809273058921,0.0
2024-01-10 22:00:00,0.001,0.48547593972558784,0.0
2024-01-10 22:15:00,0.001,0.41107593972558776,0.0
2024-01-10 22:30:00,0.001,0.5663699437934953,0.0
2024-01-10 22:45:00,0.001,0.46361694582744906,1.6
2024-01-10 23:00:00,0.001,0.4730759397255878,0.8
2024-01-10 23:15:00,0.001,0.5107078081569782,0.0
2024-01-10 23:30:00,0.001,0.5116341818432564,0.0
2024-01-10 23:45:00,0.001,0.40274260639225445,0.0
2024-01-11 00:00:00,0.001,0.5017111912510531,0.0
2024-01-11 00:15:00,0.001,1.1398521973529143,0.0
2024-01-11 00:30:00,0.001,0.6067855306862476,0.0
2024-01-11 00:45:00,0.001,0.4197805859607771,0.0
2024-01-11 01:00:00,0.001,0.35269999999999996,0.0
