,TumbleDryer,BaseLoad,P_HP,P_WB
2024-01-03 09:45:00,0.001,0.21200000000000002,0.26666666666666666,0.0
2024-01-03 10:00:00,0.001,0.19933333333333333,0.0,0.0
2024-01-03 10:15:00,0.001,0.0574,0.0,0.0
2024-01-03 10:30:00,0.001,0.047,0.0,0.0
2024-01-03 10:45:00,0.001,0.047,0.0,0.0
2024-01-03 11:00:00,0.001,0.047,0.0,2.2
2024-01-03 11:15:00,0.001,0.2920666666666667,0.0,0.0
2024-01-03 11:30:00,0.001,0.798019664632713,0.0,0.0
2024-01-03 11:45:00,0.001,0.44809040903934017,0.9333333333333333,0.6
2024-01-03 12:00:00,0.001,0.3148237423726735,1.6,1.8
2024-01-03 12:15:00,0.001,0.3148237423726735,0.0,0.0
2024-01-03 12:30:00,0.001,0.2540237423726735,0.0,0.8
2024-01-03 12:45:00,0.001,0.2668237423726735,0.0,2.0
2024-01-03 13:00:00,0.001,0.23187458079089118,0.0,0.0
2024-01-03 13:15:00,0.001,0.20055219735291427,0.0,0.0
2024-01-03 13:30:00,0.001,2.5995521973529145,0.0,0.0
2024-01-03 13:45:00,0.001,0.20055219735291427,0.0,0.0
2024-01-03 14:00:00,0.001,0.20055219735291427,0.0,2.0
2024-01-03 14:15:00,0.001,0.19171043947058283,1.2,0.2
2024-01-03 14:30:00,0.001,0.22433333333333333,1.3333333333333333,0.0
2024-01-03 14:45:00,0.001,0.047,0.0,0.0
2024-01-03 15:00:00,0.001,0.047,0.0,1.6
2024-01-03 15:15:00,0.001,0.047,0.0,0.4
2024-01-03 15:30:00,0.001,0.047,0.0,0.0
2024-01-03 15:45:00,0.001,0.14833333333333334,0.0,0.0
2024-01-03 16:00:00,0.001,0.8188666666666667,0.0,0.0
2024-01-03 16:15:00,0.001,0.169,0.0,0.0
2024-01-03 16:30:00,0.001,0.169,0.0,0.0
2024-01-03 16:45:00,0.001,0.169,1.7333333333333334,0.2
2024-01-03 17:00:00,0.001,0.169,0.8,2.8
2024-01-03 17:15:00,0.001,0.5517333333333333,0.0,0.0
2024-01-03 17:30:00,0.001,0.237,0.0,0.0
2024-01-03 17:45:00,0.001,0.059666666666666666,0.0,0.0
2024-01-03 18:00:00,0.001,0.047,0.0,0.0
2024-01-03 18:15:00,0.001,0.047,0.0,0.0
2024-01-03 18:30:00,0.001,0.047,0.0,0.0
2024-01-03 18:45:00,0.001,0.123,0.0,0.0
2024-01-03 19:00:00,0.001,0.237,0.0,0.0
2024-01-03 19:15:00,0.001,0.07233333333333333,2.0,0.0
2024-01-03 19:30:00,0.001,0.047,0.5333333333333333,0.0
2024-01-03 19:45:00,0.001,0.047,0.0,0.0
2024-01-03 20:00:00,0.001,0.047,0.0,0.0
2024-01-03 20:15:00,0.001,0.11033333333333334,0.0,0.0
2024-01-03 20:30:00,0.001,0.237,0.0,0.0
2024-01-03 20:45:00,0.001,0.08499999999999999,0.0,0.0
2024-01-03 21:00:00,0.001,0.047,0.0,0.0
2024-01-03 21:15:00,0.001,0.047,0.0,0.0
2024-01-03 21:30:00,0.001,0.047,0.9333333333333333,0.0
2024-01-03 21:45:00,0.001,0.09766666666666665,0.26666666666666666,0.0
2024-01-03 22:00:00,0.001,0.237,0.0,0.0
2024-01-03 22:15:00,0.001,0.09766666666666665,0.0,0.0
2024-01-03 22:30:00,0.001,0.047,0.0,0.0
2024-01-03 22:45:00,0.001,0.047,0.0,0.0
2024-01-03 23:00:00,0.001,0.047,0.0,2.0
2024-01-03 23:15:00,0.001,0.08499999999999999,0.0,0.0
2024-01-03 23:30:00,0.001,0.237,0.0,0.0
2024-01-03 23:45:00,0.001,0.11033333333333334,0.0,0.0
2024-01-04 00:00:00,0.001,0.047,0.0,0.0
2024-01-04 00:15:00,0.001,0.047,0.0,0.0
2024-01-04 00:30:00,0.001,0.047,0.0,0.0
2024-01-04 00:45:00,0.001,0.07233333333333333,0.0,0.0
2024-01-04 01:00:00,0.001,0.237,0.0,0.0
2024-01-04 01:15:00,0.001,0.123,0.0,0.0
2024-01-04 01:30:00,0.001,0.047,0.0,0.0
2024-01-04 01:45:00,0.001,0.047,0.0,0.0
2024-01-04 02:00:00,0.001,0.047,0.0,0.0
2024-01-04 02:15:00,0.001,0.059666666666666666,0.0,0.0
2024-01-04 02:30:00,0.001,0.237,0.0,0.0
2024-01-04 02:45:00,0.001,0.13566666666666669,0.0,0.0
2024-01-04 03:00:00,0.001,0.047,0.0,0.0
2024-01-04 03:15:00,0.001,0.047,0.0,0.0
2024-01-04 03:30:00,0.001,0.047,0.0,0.0
2024-01-04 03:45:00,0.001,0.047,0.0,0.0
2024-01-04 04:00:00,0.001,0.237,0.0,0.0
2024-01-04 04:15:00,0.001,0.14833333333333334,0.5333333333333333,0.0
2024-01-04 04:30:00,0.001,0.047,1.4666666666666666,2.8
2024-01-04 04:45:00,0.001,0.047,0.0,0.0
2024-01-04 05:00:00,0.001,0.047,0.0,1.0
2024-01-04 05:15:00,0.001,0.047,0.6666666666666666,2.4
2024-01-04 05:30:00,0.001,0.7574000000000001,2.0,0.0
2024-01-04 05:45:00,0.001,0.161,2.0,1.4
2024-01-04 06:00:00,0.001,0.047,1.6,1.2
2024-01-04 06:15:00,0.001,0.047,0.0,0.0
2024-01-04 06:30:00,0.001,0.047,0.0,2.0
2024-01-04 06:45:00,0.001,0.051533333333333334,0.0,0.0
