,BaseLoad
2024-01-06 09:15:00,0.10133333333333333
2024-01-06 09:30:00,0.26353333333333334
2024-01-06 09:45:00,0.7328666666666666
2024-01-06 10:00:00,2.328
2024-01-06 10:15:00,0.9037333333333333
2024-01-06 10:30:00,0.14493333333333333
2024-01-06 10:45:00,0.05999999999999999
2024-01-06 11:00:00,0.19433333333333333
2024-01-06 11:15:00,0.22753333333333334
2024-01-06 11:30:00,1.4596666666666667
2024-01-06 11:45:00,1.4343333333333335
2024-01-06 12:00:00,0.21983681315686093
2024-01-06 12:15:00,0.09155219735291431
2024-01-06 12:30:00,0.16388553068624764
2024-01-06 12:45:00,0.2465521973529143
2024-01-06 13:00:00,0.2055521973529143
2024-01-06 13:15:00,0.3586055306862476
2024-01-06 13:30:00,0.08328169430198369
2024-01-06 13:45:00,0.13422172745108876
2024-01-06 14:00:00,0.2153988335883383
2024-01-06 14:15:00,0.3663759397255878
2024-01-06 14:30:00,0.3367092730589211
2024-01-06 14:45:00,0.3958581932850068
2024-01-06 15:00:00,0.7832855306862476
2024-01-06 15:15:00,0.08768058596077714
2024-01-06 15:30:00,0.047
2024-01-06 15:45:00,0.15033333333333332
2024-01-06 16:00:00,0.1836666666666667
2024-01-06 16:15:00,0.237
2024-01-06 16:30:00,0.14833333333333334
2024-01-06 16:45:00,0.05120695964705524
2024-01-06 17:00:00,0.07855219735291431
2024-01-06 17:15:00,0.11988553068624763
2024-01-06 17:30:00,0.766618864019581
2024-01-06 17:45:00,0.2615521973529143
2024-01-06 18:00:00,0.2284487175293867
2024-01-06 18:15:00,0.047
2024-01-06 18:30:00,0.5800666666666666
2024-01-06 18:45:00,0.047
2024-01-06 19:00:00,0.18369808180786806
2024-01-06 19:15:00,0.2531570757060068
2024-01-06 19:30:00,0.24882374237267352
2024-01-06 19:45:00,0.07149040903934017
2024-01-06 20:00:00,0.0588237423726735
2024-01-06 20:15:00,0.12197232723147214
2024-01-06 20:30:00,0.3847040777399605
