,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-09 22:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 22:45:00,0.001,0.0,0.001,0.159,0.0
2024-01-09 23:00:00,0.001,0.0,0.001,0.08566666666666668,0.0
2024-01-09 23:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 23:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-09 23:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 00:00:00,0.001,0.0,0.001,0.15166666666666667,0.0
2024-01-10 00:15:00,0.001,0.0,0.001,0.093,0.0
2024-01-10 00:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 00:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 01:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 01:15:00,0.001,0.0,0.001,0.14433333333333334,0.0
2024-01-10 01:30:00,0.001,0.0,0.001,0.10033333333333334,0.0
2024-01-10 01:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 02:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 02:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 02:30:00,0.001,0.0,0.001,0.137,0.0
2024-01-10 02:45:00,0.001,0.0,0.001,0.10766666666666666,0.0
2024-01-10 03:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 03:15:00,0.001,0.0,0.001,0.049,1.8
2024-01-10 03:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 03:45:00,0.001,0.0,0.001,0.12966666666666668,0.0
2024-01-10 04:00:00,0.001,0.0,0.001,0.115,0.0
2024-01-10 04:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 04:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 04:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 05:00:00,0.001,0.0,0.001,0.12233333333333334,0.8
2024-01-10 05:15:00,0.001,0.0,0.001,0.12233333333333334,2.2
2024-01-10 05:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 05:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-10 06:00:00,0.001,0.0,0.001,0.049,0.0
