,DishWasher,BaseLoad,P_HP
2024-01-07 20:45:00,0.0,0.19812869633593744,0.0
2024-01-07 21:00:00,0.0,0.19655219735291432,0.0
2024-01-07 21:15:00,0.0,0.14008553068624766,0.0
2024-01-07 21:30:00,0.0,0.07555219735291431,0.0
2024-01-07 21:45:00,0.0,0.12557030035423158,0.0
2024-01-07 22:00:00,0.0,0.12392722219620111,0.0
2024-01-07 22:15:00,0.0,0.0873759397255878,0.0
2024-01-07 22:30:00,0.0,0.0873759397255878,0.0
2024-01-07 22:45:00,0.0,0.0873759397255878,0.0
2024-01-07 23:00:00,0.0,0.0873759397255878,0.0
2024-01-07 23:15:00,0.0,0.09667518794511756,0.0
2024-01-07 23:30:00,0.0,0.11733333333333333,0.0
2024-01-07 23:45:00,0.0,0.044,0.0
2024-01-08 00:00:00,0.0,0.044,0.0
2024-01-08 00:15:00,0.0,0.044,0.0
2024-01-08 00:30:00,0.0,0.044,0.0
2024-01-08 00:45:00,0.0,0.08066666666666666,0.0
2024-01-08 01:00:00,0.0,0.12466666666666666,0.0
2024-01-08 01:15:00,0.0,0.044,0.0
2024-01-08 01:30:00,0.0,0.044,0.0
2024-01-08 01:45:00,0.0,0.044,0.0
2024-01-08 02:00:00,0.0,0.044,0.0
2024-01-08 02:15:00,0.0,0.07333333333333332,0.0
2024-01-08 02:30:00,0.0,0.132,0.0
2024-01-08 02:45:00,0.0,0.044,0.0
2024-01-08 03:00:00,0.0,0.044,0.0
2024-01-08 03:15:00,0.0,0.044,0.0
2024-01-08 03:30:00,0.0,0.044,0.0
2024-01-08 03:45:00,0.0,0.066,0.0
2024-01-08 04:00:00,0.0,0.13933333333333334,0.8
2024-01-08 04:15:00,0.0,0.044,1.6
2024-01-08 04:30:00,0.0,0.044,0.0
2024-01-08 04:45:00,0.0,0.044,0.0
2024-01-08 05:00:00,0.0,0.044,0.0
2024-01-08 05:15:00,0.0,0.058666666666666666,2.1333333333333333
2024-01-08 05:30:00,0.0,0.14666666666666667,2.4
2024-01-08 05:45:00,0.0,0.044,0.0
2024-01-08 06:00:00,0.0,0.044,0.0
2024-01-08 06:15:00,0.0,0.044,0.0
2024-01-08 06:30:00,0.0,0.044,0.0
2024-01-08 06:45:00,0.0,0.051333333333333335,0.0
2024-01-08 07:00:00,0.0,0.154,0.0
2024-01-08 07:15:00,0.0,0.044,0.0
2024-01-08 07:30:00,0.0,0.044,0.0
2024-01-08 07:45:00,0.0,0.044,0.0
2024-01-08 08:00:00,0.0,0.044,0.0
