,TumbleDryer,WashingMachine,BaseLoad,P_HP
2024-01-04 09:15:00,0.001,0.001,0.044,0.6
2024-01-04 09:30:00,0.001,0.001,0.044,0.0
2024-01-04 09:45:00,0.001,0.001,0.08533333333333333,0.0
2024-01-04 10:00:00,0.001,0.001,0.3556666666666667,0.0
2024-01-04 10:15:00,0.001,0.001,0.158,0.0
2024-01-04 10:30:00,0.001,0.001,0.5770666666666667,0.0
2024-01-04 10:45:00,0.001,0.001,0.044,0.0
2024-01-04 11:00:00,0.001,0.001,0.08533333333333333,0.0
2024-01-04 11:15:00,0.001,0.001,0.21633333333333335,0.0
2024-01-04 11:30:00,0.001,0.001,0.23557649898302316,0.0
2024-01-04 11:45:00,0.001,0.001,0.11915707570600684,0.0
2024-01-04 12:00:00,0.001,0.001,0.17576202043147732,0.0
2024-01-04 12:15:00,0.001,0.001,0.24970927305892113,0.0
2024-01-04 12:30:00,0.001,0.001,0.3427092730589211,0.0
2024-01-04 12:45:00,0.001,0.001,0.30578769023407626,0.0
2024-01-04 13:00:00,0.001,0.001,0.38938205086271993,0.0
2024-01-04 13:15:00,0.001,0.001,0.06966666666666667,0.0
2024-01-04 13:30:00,0.001,0.001,0.23159999999999997,0.0
2024-01-04 13:45:00,0.001,0.001,0.5790000000000001,0.4
2024-01-04 14:00:00,0.001,0.001,0.13232,1.8
2024-01-04 14:15:00,0.001,0.001,1.3831999999999998,0.0
2024-01-04 14:30:00,0.001,0.001,2.1959333333333335,0.0
2024-01-04 14:45:00,0.001,0.001,0.08533333333333333,0.0
2024-01-04 15:00:00,0.001,0.001,0.17833333333333334,0.0
2024-01-04 15:15:00,0.001,0.001,0.044,0.0
2024-01-04 15:30:00,0.001,0.001,0.044,0.0
2024-01-04 15:45:00,0.001,0.001,0.27816,0.0
2024-01-04 16:00:00,0.001,0.001,0.3013066666666667,0.0
2024-01-04 16:15:00,0.001,0.001,0.3161611719215543,0.0
2024-01-04 16:30:00,0.001,0.001,0.19655219735291432,0.0
2024-01-04 16:45:00,0.001,0.001,0.6034464427765184,0.0
2024-01-04 17:00:00,0.001,0.001,0.39230927305892116,0.0
2024-01-04 17:15:00,0.001,0.001,0.35097593972558777,0.0
2024-01-04 17:30:00,0.001,0.001,1.9615092730589212,0.0
2024-01-04 17:45:00,0.001,0.001,2.4186959397255876,0.0
2024-01-04 18:00:00,0.001,0.001,0.7777092730589211,0.0
2024-01-04 18:15:00,0.630807192736493,0.001,0.7528661074092314,0.0
2024-01-04 18:30:00,1.8806181382605769,0.001,0.36404260639225444,0.6
2024-01-04 18:45:00,1.8468793226196831,0.001,0.7953092730589211,1.6
2024-01-04 19:00:00,0.8285189560124323,0.001,1.4693759397255879,0.0
2024-01-04 19:15:00,0.001,0.05564715796137402,1.827375939725588,0.0
2024-01-04 19:30:00,0.001,0.22013987331463125,0.3135135627333742,0.0
2024-01-04 19:45:00,0.001,0.9795795582158954,0.4846904090393402,0.0
2024-01-04 20:00:00,0.001,0.3190568556123789,0.5756605555295344,0.0
2024-01-04 20:15:00,0.001,0.14121900394048875,0.3235092730589211,0.0
2024-01-04 20:30:00,0.001,0.23940084995644734,0.29669593972558783,0.0
2024-01-04 20:45:00,0.001,0.67508669111518,0.20364644277651842,0.0
2024-01-04 21:00:00,0.001,0.11586924878944922,0.23788553068624763,0.0
2024-01-04 21:15:00,0.001,0.018713047427662364,0.4480251953189605,0.0
2024-01-04 21:30:00,0.001,0.001,0.3791092730589211,0.0
2024-01-04 21:45:00,0.001,0.001,0.838902313411866,0.0
2024-01-04 22:00:00,0.001,0.001,0.7544426063922546,0.0
2024-01-04 22:15:00,0.001,0.001,0.3025359397255878,0.0
2024-01-04 22:30:00,0.001,0.001,0.3868692730589211,0.0
2024-01-04 22:45:00,0.001,0.001,0.2717092730589211,0.0
2024-01-04 23:00:00,0.001,0.001,0.39837593972558777,0.0
2024-01-04 23:15:00,0.001,0.001,0.22981825686535456,0.0
2024-01-04 23:30:00,0.001,0.001,0.23578205086272,0.0
2024-01-04 23:45:00,0.001,0.001,0.3308855306862476,0.0
2024-01-05 00:00:00,0.001,0.001,0.19655219735291432,1.6
2024-01-05 00:15:00,0.001,0.001,0.843618864019581,1.0
2024-01-05 00:30:00,0.001,0.001,0.7187953630026042,0.0
2024-01-05 00:45:00,0.001,0.001,0.10767447482364494,0.0
2024-01-05 01:00:00,0.001,0.001,0.19015707570600685,0.0
2024-01-05 01:15:00,0.001,0.001,0.0558237423726735,0.0
2024-01-05 01:30:00,0.001,0.001,0.0558237423726735,0.0
2024-01-05 01:45:00,0.001,0.001,0.21497266259875922,0.0
2024-01-05 02:00:00,0.001,0.001,0.21200000000000002,0.0
2024-01-05 02:15:00,0.001,0.001,0.17833333333333334,0.0
2024-01-05 02:30:00,0.001,0.001,0.20250842454899812,0.0
2024-01-05 02:45:00,0.001,0.001,0.4753521973529143,0.0
2024-01-05 03:00:00,0.001,0.001,0.10088553068624764,0.0
2024-01-05 03:15:00,0.001,0.001,0.3068855306862476,0.0
2024-01-05 03:30:00,0.001,0.001,0.28378205086271996,0.0
2024-01-05 03:45:00,0.001,0.001,0.044,0.0
2024-01-05 04:00:00,0.001,0.001,0.044,0.2
2024-01-05 04:15:00,0.001,0.001,0.044,1.0
2024-01-05 04:30:00,0.001,0.001,0.16133333333333333,0.0
2024-01-05 04:45:00,0.001,0.001,0.36833333333333335,0.0
2024-01-05 05:00:00,0.001,0.001,0.06933333333333333,0.0
2024-01-05 05:15:00,0.001,0.001,0.044,0.0
2024-01-05 05:30:00,0.001,0.001,0.044,0.0
2024-01-05 05:45:00,0.001,0.001,0.08533333333333333,0.0
2024-01-05 06:00:00,0.001,0.001,0.43826666666666664,0.0
2024-01-05 06:15:00,0.001,0.001,0.6084666666666667,1.2
2024-01-05 06:30:00,0.001,0.001,0.044,1.0
2024-01-05 06:45:00,0.001,0.001,0.044,0.0
2024-01-05 07:00:00,0.001,0.001,0.48513333333333336,0.0
2024-01-05 07:15:00,0.001,0.001,0.5781333333333334,0.0
2024-01-05 07:30:00,0.001,0.001,0.22133333333333335,0.0
2024-01-05 07:45:00,0.001,0.001,0.158,0.0
