,TumbleDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-01-03 00:00:00,0.001,0.0,0.8189661074092314,0.0,1.5
2024-01-03 00:15:00,0.001,0.0,0.3400759397255878,0.0,1.5
2024-01-03 00:30:00,0.001,0.0,0.3400759397255878,0.0,1.5
2024-01-03 00:45:00,0.001,0.0,0.49554260639225445,0.0,1.5
2024-01-03 01:00:00,0.001,0.0,0.906864035353062,0.0,1.5
2024-01-03 01:15:00,0.001,0.0,0.36499040903934016,0.0,1.5
2024-01-03 01:30:00,0.001,0.0,0.3085237423726735,0.0,1.3
2024-01-03 01:45:00,0.001,0.0,1.3475170757060069,0.0,0.0
2024-01-03 02:00:00,0.001,0.0,0.452596163615736,0.0,1.4
2024-01-03 02:15:00,0.001,0.0,0.4911333333333333,0.0,1.5
2024-01-03 02:30:00,0.001,0.0,0.12066666666666667,0.0,0.9
2024-01-03 02:45:00,0.001,0.0,0.4398,0.0,0.0
2024-01-03 03:00:00,0.001,0.0,0.04,0.0,0.0
2024-01-03 03:15:00,0.001,0.0,0.04,0.0,0.8
2024-01-03 03:30:00,0.001,0.0,0.04,0.0,1.5
2024-01-03 03:45:00,0.001,0.0,0.48379999999999995,0.0,1.5
2024-01-03 04:00:00,0.001,0.0,0.26126666666666665,0.0,0.6
2024-01-03 04:15:00,0.001,0.0,0.4398,0.0,0.0
2024-01-03 04:30:00,0.001,0.0,0.04,0.0,1.5
2024-01-03 04:45:00,0.001,0.0,0.04,0.0,0.6
2024-01-03 05:00:00,0.001,0.0,0.04,0.0,0.0
2024-01-03 05:15:00,0.001,0.0,0.07666666666666666,4.666666666666667,0.0
2024-01-03 05:30:00,0.001,0.0,0.13533333333333333,0.0,0.9
2024-01-03 05:45:00,0.001,0.0,0.04,0.0,1.5
2024-01-03 06:00:00,0.001,0.0,0.04,0.0,1.5
2024-01-03 06:15:00,0.001,0.0,0.04086666666666667,0.0,0.2
2024-01-03 06:30:00,0.001,0.0,0.053,0.0,0.0
2024-01-03 06:45:00,0.001,0.0,0.08233333333333334,0.0,1.1
2024-01-03 07:00:00,0.001,0.0,0.5554666666666667,0.0,1.5
2024-01-03 07:15:00,0.001,0.0,0.053,0.0,1.5
2024-01-03 07:30:00,0.001,0.0,0.053,0.0,1.5
2024-01-03 07:45:00,0.001,0.0,0.5860666666666667,0.0,1.5
2024-01-03 08:00:00,0.001,0.0,0.053,0.0,1.5
2024-01-03 08:15:00,0.001,0.0,0.6080666666666666,0.0,1.5
2024-01-03 08:30:00,0.001,0.0,0.15433333333333332,0.0,1.5
2024-01-03 08:45:00,0.001,0.0,0.04173333333333333,0.0,1.5
2024-01-03 09:00:00,0.001,0.0002,0.053,0.0,1.5
2024-01-03 09:15:00,0.001,1.9501333333333333,0.053,0.0,1.5
2024-01-03 09:30:00,0.001,1.2004666666666668,0.053,0.0,1.5
2024-01-03 09:45:00,0.001,1.5003333333333333,0.11173333333333334,0.0,1.5
2024-01-03 10:00:00,0.001,0.0008,0.271,0.0,1.5
2024-01-03 10:15:00,0.001,0.0,0.17353333333333332,0.0,1.5
2024-01-03 10:30:00,0.001,0.0,0.174,0.0,1.5
2024-01-03 10:45:00,0.001,0.0,0.174,0.0,1.5
2024-01-03 11:00:00,0.001,0.0,0.174,6.066666666666666,1.5
2024-01-03 11:15:00,0.001,0.0,0.0684,0.9333333333333333,1.5
2024-01-03 11:30:00,0.001,0.0,0.163,0.0,1.5
2024-01-03 11:45:00,0.001,0.0,0.06766666666666667,0.0,1.5
2024-01-03 12:00:00,0.001,0.0,0.10053333333333334,0.0,1.5
2024-01-03 12:15:00,0.001,0.0,0.16494124745755784,0.0,1.5
2024-01-03 12:30:00,0.001,0.0,0.8552904090393402,0.0,1.5
2024-01-03 12:45:00,0.001,0.0,0.5603570757060069,0.0,1.5
2024-01-03 13:00:00,0.001,0.0,0.8036237423726735,0.0,1.5
2024-01-03 13:15:00,0.001,0.0,0.7156237423726736,0.0,1.5
2024-01-03 13:30:00,0.001,0.0,0.2914589938981388,0.0,1.5
2024-01-03 13:45:00,0.001,0.0,0.4176314151412014,0.0,1.5
2024-01-03 14:00:00,0.001,0.0,0.5603570757060069,0.0,1.5
2024-01-03 14:15:00,0.001,0.0,0.28890231341186584,0.0,1.5
2024-01-03 14:30:00,0.001,0.0,0.3105092730589211,0.0,1.5
2024-01-03 14:45:00,0.001,0.0,0.23864260639225446,0.0,1.5
2024-01-03 15:00:00,0.001,0.0,0.0963759397255878,0.0,1.5
2024-01-03 15:15:00,0.001,0.0,0.1560122516954686,0.0,1.5
2024-01-03 15:30:00,0.001,0.0,0.22307999999999997,0.0,1.5
2024-01-03 15:45:00,0.001,0.0,0.2967,0.0,1.5
2024-01-03 16:00:00,0.001,0.0,0.4024333333333333,0.0,1.5
2024-01-03 16:15:00,0.001,0.0,0.3383,0.0,1.5
2024-01-03 16:30:00,0.001,0.0,0.19290695964705523,0.0,1.5
2024-01-03 16:45:00,0.001,0.0,0.6200521973529142,0.0,1.5
2024-01-03 17:00:00,0.001,0.0,0.21851886401958096,0.0,1.5
2024-01-03 17:15:00,0.001,0.0,0.22647977610985173,0.0,1.5
2024-01-03 17:30:00,0.001,0.0,0.32007593972558784,0.0,1.5
2024-01-03 17:45:00,0.001,0.0,0.35674260639225447,0.0,1.5
2024-01-03 18:00:00,0.001,0.0,0.33624810113736686,0.0,1.5
2024-01-03 18:15:00,0.001,0.0,0.3530759397255878,0.0,1.5
2024-01-03 18:30:00,0.001,0.0,2.0096759397255877,0.0,1.5
2024-01-03 18:45:00,0.001,0.0,2.975875939725588,0.0,1.5
2024-01-03 19:00:00,0.001,0.0,0.5709217274510887,0.0,1.5
2024-01-03 19:15:00,0.001,0.0,0.43245707570600683,0.0,1.5
2024-01-03 19:30:00,0.001,0.0,0.4505585406079497,0.0,1.5
2024-01-03 19:45:00,0.001,0.0,0.4610759397255878,0.0,1.5
2024-01-03 20:00:00,0.001,0.0,0.4610759397255878,0.0,1.5
2024-01-03 20:15:00,0.001,0.0,0.9860759397255878,0.0,1.5
2024-01-03 20:30:00,0.001,0.0,0.4537426063922545,0.0,1.5
2024-01-03 20:45:00,0.001,0.0,0.5197426063922544,0.0,1.5
2024-01-03 21:00:00,0.001,0.0,0.9941426063922544,0.0,1.5
2024-01-03 21:15:00,0.001,0.0,0.4610759397255878,0.0,1.5
2024-01-03 21:30:00,0.001,0.0,0.4505585406079497,0.0,1.5
2024-01-03 21:45:00,0.001,0.0,0.45686898007853255,0.0,1.5
2024-01-03 22:00:00,0.001,0.0,0.5270759397255877,0.0,1.5
2024-01-03 22:15:00,0.001,0.0,1.3266759397255876,0.0,1.5
2024-01-03 22:30:00,0.001,0.0,0.4610759397255878,0.0,1.5
2024-01-03 22:45:00,0.001,0.0,0.4610759397255878,0.0,1.5
2024-01-03 23:00:00,0.001,0.0,0.4610759397255878,0.0,1.5
2024-01-03 23:15:00,0.001,0.0,0.9941426063922544,0.0,1.5
2024-01-03 23:30:00,0.001,0.0,0.4987078081569783,0.0,1.5
