,TumbleDryer,DishWasher,BaseLoad,P_WB
2024-01-04 15:45:00,0.001,0.0,0.2550104090393402,1.5
2024-01-04 16:00:00,0.001,0.0,0.23721774644058097,1.5
2024-01-04 16:15:00,0.001,0.0,0.5642333333333334,1.5
2024-01-04 16:30:00,0.001,0.0,0.32096666666666657,1.5
2024-01-04 16:45:00,0.001,0.0,0.20036666666666664,1.5
2024-01-04 17:00:00,0.001,0.0,0.9601000000000001,1.5
2024-01-04 17:15:00,0.001,0.0,0.36816666666666664,1.5
2024-01-04 17:30:00,0.001,0.0,0.34536666666666666,1.5
2024-01-04 17:45:00,0.001,0.0,0.41869999999999996,1.5
2024-01-04 18:00:00,0.001,0.0,0.7191431656496897,1.5
2024-01-04 18:15:00,0.001,0.0,0.3588570757060069,1.5
2024-01-04 18:30:00,0.001,0.0,0.6795104090393401,1.5
2024-01-04 18:45:00,0.001,0.0,0.44860374237267353,1.4
2024-01-04 19:00:00,0.001,0.0,0.28796550025500495,0.0
2024-01-04 19:15:00,0.001,0.0,0.37507593972558784,0.0
2024-01-04 19:30:00,0.001,0.0,0.2948483609686504,0.0
2024-01-04 19:45:00,0.001,0.0,0.4224121973529143,0.3
2024-01-04 20:00:00,0.5144450257389442,0.0,0.683358864019581,1.5
2024-01-04 20:15:00,1.8622016175697218,0.0,0.4152521973529143,1.5
2024-01-04 20:30:00,1.86172679143735,0.0,0.3752521973529143,1.5
2024-01-04 20:45:00,0.9484501748831693,0.0,0.4589426063922545,1.5
2024-01-04 21:00:00,0.9656081184889888,0.0,0.3938759397255878,1.5
2024-01-04 21:15:00,0.11277306223169252,0.0,0.44194260639225447,0.9
2024-01-04 21:30:00,0.001,0.0,0.6758759397255877,0.6
2024-01-04 21:45:00,0.001,0.0,0.38307593972558784,1.5
2024-01-04 22:00:00,0.001,0.0,0.7665426063922545,0.0
2024-01-04 22:15:00,0.001,0.0,1.1252562750928747,0.0
2024-01-04 22:30:00,0.001,0.0,0.7709620296692707,1.0
2024-01-04 22:45:00,0.001,0.0,0.44640927305892114,1.5
2024-01-04 23:00:00,0.001,0.0,1.1668092730589212,0.3
2024-01-04 23:15:00,0.001,0.0,0.3520759397255878,0.0
2024-01-04 23:30:00,0.001,0.0,0.3594092730589212,0.0
2024-01-04 23:45:00,0.001,0.0,0.8618759397255877,0.4
2024-01-05 00:00:00,0.001,0.0,0.34742927305892113,1.5
2024-01-05 00:15:00,0.001,0.0,0.24283852865229388,1.5
2024-01-05 00:30:00,0.001,0.0,0.37975219735291427,1.5
2024-01-05 00:45:00,0.001,0.0,0.33761886401958097,1.5
2024-01-05 01:00:00,0.001,0.0,0.20455219735291433,1.5
2024-01-05 01:15:00,0.001,0.0,0.29929641420922615,1.5
2024-01-05 01:30:00,0.001,0.0,0.2288237423726735,1.5
2024-01-05 01:45:00,0.001,0.0,0.6694904090393403,1.5
2024-01-05 02:00:00,0.001,0.0,0.2581570757060068,1.5
2024-01-05 02:15:00,0.001,0.0,0.12029040903934017,1.5
2024-01-05 02:30:00,0.001,0.0,0.1745764989830231,1.5
2024-01-05 02:45:00,0.001,0.0,0.27566666666666667,1.3
2024-01-05 03:00:00,0.001,0.0,0.22433333333333333,0.0
2024-01-05 03:15:00,0.001,0.0,0.3983333333333333,0.0
2024-01-05 03:30:00,0.001,0.0,0.29946666666666666,0.0
