,TumbleDryer,DishWasher,WashingMachine,BaseLoad
2024-01-02 16:15:00,0.001,0.0,0.001,0.15957509121566477
2024-01-02 16:30:00,0.001,0.0,0.001,0.46235219735291433
2024-01-02 16:45:00,0.001,0.0,0.001,0.6790855306862477
2024-01-02 17:00:00,0.001,0.0,0.001,2.4955521973529144
2024-01-02 17:15:00,0.001,0.0,0.001,1.7776855306862478
2024-01-02 17:30:00,0.8689622377404913,0.0,0.001,0.5487840657843048
2024-01-02 17:45:00,1.9127276990289628,0.0,0.001,2.3669999999999995
2024-01-02 18:00:00,1.8124454728166914,0.0,0.001,2.25821391929411
2024-01-02 18:15:00,0.6293646436977995,0.0,0.001,0.7698855306862477
2024-01-02 18:30:00,1.066386949685267,0.0,0.001,0.2648737801777592
2024-01-02 18:45:00,0.7806512044240247,0.0,0.001,0.29930927305892113
2024-01-02 19:00:00,0.9624449889523569,0.0,0.001,0.32204260639225446
2024-01-02 19:15:00,1.4988735346618804,0.0,0.001,0.28683564674519924
2024-01-02 19:30:00,0.001,0.0,0.001,0.7098904090393403
2024-01-02 19:45:00,0.001,0.0,0.001,0.17682374237267354
2024-01-02 20:00:00,0.001,0.0,0.001,0.2525620204314773
2024-01-02 20:15:00,0.001,0.0,0.001,0.23194836096865032
2024-01-02 20:30:00,0.001,0.0,0.001,0.29220711351109246
2024-01-02 20:45:00,0.001,0.0,0.001,0.2677092730589211
2024-01-02 21:00:00,0.001,0.0,0.001,0.1953759397255878
2024-01-02 21:15:00,0.001,0.0,0.001,0.19327245990206018
2024-01-02 21:30:00,0.001,0.0,0.001,0.2165938888628678
2024-01-02 21:45:00,0.001,0.0,0.001,0.2955092730589211
2024-01-02 22:00:00,0.001,0.0,0.001,0.34844260639225444
2024-01-02 22:15:00,0.001,0.0,0.001,0.2703759397255878
2024-01-02 22:30:00,0.001,0.0,0.001,0.20837593972558782
2024-01-02 22:45:00,0.001,0.0,0.001,0.19710927305892115
2024-01-02 23:00:00,0.001,0.0,0.001,0.7284426063922546
2024-01-02 23:15:00,0.001,0.0,0.001,0.3485092730589211
