,BaseLoad,P_EV,P_HP,P_WB
2024-01-03 02:15:00,0.20566666666666666,0.0,0.0,0.2
2024-01-03 02:30:00,0.178,0.0,0.0,1.1
2024-01-03 02:45:00,0.054,0.0,0.0,0.0
2024-01-03 03:00:00,0.054,0.0,0.0,0.0
2024-01-03 03:15:00,0.054,0.0,0.0,0.3
2024-01-03 03:30:00,0.15666666666666668,0.0,0.0,1.5
2024-01-03 03:45:00,0.23666666666666666,0.0,0.0,1.5
2024-01-03 04:00:00,0.147,0.0,2.0,1.5
2024-01-03 04:15:00,0.054,0.0,1.6,1.5
2024-01-03 04:30:00,0.054,0.0,0.0,1.5
2024-01-03 04:45:00,0.054,0.0,0.0,1.5
2024-01-03 05:00:00,0.15666666666666668,0.0,0.0,0.2
2024-01-03 05:15:00,0.26766666666666666,0.0,0.0,0.0
2024-01-03 05:30:00,0.116,0.0,0.0,0.0
2024-01-03 05:45:00,0.054,0.0,0.0,0.8
2024-01-03 06:00:00,0.054,0.0,0.0,1.5
2024-01-03 06:15:00,0.054,0.0,0.0,1.5
2024-01-03 06:30:00,0.18766666666666668,0.0,0.0,0.3
2024-01-03 06:45:00,0.6674666666666667,0.0,0.0,0.0
2024-01-03 07:00:00,0.0928,0.0,0.0,0.0
2024-01-03 07:15:00,0.6000666666666666,0.0,0.0,0.0
2024-01-03 07:30:00,0.067,0.0,0.0,0.1
2024-01-03 07:45:00,0.0852,0.0,0.0,1.5
2024-01-03 08:00:00,0.31833333333333336,0.0,0.0,1.5
2024-01-03 08:15:00,0.35866666666666663,0.0,0.0,0.9
2024-01-03 08:30:00,0.145,0.0,0.0,1.5
2024-01-03 08:45:00,0.5448000000000001,0.0,0.0,1.5
2024-01-03 09:00:00,1.0564,0.0,0.0,0.2
2024-01-03 09:15:00,2.176,0.0,0.0,0.0
2024-01-03 09:30:00,0.5326,0.0,0.0,0.0
2024-01-03 09:45:00,0.23666666666666666,0.0,0.0,0.0
2024-01-03 10:00:00,1.1206666666666665,0.0,2.0,0.4
2024-01-03 10:15:00,1.5275999999999998,0.0,0.2,1.5
2024-01-03 10:30:00,0.067,0.0,0.0,1.5
2024-01-03 10:45:00,0.067,0.0,0.0,1.5
2024-01-03 11:00:00,0.30271333333333333,0.0,0.0,1.5
2024-01-03 11:15:00,0.6072805767229836,0.0,0.0,1.5
2024-01-03 11:30:00,1.4495237423726735,0.0,0.0,1.5
2024-01-03 11:45:00,1.4767237423726736,0.0,0.0,1.5
2024-01-03 12:00:00,1.8008570757060067,0.0,0.0,0.9
2024-01-03 12:15:00,1.2314059959320924,0.0,0.0,0.0
2024-01-03 12:30:00,1.2210999999999999,0.0,0.0,0.0
2024-01-03 12:45:00,2.612233333333333,5.133333333333334,0.0,1.0
2024-01-03 13:00:00,0.45258249491511565,2.8,0.0,0.0
2024-01-03 13:15:00,0.44785707570600686,0.0,0.0,0.6
2024-01-03 13:30:00,0.4403904090393402,0.0,0.0,0.5
2024-01-03 13:45:00,0.3342570757060068,0.0,0.0,0.0
2024-01-03 14:00:00,0.5044570757060068,0.0,0.0,0.0
2024-01-03 14:15:00,0.43959040903934016,0.0,0.0,0.0
2024-01-03 14:30:00,0.9655549161581781,0.0,0.0,0.0
2024-01-03 14:45:00,0.4317,0.0,0.0,0.0
2024-01-03 15:00:00,0.4317,0.0,0.0,1.1
2024-01-03 15:15:00,0.4211,0.0,0.0,1.4
2024-01-03 15:30:00,0.5683666666666667,0.0,0.0,0.0
2024-01-03 15:45:00,0.3774333333333333,0.0,1.2,0.0
2024-01-03 16:00:00,0.3107,0.0,1.0,1.4
2024-01-03 16:15:00,0.3107,0.0,0.0,0.4
2024-01-03 16:30:00,0.28356,0.0,0.0,0.3
2024-01-03 16:45:00,0.4037,0.0,0.0,1.0
2024-01-03 17:00:00,0.4656333333333334,0.0,0.0,0.0
2024-01-03 17:15:00,0.26136666666666664,0.0,0.0,0.0
2024-01-03 17:30:00,0.23530171549543294,0.0,0.0,0.0
2024-01-03 17:45:00,0.2460759397255878,0.0,0.0,0.5
2024-01-03 18:00:00,0.2400092730589211,0.0,0.0,0.8
2024-01-03 18:15:00,0.3570759397255878,0.0,0.0,0.0
2024-01-03 18:30:00,0.4266391265687269,0.0,0.0,0.0
2024-01-03 18:45:00,0.501119664632713,0.0,0.0,1.5
2024-01-03 19:00:00,1.575875091215665,0.0,0.0,1.3
2024-01-03 19:15:00,1.287613109443185,0.0,0.0,0.0
2024-01-03 19:30:00,0.48807593972558777,0.0,0.0,0.6
2024-01-03 19:45:00,0.6430759397255877,0.0,0.0,1.5
2024-01-03 20:00:00,0.6527426063922545,0.0,0.0,1.5
2024-01-03 20:15:00,0.5221147678040335,0.0,0.0,1.5
2024-01-03 20:30:00,0.4640404468444259,0.0,0.0,1.3
2024-01-03 20:45:00,0.47271119125105315,0.0,0.0,0.0
2024-01-03 21:00:00,0.5060759397255877,0.0,0.0,0.0
2024-01-03 21:15:00,0.6300759397255877,0.0,0.8,0.0
2024-01-03 21:30:00,0.5743724599020602,0.0,1.4,0.8
2024-01-03 21:45:00,0.30260610740923133,0.0,0.0,0.3
2024-01-03 22:00:00,0.2065521973529143,0.0,0.0,0.2
2024-01-03 22:15:00,0.30335219735291424,0.0,0.0,1.5
2024-01-03 22:30:00,0.3895521973529143,0.0,0.0,1.5
2024-01-03 22:45:00,0.48255219735291427,0.0,0.0,1.5
2024-01-03 23:00:00,0.430218864019581,0.0,0.0,1.4
2024-01-03 23:15:00,0.8083521973529143,0.0,0.0,0.0
2024-01-03 23:30:00,1.6953910254313598,0.0,0.0,0.0
2024-01-03 23:45:00,2.388,0.0,0.0,0.0
2024-01-04 00:00:00,0.5004666666666666,0.0,0.0,0.2
2024-01-04 00:15:00,0.29900000000000004,0.0,0.0,1.5
2024-01-04 00:30:00,0.3906,0.0,0.0,1.5
2024-01-04 00:45:00,0.3546666666666667,0.0,0.0,1.2
2024-01-04 01:00:00,0.296,0.0,0.0,0.3
2024-01-04 01:15:00,0.6716,0.0,0.0,0.7
2024-01-04 01:30:00,0.25866666666666666,0.0,0.0,0.0
2024-01-04 01:45:00,0.6800666666666667,0.0,0.0,0.0
2024-01-04 02:00:00,0.15666666666666668,0.0,0.0,0.7
2024-01-04 02:15:00,0.11266666666666666,0.0,0.0,1.1
2024-01-04 02:30:00,0.054,0.0,0.0,0.0
2024-01-04 02:45:00,0.054,0.0,0.0,0.0
2024-01-04 03:00:00,0.209,0.0,0.0,0.0
2024-01-04 03:15:00,0.116,0.0,0.0,1.0
2024-01-04 03:30:00,0.15666666666666668,0.0,0.0,0.0
2024-01-04 03:45:00,0.11266666666666666,0.0,0.0,0.4
2024-01-04 04:00:00,0.054,0.0,0.2,1.5
2024-01-04 04:15:00,0.08499999999999999,0.0,2.6,1.0
2024-01-04 04:30:00,0.8753333333333334,0.0,0.0,0.6
2024-01-04 04:45:00,0.08499999999999999,0.0,0.0,0.9
2024-01-04 05:00:00,0.15666666666666668,0.0,0.0,0.0
2024-01-04 05:15:00,0.11266666666666666,0.0,0.0,0.0
2024-01-04 05:30:00,0.054,0.0,0.0,0.5
2024-01-04 05:45:00,0.116,0.0,0.0,1.5
2024-01-04 06:00:00,0.209,0.0,0.0,1.5
2024-01-04 06:15:00,0.05610347982352762,0.9333333333333333,0.0,1.5
2024-01-04 06:30:00,0.18821886401958096,4.2,0.0,1.5
2024-01-04 06:45:00,0.14421886401958098,0.0,0.0,1.5
2024-01-04 07:00:00,0.0933521973529143,0.0,0.0,1.5
2024-01-04 07:15:00,0.1915521973529143,0.0,0.0,1.1
2024-01-04 07:30:00,0.2225521973529143,0.0,0.0,1.5
2024-01-04 07:45:00,0.4983521973529143,0.0,0.0,1.5
2024-01-04 08:00:00,0.6372055306862475,0.0,0.0,1.5
2024-01-04 08:15:00,0.29291886401958095,0.0,0.0,0.1
2024-01-04 08:30:00,0.7545716113921371,0.0,0.0,0.0
2024-01-04 08:45:00,0.3137,0.0,0.0,0.0
2024-01-04 09:00:00,0.2879,0.0,0.0,0.6
2024-01-04 09:15:00,0.7357666666666666,0.0,2.2,1.5
2024-01-04 09:30:00,0.32850494472547054,0.0,0.0,1.5
2024-01-04 09:45:00,0.413918864019581,0.0,0.0,0.2
2024-01-04 10:00:00,0.35351886401958094,0.0,0.0,0.0
2024-01-04 10:15:00,0.8970521973529143,0.0,0.0,0.0
2024-01-04 10:30:00,0.7998452377058591,0.0,0.0,0.0
2024-01-04 10:45:00,0.3107,0.0,0.0,1.5
2024-01-04 11:00:00,0.31656666666666666,0.0,0.0,1.5
2024-01-04 11:15:00,0.24836666666666662,0.0,0.0,1.4
2024-01-04 11:30:00,0.22069999999999998,0.0,0.0,0.0
2024-01-04 11:45:00,0.34470000000000006,0.0,0.0,0.0
2024-01-04 12:00:00,1.0207,0.0,0.0,1.0
2024-01-04 12:15:00,1.6634609120902708,0.0,0.0,1.5
2024-01-04 12:30:00,0.3041904090393402,0.0,0.0,1.5
2024-01-04 12:45:00,0.2697237423726735,0.0,0.0,1.5
2024-01-04 13:00:00,0.2493837423726735,0.0,0.0,1.5
2024-01-04 13:15:00,1.614957075706007,0.0,0.0,1.5
2024-01-04 13:30:00,2.434976045692834,0.0,0.0,1.5
2024-01-04 13:45:00,1.4028855306862476,0.0,0.0,1.5
2024-01-04 14:00:00,0.44061886401958095,2.3333333333333335,0.0,1.5
2024-01-04 14:15:00,0.3992188640195809,4.2,0.8,1.5
2024-01-04 14:30:00,0.3609521973529143,0.0,1.4,1.5
2024-01-04 14:45:00,0.21940695964705526,0.0,0.0,1.5
2024-01-04 15:00:00,0.06006666666666667,0.0,0.0,1.5
2024-01-04 15:15:00,0.054,0.0,0.0,1.5
2024-01-04 15:30:00,0.7110208789411658,0.0,0.0,0.0
2024-01-04 15:45:00,0.19755219735291432,0.0,0.0,0.5
2024-01-04 16:00:00,0.8797718619856274,0.4666666666666667,0.0,1.1
2024-01-04 16:15:00,0.32437593972558776,0.0,0.0,0.0
2024-01-04 16:30:00,0.22010927305892114,0.0,0.0,0.7
2024-01-04 16:45:00,0.2846655002550049,0.0,0.0,1.3
2024-01-04 17:00:00,0.4104904090393402,0.0,0.0,0.3
2024-01-04 17:15:00,0.3610393292654258,0.0,0.0,0.7
2024-01-04 17:30:00,0.3535173991176381,0.4666666666666667,0.0,0.0
2024-01-04 17:45:00,0.28155219735291426,0.0,0.0,0.0
2024-01-04 18:00:00,0.21148553068624765,0.0,0.0,0.0
2024-01-04 18:15:00,0.11381886401958097,0.0,0.0,0.0
2024-01-04 18:30:00,1.4350581932850068,0.0,0.0,0.0
2024-01-04 18:45:00,1.9961092730589212,0.0,0.0,0.6
2024-01-04 19:00:00,0.4943759397255878,0.0,1.6,1.5
2024-01-04 19:15:00,0.3640655002550049,0.0,0.6,1.5
2024-01-04 19:30:00,0.3078237423726735,0.0,0.0,1.5
2024-01-04 19:45:00,0.3078237423726735,0.0,0.0,1.5
2024-01-04 20:00:00,0.7955391265687269,0.0,0.0,1.5
2024-01-04 20:15:00,0.20700711351109252,0.0,0.0,1.5
2024-01-04 20:30:00,0.2647521973529143,0.0,0.0,1.5
2024-01-04 20:45:00,0.2065521973529143,0.0,0.0,1.5
2024-01-04 21:00:00,0.47098205086272,0.0,0.0,1.5
2024-01-04 21:15:00,0.30826666666666663,0.0,0.0,1.5
2024-01-04 21:30:00,0.2839771061372495,0.0,0.0,1.5
2024-01-04 21:45:00,0.3743521973529143,0.0,0.0,1.5
2024-01-04 22:00:00,0.45155219735291424,0.0,0.0,1.5
2024-01-04 22:15:00,0.3275521973529143,0.0,0.0,1.5
2024-01-04 22:30:00,0.3275521973529143,0.0,0.0,1.5
2024-01-04 22:45:00,0.31493131841174854,0.0,0.0,1.5
2024-01-04 23:00:00,0.843,0.0,0.0,1.5
2024-01-04 23:15:00,0.3173333333333333,0.0,0.0,1.5
2024-01-04 23:30:00,0.147,0.0,0.0,1.5
2024-01-04 23:45:00,0.2637333333333333,0.0,0.0,1.5
2024-01-05 00:00:00,0.296,0.0,0.0,1.5
2024-01-05 00:15:00,0.296,0.0,0.0,1.5
2024-01-05 00:30:00,0.39866666666666667,0.0,0.0,1.5
2024-01-05 00:45:00,0.5096666666666667,0.0,0.0,1.5
2024-01-05 01:00:00,0.23700000000000002,0.0,0.0,1.5
2024-01-05 01:15:00,0.175,0.0,0.0,1.5
2024-01-05 01:30:00,0.1024,0.0,0.0,1.5
2024-01-05 01:45:00,0.054,0.0,0.0,1.5
2024-01-05 02:00:00,0.18766666666666668,0.0,0.0,1.5
2024-01-05 02:15:00,0.26766666666666666,0.0,0.0,1.5
2024-01-05 02:30:00,0.08499999999999999,0.0,0.0,1.5
2024-01-05 02:45:00,0.5870666666666666,0.0,0.0,1.5
2024-01-05 03:00:00,0.5870666666666666,0.0,0.0,1.5
2024-01-05 03:15:00,0.054,0.0,0.0,1.5
2024-01-05 03:30:00,0.21866666666666668,0.0,0.0,1.5
2024-01-05 03:45:00,0.26766666666666666,0.0,0.0,1.5
2024-01-05 04:00:00,0.054,0.0,0.8,1.5
2024-01-05 04:15:00,0.054,0.0,0.4,1.5
2024-01-05 04:30:00,0.054,0.0,3.0,1.5
2024-01-05 04:45:00,0.054,0.0,0.2,1.5
2024-01-05 05:00:00,0.24966666666666668,0.0,0.0,1.5
2024-01-05 05:15:00,0.23666666666666666,0.0,0.0,1.5
2024-01-05 05:30:00,0.054,0.0,0.0,1.5
2024-01-05 05:45:00,0.054,0.0,0.0,1.5
2024-01-05 06:00:00,0.054,0.0,0.0,1.5
2024-01-05 06:15:00,0.054,0.0,0.0,0.2
2024-01-05 06:30:00,0.2806666666666667,0.0,0.0,1.2
2024-01-05 06:45:00,0.20566666666666666,0.0,0.0,1.5
2024-01-05 07:00:00,0.054,0.0,0.0,1.5
2024-01-05 07:15:00,0.5870666666666666,0.0,0.0,1.5
2024-01-05 07:30:00,0.054,0.0,0.0,1.3
2024-01-05 07:45:00,0.054,0.0,0.0,0.0
2024-01-05 08:00:00,0.31166666666666665,0.0,1.8,0.0
2024-01-05 08:15:00,0.1842,0.0,0.4,0.0
2024-01-05 08:30:00,0.067,0.0,0.0,1.4
2024-01-05 08:45:00,0.16651333333333335,0.0,0.0,1.5
2024-01-05 09:00:00,0.20183333333333334,0.0,0.0,1.5
2024-01-05 09:15:00,0.6204999999999999,0.0,0.0,1.5
2024-01-05 09:30:00,0.44736666666666663,0.0,0.0,1.3
2024-01-05 09:45:00,0.27936666666666665,0.0,0.0,0.0
2024-01-05 10:00:00,0.18969999999999995,0.0,0.0,0.0
2024-01-05 10:15:00,0.18969999999999995,0.0,0.0,0.2
2024-01-05 10:30:00,0.19576666666666664,0.0,0.0,1.5
2024-01-05 10:45:00,0.2647,0.0,0.0,1.3
2024-01-05 11:00:00,0.46036666666666665,0.0,0.0,0.0
2024-01-05 11:15:00,0.26136666666666664,0.0,0.0,0.0
2024-01-05 11:30:00,1.3940333333333332,0.0,0.0,0.2
2024-01-05 11:45:00,2.643496163615736,0.0,1.2,1.5
2024-01-05 12:00:00,2.0892570757060067,0.0,0.0,1.5
2024-01-05 12:15:00,3.2185904090393405,0.0,0.0,1.5
2024-01-05 12:30:00,0.4281904090393402,0.0,0.0,1.5
2024-01-05 12:45:00,0.7932570757060069,0.0,0.0,0.0
2024-01-05 13:00:00,0.7634647484745346,0.0,0.0,0.0
2024-01-05 13:15:00,0.3237,0.0,0.0,0.0
2024-01-05 13:30:00,0.3355237423726735,0.0,0.0,1.1
2024-01-05 13:45:00,0.4595237423726735,0.0,1.2,0.4
2024-01-05 14:00:00,0.5216570757060068,0.0,1.0,0.0
2024-01-05 14:15:00,0.2956237423726735,0.0,0.0,0.0
2024-01-05 14:30:00,0.0610942454236041,0.0,0.0,1.1
2024-01-05 14:45:00,0.054,0.0,0.0,0.0
2024-01-05 15:00:00,0.06582374237267351,0.0,0.0,0.6
2024-01-05 15:15:00,0.22082374237267352,0.0,0.0,1.5
2024-01-05 15:30:00,0.6302904090393402,0.0,0.0,1.5
2024-01-05 15:45:00,0.12449040903934018,0.0,0.0,1.0
2024-01-05 16:00:00,0.06267074440662725,0.0,0.0,0.0
2024-01-05 16:15:00,0.05715299796604627,0.0,0.0,0.8
2024-01-05 16:30:00,0.16942374237267352,0.0,0.0,1.5
2024-01-05 16:45:00,0.38495506078442204,0.0,0.0,1.5
2024-01-05 17:00:00,1.0061092730589212,0.0,0.0,0.3
2024-01-05 17:15:00,1.0558692730589212,0.0,0.0,0.0
2024-01-05 17:30:00,2.7013464427765186,0.0,2.0,0.0
2024-01-05 17:45:00,0.33312400220395705,0.0,0.2,1.3
2024-01-05 18:00:00,0.39752374237267346,0.0,0.0,1.5
2024-01-05 18:15:00,1.0235904090393402,0.0,0.0,1.5
2024-01-05 18:30:00,1.3977904090393403,0.0,0.0,1.5
2024-01-05 18:45:00,1.9935237423726735,0.0,0.0,1.4
2024-01-05 19:00:00,0.35272172745108876,0.0,0.0,0.6
2024-01-05 19:15:00,0.3438286963359375,0.0,0.0,1.5
2024-01-05 19:30:00,0.4407699437934953,0.0,0.0,1.0
2024-01-05 19:45:00,0.5103426063922545,0.0,0.0,0.0
2024-01-05 20:00:00,0.5777426063922545,0.0,0.0,1.0
2024-01-05 20:15:00,0.5337426063922545,0.0,0.0,0.0
2024-01-05 20:30:00,0.4802759397255878,0.0,0.0,0.0
2024-01-05 20:45:00,0.48807593972558777,0.0,0.0,0.0
2024-01-05 21:00:00,0.5201896084262081,0.0,0.0,0.0
2024-01-05 21:15:00,0.44825219735291433,0.0,0.0,0.0
2024-01-05 21:30:00,0.452718864019581,0.0,0.0,0.0
2024-01-05 21:45:00,0.800718864019581,0.0,0.0,0.0
2024-01-05 22:00:00,0.34225219735291434,0.0,0.0,1.0
2024-01-05 22:15:00,0.33320553068624764,3.7333333333333334,0.0,0.0
2024-01-05 22:30:00,0.4018855306862476,7.0,0.0,0.0
2024-01-05 22:45:00,0.3895521973529143,1.4,0.0,0.0
2024-01-05 23:00:00,0.4218049447254705,0.0,0.0,0.0
2024-01-05 23:15:00,0.3052049447254705,0.0,0.0,0.0
2024-01-05 23:30:00,0.3275521973529143,0.0,0.0,1.0
2024-01-05 23:45:00,0.34241886401958094,0.0,0.0,0.0
2024-01-06 00:00:00,0.48255219735291427,0.0,0.0,0.0
2024-01-06 00:15:00,0.3480347982352762,0.0,0.0,1.4
2024-01-06 00:30:00,0.39866666666666667,0.0,0.0,1.5
2024-01-06 00:45:00,0.25786666666666663,0.0,0.0,0.9
2024-01-06 01:00:00,0.11677266259875921,0.0,0.0,1.5
2024-01-06 01:15:00,0.12782374237267352,0.0,0.0,0.1
2024-01-06 01:30:00,0.22082374237267352,0.0,0.0,0.0
2024-01-06 01:45:00,0.06582374237267351,0.0,0.0,0.0
2024-01-06 02:00:00,0.16849040903934018,0.0,0.0,0.2
2024-01-06 02:15:00,0.12449040903934018,0.0,0.6,1.4
2024-01-06 02:30:00,0.06582374237267351,0.0,0.0,0.0
2024-01-06 02:45:00,0.15882374237267352,0.0,0.0,0.0
2024-01-06 03:00:00,0.18667074440662726,0.0,0.0,0.0
2024-01-06 03:15:00,0.45380000000000004,0.0,0.0,0.0
2024-01-06 03:30:00,0.2899333333333333,0.0,0.6,0.0
2024-01-06 03:45:00,0.11266666666666666,0.0,0.0,0.0
2024-01-06 04:00:00,0.054,0.0,0.0,0.0
2024-01-06 04:15:00,0.178,0.0,0.0,0.0
2024-01-06 04:30:00,0.147,0.0,1.6,0.0
2024-01-06 04:45:00,0.054,0.0,2.0,0.0
