,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-03 13:00:00,0.001,0.46125219735291434,0.0,0.0
2024-01-03 13:15:00,0.001,0.5015855306862477,0.0,0.0
2024-01-03 13:30:00,0.001,1.3913855306862475,0.0,0.4
2024-01-03 13:45:00,0.001,0.7039188640195809,0.0,2.4
2024-01-03 14:00:00,0.001,1.2002034798235277,0.0,3.0
2024-01-03 14:15:00,0.001,0.5668529979660464,1.4666666666666666,0.0
2024-01-03 14:30:00,0.001,0.5513237423726735,11.0,0.0
2024-01-03 14:45:00,0.001,0.4510570757060069,11.0,0.0
2024-01-03 15:00:00,0.001,0.557602313411866,2.2,1.6
2024-01-03 15:15:00,0.001,1.1779426063922545,0.0,2.4
2024-01-03 15:30:00,0.001,0.5900718619856272,0.0,0.0
2024-01-03 15:45:00,0.001,1.2598521973529142,0.0,2.8
2024-01-03 16:00:00,0.001,1.0108915266183403,0.0,0.8
2024-01-03 16:15:00,0.001,0.4640341818432564,0.0,2.0
2024-01-03 16:30:00,0.001,0.6357237423726735,0.0,3.0
2024-01-03 16:45:00,0.001,0.6042023134118659,0.0,3.0
2024-01-03 17:00:00,0.001,0.6203464427765184,0.0,2.8
2024-01-03 17:15:00,0.001,0.46125219735291434,0.0,0.0
2024-01-03 17:30:00,0.001,0.47738553068624767,0.0,0.0
2024-01-03 17:45:00,0.001,1.4927576920980268,0.0,2.2
2024-01-03 18:00:00,0.001,1.7141,0.0,2.6
2024-01-03 18:15:00,0.001,0.6389,0.0,1.8
2024-01-03 18:30:00,0.001,0.6190333333333334,0.0,0.0
2024-01-03 18:45:00,0.001,0.39196666666666663,0.0,0.4
2024-01-03 19:00:00,0.001,0.446527838588221,0.0,2.2
2024-01-03 19:15:00,0.001,0.4732601114771388,0.0,0.0
2024-01-03 19:30:00,0.001,0.5975426063922544,0.0,2.2
2024-01-03 19:45:00,0.001,0.6957426063922545,0.0,1.8
2024-01-03 20:00:00,0.001,0.7889426063922544,0.0,0.0
2024-01-03 20:15:00,0.001,0.5221426063922545,0.0,0.0
2024-01-03 20:30:00,0.001,0.6053426063922545,0.0,0.0
2024-01-03 20:45:00,0.001,0.5940759397255878,0.0,0.0
2024-01-03 21:00:00,0.001,0.5425229417595415,0.0,2.2
2024-01-03 21:15:00,0.001,0.5201426063922544,0.0,3.0
2024-01-03 21:30:00,0.001,0.5814092730589212,0.0,1.6
2024-01-03 21:45:00,0.001,0.38907593972558785,0.0,0.0
