,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 23:15:00,0.001,0.0,0.001,0.2028382780588038,0.0,0.0
2024-01-01 23:30:00,0.001,0.0,0.001,0.261918864019581,0.0,0.0
2024-01-01 23:45:00,0.001,0.0,0.001,0.40125219735291434,0.0,2.3333333333333335
2024-01-02 00:00:00,0.001,0.0,0.001,0.2919855306862476,0.0,0.0
2024-01-02 00:15:00,0.001,0.0,0.001,0.4317347982352762,0.0,0.0
2024-01-02 00:30:00,0.001,0.0,0.001,0.31536666666666663,0.0,0.0
2024-01-02 00:45:00,0.001,0.0,0.001,0.30069999999999997,0.0,0.0
2024-01-02 01:00:00,0.001,0.0,0.001,0.3640333333333333,0.0,0.3333333333333333
2024-01-02 01:15:00,0.001,0.0,0.001,0.8330533333333333,0.0,2.3333333333333335
2024-01-02 01:30:00,0.001,0.0,0.001,0.09666666666666666,0.0,0.0
2024-01-02 01:45:00,0.001,0.0,0.001,0.154,0.0,0.0
2024-01-02 02:00:00,0.001,0.0,0.001,0.066,0.0,0.0
2024-01-02 02:15:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 02:30:00,0.001,0.0,0.001,0.12000000000000001,0.0,2.3333333333333335
2024-01-02 02:45:00,0.001,0.0,0.001,0.234,0.0,3.6666666666666665
2024-01-02 03:00:00,0.001,0.0,0.001,0.07666666666666666,0.0,0.0
2024-01-02 03:15:00,0.001,0.0,0.001,0.154,0.0,0.0
2024-01-02 03:30:00,0.001,0.0,0.001,0.07333333333333332,0.0,0.0
2024-01-02 03:45:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 04:00:00,0.001,0.0,0.001,0.13266666666666665,1.0,0.0
2024-01-02 04:15:00,0.001,0.0,0.001,0.234,5.0,0.0
2024-01-02 04:30:00,0.001,0.0,0.001,0.056666666666666664,0.3333333333333333,0.0
2024-01-02 04:45:00,0.001,0.0,0.001,0.154,0.0,0.0
2024-01-02 05:00:00,0.001,0.0,0.001,0.08066666666666666,0.0,0.0
2024-01-02 05:15:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 05:30:00,0.001,0.0,0.001,0.14533333333333334,0.0,0.0
2024-01-02 05:45:00,0.001,0.0,0.001,0.234,0.0,0.0
2024-01-02 06:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 06:15:00,0.001,0.0,0.001,0.14666666666666667,0.0,0.0
2024-01-02 06:30:00,0.001,0.0,0.001,0.08800000000000001,0.0,0.0
2024-01-02 06:45:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 07:00:00,0.001,0.0,0.001,0.158,0.0,0.0
2024-01-02 07:15:00,0.001,0.0,0.001,0.22133333333333335,0.0,0.0
2024-01-02 07:30:00,0.001,0.0,0.001,0.044,2.3333333333333335,0.0
2024-01-02 07:45:00,0.001,0.0,0.001,0.13933333333333334,0.6666666666666666,0.0
2024-01-02 08:00:00,0.001,0.0,0.001,0.09533333333333333,0.0,0.0
2024-01-02 08:15:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 08:30:00,0.001,0.0,0.001,0.17066666666666666,0.0,0.0
2024-01-02 08:45:00,0.001,0.0,0.001,0.2086666666666667,0.0,0.0
2024-01-02 09:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 09:15:00,0.001,0.0,0.001,0.132,0.0,0.0
2024-01-02 09:30:00,0.001,0.0,0.001,0.10266666666666667,0.0,0.0
2024-01-02 09:45:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-02 10:00:00,0.001,0.0,0.001,0.18333333333333332,0.0,0.0
2024-01-02 10:15:00,0.001,0.0,0.001,0.196,0.0,0.0
