,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-02 17:30:00,0.001,0.0,0.001,0.23158553068624765,0.0
2024-01-02 17:45:00,0.001,0.0,0.001,1.3838333333333332,0.0
2024-01-02 18:00:00,0.001,0.0,0.001,2.236233333333333,0.0
2024-01-02 18:15:00,0.001,0.0,0.001,0.48169999999999996,0.0
2024-01-02 18:30:00,0.001,0.0008,0.001,0.3697,0.0
2024-01-02 18:45:00,0.001,1.2004666666666668,0.001,0.4017,0.0
2024-01-02 19:00:00,0.001,0.001,0.001,0.36665421227449907,0.0
2024-01-02 19:15:00,0.001,0.001,0.001,0.32325219735291433,0.0
2024-01-02 19:30:00,0.001,0.001,0.001,0.48791886401958096,0.0
2024-01-02 19:45:00,0.001,0.001,0.001,0.4918521973529143,0.0
2024-01-02 20:00:00,0.001,0.001,0.001,0.516918864019581,0.0
2024-01-02 20:15:00,0.001,0.001,0.001,0.6059805859607772,0.0
2024-01-02 20:30:00,0.001,0.30086666666666667,0.001,0.5183666666666668,0.0
2024-01-02 20:45:00,0.001,2.1000666666666667,0.001,0.5813,0.0
2024-01-02 21:00:00,0.001,0.001,0.001,0.5703417578823314,0.0
2024-01-02 21:15:00,0.001,0.0004,0.001,1.4427855306862476,0.0
2024-01-02 21:30:00,0.001,0.0,0.001,1.8712521973529141,0.0
2024-01-02 21:45:00,0.001,0.0,0.001,0.3789721973529143,0.26666666666666666
2024-01-02 22:00:00,0.001,0.0,0.001,0.25821886401958094,1.8666666666666667
2024-01-02 22:15:00,0.001,0.0,0.001,0.7668347982352762,0.0
2024-01-02 22:30:00,0.001,0.0,0.001,0.21288553068624766,0.0
2024-01-02 22:45:00,0.001,0.0,0.001,0.3004855306862476,0.0
2024-01-02 23:00:00,0.001,0.0,0.001,0.22421886401958097,0.0
2024-01-02 23:15:00,0.001,0.0,0.001,0.31021886401958093,0.0
2024-01-02 23:30:00,0.001,0.0,0.001,0.3565173991176381,0.0
2024-01-02 23:45:00,0.001,0.0,0.001,0.19973333333333335,0.0
2024-01-03 00:00:00,0.001,0.0,0.001,0.156,0.0
2024-01-03 00:15:00,0.001,0.0,0.001,0.156,0.0
2024-01-03 00:30:00,0.001,0.0,0.001,0.2,0.0
2024-01-03 00:45:00,0.001,0.0,0.001,0.4106666666666667,0.0
2024-01-03 01:00:00,0.001,0.0,0.001,0.24233333333333332,0.0
2024-01-03 01:15:00,0.001,0.0,0.001,0.035,0.0
2024-01-03 01:30:00,0.001,0.0,0.001,0.035,0.0
2024-01-03 01:45:00,0.001,0.0,0.001,0.051133333333333336,0.0
2024-01-03 02:00:00,0.001,0.0,0.001,0.30866666666666664,0.0
2024-01-03 02:15:00,0.001,0.0,0.001,0.4286666666666667,0.0
2024-01-03 02:30:00,0.001,0.0,0.001,0.156,0.0
2024-01-03 02:45:00,0.001,0.0,0.001,0.156,0.0
2024-01-03 03:00:00,0.001,0.0,0.001,0.6890666666666666,0.0
2024-01-03 03:15:00,0.001,0.0,0.001,0.09373333333333335,0.0
2024-01-03 03:30:00,0.001,0.0,0.001,0.2836666666666667,0.0
2024-01-03 03:45:00,0.001,0.0,0.001,0.161,0.0
2024-01-03 04:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-03 04:15:00,0.001,0.0,0.001,0.035,2.4
2024-01-03 04:30:00,0.001,0.0,0.001,0.035,0.0
2024-01-03 04:45:00,0.001,0.0,0.001,0.225,0.0
2024-01-03 05:00:00,0.001,0.0,0.001,0.18966666666666665,0.0
2024-01-03 05:15:00,0.001,0.0,0.001,0.11566666666666665,0.0
2024-01-03 05:30:00,0.001,0.0,0.001,0.035,0.0
2024-01-03 05:45:00,0.001,0.0,0.001,0.5680666666666666,0.0
2024-01-03 06:00:00,0.001,0.0,0.001,0.17433333333333334,0.0
2024-01-03 06:15:00,0.001,0.0,0.001,0.17433333333333334,0.0
2024-01-03 06:30:00,0.001,0.0,0.001,0.10833333333333334,0.0
2024-01-03 06:45:00,0.001,0.0,0.001,0.10833333333333334,0.0
2024-01-03 07:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-03 07:15:00,0.001,0.0,0.001,0.2412733333333333,0.0
2024-01-03 07:30:00,0.001,0.0,0.001,0.36069999999999997,0.0
2024-01-03 07:45:00,0.001,0.0,0.001,0.1707,0.0
2024-01-03 08:00:00,0.001,0.0,0.001,0.2513666666666667,0.0
2024-01-03 08:15:00,0.001,0.0,0.001,0.7697666666666666,0.0
2024-01-03 08:30:00,0.001,0.0,0.001,0.20869999999999997,0.0
2024-01-03 08:45:00,0.001,0.0,0.001,0.4456333333333333,0.0
2024-01-03 09:00:00,0.001,0.0,0.001,0.32016666666666665,0.0
2024-01-03 09:15:00,0.001,0.0,0.001,0.3231,0.0
2024-01-03 09:30:00,0.001,0.0,0.001,0.4837,0.0
2024-01-03 09:45:00,0.001,0.0,0.001,0.36943333333333334,0.0
2024-01-03 10:00:00,0.001,0.0,0.001,0.4794333333333333,0.0
2024-01-03 10:15:00,0.001,0.0,0.001,0.37689999999999996,0.0
2024-01-03 10:30:00,0.001,0.0,0.001,0.1707,0.0
2024-01-03 10:45:00,0.001,0.0,0.001,0.1707,0.0
2024-01-03 11:00:00,0.001,0.0,0.001,0.30031190437252575,0.0
2024-01-03 11:15:00,0.001,0.0,0.001,0.39325219735291433,0.0
2024-01-03 11:30:00,0.001,0.0,0.001,0.3672521973529143,2.6666666666666665
2024-01-03 11:45:00,0.001,0.0,0.001,0.21351886401958095,0.0
2024-01-03 12:00:00,0.001,0.0,0.001,0.2022521973529143,0.0
2024-01-03 12:15:00,0.001,0.0,0.001,0.47245739911763807,0.0
2024-01-03 12:30:00,0.001,0.0,0.001,0.34693333333333337,0.0
2024-01-03 12:45:00,0.001,0.0,0.001,0.5355333333333333,0.0
2024-01-03 13:00:00,0.001,0.0,0.001,0.04766666666666667,0.0
2024-01-03 13:15:00,0.001,0.0,0.04455419540545832,0.035,0.0
2024-01-03 13:30:00,0.001,0.0,0.20731554370726968,0.035,0.0
2024-01-03 13:45:00,0.001,0.0,0.8902552693618025,0.060333333333333336,0.0
2024-01-03 14:00:00,0.001,0.0,0.42325419234686357,0.8680666666666668,0.0
2024-01-03 14:15:00,0.001,0.0,0.1434758900354722,0.13500000000000004,0.0
2024-01-03 14:30:00,0.001,0.0,0.24618820814434933,0.035,0.0
2024-01-03 14:45:00,0.001,0.0,0.67508669111518,0.035,0.0
2024-01-03 15:00:00,0.001,0.0,0.10709226375653774,0.035,0.0
2024-01-03 15:15:00,0.001,0.0,0.07616556942132369,0.207,0.0
2024-01-03 15:30:00,0.001,0.0,0.001,0.259,0.0
2024-01-03 15:45:00,0.001,0.0,0.001,0.06433333333333333,0.0
2024-01-03 16:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-03 16:15:00,0.001,0.0,0.001,0.035,0.0
2024-01-03 16:30:00,0.001,0.0,0.001,0.149,0.0
2024-01-03 16:45:00,0.001,0.0,0.001,0.21433333333333332,0.0
2024-01-03 17:00:00,0.001,0.0,0.001,2.4373333333333336,0.0
2024-01-03 17:15:00,0.001,0.0,0.001,0.8566666666666667,0.0
2024-01-03 17:30:00,0.001,0.0,0.001,0.053931318411748586,0.0
2024-01-03 17:45:00,0.001,0.0,0.001,0.15408553068624764,0.5333333333333333
2024-01-03 18:00:00,0.001,0.0,0.001,0.3775521973529143,1.6
2024-01-03 18:15:00,0.001,0.0,0.001,0.23488553068624762,0.0
2024-01-03 18:30:00,0.001,0.0,0.001,0.830618864019581,0.0
2024-01-03 18:45:00,0.001,0.0,0.001,0.17066666666666666,0.0
2024-01-03 19:00:00,0.001,0.0,0.001,0.16866666666666666,0.0
2024-01-03 19:15:00,0.001,0.0,0.001,0.362827838588221,0.0
2024-01-03 19:30:00,0.001,0.0,0.001,0.15061886401958097,0.0
2024-01-03 19:45:00,0.001,0.0,0.001,0.09588553068624764,0.0
2024-01-03 20:00:00,0.001,0.0,0.001,0.1765521973529143,0.0
2024-01-03 20:15:00,0.001,0.0,0.001,0.07388553068624763,0.0
2024-01-03 20:30:00,0.001,0.0,0.001,0.21855219735291428,0.0
2024-01-03 20:45:00,0.001,0.0,0.001,0.5800507324509714,0.0
2024-01-03 21:00:00,0.001,0.0,0.001,0.156,0.0
2024-01-03 21:15:00,0.001,0.0,0.001,0.19266666666666668,0.0
2024-01-03 21:30:00,0.001,0.0,0.001,0.266,0.0
2024-01-03 21:45:00,0.001,0.0,0.001,0.2573333333333333,0.0
2024-01-03 22:00:00,0.001,0.0,0.001,0.3333333333333333,0.0
2024-01-03 22:15:00,0.001,0.0,0.001,0.13986666666666667,0.0
2024-01-03 22:30:00,0.001,0.0,0.001,0.156,0.0
2024-01-03 22:45:00,0.001,0.0,0.001,0.2,0.0
2024-01-03 23:00:00,0.001,0.0,0.001,0.30933333333333335,0.0
2024-01-03 23:15:00,0.001,0.0,0.001,0.32986666666666664,0.0
2024-01-03 23:30:00,0.001,0.0,0.001,0.17786666666666667,0.0
2024-01-03 23:45:00,0.001,0.0,0.001,0.156,0.0
2024-01-04 00:00:00,0.001,0.0,0.001,0.156,0.0
2024-01-04 00:15:00,0.001,0.0,0.001,0.20733333333333334,0.0
2024-01-04 00:30:00,0.001,0.0,0.001,0.401,0.0
2024-01-04 00:45:00,0.001,0.0,0.001,0.12366666666666666,0.0
2024-01-04 01:00:00,0.001,0.0,0.001,0.09146666666666667,0.0
2024-01-04 01:15:00,0.001,0.0,0.001,0.156,0.0
2024-01-04 01:30:00,0.001,0.0,0.001,0.156,0.0
2024-01-04 01:45:00,0.001,0.0,0.001,0.35400000000000004,0.0
2024-01-04 02:00:00,0.001,0.0,0.001,0.38333333333333336,0.0
2024-01-04 02:15:00,0.001,0.0,0.001,0.156,0.0
2024-01-04 02:30:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 02:45:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 03:00:00,0.001,0.0,0.001,0.12366666666666666,0.0
2024-01-04 03:15:00,0.001,0.0,0.001,0.29100000000000004,0.0
2024-01-04 03:30:00,0.001,0.0,0.001,0.6487333333333333,0.0
2024-01-04 03:45:00,0.001,0.0,0.001,0.035,0.8
2024-01-04 04:00:00,0.001,0.0,0.001,0.5680666666666666,0.0
2024-01-04 04:15:00,0.001,0.0,0.001,0.073,0.8
2024-01-04 04:30:00,0.001,0.0,0.001,0.225,1.6
2024-01-04 04:45:00,0.001,0.0,0.001,0.15899999999999997,0.0
2024-01-04 05:00:00,0.001,0.0,0.001,0.10833333333333334,0.0
2024-01-04 05:15:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 05:30:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 05:45:00,0.001,0.0,0.001,0.21233333333333335,0.0
2024-01-04 06:00:00,0.001,0.0,0.001,0.13633333333333333,0.0
2024-01-04 06:15:00,0.001,0.0,0.001,0.11566666666666665,0.0
2024-01-04 06:30:00,0.001,0.0,0.001,0.6340666666666668,0.0
2024-01-04 06:45:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 07:00:00,0.001,0.0,0.001,0.16166666666666668,0.0
2024-01-04 07:15:00,0.001,0.0,0.001,0.187,0.0
2024-01-04 07:30:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 07:45:00,0.001,0.0,0.001,0.123,0.0
2024-01-04 08:00:00,0.001,0.0,0.001,0.09366666666666666,0.26666666666666666
2024-01-04 08:15:00,0.001,0.0,0.001,0.111,0.0
2024-01-04 08:30:00,0.001,0.0,0.001,0.6248,0.26666666666666666
2024-01-04 08:45:00,0.001,0.0,0.001,0.8473333333333334,0.0
2024-01-04 09:00:00,0.001,0.0,0.001,2.1141333333333336,0.0
2024-01-04 09:15:00,0.001,0.0,0.001,0.1492646517450819,2.1333333333333333
2024-01-04 09:30:00,0.001,0.0,0.001,0.14321886401958095,0.0
2024-01-04 09:45:00,0.001,0.0,0.001,0.2565521973529143,0.0
2024-01-04 10:00:00,0.001,0.0,0.001,0.1298855306862476,0.0
2024-01-04 10:15:00,0.001,0.0,0.001,0.07261886401958098,0.0
2024-01-04 10:30:00,0.001,0.0,0.001,0.44780000000000003,0.0
2024-01-04 10:45:00,0.001,0.0,0.001,0.8170000000000001,0.0
2024-01-04 11:00:00,0.001,0.0,0.001,0.6564666666666666,0.0
2024-01-04 11:15:00,0.001,0.0,0.001,0.16199999999999998,0.0
2024-01-04 11:30:00,0.001,0.0,0.001,0.03586666666666667,0.0
2024-01-04 11:45:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 12:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 12:15:00,0.001,0.0,0.001,0.259,0.0
2024-01-04 12:30:00,0.001,0.0,0.001,0.23633333333333334,0.0
2024-01-04 12:45:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 13:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 13:15:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 13:30:00,0.001,0.0,0.001,0.10566666666666666,0.0
2024-01-04 13:45:00,0.001,0.0,0.001,0.335,0.0
2024-01-04 14:00:00,0.001,0.0,0.001,0.08966666666666666,1.3333333333333333
2024-01-04 14:15:00,0.001,0.0,0.001,0.035,0.8
2024-01-04 14:30:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 14:45:00,0.001,0.0,0.001,0.04766666666666667,0.0
2024-01-04 15:00:00,0.001,0.0,0.001,0.23966666666666667,0.0
2024-01-04 15:15:00,0.001,0.0,0.001,0.221,0.0
2024-01-04 15:30:00,0.001,0.0,0.001,0.057,0.0
2024-01-04 15:45:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 16:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 16:15:00,0.001,0.0,0.001,0.187,0.0
2024-01-04 16:30:00,0.001,0.0,0.001,0.18366666666666667,0.0
2024-01-04 16:45:00,0.001,0.0,0.001,0.145,0.0
2024-01-04 17:00:00,0.001,0.0,0.001,0.049666666666666665,0.0
2024-01-04 17:15:00,0.001,0.0,0.001,0.035,0.0
2024-01-04 17:30:00,0.001,0.0,0.001,0.13633333333333333,0.0
2024-01-04 17:45:00,0.001,0.0,0.001,0.21233333333333335,0.0
2024-01-04 18:00:00,0.001,0.0,0.001,0.06433333333333333,0.0
2024-01-04 18:15:00,0.001,0.0,0.001,0.145,0.0
2024-01-04 18:30:00,0.001,0.0,0.001,0.042333333333333334,0.26666666666666666
2024-01-04 18:45:00,0.001,0.0,0.001,0.08566666666666668,2.1333333333333333
2024-01-04 19:00:00,0.001,0.0,0.001,0.225,0.0
2024-01-04 19:15:00,0.001,0.0,0.001,0.10526666666666666,0.0
2024-01-04 19:30:00,0.001,0.0,0.001,0.7425611719215542,0.0
2024-01-04 19:45:00,0.001,0.0,0.001,2.2780855306862478,0.0
2024-01-04 20:00:00,0.001,0.0,0.001,2.3095521973529145,0.0
