,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-05 08:45:00,0.0,0.001,0.049,1.0,2.2
2024-01-05 09:00:00,0.0,0.001,0.06413333333333333,0.0,0.0
2024-01-05 09:15:00,0.0,0.001,0.15733333333333333,0.0,0.0
2024-01-05 09:30:00,0.0,0.001,0.50596,0.0,0.0
2024-01-05 09:45:00,0.0,0.001,0.1329694969490694,0.8,0.0
2024-01-05 10:00:00,0.0,0.10233478986486258,0.0660237423726735,1.8,0.0
2024-01-05 10:15:00,0.0,0.36330937265511193,0.0608237423726735,0.0,0.0
2024-01-05 10:30:00,0.0,0.7448434248549539,0.0608237423726735,0.0,2.0
2024-01-05 10:45:00,0.0,0.12795766130169658,0.5046237423726735,0.0,2.8
2024-01-05 11:00:00,0.0,0.18132711716955444,0.25275707570600686,0.0,2.8
2024-01-05 11:15:00,0.0,1.1661397118533803,0.44958824949151155,1.4,1.0
2024-01-05 11:30:00,0.0,0.596649559355055,0.049,0.0,2.4
2024-01-05 11:45:00,0.0,0.12117046888454211,0.049,0.0,0.4
2024-01-05 12:00:00,0.0,0.2824425081346481,0.7153333333333334,2.0,3.0
2024-01-05 12:15:00,0.0,0.9319294030625876,0.049,0.6,3.0
2024-01-05 12:30:00,0.0,0.001,0.12966666666666668,0.0,2.0
2024-01-05 12:45:00,0.0,0.001,0.071,0.0,0.0
2024-01-05 13:00:00,0.0,0.001,0.06582783858822096,0.0,0.0
2024-01-05 13:15:00,0.0,0.001,0.48035219735291435,0.0,0.0
2024-01-05 13:30:00,0.0,0.001,0.48035219735291435,2.4,2.0
2024-01-05 13:45:00,0.0,0.001,0.08055219735291429,0.0,3.0
2024-01-05 14:00:00,0.0,0.001,0.08788553068624763,0.0,3.0
2024-01-05 14:15:00,0.0,0.001,0.16326465174508192,0.0,1.8
2024-01-05 14:30:00,0.0,0.001,0.049,0.0,1.8
2024-01-05 14:45:00,0.0,0.001,0.11232666666666666,1.2,2.0
2024-01-05 15:00:00,0.0,0.001,0.18469999999999998,1.2,0.0
2024-01-05 15:15:00,0.0,0.001,0.18556666666666663,0.0,0.0
2024-01-05 15:30:00,0.0,0.001,0.19769999999999996,0.0,0.0
2024-01-05 15:45:00,0.0,0.001,0.3546333333333333,0.0,1.6
2024-01-05 16:00:00,0.0,0.001,0.7771666666666666,0.0,3.0
2024-01-05 16:15:00,0.0,0.001,0.3493855306862476,2.2,1.4
2024-01-05 16:30:00,0.0,0.001,0.3388286963359375,0.2,0.0
2024-01-05 16:45:00,0.0,0.001,0.3006759397255878,0.0,2.6
2024-01-05 17:00:00,0.0,0.001,0.24420927305892112,0.0,0.4
2024-01-05 17:15:00,0.0,0.001,0.5592411414903115,0.0,0.0
2024-01-05 17:30:00,0.0,0.001,0.4111904090393402,0.0,0.0
2024-01-05 17:45:00,0.0,0.001,0.3525237423726735,2.4,0.0
2024-01-05 18:00:00,0.0,0.001,0.3271139192941105,0.0,0.0
2024-01-05 18:15:00,0.0,0.001,0.44451886401958096,0.0,0.0
2024-01-05 18:30:00,0.0008,0.001,0.3396521973529143,0.0,0.0
2024-01-05 18:45:00,1.2004666666666668,0.001,0.362518864019581,0.0,1.8
2024-01-05 19:00:00,0.001,0.001,1.581013109443185,0.2,3.0
2024-01-05 19:15:00,0.001,0.001,2.579409273058921,2.2,0.4
2024-01-05 19:30:00,0.0002,0.001,0.9253426063922545,0.0,0.0
2024-01-05 19:45:00,0.0,0.001,0.7488759397255879,0.0,0.0
2024-01-05 20:00:00,0.0,0.001,0.3490759397255878,0.0,0.0
2024-01-05 20:15:00,1.2003333333333333,0.001,0.7488759397255879,0.0,0.0
2024-01-05 20:30:00,1.8002,0.001,0.8983426063922545,0.6,0.0
2024-01-05 20:45:00,1.3504,0.001,1.6410759397255879,1.8,0.0
2024-01-05 21:00:00,0.30086666666666667,0.001,1.0733426063922547,0.0,0.0
2024-01-05 21:15:00,0.00013333333333333334,0.001,0.2280759397255878,0.0,0.0
2024-01-05 21:30:00,0.0,0.001,2.5313426063922546,0.0,0.0
2024-01-05 21:45:00,0.0,0.001,2.4608286963359376,0.0,0.0
2024-01-05 22:00:00,0.0,0.001,1.16113469226803,0.4,0.0
2024-01-05 22:15:00,0.0,0.001,0.3490759397255878,0.0,0.0
2024-01-05 22:30:00,0.0,0.001,0.42974260639225453,0.0,0.8
2024-01-05 22:45:00,0.0,0.001,0.7038492730589212,0.0,1.8
2024-01-05 23:00:00,0.0,0.001,0.6376892730589211,0.0,0.0
2024-01-05 23:15:00,0.0,0.001,0.8695217274510888,0.0,0.0
2024-01-05 23:30:00,0.0,0.001,0.7173237423726736,0.0,0.0
2024-01-05 23:45:00,0.0,0.001,0.2566626275857037,0.0,2.0
2024-01-06 00:00:00,0.0,0.001,0.22358553068624765,0.0,3.0
2024-01-06 00:15:00,0.0,0.001,0.31158553068624767,0.0,2.0
2024-01-06 00:30:00,0.0,0.001,0.2162521973529143,0.0,1.2
2024-01-06 00:45:00,0.0,0.001,0.2162521973529143,0.0,0.0
2024-01-06 01:00:00,0.0,0.001,0.20573479823527618,0.0,0.0
2024-01-06 01:15:00,0.0,0.001,0.19258249491511567,0.0,0.0
2024-01-06 01:30:00,0.0,0.001,0.1965237423726735,0.0,0.0
2024-01-06 01:45:00,0.0,0.001,0.24052374237267352,0.0,1.0
2024-01-06 02:00:00,0.0,0.001,0.20995707570600683,0.0,1.6
2024-01-06 02:15:00,0.0,0.001,0.05057649898302314,0.0,0.0
2024-01-06 02:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-06 02:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-06 03:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-06 03:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-06 03:30:00,0.0,0.001,0.12966666666666668,0.0,0.0
2024-01-06 03:45:00,0.0,0.001,0.4708,0.0,0.0
2024-01-06 04:00:00,0.0,0.001,0.049,1.2,0.0
2024-01-06 04:15:00,0.0,0.001,0.049,1.0,0.0
2024-01-06 04:30:00,0.0,0.001,0.049,1.6,0.0
