,WasherDryer,WashingMachine,BaseLoad
2024-01-03 09:00:00,0.21194260961537684,0.13127529386954348,0.22288553068624764
2024-01-03 09:15:00,0.7920347860576631,0.4035889908621166,0.31861886401958095
2024-01-03 09:30:00,0.7920347860576631,0.967440270205737,0.23188553068624762
2024-01-03 09:45:00,0.7920347860576631,0.127732778090345,0.5778049447254705
2024-01-03 10:00:00,0.7920347860576631,0.2795297395044324,0.171
2024-01-03 10:15:00,0.7920347860576631,0.6215710321512413,1.3804589938981389
2024-01-03 10:30:00,0.7920347860576631,0.14483182563310534,3.212157075706007
2024-01-03 10:45:00,0.7920347860576631,0.12370632987967563,0.4261570757060068
2024-01-03 11:00:00,0.7920347860576631,0.4627587167084743,0.1256237423726735
2024-01-03 11:15:00,0.7920347860576631,0.1212827993976266,0.18282374237267351
2024-01-03 11:30:00,0.7920347860576631,0.001,0.176517746440581
2024-01-03 11:45:00,0.7920347860576631,0.001,0.43691333333333326
2024-01-03 12:00:00,0.7920347860576631,0.001,1.6060333333333332
2024-01-03 12:15:00,0.7920347860576631,0.001,1.6016333333333332
2024-01-03 12:30:00,0.7920347860576631,0.0836337114293139,0.1920059959320925
2024-01-03 12:45:00,0.7920347860576631,0.35241852509254945,0.1975237423726735
2024-01-03 13:00:00,0.7920347860576631,0.759159940451665,0.35772927305892116
2024-01-03 13:15:00,0.7920347860576631,0.1313832674071484,0.3500759397255878
2024-01-03 13:30:00,0.7920347860576631,0.16556550051723923,0.48334260639225446
2024-01-03 13:45:00,0.4228852192307536,1.1133278462578373,1.0820620204314773
2024-01-03 14:00:00,0.001,0.6646948238997311,0.4730404468444259
2024-01-03 14:15:00,0.001,0.12497312234815415,0.44156202966927083
2024-01-03 14:30:00,0.001,0.2759831373647351,0.4453292730589211
2024-01-03 14:45:00,0.001,0.8756974757013526,0.33800927305892114
2024-01-03 15:00:00,0.001,0.07226666666666669,1.1855426063922545
2024-01-03 15:15:00,0.001,0.001,1.710809273058921
2024-01-03 15:30:00,0.001,0.001,1.0656876902340762
2024-01-03 15:45:00,0.7920347860576631,0.001,0.46800135893469663
2024-01-03 16:00:00,0.7920347860576631,0.001,0.4710759397255878
2024-01-03 16:15:00,0.7920347860576631,0.001,0.9391026063922545
2024-01-03 16:30:00,0.7920347860576631,0.001,0.8753321669216716
2024-01-03 16:45:00,0.7920347860576631,0.001,0.24370927305892112
2024-01-03 17:00:00,0.7920347860576631,0.001,0.6893248599516735
2024-01-03 17:15:00,0.7920347860576631,0.001,0.6507521973529143
2024-01-03 17:30:00,0.7920347860576631,0.001,0.19736117192155428
2024-01-03 17:45:00,0.7920347860576631,0.001,0.294
2024-01-03 18:00:00,0.7920347860576631,0.001,0.415
2024-01-03 18:15:00,0.7920347860576631,0.001,0.2574431656496898
2024-01-03 18:30:00,0.7920347860576631,0.001,0.18889040903934015
2024-01-03 18:45:00,0.7920347860576631,0.001,0.7712953537648108
2024-01-03 19:00:00,0.7920347860576631,0.001,0.2143759397255878
2024-01-03 19:15:00,0.7920347860576631,0.001,0.2657092730589211
2024-01-03 19:30:00,0.7920347860576631,0.001,0.429132774075898
2024-01-03 19:45:00,0.05373565240384421,0.001,0.3322229417595415
2024-01-03 20:00:00,0.001,0.001,0.33537593972558777
2024-01-03 20:15:00,0.001,0.001,0.3273092730589211
2024-01-03 20:30:00,0.001,0.001,0.47191824762756107
